TitleText_lang,ID,TraitSystemID,TraitTreeID,FirstTraitNodeID,PlayerConditionID,Flags,Field_10_0_0_45697_006,Field_10_0_0_45697_007,UiTextureKitID
,950,0,0,98614,117679,1,1,1,0
,951,0,0,98666,117679,1,1,1,0
,960,0,0,98953,117673,1,1,1,0
,961,0,0,99020,117673,1,1,1,0
,962,0,0,99041,117673,1,1,1,0
,963,0,0,99059,117673,1,1,1,0
,964,0,0,0,0,0,1,1,0
,965,0,0,99239,117674,1,1,1,0
,966,0,0,99267,117674,1,1,1,0
,969,0,0,99453,117674,1,1,1,0
,971,0,0,99589,117674,1,1,1,0
,972,0,0,99671,117678,1,1,1,0
,973,0,0,99743,117678,1,1,1,0
,974,0,0,99775,117678,1,1,1,0
,975,0,0,99799,117678,1,1,1,0
,978,0,0,99890,117675,1,1,1,0
,979,0,0,99940,117675,1,1,1,0
,980,0,0,100008,117675,1,1,1,0
,981,0,0,100040,117675,1,1,1,0
,982,0,0,100085,117681,1,1,1,0
,983,0,0,100111,117681,1,1,1,0
,984,0,0,100162,117681,1,1,1,0
,987,0,0,100306,117684,1,1,1,0
,988,0,0,100342,117684,1,1,1,0
,989,0,0,100431,117684,1,1,1,0
,990,0,0,100517,117684,1,1,1,0
,991,0,0,100603,117684,1,1,1,0
,994,0,0,100765,117676,1,1,1,0
,995,0,0,100791,117676,1,1,1,0
,996,0,0,100843,117676,1,1,1,0
,998,0,0,100907,117684,1,1,1,0
,999,0,0,100939,117684,1,1,1,0
,1000,0,0,0,0,0,0.9,1.25,0
,1001,0,0,0,117684,1,1,1,0
,1002,0,0,101499,117678,1,1,1,0
,1003,0,0,101563,117678,1,1,1,0
,1004,0,0,101595,117678,1,1,1,0
,1005,0,0,101627,117678,1,1,1,0
,1006,0,0,101707,117678,1,1,1,0
,1007,0,0,101801,117684,1,1,1,0
,1008,0,0,101881,117678,1,1,1,0
,1033,0,0,0,0,0,0.25,1.65,0
,1034,0,0,0,0,0,1.35,1.65,0
Pact: The Weaver,1042,15,0,0,0,3,1,1,5586
Pact: The General,1045,16,0,0,0,3,1,1,5586
Pact: The Vizier,1046,17,0,0,0,0,1,1,5586
,1054,10,0,0,0,0,1,1,0
D.R.I.V.E.,1056,19,0,0,0,3,1,1,5586
Hourglass of Horrific Visions,1057,20,0,0,0,0,1,1,5586
,1060,21,0,0,0,2,0.65,2.35,0
Overcharged Titan Console,1061,22,0,0,0,0,0.65,2.35,5586
,1067,0,0,104216,134148,1,1,1,0
,1068,0,0,104258,134139,1,1,1,0
,1069,0,0,104292,134139,1,1,1,0
,1070,0,0,104328,134148,1,1,1,0
,1071,0,0,104350,134148,1,1,1,0
,1072,0,0,104390,134148,1,1,1,0
,1073,0,0,104421,134814,1,1,1,0
,1074,0,0,104481,134814,1,1,1,0
,1075,0,0,104576,134139,1,1,1,0
,1076,0,0,104633,134139,1,1,1,0
,1080,0,0,104707,134814,1,1,1,0
,1084,24,0,104822,135427,0,0.9,1.3,0
,1086,26,0,104846,135427,0,0.9,1,0
,1087,27,0,104858,0,0,0.9,1.3,0
,1105,0,0,105475,136076,1,1,1,0
,1106,0,0,105526,136076,1,1,1,0
,1107,0,0,105568,136076,1,1,1,0
Reshii Wraps,1115,29,0,0,0,1,1,1,5586
,1119,0,0,106059,136759,1,1,1,0
,1120,0,0,106089,136759,1,1,1,0
,1121,0,0,106119,136759,1,1,1,0
,1122,0,0,106192,134143,1,1,1,0
,1123,0,0,106248,134143,1,1,1,0
,1124,0,0,106280,134143,1,1,1,0
,1125,0,0,106358,134143,1,1,1,0
,1126,0,0,106416,134141,1,1,1,0
,1127,0,0,106468,134141,1,1,1,0
,1128,0,0,106520,134141,1,1,1,0
,1129,0,0,0,134141,1,1,1,0
,1130,0,0,106630,134141,1,1,1,0
,1131,0,0,106719,134141,1,1,1,0
,1132,0,0,106755,134141,1,1,1,0
,1133,0,0,106789,134141,1,1,1,0
,1136,0,0,106901,138278,1,1,1,0
,1137,0,0,106983,138278,1,1,1,0
,1138,0,0,107015,138278,1,1,1,0
,1139,0,0,107059,138278,1,1,1,0
,1140,0,0,107107,134138,1,1,1,0
,1141,30,0,107165,0,4,0.75,1.25,0
,1142,0,0,107214,134138,1,1,1,0
,1143,0,0,107257,134138,1,1,1,0
,1144,0,0,107284,134138,1,1,1,0
,1151,34,0,0,0,0,1,1,0
,1152,0,0,107617,154164,1,1,1,0
,1153,0,0,107649,154164,1,1,1,0
,1154,0,0,107689,154164,1,1,1,0
,1155,0,0,107769,154164,1,1,1,0
,1156,0,0,107817,139909,1,1,1,0
,1157,0,0,107889,139909,1,1,1,0
,1158,0,0,107921,139909,1,1,1,0
,1159,0,0,107993,139909,1,1,1,0
,1161,33,0,108115,0,2,1,1.65,0
,1162,35,0,0,0,1,0.75,1.25,0
Loa Blessings,1166,41,0,0,0,0,1,1.75,5727
,1168,43,0,0,0,0,1,1,0
,1173,0,0,108936,134141,1,1,1,0
,1175,0,0,109107,134141,1,1,1,0
,1176,0,0,109141,134141,1,1,1,0
,1177,21,0,0,0,2,0.65,2.35,0
,1179,44,0,0,0,0,3,3,0
Void Research,1180,46,0,0,0,1,1,1,5727
,1181,0,0,109588,134143,1,1,1,0
,1182,0,0,109660,134143,1,1,1,0
,1185,47,0,0,0,2,1,1,0
,1190,49,0,0,0,0,1,1,0
