ID,ChrSpecializationID,SpellAuraVisibilityID
1678,267,3045
1679,268,3045
1680,269,3045
1681,270,3045
1682,535,3045
1683,536,3045
1684,537,3045
1685,62,3046
1686,63,3046
1687,64,3046
1688,65,3046
1689,66,3046
1690,70,3046
1691,71,3046
1692,72,3046
1693,73,3046
1694,74,3046
1695,79,3046
1696,81,3046
1697,102,3046
1698,103,3046
1699,104,3046
1700,105,3046
1701,250,3046
1702,251,3046
1703,252,3046
1704,253,3046
1705,254,3046
1706,255,3046
1707,256,3046
1708,257,3046
1709,258,3046
1710,259,3046
1711,260,3046
1712,261,3046
1713,262,3046
1714,263,3046
1715,264,3046
1716,265,3046
1717,266,3046
1718,267,3046
1719,268,3046
1720,269,3046
1721,270,3046
1722,535,3046
1723,536,3046
1724,537,3046
1725,66,3047
1726,73,3047
1727,103,3047
1728,250,3047
1729,65,3051
1730,105,3051
1731,256,3051
1732,257,3051
1733,264,3051
1734,270,3051
1735,65,3052
1736,105,3052
1737,256,3052
1738,257,3052
1739,264,3052
1740,270,3052
1747,66,3101
1748,73,3101
1749,103,3101
1750,250,3101
1751,66,3102
1752,73,3102
1753,103,3102
1754,250,3102
1755,66,3103
1756,73,3103
1757,103,3103
1758,250,3103
1759,66,3104
1760,73,3104
1761,103,3104
1762,250,3104
1763,66,3105
1764,73,3105
1765,103,3105
1766,250,3105
1767,66,3106
1768,73,3106
1769,103,3106
1770,250,3106
1771,66,3107
1772,73,3107
1773,103,3107
1774,250,3107
1780,66,3191
1781,73,3191
1782,103,3191
1783,250,3191
1784,66,3192
1785,73,3192
1786,103,3192
1787,250,3192
1800,62,3266
1801,63,3266
1802,64,3266
1803,65,3266
1804,66,3266
1805,70,3266
1806,71,3266
1807,72,3266
1808,73,3266
1809,74,3266
1810,79,3266
1811,81,3266
1812,102,3266
1813,103,3266
1814,104,3266
1815,105,3266
1816,250,3266
1817,251,3266
1818,252,3266
1819,253,3266
1820,254,3266
1821,255,3266
1822,256,3266
1823,257,3266
1824,258,3266
1825,259,3266
1826,260,3266
1827,261,3266
1828,262,3266
1829,263,3266
1830,264,3266
1831,265,3266
1832,266,3266
1833,267,3266
1834,268,3266
1835,269,3266
1836,270,3266
1837,535,3266
1838,536,3266
1839,537,3266
1890,66,3327
1891,73,3327
1892,103,3327
1893,250,3327
1894,66,3332
1895,73,3332
1896,103,3332
1897,250,3332
1924,66,3364
1925,73,3364
1926,103,3364
1927,250,3364
1928,65,3377
1929,105,3377
1930,256,3377
1931,257,3377
1932,264,3377
1933,270,3377
1934,65,3378
1935,105,3378
1936,256,3378
1937,257,3378
1938,264,3378
1939,270,3378
1944,65,3468
1945,66,3468
1946,70,3468
1948,66,3639
1949,73,3639
1950,103,3639
1951,250,3639
1952,66,3640
1953,73,3640
1954,103,3640
1955,250,3640
1956,66,3641
1957,73,3641
1958,103,3641
1959,250,3641
1960,66,3642
1961,73,3642
1962,103,3642
1963,250,3642
1974,70,3760
1975,71,3760
1976,72,3760
1977,103,3760
1978,251,3760
1979,252,3760
1980,255,3760
1981,259,3760
1982,260,3760
1983,261,3760
1984,263,3760
1985,269,3760
1986,577,3760
1987,70,3761
1988,71,3761
1989,72,3761
1990,103,3761
1991,251,3761
1992,252,3761
1993,255,3761
1994,259,3761
1995,260,3761
1996,261,3761
1997,263,3761
1998,269,3761
1999,577,3761
2051,66,4042
2052,73,4042
2053,103,4042
2054,250,4042
2055,66,4043
2056,73,4043
2057,103,4043
2058,250,4043
2059,66,4044
2060,73,4044
2061,103,4044
2062,250,4044
2063,66,4045
2064,73,4045
2065,103,4045
2066,250,4045
2067,66,4046
2068,73,4046
2069,103,4046
2070,250,4046
2071,66,4047
2072,73,4047
2073,103,4047
2074,250,4047
2075,66,4048
2076,73,4048
2077,103,4048
2078,250,4048
2179,66,4267
2180,73,4267
2181,103,4267
2182,250,4267
2183,66,4283
2184,73,4283
2185,103,4283
2186,250,4283
2187,256,4293
2188,257,4293
2189,258,4293
2190,62,4294
2191,63,4294
2192,64,4294
2193,71,4295
2194,72,4295
2195,73,4295
2198,66,4326
2199,73,4326
2200,103,4326
2201,250,4326
2202,66,4330
2203,73,4330
2204,103,4330
2205,250,4330
2206,66,4331
2207,73,4331
2208,103,4331
2209,250,4331
2210,66,4334
2211,73,4334
2212,103,4334
2213,250,4334
2216,65,4372
2217,105,4372
2218,256,4372
2219,257,4372
2220,264,4372
2221,270,4372
2222,65,4371
2223,105,4371
2224,256,4371
2225,257,4371
2226,264,4371
2227,270,4371
2240,62,4399
2241,63,4399
2242,64,4399
2243,65,4399
2244,66,4399
2245,70,4399
2246,71,4399
2247,72,4399
2248,73,4399
2249,74,4399
2250,79,4399
2251,81,4399
2252,102,4399
2253,103,4399
2254,104,4399
2255,105,4399
2256,250,4399
2257,251,4399
2258,252,4399
2259,253,4399
2260,254,4399
2261,255,4399
2262,256,4399
2263,257,4399
2264,258,4399
2265,259,4399
2266,260,4399
2267,261,4399
2268,262,4399
2269,263,4399
2270,264,4399
2271,265,4399
2272,266,4399
2273,267,4399
2274,268,4399
2275,269,4399
2276,270,4399
2277,535,4399
2278,536,4399
2279,537,4399
2280,62,4400
2281,63,4400
2282,64,4400
2283,65,4400
2284,66,4400
2285,70,4400
2286,71,4400
2287,72,4400
2288,73,4400
2289,74,4400
2290,79,4400
2291,81,4400
2292,102,4400
2293,103,4400
2294,104,4400
2295,105,4400
2296,250,4400
2297,251,4400
2298,252,4400
2299,253,4400
2300,254,4400
2301,255,4400
2302,256,4400
2303,257,4400
2304,258,4400
2305,259,4400
2306,260,4400
2307,261,4400
2308,262,4400
2309,263,4400
2310,264,4400
2311,265,4400
2312,266,4400
2313,267,4400
2314,268,4400
2315,269,4400
2316,270,4400
2317,535,4400
2318,536,4400
2319,537,4400
2320,62,4401
2321,63,4401
2322,64,4401
2323,65,4401
2324,66,4401
2325,70,4401
2326,71,4401
2327,72,4401
2328,73,4401
2329,74,4401
2330,79,4401
2331,81,4401
2332,104,4401
2333,250,4401
2334,253,4401
2335,254,4401
2336,255,4401
2337,256,4401
2338,257,4401
2339,258,4401
2340,259,4401
2341,260,4401
2342,261,4401
2343,262,4401
2344,263,4401
2345,264,4401
2346,265,4401
2347,266,4401
2348,267,4401
2349,268,4401
2350,269,4401
2351,270,4401
2352,535,4401
2353,536,4401
2354,537,4401
2375,66,4407
2376,73,4407
2377,103,4407
2378,250,4407
2379,66,4408
2380,73,4408
2381,103,4408
2382,250,4408
2383,66,4409
2384,73,4409
2385,103,4409
2386,250,4409
2387,66,4410
2388,73,4410
2389,103,4410
2390,250,4410
2391,66,4411
2392,73,4411
2393,103,4411
2394,250,4411
2395,66,4412
2396,73,4412
2397,103,4412
2398,250,4412
2399,66,4413
2400,73,4413
2401,103,4413
2402,250,4413
2432,62,4534
2433,63,4534
2434,64,4534
2435,65,4534
2436,105,4534
2437,256,4534
2438,257,4534
2439,258,4534
2440,262,4534
2441,263,4534
2442,264,4534
2443,266,4534
2444,270,4534
2445,65,4543
2446,105,4543
2447,256,4543
2448,257,4543
2449,264,4543
2450,270,4543
2451,65,4544
2452,105,4544
2453,256,4544
2454,257,4544
2455,264,4544
2456,270,4544
2471,65,4674
2472,105,4674
2473,257,4674
2474,264,4674
2475,270,4674
2476,62,4678
2477,63,4678
2478,64,4678
2479,65,4678
2480,105,4678
2481,256,4678
2482,257,4678
2483,258,4678
2484,262,4678
2485,263,4678
2486,264,4678
2487,266,4678
2488,270,4678
2492,65,4730
2493,105,4730
2494,257,4730
2495,264,4730
2496,270,4730
2509,105,4767
2510,264,4767
2516,105,4795
2517,264,4795
2518,105,4796
2519,264,4796
2520,65,4797
2521,105,4797
2522,256,4797
2523,257,4797
2524,264,4797
2525,270,4797
2533,65,4865
2534,105,4865
2535,256,4865
2536,257,4865
2537,264,4865
2538,270,4865
2539,1467,4893
2540,1468,4893
2541,65,4913
2542,105,4913
2543,256,4913
2544,257,4913
2545,264,4913
2546,270,4913
2547,62,4914
2548,63,4914
2549,64,4914
2550,65,4914
2551,66,4914
2552,70,4914
2553,71,4914
2554,72,4914
2555,73,4914
2556,74,4914
2557,79,4914
2558,81,4914
2559,102,4914
2560,103,4914
2561,104,4914
2562,105,4914
2563,250,4914
2564,251,4914
2565,252,4914
2566,253,4914
2567,254,4914
2568,255,4914
2569,256,4914
2570,257,4914
2571,258,4914
2572,259,4914
2573,260,4914
2574,261,4914
2575,262,4914
2576,263,4914
2577,264,4914
2578,265,4914
2579,266,4914
2580,267,4914
2581,268,4914
2582,269,4914
2583,270,4914
2584,535,4914
2585,536,4914
2586,537,4914
2587,65,4981
2588,105,4981
2589,256,4981
2590,257,4981
2591,264,4981
2592,270,4981
2593,1468,4981
2594,65,4983
2595,105,4983
2596,256,4983
2597,257,4983
2598,264,4983
2599,268,4983
2600,1468,4983
2601,1467,4985
2602,1468,4985
2603,1467,4987
2604,1468,4987
2605,1467,4989
2606,1468,4989
2607,1467,4991
2608,1468,4991
2609,1467,4993
2610,1468,4993
2611,1467,4995
2612,1468,4995
2613,1467,4997
2614,1468,4997
2615,1467,4999
2616,1468,4999
2617,1467,5001
2618,1468,5001
2619,1467,5003
2620,1468,5003
2621,1467,5005
2622,1468,5005
2623,1467,5007
2624,1468,5007
2625,1467,5009
2626,1468,5009
2627,62,5026
2628,63,5026
2629,64,5026
2636,102,5029
2637,103,5029
2638,104,5029
2639,105,5029
2640,1447,5029
2641,1467,5126
2642,1468,5126
2643,1467,5127
2644,1468,5127
2645,1467,5128
2646,1468,5128
2647,1467,5129
2648,1468,5129
2649,1467,5130
2650,1468,5130
2651,1467,5131
2652,1468,5131
2653,1467,5132
2654,1468,5132
2655,1467,5133
2656,1468,5133
2657,1467,5134
2658,1468,5134
2659,1467,5135
2660,1468,5135
2661,1467,5136
2662,1468,5136
2663,1467,5137
2664,1468,5137
2665,1467,5138
2666,1468,5138
2667,1467,5139
2668,1468,5139
2669,1467,5140
2670,1468,5140
2671,1467,5141
2672,1468,5141
2673,1467,5142
2674,1468,5142
2675,1467,5143
2676,1468,5143
2677,1467,5144
2678,1468,5144
2679,1467,5145
2680,1468,5145
2681,1467,5146
2682,1468,5146
2683,1467,5147
2684,1468,5147
2685,1467,5148
2686,1468,5148
2687,1467,5149
2688,1468,5149
2689,1467,5150
2690,1468,5150
2691,1467,5151
2692,1468,5151
2735,270,5237
2736,270,5238
2737,270,5239
2738,270,5240
2739,1473,4985
2740,1473,4993
2741,1473,4991
2742,1473,4989
2743,1473,4987
2744,1473,5003
2745,1473,5001
2746,1473,4999
2747,1473,4997
2748,1473,4995
2749,1473,5009
2750,1473,5007
2752,62,5244
2753,63,5244
2754,64,5244
2755,71,5246
2756,72,5246
2757,73,5246
2758,1473,5005
2765,62,3377
2766,63,3377
2767,64,3377
2768,66,3377
2769,102,3377
2770,103,3377
2771,104,3377
2772,250,3377
2773,251,3377
2774,252,3377
2775,258,3377
2776,262,3377
2777,263,3377
2778,265,3377
2779,266,3377
2780,267,3377
2781,268,3377
2782,269,3377
2783,577,3377
2784,1467,3377
2785,1468,3377
2786,62,3378
2787,63,3378
2788,64,3378
2789,66,3378
2790,70,3378
2791,102,3378
2792,103,3378
2793,104,3378
2794,250,3378
2795,251,3378
2796,252,3378
2797,258,3378
2798,262,3378
2799,263,3378
2800,265,3378
2801,266,3378
2802,267,3378
2803,268,3378
2804,269,3378
2805,577,3378
2806,581,3378
2807,1467,3378
2808,1468,3378
2809,62,5358
2810,63,5358
2811,64,5358
2812,65,5358
2813,66,5358
2814,70,5358
2815,71,5358
2816,72,5358
2817,73,5358
2818,74,5358
2819,79,5358
2820,81,5358
2821,102,5358
2822,103,5358
2823,104,5358
2824,105,5358
2825,250,5358
2826,251,5358
2827,252,5358
2828,253,5358
2829,254,5358
2830,255,5358
2831,256,5358
2832,257,5358
2833,258,5358
2834,259,5358
2835,260,5358
2836,261,5358
2837,262,5358
2838,263,5358
2839,264,5358
2840,265,5358
2841,266,5358
2842,267,5358
2843,268,5358
2844,269,5358
2845,270,5358
2846,535,5358
2847,536,5358
2848,537,5358
2849,66,5369
2850,73,5369
2851,103,5369
2852,250,5369
2853,1467,5385
2854,1468,5385
2855,1473,5385
2856,1467,5387
2857,1468,5387
2858,1473,5387
2859,1467,5389
2860,1468,5389
2861,1473,5389
2862,102,5391
2863,103,5391
2864,104,5391
2865,105,5391
2866,1447,5391
2867,1467,5393
2868,1468,5393
2869,1473,5393
2870,270,5394
2871,270,5395
2872,62,5397
2873,63,5397
2874,64,5397
2880,1478,5431
2881,1478,5432
2883,1478,5477
2884,1478,5478
2885,1478,5480
2886,1478,5481
2887,1478,5483
2888,1478,5484
2889,1478,5486
2890,1478,5487
2891,1478,5489
2892,1478,5490
2893,1478,5492
2894,1478,5493
2895,1478,5495
2896,1478,5496
2897,1478,5498
2898,1478,5499
2899,1478,5501
2900,1478,5502
2901,1478,5504
2902,1478,5505
2903,1478,5507
2904,1478,5508
2905,1478,5510
2906,1478,5511
2907,1478,5513
2908,1478,5514
2909,1478,5516
2910,1478,5517
2911,1478,5519
2912,1478,5520
2913,1478,5542
2914,1478,5543
2915,1478,5545
2916,1478,5546
2917,1478,5548
2918,1478,5549
2919,1478,5551
2920,1478,5552
2921,1478,5554
2922,1478,5555
2923,1478,5557
2924,1478,5558
2925,1478,5560
2926,1478,5561
2927,1478,5563
2928,1478,5564
2929,1478,5566
2930,1478,5567
2931,1478,5569
2932,1478,5570
2933,1478,5572
2934,1478,5573
2935,1478,5575
2936,1478,5576
2937,1478,5578
2938,1478,5579
2939,1478,5581
2940,1478,5582
2941,1478,5584
2942,1478,5585
2943,1478,5589
2944,1478,5590
2945,1467,5593
2946,1468,5593
2947,1473,5593
2948,1478,5596
2949,1478,5597
2952,65,5608
2953,105,5608
2954,256,5608
2955,257,5608
2956,264,5608
2957,270,5608
2958,1452,5608
2959,1468,5608
2961,62,5654
2962,63,5654
2963,64,5654
2964,65,5654
2965,66,5654
2966,70,5654
2967,71,5654
2968,72,5654
2969,73,5654
2970,74,5654
2971,79,5654
2972,81,5654
2973,102,5654
2974,103,5654
2975,104,5654
2976,105,5654
2977,250,5654
2978,251,5654
2979,252,5654
2980,253,5654
2981,254,5654
2982,255,5654
2983,256,5654
2984,257,5654
2985,258,5654
2986,259,5654
2987,260,5654
2988,261,5654
2989,262,5654
2990,263,5654
2991,264,5654
2992,265,5654
2993,266,5654
2994,267,5654
2995,268,5654
2996,269,5654
2997,270,5654
2998,535,5654
2999,536,5654
3000,537,5654
3001,262,5656
3002,263,5656
3003,264,5656
3004,1478,5687
3005,1478,5688
3006,1478,5694
3007,1478,5695
3008,1478,5697
3009,1478,5698
3012,1478,5702
3013,1478,5703
