ScriptTag,Target[0],Target[1],Target[2],ZoomedTargetOffset[0],ZoomedTargetOffset[1],ZoomedTargetOffset[2],ID,Flags,CameraType,Yaw,Pitch,Roll,ZoomedYawOffset,ZoomedPitchOffset,ZoomedRollOffset,ZoomDistance,MinZoomDistance,MaxZoomDistance,UiModelSceneID
primary,0,0,0.2,0,0,0,990,1,0,1.0471976,0,0,0,0,0,8,8,8,1006
entry,0,0,0.25,0,0,0,1002,1,0,2.7925267,0,0,0,0,0,10,10,10,1018
entry,0,0,0.25,0,0,0,1003,1,0,2.7925267,0,0,0,0,0,10,10,10,1019
override,0,0,2,0,0,0,1005,1,0,2.6179938,0,0,0,0,0,16,8,99,1021
override,0,0,2.5,0,0,0,1006,0,0,2.443461,0,0,0,0,0,12,8,99,1022
override,-0.6,0,2,0,0,0,1008,0,0,2.6179938,0,0,0,0,0,16,8,99,1024
primary,0,-0.5,1,0,0,0,1009,0,0,2.443461,0,0,0,0,0,10,8,99,1025
override,-1,0,2,0,0,0,1010,1,0,2.1816616,0,0,0,0,0,20,8,99,1026
override,0,0,2.5,0,0,0,1011,0,0,2.443461,0,0,0,0,0,12,8,99,1027
override,-1.5,0,2,0,0,0,1012,0,0,2.1816616,0,0,0,0,0,18,8,99,1028
override,0,0,2.2,0,0,0,1013,0,0,2.443461,0,0,0,0,0,8.5,8,99,1029
override,-1.5,0,2,0,0,0,1014,0,0,2.1816616,0,0,0,0,0,18,8,99,1030
override,0,0,2.2,0,0,0,1015,0,0,2.443461,0,0,0,0,0,6.5,8,99,1031
override,-0.5,0,2,0,0,0,1016,0,0,2.443461,0,0,0,0,0,20,8,99,1032
primary,0,0,3.3,0,0,0,1017,0,0,2.443461,0,0,0,0,0,12,8,99,1033
override,-0.5,0,2,0,0,0,1018,0,0,2.443461,0,0,0,0,0,20,8,99,1034
override,0,0,3.3,0,0,0,1019,0,0,2.443461,0,0,0,0,0,12,8,99,1035
primary,0,0,1.3,0,0,0,1020,1,0,1.8325957,0,0,0,0,0,4,2,4,1036
primary,0,0,1.1,0,0,0,1021,1,0,1.8325957,0,0,0,0,0,3.25,3.25,3.25,1037
primary,0,0,0,0,0,0,1022,1,0,1.0471976,0,0,0,0,0,8,8,8,1038
primary,0,0,0,0,0,0,1023,1,0,1.0471976,0,0,0,0,0,8,8,8,1039
primary,0,0,0,0,0,0,1024,1,0,1.0471976,0,0,0,0,0,8,8,8,1040
primary,0,0,0,0,0,0,1025,1,0,1.0471976,0,0,0,0,0,8,8,8,1041
primary,0,0,1.2,0,0,-1.5,1029,1,0,2.6179938,0,0,0.17453292,0,0,20,0,99,1045
primary,0,0,1.2,0,0,0,1030,1,0,2.6179938,0,0,0,0,0,6.5,0,99,1046
primary,0,0,1.01,0,0,0,1031,1,0,1.8325957,0,0,0,0,0,6.5,6.5,6.5,1047
primary,0,0,1.2,0,0,0,1032,1,0,2.6179938,0,0,0,0,0,12,0,99,1048
primary,0,0,1,0,0,0,1033,1,0,2.6179938,0,0,0,0,0,13,0,99,1049
primary,0,-1,3,0,0,0,1034,1,0,2.6179938,0,0,0,0,0,35,1,99,1050
override,0,0,1,0,0,0,1036,1,0,1.8,0,0,0,0,0,1,6.5,99,1052
override,0,0,0.7,0,0,0,1037,0,0,1.8325957,0,0,0,0,0,4.5,1,99,1053
override,0,0,-2.9,0,0,0,1038,0,0,2.443461,0,0,0,0,0,13,8,99,1054
override,0,0,2.2,0,0,0,1039,0,0,2.443461,0,0,0,0,0,6.5,8,99,1055
override,-1.1,0,2.6,0,0,0,1040,0,0,2.443461,0,0,0,0,0,16,8,99,1056
primary,0,0,0.6,0,0,-1.5,1041,1,0,2.6179938,0,0,0.17453292,0,0,8,0,99,1057
override,-0.5,0,2.3,0,0,0,1043,0,0,2.443461,0,0,0,0,0,12,8,99,1059
primary,0,0,0.4,0,0,0,1044,1,0,2.6179938,0,0,0,0,0,5,0,99,1060
override,-1.1,0,2.6,0,0,0,1045,0,0,2.443461,0,0,0,0,0,16,8,99,1061
override,-1.1,0,3.8,0,0,0,1046,0,0,2.443461,0,0,0,0,0,16,8,99,1062
override,-0.5,0,2.3,0,0,0,1047,0,0,2.443461,0,0,0,0,0,12,8,99,1063
override,-0.5,0,2.3,0,0,0,1048,0,0,2.443461,0,0,0,0,0,12,8,99,1064
override,-0.6,0,2,0,0,0,1057,0,0,2.6179938,0,0,0,0,0,16,8,99,1073
override,0,0,2.5,0,0,0,1058,0,0,2.443461,0,0,0,0,0,12,8,99,1074
override,-1.1,0,2.6,0,0,0,1059,0,0,2.443461,0,0,0,0,0,16,8,99,1075
override,-0.6,0,2,0,0,0,1061,0,0,2.6179938,0,0,0,0,0,16,8,99,1077
override,0,0,2.5,0,0,0,1062,0,0,2.443461,0,0,0,0,0,12,8,99,1078
override,-1.1,0,2.6,0,0,0,1063,0,0,2.443461,0,0,0,0,0,16,8,99,1079
primary,-0.6,0,2,0,0,0,1064,1,0,2.6179938,0,0,0,0,0,16,8,99,1080
primary,0,0,2.5,0,0,0,1065,0,0,2.443461,0,0,0,0,0,12,8,99,1081
primary,-0.6,0,1.2,0,0,0,1067,1,0,2.6179938,0,0,0,0,0,10,0,99,1083
primary,0,-0.5,2,0,0,0,1068,1,0,2.443461,0,0,0,0,0,10,0,99,1084
override,0,0,1,0,0,0,1073,1,0,2.6179938,0,0,0,0,0,12,1,99,1089
primary,0,0,1.25,0,0,0,1074,1,0,2.6179938,0,0,0,0,0,9,0,99,1090
primary,0,0,1.2,0,0,0,1075,1,0,2.6179938,0,0,0,0,0,6.5,0,99,1091
primary,0,0,0.6,0,0,0,1076,1,0,2.6179938,0,0,0,0,0,8,1,99,1092
primary,0,0,0.4,0,0,0,1077,1,0,2.6179938,0,0,0,0,0,5,0,99,1093
primary,0,0,1.2,0,0,0,1078,1,0,2.6179938,0,0,0,0,0,6.5,0,99,1094
primary,0,0,0.6,0,0,0,1079,1,0,2.6179938,0,0,0,0,0,8,1,99,1095
primary,0,0,0.7,0,0,0,1080,1,0,2.6179938,0,0,0,0,0,10,0,99,1096
primary,0,0,1.2,0,0,0,1081,1,0,2.6179938,0,0,0,0,0,6.5,0,99,1097
override,0,0,1,0,0,0,1103,0,0,1.8,0,0,0,0,0,5,6.5,6.5,1119
primary,0,0,0.2,0,0,0,1106,1,0,1.0471976,0,0,0,0,0,8,8,8,1122
primary,0,0,0,0,0,0,1107,1,0,1.0471976,0,0,0,0,0,8,8,8,1123
primary,0,0,0.2,0,0,0,1109,1,0,1.0471976,0,0,0,0,0,8,8,8,1125
primary,0,0,0.2,0,0,0,1110,1,0,1.0471976,0,0,0,0,0,8,8,8,1126
primary,0,0,0.2,0,0,0,1119,1,0,1.0471976,0,0,0,0,0,8,8,8,1137
primary,0.01,0.01,0.01,0,0,0,1122,1,0,0,0,0,0,0,0,7.03,1.04,99.04,1140
primary,0.02,0.02,0.02,0,0,0,1125,1,0,0,0,0,0,0,0,5.01,1.02,99.02,1143
primary,0.02,0.02,0.02,0,0,0,1126,0,0,0,0,0,0,0,0,10.01,1.02,99.02,1144
primary,0,0,4.25,0,0,0,1129,1,0,2.443461,0,0,0,0,0,40,0,99,1147
primary,0,0,2,0,0,0,1130,1,0,2.6179938,0,0,0,0,0,15,0,99,1148
primary,0.01,0.01,0.01,0,0,0,1131,1,0,0,0,0,0,0,0,4.03,1.32,99.32,1149
primary,0.01,0.01,0.01,0,0,0,1133,0,0,0,0,0,0,0,0,10.01,1.16,99.16,1151
primary,0.03,0.03,0.03,0,0,0,1134,1,0,0,0,0,0,0,0,7.01,1.3,99.3,1152
primary,0.01,0.01,0.01,0,0,0,1135,1,0,0,0,0,0,0,0,7.03,1.38,99.38,1153
primary,0.01,0.01,0.01,0,0,0,1137,1,0,0,0,0,0,0,0,12,1.32,99.32,1155
primary,0.01,0.07,0.07,0,0,0,1139,1,0,0,0,0,0,0,0,10.01,1.38,99.38,1157
primary,0.01,-0.5,0.03,0,0,0,1140,1,0,0,0,0,0,0,0,10.03,1.34,99.34,1158
primary,0.01,0.03,0.03,0,0,0,1141,1,0,0,0,0,0,0,0,10.03,1.34,99.34,1159
primary,0.01,0.01,0.01,0,0,0,1142,1,0,0,0,0,0,0,0,10.03,1.34,99.34,1160
primary,0.03,0.51,0.01,0,0,0,1143,1,0,0,0,0,0,0,0,9.01,1.38,99.38,1161
primary,0.01,0.01,0.01,0,0,0,1144,1,0,0,0,0,0,0,0,10.01,1.32,99.32,1162
primary,0.01,0.01,0.01,0,0,0,1145,1,0,0,0,0,0,0,0,10.01,1.32,99.32,1163
primary,0.01,-0.25,0.01,0,0,0,1146,1,0,0,0,0,0,0,0,8,1.32,99.32,1164
primary,0.01,-0.19,0.03,0,0,0,1147,1,0,0,0,0,0,0,0,7.01,1.34,99.34,1165
primary,0.01,0.01,0.01,0,0,0,1148,1,0,0,0,0,0,0,0,10.01,1.32,99.32,1166
primary,0.03,0.01,0.31,0,0,0,1149,1,0,0,0,0,0,0,0,8.01,1.34,99.34,1167
primary,0,0,1.2,0,0,0,1151,1,0,2.6179938,0,0,0,0,0,20,0,99,1169
primary,0,0,1.2,0,0,0,1152,1,0,2.6179938,0,0,0,0,0,20,0,99,1170
primary,0,0,1.2,0,0,0,1153,1,0,2.6179938,0,0,0,0,0,20,0,99,1171
primary,0.03,0.01,0.01,0,0,0,1154,1,0,0,0,0,0,0,0,10.01,1.34,99.34,1172
primary,0.03,-0.29,0.51,0,0,0,1155,1,0,0,0,0,0,0,0,8.01,1.34,99.34,1173
primary,0.03,0.01,0.01,0,0,0,1156,1,0,0,0,0,0,0,0,10.03,1.34,99.34,1174
primary,0.01,0.01,0.21,0,0,0,1157,1,0,0,0,0,0,0,0,8.01,1.34,99.34,1175
primary,0,0,0,0,0,0,1158,1,0,1.0471976,0,0,0,0,0,8,8,8,1176
primary,0,0,0,0,0,0,1159,1,0,1.0471976,0,0,0,0,0,8,8,8,1177
override,0,0,0.7,0,0,0,1162,1,0,1.8325957,0,0,0,0,0,4.5,1,99,1180
override,0,0,1,0,0,0,1163,1,0,1.799958,0,0,0,0,0,6.5,1,99,1181
primary,0,0,0.4,0,0,0,1164,1,0,2.7925267,0,0,0,0,0,10,0,99,1182
primary,0,0,0,0,0,0,1165,1,0,2.7925267,0,0,0,0,0,10,0,99,1183
primary,0,0,1.5,0,0,0,1166,1,0,2.6179938,0,0,0,0,0,20,0,99,1184
primary,0,0,1.2,0,0,0,1167,1,0,2.6179938,0,0,0,0,0,40,0,99,1185
primary,0,-0.1,1,0,0,0,1168,1,0,2.6179938,0,0,0,0,0,10,0,99,1186
primary,0,0,0.5,0,0,0,1169,1,0,2.6179938,0,0,0,0,0,10,0,99,1187
primary,0,0,0.2,0,0,0,1170,1,0,2.6179938,0,0,0,0,0,3,0,99,1188
primary,0,0,0.5,0,0,0,1171,1,0,2.6179938,0,0,0,0,0,7,0,99,1189
primary,0,0.18,0.18,0,0,0,1172,1,0,2.6179938,0,0,0,0,0,4,0,99,1190
primary,0,0,0.5,0,0,0,1173,1,0,2.6179938,0,0,0,0,0,8,0,99,1191
primary,0,0,0.2,0,0,0,1174,1,0,2.6179938,0,0,0,0,0,5,0,99,1192
primary,0,0,1,0,0,0,1175,1,0,2.6179938,0,0,0,0,0,10,0,99,1193
primary,0,0.5,1.6,0,0,0,1176,1,0,2.443461,0,0,0,0,0,20,0,99,1194
primary,0,0,2,0,0,0,1177,1,0,2.6179938,0,0,0,0,0,15,0,99,1195
primary,0,0,1,0,0,0,1178,1,0,2.6179938,0,0,0,0,0,15,0,99,1196
primary,0,0.18,1.2,0,0,0,1179,1,0,2.6179938,0,0,0,0,0,5,0,99,1197
primary,0,0,1.5,0,0,0,1180,1,0,2.6179938,0,0,0,0,0,12,0,99,1198
primary,0,-0.25,1.5,0,0,0,1181,1,0,2.6179938,0,0,0,0,0,12,0,99,1199
primary,0,0,1.25,0,0,0,1182,1,0,2.6179938,0,0,0,0,0,13,0,99,1200
primary,0,0,1.5,0,0,0,1183,1,0,2.6179938,0,0,0,0,0,20,0,99,1201
primary,0,-0.25,0.5,0,0,0,1184,1,0,2.443461,0,0,0,0,0,10,0,99,1202
primary,0,0,2.25,0,0,0,1185,1,0,2.6179938,0,0,0,0,0,24,0,99,1203
primary,0,0,2.5,0,0,0,1186,1,0,2.443461,0,0,0,0,0,16,8,99,1204
primary,0,0,1.5,0,0,0,1187,1,0,2.443461,0,0,0,0,0,13,8,99,1205
primary,0,0,2,0,0,0,1188,1,0,2.443461,0,0,0,0,0,8,0,99,1206
primary,0,0,2,0,0,0,1189,1,0,2.6179938,0,0,0,0,0,20,0,99,1207
primary,0,0,1.3,0,0,0,1190,1,0,2.6179938,0,0,0,0,0,13,0,99,1208
primary,0.01,0.01,0.21,0,0,0,1191,1,0,0,0,0,0,0,0,8.01,1.34,99.34,1209
primary,0.03,0.01,-0.31,0,0,0,1192,1,0,0,0,0,0,0,0,8,1.34,99.34,1210
primary,0,-0.5,2,0,0,0,1193,1,0,2.443461,0,0,0,0,0,8,0,99,1211
primary,0,-0.75,1.5,0,0,0,1194,1,0,2.6179938,0,0,0,0,0,16,0,99,1212
primary,0,-0.75,1.5,0,0,0,1195,0,0,2.6179938,0,0,0,0,0,15,0,99,1213
primary,0,0,3.25,0,0,-1.5,1200,1,0,2.443461,0,0,0.17453292,0,0,23,0,99,1218
primary,0,0,3,0,0,0,1201,1,0,2.6179938,0,0,0,0,0,35,0,99,1219
primary,0.01,0.01,0.01,0,0,0,1202,1,0,0,0,0,0,0,0,4.01,1.32,99.32,1220
primary,0.01,0.01,0.01,0,0,0,1203,1,0,0,0,0,0,0,0,4.03,1.32,99.32,1221
primary,0.03,0.03,0.03,0,0,0,1204,1,0,0,0,0,0,0,0,7.01,1.3,99.3,1222
primary,0,-0.75,3,0,0,-1.5,1205,1,0,2.443461,0,0,0.17453292,0,0,12,0,99,1223
primary,0,-1.5,2.5,0,0,0,1206,1,0,2.6179938,0,0,0,0,0,25,0,99,1224
primary,0,0,1,0,0,0,1207,1,0,2.6179938,0,0,0,0,0,15,0,99,1225
primary,0,-0.25,1.5,0,0,0,1208,1,0,2.6179938,0,0,0,0,0,15,1,99,1226
primary,0,0,3.85,0,0,0,1209,1,0,2.6179938,0,0,0,0,0,30,0,99,1227
primary,0,0,2.75,0,0,0,1210,1,0,2.6179938,0,0,0,0,0,25,0,99,1228
primary,0,0,0.5,0,0,0,1211,1,0,2.6179938,0,0,0,0,0,10,0,99,1229
primary,0,-0.4,1,0,0,0,1212,1,0,2.6179938,0,0,0,0,0,10,0,99,1230
primary,0,-0.5,1.5,0,0,0,1213,1,0,2.6179938,0,0,0,0,0,22,0,99,1231
primary,0,0,2.75,0,0,0,1214,1,0,2.6179938,0,0,0,0,0,25,0,99,1232
primary,0,0,2.5,0,0,-1.5,1215,1,0,2.443461,0,0,0.17453292,0,0,12,0,99,1233
primary,0,0,2,0,0,0,1216,1,0,2.6179938,0,0,0,0,0,20,0,99,1234
primary,0,0,2.75,0,0,0,1217,1,0,2.6179938,0,0,0,0,0,35,0,99,1235
primary,0,0,3.85,0,0,0,1218,1,0,2.6179938,0,0,0,0,0,30,0,99,1236
primary,0,0,2.5,0,0,-1.5,1219,1,0,2.443461,0,0,0.17453292,0,0,15,0,99,1237
primary,0,-0.5,1,0,0,0,1220,1,0,2.6179938,0,0,0,0,0,12,0,99,1238
primary,0,0,0.5,0,0,0,1221,1,0,2.6179938,0,0,0,0,0,10,0,99,1239
primary,0.06,0.06,0.06,0,0,0,1222,0,0,0,0,0,0,0,0,4.01,1.32,99.32,1240
primary,0.01,0.01,0.01,0,0,0,1223,1,0,0,0,0,0,0,0,20.01,1.34,99.34,1241
primary,0,-0.5,0,0,0,0,1224,1,0,0,0,0,0,0,0,10,1,100,1242
primary,0,0,-0.35,0,0,0,1225,1,0,0,0,0,0,0,0,7.01,1.36,99.36,1243
primary,0,0,0,0,0,0,1226,1,0,0,0,0,0,0,0,9,0,99,1244
primary,0.01,0.01,0.01,0,0,0,1227,1,0,0,0,0,0,0,0,10.01,1.42,99.42,1245
primary,0,-1,2,0,0,0,1228,1,0,2.6179938,0,0,0,0,0,20,0,99,1246
primary,0,-0.5,1,0,0,0,1229,1,0,2.6179938,0,0,0,0,0,10,0,99,1247
primary,0,0,2,0,0,0,1230,1,0,2.6179938,0,0,0,0,0,15,0,99,1248
primary,0,0,1.15,0,0,0,1231,1,0,2.6179938,0,0,0,0,0,12,0,99,1249
primary,0,-0.5,1,0,0,0,1232,1,0,2.6179938,0,0,0,0,0,12,0,99,1250
primary,0,-0.25,1.5,0,0,0,1233,1,0,2.6179938,0,0,0,0,0,15,0,99,1251
primary,0,-0.5,1,0,0,0,1234,1,0,2.6179938,0,0,0,0,0,12,0,99,1252
primary,0,-0.5,1,0,0,0,1235,1,0,2.6179938,0,0,0,0,0,12,0,99,1253
primary,0,-0.5,1,0,0,0,1236,1,0,2.6179938,0,0,0,0,0,12,0,99,1254
primary,0,0.5,1,0,0,0,1237,1,0,2.6179938,0,0,0,0,0,12,0,99,1255
primary,0,0,1.5,0,0,0,1238,1,0,2.6179938,0,0,0,0,0,22,0,99,1256
primary,0,0,1,0,0,0,1239,1,0,2.6179938,0,0,0,0,0,10,0,99,1257
primary,0.01,0.03,0.03,0,0,0,1241,1,0,0,0,0,0,0,0,10.03,1.34,99.34,1259
primary,0.01,-0.5,0.03,0,0,0,1242,1,0,0,0,0,0,0,0,10.03,1.34,99.34,1260
primary,0,0,0,0,0,0,1243,1,0,1.0471976,0,0,0,0,0,8,8,8,1261
primary,0.01,0.01,0.01,0,0,0,1244,1,0,0,0,0,0,0,0,10.01,1.32,99.32,1262
primary,0.01,0.01,0.01,0,0,0,1245,1,0,0,0,0,0,0,0,10.01,1.32,99.32,1263
primary,0,0,1,0,0,0,1246,1,0,2.6179938,0,0,0,0,0,12,0,99,1264
primary,0,0,1.2,0,0,0,1247,1,0,2.6179938,0,0,0,0,0,12,0,99,1265
primary,0.01,0.01,0.01,0,0,0,1275,1,0,0,0,0,0,0,0,12,1.32,99.32,1293
primary,0.01,0.01,0.01,0,0,0,1276,1,0,0,0,0,0,0,0,10.03,1.34,99.34,1294
