ID,LightParamID,Time,DirectColor,AmbientColor,SkyTopColor,SkyMiddleColor,SkyBand1Color,SkyBand2Color,SkySmogColor,SkyFogColor,SunColor,CloudSunColor,CloudEmissiveColor,CloudLayer1AmbientColor,CloudLayer2AmbientColor,OceanCloseColor,OceanFarColor,RiverCloseColor,RiverFarColor,ShadowOpacity,FogEnd,FogScaler,FogDensity,FogHeight,FogHeightScaler,FogHeightDensity,FogZScalar,MainFogStartDist,MainFogEndDist,SunFogAngle,CloudDensity,ColorGradingFileDataID,DarkerColorGradingFileDataID,HorizonAmbientColor,GroundAmbientColor,EndFogColor,EndFogColorDistance,FogStartOffset,SunFogColor,SunFogStrength,FogHeightColor,EndFogHeightColor,Field_10_0_0_44649_042,Field_12_0_0_63854_043,Field_1_60_1_69876_045,Field_1_60_1_69876_046,Field_1_60_1_69876_047,Field_1_60_1_69876_048,Field_1_60_1_69876_049,Field_1_60_1_69876_050,Field_1_60_1_69876_051,Field_1_60_1_69876_052,Field_1_60_1_69876_053,Field_1_60_1_69876_054,Field_1_60_1_69876_055,Field_1_60_1_69876_056,Field_1_60_1_69876_057,Field_1_60_1_69876_058,Field_1_60_1_69876_059,FogHeightCoefficients[0],FogHeightCoefficients[1],FogHeightCoefficients[2],FogHeightCoefficients[3],MainFogCoefficients[0],MainFogCoefficients[1],MainFogCoefficients[2],MainFogCoefficients[3],HeightDensityFogCoeff[0],HeightDensityFogCoeff[1],HeightDensityFogCoeff[2],HeightDensityFogCoeff[3]
34618,2919,2040,1907997,1977182,1,15,591887,527386,525844,197382,3552822,16766112,0,3024957,0,3754318,728879,2572860,2374204,7237230,18000,0.1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
34620,2919,2280,1907997,1977182,1,15,591887,527386,525844,197382,3552822,16766112,0,2894136,0,4802634,1056818,2572860,2374204,7237230,18000,0.1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
34621,2919,2460,1907997,1977182,1,15,591887,527386,525844,197382,3552822,658713,0,996209,0,5589063,1253684,1719326,3165520,6052956,18000,0.1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
34622,2919,2520,1907997,1977182,1,15,591887,527386,525844,197382,3552822,658713,0,996209,6115448,5916742,1385013,1719326,3165520,6052956,18000,0.1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
34623,2919,2640,1907997,1977182,1,15,591887,527386,525844,197382,3552822,658713,0,996209,5065584,2178607,3096,1719326,3165520,6052956,18000,0.1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
37963,3478,0,9659412,3944448,0,0,0,0,0,2041639,0,0,0,0,0,0,0,0,0,5789784,1800,-0.1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42305,378,0,4351366,925236,1981772,3500936,3567758,3699085,861477,1387070,5996702,5401211,0,4220285,0,2635575,1387070,1856070,861477,4351366,15000,-0.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42306,378,1440,4351366,2436930,1981772,3500936,3567758,3699085,2445398,2700864,5996702,5401211,0,4220285,0,3688006,2700864,3843984,2448476,4351366,15000,-0.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42307,378,2870,4351366,925236,1981772,3500936,3567758,3699085,861477,1387070,5996702,5401211,0,4220285,0,2635575,1387070,1856070,861477,4351366,15000.001,-0.90000004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42308,389,0,3493765,17010,0,5425,11590,23160,7740,530988,16510942,4351109,2632232,10048,12875,2443601,1717051,2443601,1717051,4079166,10000,0.1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42309,389,360,3296125,17010,0,5425,11590,23160,7740,7740,16774104,4351109,2763562,12875,12875,3697527,2310473,3697527,2308681,5066061,10000,-0.25,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42310,389,540,9916990,2182514,2588,2833230,5065537,5925214,7164480,2376795,16762988,10446147,2894892,2580602,999004,3697784,2574674,3697784,2572370,5066061,10000,-0.075,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42311,389,600,12211241,2969970,3366,3754072,6772287,7892821,9528130,3232102,16759368,12543276,11218692,3502218,1393506,3763320,2706261,3763320,2703957,5066061,10000,-0.016666666,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42312,389,690,15554570,4085618,4917,5200743,9397821,10909512,13205061,4416886,16753938,15623691,11939585,4818850,1919339,3763577,2838618,3763577,2836058,5066061,10000,0.07083333,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42313,389,720,16734720,4479602,5434,5726829,8350807,11958852,16741446,4877436,16752128,16738048,12267520,5279915,2116719,3763577,2904412,3763577,2901852,5066061,10000,0.1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42314,389,750,15031814,4414066,5950,5596274,7369330,10582872,14450274,5272710,16774104,16739337,11878681,5541798,2248305,3763834,2970206,3763834,2967646,5000268,12500,0.2,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42315,389,780,13329164,4414066,6724,5531513,6388109,9272942,12159102,5733776,16774104,16741140,11555635,5869217,2445428,3763834,3036255,3763834,3033439,5000268,15000,0.3,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42316,389,840,9989657,4414067,8270,5467013,6717076,7113119,7577272,6656166,16774104,16744233,10844006,6458775,2774138,3829370,3168099,3829370,3165283,5000268,20000,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42317,389,900,10252313,4348788,9816,5468305,7046299,7704740,8102071,6656425,16774105,16747582,10197915,7113613,3103104,3829627,3168099,3829627,3165540,4934475,19700,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42318,389,1440,12814368,4087931,23477,5414399,10206176,13489115,13089205,6921165,16775134,16777215,3747361,12811826,6390455,4027520,3432043,4027520,3627377,4737096,17000,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42319,389,1980,10252313,6706251,5974,2116215,3628672,3760013,2452169,4348801,16774105,13093351,6841442,7752204,6184071,3829627,3168099,3829627,3363683,3618615,17000,0.35,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42320,389,2040,9989657,6967878,3915,1786217,2905205,2642564,7169158,3360610,16774104,12698596,7170665,7226376,6117506,3829627,3168099,3829627,3363682,3487029,13916.666,0.3333335,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42321,389,2100,13328652,7295297,1856,1390681,2247275,1590652,11886403,2372420,16774104,12303841,7565681,6635012,6116477,3763834,2838362,3763834,3363424,3355443,10833.333,0.316667,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42322,389,2130,14965254,7426110,1083,1258578,1852774,5716030,14244898,1714745,16774104,12106464,12079416,6372354,6115962,3763834,2706518,3763834,3297887,3355443,10416.666,0.30833352,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42323,389,2140,15554564,7491645,569,1192527,1721188,7156777,15096598,1451830,16762512,12040672,13584165,6306561,6115705,3763834,2640468,3763834,3297887,3289650,10277.778,0.3055557,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42324,389,2160,16733184,7622716,54,1060682,8266752,10038272,16734720,1057071,16739584,11909087,16724480,6109440,6115448,3763834,2574417,3763834,3297887,3289650,10000,0.3,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42325,389,2220,3296125,6311236,27,862789,5906959,8006153,16726784,2632752,16678941,11909087,13972745,11362586,5065584,3763577,2310473,3763577,3297629,3355443,10000,0.291667,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42326,389,2280,3296125,5065549,0,665153,3547167,5974291,16718848,2107182,16618810,11909087,11221267,16747318,4081257,3763577,2244423,3763577,3297628,3487029,10000,0.28333363,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42327,389,2340,3296125,3819862,0,533053,1187376,3942430,10692608,1581612,16623959,5991569,8470046,4207923,3031393,3697784,2178630,3697784,2770257,3618615,10000,0.2750002,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42328,389,2360,3296125,3426393,0,467004,1056562,3483942,7090477,1384492,16559969,3953526,7485983,6450,2703199,3697784,2178630,3697784,2572621,3684408,10000,0.27222243,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42329,389,2400,3296125,2508383,0,335161,795191,2632503,17800,1056043,16563573,8514,5452577,6707,2047066,3697784,2112837,3697784,2242886,3750201,10000,0.26666683,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42330,389,2460,3296125,1262696,0,137525,403262,1322577,16510,530473,16503186,469322,2500901,6964,997202,3697527,2046787,3697527,2177092,3881787,10000,0.2583334,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42331,389,2520,3296125,17010,0,5425,11590,12908,15221,5160,16508593,1061202,2500901,7478,12875,3697527,1980994,3697527,2111299,4079166,10000,0.25,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42332,390,0,3493765,17010,0,5425,11590,23160,7740,530988,16510942,4351109,2632232,10048,12875,2443601,1717051,2443601,1717051,4079166,10000,0.1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42333,390,360,3296125,17010,0,5425,11590,23160,7740,7740,16774104,4351109,2763562,12875,12875,3697527,2310473,3697527,2308681,5066061,10000,-0.25,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42334,390,540,9916990,2182514,2588,2833230,5065537,5925214,7164480,2376795,16762988,10446147,2894892,2580602,999004,3697784,2574674,3697784,2572370,5066061,10000,-0.075,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42335,390,600,12211241,2969970,3366,3754072,6772287,7892821,9528130,3232102,16759368,12543276,11218692,3502218,1393506,3763320,2706261,3763320,2703957,5066061,10000,-0.016666666,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42336,390,690,15554570,4085618,4917,5200743,9397821,10909512,13205061,4416886,16753938,15623691,11939585,4818850,1919339,3763577,2838618,3763577,2836058,5066061,10000,0.07083333,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42337,390,720,16734720,4479602,5434,5726829,8350807,11958852,16741446,4877436,16752128,16738048,12267520,5279915,2116719,3763577,2904412,3763577,2901852,5066061,10000,0.1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42338,390,750,15031814,4414066,5950,5596274,7369330,10582872,14450274,5272710,16774104,16739337,11878681,5541798,2248305,3763834,2970206,3763834,2967646,5000268,12500,0.2,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42339,390,780,13329164,4414066,6724,5531513,6388109,9272942,12159102,5733776,16774104,16741140,11555635,5869217,2445428,3763834,3036255,3763834,3033439,5000268,15000,0.3,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42340,390,840,9989657,4414067,8270,5467013,6717076,7113119,7577272,6656166,16774104,16744233,10844006,6458775,2774138,3829370,3168099,3829370,3165283,5000268,20000,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42341,390,900,10252313,4348788,9816,5468305,7046299,7704740,8102071,6656425,16774105,16747582,10197915,7113613,3103104,3829627,3168099,3829627,3165540,4934475,19700,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42342,390,1440,12814368,4087931,23477,5414399,10206176,13489115,13089205,6921165,16775134,16777215,3747361,12811826,6390455,4027520,3432043,4027520,3627377,4737096,17000,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42343,390,1980,10252313,6706251,5974,2116215,3628672,3760013,2452169,4348801,16774105,13093351,6841442,7752204,6184071,3829627,3168099,3829627,3363683,3618615,17000,0.35,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42344,390,2040,9989657,6967878,3915,1786217,2905205,2642564,7169158,3360610,16774104,12698596,7170665,7226376,6117506,3829627,3168099,3829627,3363682,3487029,13916.666,0.3333335,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42345,390,2100,13328652,7295297,1856,1390681,2247275,1590652,11886403,2372420,16774104,12303841,7565681,6635012,6116477,3763834,2838362,3763834,3363424,3355443,10833.333,0.316667,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42346,390,2130,14965254,7426110,1083,1258578,1852774,5716030,14244898,1714745,16774104,12106464,12079416,6372354,6115962,3763834,2706518,3763834,3297887,3355443,10416.666,0.30833352,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42347,390,2140,15554564,7491645,569,1192527,1721188,7156777,15096598,1451830,16762512,12040672,13584165,6306561,6115705,3763834,2640468,3763834,3297887,3289650,10277.778,0.3055557,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42348,390,2160,16733184,7622716,54,1060682,8266752,10038272,16734720,1057071,16739584,11909087,16724480,6109440,6115448,3763834,2574417,3763834,3297887,3289650,10000,0.3,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42349,390,2220,3296125,6311236,27,862789,5906959,8006153,16726784,2632752,16678941,11909087,13972745,11362586,5065584,3763577,2310473,3763577,3297629,3355443,10000,0.291667,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42350,390,2280,3296125,5065549,0,665153,3547167,5974291,16718848,2107182,16618810,11909087,11221267,16747318,4081257,3763577,2244423,3763577,3297628,3487029,10000,0.28333363,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42351,390,2340,3296125,3819862,0,533053,1187376,3942430,10692608,1581612,16623959,5991569,8470046,4207923,3031393,3697784,2178630,3697784,2770257,3618615,10000,0.2750002,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42352,390,2360,3296125,3426393,0,467004,1056562,3483942,7090477,1384492,16559969,3953526,7485983,6450,2703199,3697784,2178630,3697784,2572621,3684408,10000,0.27222243,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42353,390,2400,3296125,2508383,0,335161,795191,2632503,17800,1056043,16563573,8514,5452577,6707,2047066,3697784,2112837,3697784,2242886,3750201,10000,0.26666683,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
42354,390,2460,3296125,1262696,0,137525,403262,1322577,16510,530473,16503186,469322,2500901,6964,997202,3697527,2046787,3697527,2177092,3881787,10000,0.2583334,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,1.5,0,1,1,1,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0
