ID,SpellID,ChrUpgradeBucketID
2549,190899,1006
2550,190900,1006
2551,51514,700
2552,187874,699
2553,187878,699
2554,195592,699
2555,333964,699
2556,198300,699
2557,188196,301
2558,228935,301
2559,318044,301
2560,60103,152
2561,73899,151
2562,201845,151
2563,17364,151
2564,188389,150
2565,318038,149
2566,334294,149
2567,33757,149
2568,334302,149
2569,334033,152
2570,343725,143
2571,317234,36
2572,316239,35
2573,343017,863
2574,344865,863
2575,344859,864
2576,193840,865
2577,222031,865
2578,199547,865
2579,197125,865
2580,320413,865
2581,343206,865
2582,198030,866
2583,320415,866
2584,200685,867
2585,199552,867
2586,320402,867
2587,320645,867
2588,200166,868
2589,162264,868
2590,247121,868
2591,201453,868
2592,191428,868
2593,195449,868
2594,320422,868
2595,320421,868
2596,320645,868
2597,227518,868
2598,201428,868
2599,201427,868
2600,201429,868
2601,210155,868
2602,210153,868
2603,210152,868
2604,200685,869
2605,199552,869
2606,320402,869
2607,344862,865
