ID,Name,Texture[0],Texture[1],Texture[2],Texture[3],Texture[4],Texture[5],Flags,SoundBank,SoundID,SpellID,MaxDarkenDepth,FogDarkenIntensity,AmbDarkenIntensity,DirDarkenIntensity,LightID,ParticleScale,ParticleMovement,ParticleTexSlots,MaterialID,MinimapStaticCol,FrameCountTexture[0],FrameCountTexture[1],FrameCountTexture[2],FrameCountTexture[3],FrameCountTexture[4],FrameCountTexture[5],Color[0],Color[1],Color[2],Float[0],Float[1],Float[2],Float[3],Float[4],Float[5],Float[6],Float[7],Float[8],Float[9],Float[10],Float[11],Float[12],Float[13],Float[14],Float[15],Float[16],Float[17],Float[18],Float[19],Float[20],Float[21],Float[22],Float[23],Float[24],Float[25],Float[26],Float[27],Float[28],Float[29],Float[30],Float[31],Float[32],Float[33],Float[34],Float[35],Float[36],Float[37],Int[0],Int[1],Int[2],Int[3],Coefficient[0],Coefficient[1],Coefficient[2],Coefficient[3]
11,Fast Magma,XTextures\lava\lava.%d.blp,XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,120,2,3052,0,0,0,0,0,7,4,1,1,2,-3119104,30,1,1,1,1,1,0,0,0,0.025,0,0.025,0,0.55,0.45,0.35,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
12,Fast Slime,XTextures\slime\slime.%d.blp,XTextures\slime\Slime0,XTextures\slime\Slime1,XTextures\slime\Slime2,,,322,3,3880,0,0,0,0,0,6,0,0,0,2,-11879876,30,1,1,1,1,1,0,0,0,0.025,0,0.025,0,0.55,0.45,0.35,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
13,WMO Water,XTextures\river\lake_a.%d.blp,proceduralWmoWaterTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1111,0,0,0,0,0,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,0,1,0,1,0.25,0.5,270,0.5,1,1,0.2,0.7,0.2,0.1,1,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,0,0,0,0,0,0
14,WMO Ocean,XTextures\ocean\ocean_h.%d.blp,proceduralOceanDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,527,1,1114,0,30,0.5,0.5,0.25,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,0,0.25,180,1,0.25,0.625,270,0.5,1,0.25,0.2,0.7,0.2,0.1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,0,0,0,0,0,0
15,Green Lava,XTextures\LavaGreen\lavagreen.%d.blp,XTextures\GreenLava\LavaGreen0,XTextures\GreenLava\LavaGreen1,XTextures\GreenLava\LavaGreen2,,,120,2,3072,0,0,0,0,0,6,4,1,1,2,-1620520960,30,1,1,1,1,1,0,0,0,0.025,0,0.15,0,2.5,1.5,1.3,0,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6867968,0,0,0,0,0
17,WMO Water - Interior,XTextures\river\lake_a.%d.blp,proceduralWmoWaterTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1111,0,0,0,0,0,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,0,1,0,1,0.25,0.5,270,1,0.5,0.5,0.2,0.7,0.2,0.1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,0,0,0,0,0,0
19,WMO Magma,XTextures\lava\lava.%d.blp,XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,120,2,3072,0,0,0,0,0,7,4,1,1,2,-3119104,30,1,1,1,1,1,0,0,0,0.025,0.1,0.1,270,2.2,1.8,1.4,270,270,270,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
20,WMO Slime,xtextures\slime\slime2.blp,XTextures\slime\Slime0,XTextures\slime\Slime1,xtextures\slime\slime2.blp,,,322,3,3880,0,0,0,0,0,6,0,0,0,2,-11879876,0,1,1,0,1,1,0,0,0,0.025,0.1,0.1,270,2.2,1.8,1.4,270,270,270,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059127808,0.99850464,0.003479004,0.0128479
21,Naxxramas - Slime,XTextures\slime\slime.%d.blp,XTextures\slime\Slime0,XTextures\slime\Slime1,XTextures\slime\Slime2,,,322,3,3880,28801,0,0,0,0,6,0,0,0,2,-11879876,30,1,1,1,1,1,0,0,0,0.025,0,0.025,0,0.55,0.45,0.35,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
1174,10FX - Generic - Lava - Solid - Exterior - (0.5 Depth),xtextures\10_lava\fx_lava_shallow.blp,xtextures\10_lava\fx_lava_deep.blp,xtextures\10_lava\fx_lava_specular.blp,xtextures\10_lava\fx_lava_shore.blp,xtextures\10_lava\fx_lava_emissive.blp,xtextures\azerite\azeriteanim.%d.blp,123,2,238384,0,0,0,0,0,5614,4,2,4,13,-50688,0,0,0,0,0,30,0,0,0,0.3,-0.1,-0.07,0.25,1,-0.006,0.2,0.1,0.01,0.2,0.01,2,18,0.8,0,0.7,0.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50,25,0.017039299,-0.10549927,1.5112,-0.8939514
1177,10FX - Generic - Lava - Molten - Exterior - (0.5 Depth),xtextures\10_lava\fx_lava_shallow_molten.blp,xtextures\10_lava\fx_lava_deep_molten.blp,xtextures\10_lava\fx_lava_specular.blp,xtextures\10_lava\fx_lava_shore_molten.blp,xtextures\10_lava\fx_lava_emissive_molten.blp,xtextures\azerite\azeriteanim.%d.blp,603,2,238384,0,0,0,0,0,5614,4,1,4,13,-50688,0,0,0,0,0,30,0,0,0,0.34,-0.1,0.03,0.45,1,0.009,0.45,0.1,-0.01,0.3,0.009,2.6,10,1,4.5,1.2,0.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,0.040182114,-0.8513031,3.6690674,-2.3477173
1235,PBRWater Test 0,xtextures\12_water\12fx_water_foam_%d.blp,xtextures\12_water\12fx_water_foam_%d.blp,xtextures\12_water\12fx_water_foam_%d.blp,xtextures\12_water\12fx_water_shore_%d.blp,,,11,0,1111,0,0,0,0,0,0,1,0,0,130,-15556395,3,3,3,2,1,1,-4332305,-65509,-193193,2,0.9,4,1,1,0.5,0.1,0,1,0.2,0,0,1.3,0.01,0,0,2.5,0.005,1,0,0,0.3,0,0,0,1,0.02,0,0.02,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0.0059127808,0.99850464,0.003479004,0.0128479
1237,PBRWater Test 1,xtextures\12_water\12fx_water_foam_%d.blp,xtextures\12_water\12fx_water_foam_%d.blp,xtextures\12_water\12fx_water_foam_%d.blp,xtextures\12_water\12fx_water_shore_%d.blp,,,11,0,1111,0,0,0,0,0,0,1,0,0,130,-15556395,3,3,3,2,1,1,-1246212,-14436639,-13676952,1,0.9,4,1,1,0,0.1,0.8,1,0.2,1,0,5,0.01,1,0,10,0.005,1,0,0,0.3,0,1,0.1,0.296,0.02,0,0.001,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0059127808,0.99850464,0.003479004,0.0128479
1240,PBRWater - Generic - Lake,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-10635564,-7880961,-13990463,0.3,0.5,4,20,0.5,1,80,0.826,26,1,0.01,0.35,36,1.6,0.015,1.1,20,18,16,0.001,1.1,0.03,0.001,-0.146,0,0.5,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1250,PBRWater - Generic - Ocean,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,5135,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-4990010,-11353656,-13406852,0.25,0.75,6,4,6,2,200,0.639,22,15,0.003,0.368,22.5,1.5,0.015,0.78,5,12,20,-0.02,1,0.025,0.001,-0.146,0,0.81,0.75,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063285828,0.08508301,2.680603,-1.7512817
1251,PBRWater - SkyElfLand - Lake,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-3351629,-8986629,-11757373,0.4,0.9,7.85,50,1,0.951,60,0.774,26,1,0.01,0.338,36,2,0.015,1.2,12,12,12,0.02,1,0.03,0.001,-0.146,-0.026,0.75,0.677,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.006258011,0.29232788,2.1227417,-1.4002075
1267,10FX - Generic - Lava - Molten - Exterior - (0.3 Depth),xtextures\10_lava\fx_lava_shallow_molten.blp,xtextures\10_lava\fx_lava_deep_molten.blp,xtextures\10_lava\fx_lava_specular.blp,xtextures\10_lava\fx_lava_shore_molten.blp,xtextures\10_lava\fx_lava_emissive_molten.blp,xtextures\azerite\azeriteanim.%d.blp,603,2,238384,0,0,0,0,0,5614,4,1,4,13,-50688,0,0,0,0,0,30,0,0,0,0.34,-0.1,0.03,0.45,1,0.009,0.45,0.1,-0.01,0.3,0.009,1,10,1,4.5,1.2,0.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,-0.0014753342,0.14608002,0.42211914,-0.32822418
1268,12FX - Fel - Generic - Bright - Shallow,xtextures\fel\feldeep.blp,xtextures\fel\felshallow.blp,xtextures\fel\felspecular.blp,xtextures\fel\felshore_smooth.blp,xtextures\fel\felemissive.blp,xtextures\fel\felanim_%d.blp,104,2,347759,0,0,0,0,20,7430,4,2,4,13,-14233600,0,0,0,0,0,30,0,0,0,0.25,0,-0.05,0.5,0,0.02,0.55,90,0.01,0.25,0.2,0.8,2,0.25,10,1.5,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0074691772,0.94750977,0.08239746,-0.016326904
1269,12FX - Fel - Generic - Bright - Deep,xtextures\fel\feldeep.blp,xtextures\fel\felshallow.blp,xtextures\fel\felspecular.blp,xtextures\fel\felshore_smooth.blp,xtextures\fel\felemissive.blp,xtextures\fel\felanim_%d.blp,104,2,347759,0,0,0,0,20,7430,4,2,4,13,-14233600,0,0,0,0,0,30,0,0,0,0.25,0,-0.05,0.5,0,0.02,0.55,90,0.01,0.25,0.2,1,2,0.2,1.6,1.5,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0074691772,0.94750977,0.08239746,-0.016326904
1279,PBRWater - SkyElfLand - River,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-3351629,-8986629,-11757373,0.4,0.9,7.85,50,1,0.95,60,0.774,26,1,0.01,0.1,36,0.5,0.015,1.2,12,12,12,0.02,1,0.03,0.001,-0.146,-0.026,0.75,0.677,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0059127808,0.99850464,0.003479004,0.0128479
1284,8SWA Tar Pits - (C60),xtextures\fel\feldeeptar02.blp,xtextures\fel\felshallowtar02.blp,xtextures\fel\felspecular.blp,xtextures\fel\felshoredark.blp,xtextures\fel\felemissivetar.blp,xtextures\tar\taranim_%d.blp,126,2,359789,0,0,0,0,0,3478,3,1,0,13,-15921386,0,0,0,0,0,30,0,0,0,1,90,-0.05,0.5,0,0.05,1,90,0.015,1,0.25,0.5,1.25,0.2,1,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059127808,0.99850464,0.003479004,0.0128479
1287,1.60 - Darkspear Islands - Ocean,XTextures\ocean\ocean_h.%d.blp,proceduralOceanDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,1,1114,1286850,30,0.5,0.5,0.25,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,0,1,0,1,1,2.5,0,0.5,1,0.25,0.2,0.7,0.2,0.1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,0,0,0.0059127808,0.99850464,0.003479004,0.0128479
1288,PBRWater - Generic - River,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,15,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-10635564,-7880961,-13990463,0.3,0.5,4,20,0.5,1,80,0.826,26,1.2,0.01,0,36,0.444,0.015,1.1,20,18,16,0.001,1.1,0.03,0.001,-0.146,0.03,0.35,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1290,PBRWater - WMO - Interior,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-3351629,-7880961,-13990463,0.5,0.5,4,20,0.5,0.5,80,0.82,50,1.8,0.01,0.5,36,1.6,0.015,1.1,20,18,16,0.001,1.1,0.03,0.01,-0.146,0,0.4,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1295,10FX - Iron Forge - Lava - Molten - (1.0 Depth),xtextures\10_lava\fx_lava_shallow_molten.blp,xtextures\10_lava\fx_lava_deep_molten.blp,xtextures\10_lava\fx_lava_specular.blp,xtextures\10_lava\fx_lava_shore_molten.blp,xtextures\10_lava\fx_lava_emissive_molten.blp,xtextures\azerite\azeriteanim.%d.blp,59,2,238384,0,0,0,0,0,5614,4,1,4,13,-50688,0,0,0,0,0,30,0,0,0,0.34,-0.1,0.03,0.45,1,0.009,0.45,0.1,-0.01,0.3,0.009,2.6,10,1,4.5,1.2,0.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,25,0.067653656,-1.4780884,6.4346924,-4.15979
1296,PBRWater - Darkspear Islands - Ocean,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,5135,0,1114,1286850,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-4990010,-11353656,-13406852,0.25,0.75,6,4,6,2,200,0.639,22,15,0.003,0.368,22.5,1.5,0.015,0.78,5,12,20,-0.02,1,0.025,0.001,-0.146,0,0.81,0.75,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063285828,0.08508301,2.680603,-1.7512817
1297,PBRWater - Generic - Swamp - Green,xtextures\12_water\swamp\c60fx_water_swamp_wave.blp,xtextures\12_water\swamp\c60fx_water_swamp_wave.blp,xtextures\12_water\swamp\c60fx_water_swamp_wave.blp,xtextures\12_water\swamp\c60fx_water_swamp_rim.blp,xtextures\12_water\swamp\c60fx_water_swamp_depth.blp,xtextures\12_water\swamp\c60fx_water_swamp_river.blp,4111,0,359725,0,0,0,0,0,0,1,0,0,130,-5727204,0,0,0,0,0,0,-4871041,-7693988,-10259395,2.15,0.5,2.139,50,1,1.6,3,0,40,2.5,0.003,0,34,4,0.002,0.6,80,75,70,0,1,0.03,0.001,-0.146,0.03,0.4,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1306,PBRWater - Winterspring - Hotspring,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-6564107,0,0,0,0,0,0,-9070872,-11032065,-10115621,0.15,0.629,0.335,50,0.557,4,20,1,26,15,0.01,0,36,1.6,0.005,1.5,16,20,15,0.001,1,0.03,0.001,-0.146,0.03,0.4,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1307,PBRWater - Stratholm - Lake,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-3351629,-9917063,-13801613,0.449,0.5,2.656,1,0.419,2,1.5,0.6,26,1,0.01,0.6,36,1.6,0.015,1.6,16,20,15,0.001,1,0.03,0.001,0.014,0.005,0.35,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1313,PBRWater - Generic - Swamp - Brown,xtextures\12_water\swamp\c60fx_water_swamp_wave_dull.blp,xtextures\12_water\swamp\c60fx_water_swamp_wave_dull.blp,xtextures\12_water\swamp\c60fx_water_swamp_wave_dull.blp,xtextures\12_water\swamp\c60fx_water_swamp_rim_dull.blp,xtextures\12_water\swamp\c60fx_water_swamp_depth_dull.blp,xtextures\12_water\swamp\c60fx_water_swamp_river.blp,4111,0,359725,0,0,0,0,0,0,1,0,0,130,-5076706,0,0,0,0,0,0,-4871041,-7693988,-10259395,2.15,0.5,2.139,50,1,1.6,3,0,40,2,0.003,0,34,2.6,0.002,0.6,80,75,70,0,1,0.03,0.001,-0.146,0.03,0.4,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
1319,PBRWater - Generic - SpringWater - Forest,xtextures\12_water\elwynn\12fx_water_elwynn_foam_high.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_mid.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_low.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_rim.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_depth.blp,xtextures\12_water\elwynn\12fx_water_elwynn_foam_river.blp,4111,0,1111,0,0,0,0,0,0,1,0,0,130,-4786955,0,0,0,0,0,0,-10635564,-7880961,-13990463,0.16,0.62,2.5,50,20,1,100,0.5,40,2,0.01,0.35,36,1,0.015,1.1,16,20,15,0.001,1.1,0.03,0.001,-0.146,0,0.27,0.25,0.03,0.5,0.013,1,0,0,0,0,0,0,0,0,0,0,0,0.0063819885,0.16485596,2.585144,-1.7349548
