ID,SpellID,ModalNextSpell,SpellClassSet,SpellClassMask[0],SpellClassMask[1],SpellClassMask[2],SpellClassMask[3]
43596,2098,0,8,8519680,0,0,0
43597,2600,0,13,0,0,0,0
43599,1014,0,5,1024,0,0,0
43600,1062,0,7,512,0,0,0
43601,1064,0,11,256,0,0,0
43602,2589,0,8,8388612,0,0,0
43603,2590,0,8,8388612,0,0,0
43604,2023,0,13,0,0,0,0
43605,2024,0,13,0,0,0,0
43606,2565,0,4,4096,0,0,0
43607,3029,0,7,0,0,262144,0
43608,1449,0,3,4096,0,0,0
43609,1495,0,9,2,0,0,0
43610,1680,0,4,0,4,0,0
43611,1757,0,8,8388610,0,0,0
43612,1758,0,8,8388610,0,0,0
43613,2591,0,8,8388612,0,0,0
43614,1455,0,5,262144,0,0,0
43615,1725,0,8,4096,0,0,0
43616,1160,0,4,131072,0,0,0
43617,988,0,6,0,1,0,0
43618,990,0,3,1073741824,0,0,0
43619,1786,0,8,4194304,0,0,0
43620,7386,0,4,16384,0,0,0
43621,1787,0,8,4194304,0,0,0
43622,699,0,5,8,0,0,0
43623,740,0,7,128,0,0,0
43624,1784,0,8,4194304,0,0,0
43625,1066,0,7,536870912,0,0,0
43626,2819,0,8,65536,524288,0,0
43627,1785,0,8,4194304,0,0,0
43628,1706,0,6,-2147483648,4096,1025,0
43629,976,0,6,256,0,1024,0
43630,1243,0,6,8,0,1024,0
43631,1535,0,11,134217728,0,0,0
43633,1499,0,9,128,0,0,0
43635,2094,0,8,16777216,0,0,0
43636,1130,0,9,1024,0,0,0
43637,1245,0,6,8,0,1024,0
43638,1463,0,3,32768,0,8,0
43639,1106,0,5,1,0,0,0
43640,1461,0,3,1024,0,8,0
43641,1058,0,7,16,0,0,0
43642,1464,0,4,2097152,0,0,0
43643,1777,0,8,8,0,0,0
43644,2006,0,6,1073741824,0,0,0
43646,1608,0,4,64,0,0,0
43647,1022,0,10,128,0,0,0
43648,1038,0,10,256,0,0,0
43649,1098,0,5,2048,0,0,0
43650,996,0,6,512,0,0,0
43651,970,0,6,32768,0,1024,0
43652,1715,0,4,2,0,0,0
43653,1543,0,9,0,32768,0,0
43654,1120,0,5,16384,0,0,0
43655,1152,0,10,4096,0,0,0
43656,2908,0,7,16777216,131072,8192,0
43657,2912,0,7,4,0,0,0
43658,3593,0,13,0,0,0,0
43661,2941,0,5,4,0,0,0
43662,2944,0,6,33554432,4096,1024,0
43663,8423,0,3,4,0,0,0
43664,2120,0,3,4,0,0,0
43665,2138,0,3,2,0,0,0
43666,2983,0,8,64,0,0,0
43668,2855,0,3,-2147483648,0,0,0
43669,2139,0,3,16384,0,0,0
43670,3747,0,6,1,0,1024,0
43671,1759,0,8,8388610,0,0,0
43672,2973,0,9,2,0,65536,0
43673,1126,0,7,262144,0,0,0
43674,1510,0,9,8192,0,0,0
43675,3043,75,9,32768,0,0,0
43676,3025,0,7,134217728,0,0,0
43678,3044,75,9,2048,0,0,0
43679,2818,0,8,65536,524288,0,0
43680,2974,0,9,64,0,0,0
43681,3355,0,9,8,0,0,0
43683,2367,0,13,0,0,0,0
43684,1752,0,8,8388610,0,0,0
43686,28769,0,13,0,0,0,0
43687,2643,75,9,4096,0,0,0
43689,2121,0,3,4,0,0,0
43690,2767,0,6,32768,0,1024,0
43691,1824,0,7,4096,0,0,0
43692,2823,0,8,65536,0,0,0
43693,2782,0,7,0,4194304,0,0
43694,2008,0,11,0,0,0,0
43695,2645,0,11,2048,0,0,0
43696,1949,0,5,64,0,0,0
43697,2457,0,4,8388608,8388608,0,0
43698,2362,0,5,1048576,0,0,0
43699,2054,0,6,1024,0,0,0
43700,2055,0,6,1024,0,0,0
43701,1943,0,8,1048576,0,0,0
43703,2010,0,6,1073741824,0,0,0
43704,2800,0,10,32768,0,0,0
43705,1856,0,8,2048,0,0,0
43706,2824,0,8,65536,0,0,0
43707,1823,0,7,4096,0,0,0
43708,2484,0,11,536870912,0,32,0
43709,2090,0,7,16,0,0,0
43710,2137,0,3,2,0,0,0
43711,2893,0,7,0,4,0,0
43712,2637,0,7,16777216,131072,32768,0
43713,2096,0,6,67108864,-2147483648,0,0
43714,2947,0,5,8388608,0,0,0
43715,2948,0,3,16,0,0,0
43716,2050,0,6,262144,0,0,0
43717,2052,0,6,262144,0,0,0
43718,2070,0,8,128,0,0,0
43719,2091,0,7,16,0,0,0
43721,2053,0,6,262144,0,0,0
43722,2860,0,11,2,0,0,0
43723,2764,0,8,1,0,0,0
43724,2136,0,3,2,0,0,0
43725,8422,0,3,4,0,0,0
43726,1822,0,7,4096,0,0,0
43727,1833,0,8,1024,0,0,0
43728,1953,0,3,65536,0,0,0
43729,1857,0,8,2048,0,0,0
43730,3220,0,13,0,0,0,0
43731,3221,0,13,0,0,0,0
43732,3222,0,13,0,0,0,0
43733,3223,0,13,0,0,0,0
43734,3700,0,5,16777216,0,0,0
43735,3158,0,13,0,0,0,0
43736,3409,0,8,16384,524288,0,0
43737,3627,0,7,16,0,0,0
43738,3698,0,5,16777216,0,0,0
43739,3219,0,13,0,0,0,0
43740,3561,0,3,-2147483648,0,0,0
43741,3157,0,13,0,0,0,0
43742,3606,0,11,1073741824,0,0,0
43743,3662,0,9,8388608,0,0,0
43744,3159,0,13,0,0,0,0
43745,3160,0,13,0,0,0,0
43746,3472,0,10,-2147483648,0,0,0
43747,9492,0,7,8388608,0,2097152,0
43748,3166,0,13,0,0,0,0
43749,3562,0,3,-2147483648,0,0,0
43750,3563,0,3,-2147483648,0,0,0
43751,3599,0,11,16,0,0,0
43752,3600,0,11,0,1,0,0
43753,3110,0,5,4096,0,0,0
43754,3111,0,9,8388608,0,0,0
43755,28770,0,13,0,0,0,0
43756,3167,0,13,0,0,0,0
43757,3169,0,13,0,0,0,0
43758,3674,75,9,128,134217728,0,0
43759,3168,0,13,0,0,0,0
43760,2458,0,4,8388608,0,0,0
43761,3680,0,13,0,0,0,0
43762,28758,0,9,0,0,0,0
43763,9490,0,7,8,0,0,0
43764,3565,0,3,-2147483648,0,0,0
43765,3552,0,3,1073741824,0,0,0
43766,3566,0,3,-2147483648,0,0,0
43767,3567,0,3,-2147483648,0,0,0
43768,3661,0,9,8388608,0,0,0
43769,3140,0,3,1,0,8,0
43770,5186,0,7,32,0,0,0
43771,3408,0,8,16384,0,0,0
43772,5308,0,4,536870912,0,0,0
43773,5504,0,3,1073741824,0,0,0
43774,5505,0,3,1073741824,0,0,0
43775,5506,0,3,1073741824,0,0,0
43776,4987,0,10,4096,0,0,0
43777,5138,0,5,16,0,0,0
43778,5187,0,7,32,0,0,0
43779,5188,0,7,32,0,0,0
43780,5185,0,7,32,0,0,0
43781,4042,0,13,0,0,0,0
43782,3161,0,13,0,0,0,0
43783,3162,0,13,0,0,0,0
43784,3163,0,13,0,0,0,0
43785,3164,0,13,0,0,0,0
43786,3699,0,5,16777216,0,0,0
43787,3165,0,13,0,0,0,0
43788,3716,0,5,33554432,0,0,0
43789,5723,0,5,65536,0,0,0
43790,6262,0,5,65536,0,0,0
43791,6263,0,5,65536,0,0,0
43792,5116,75,9,512,0,0,0
43793,5699,0,5,1048576,0,0,0
43794,6076,0,6,64,0,1024,0
43795,5384,0,9,256,0,0,0
43796,5221,0,7,32768,0,0,0
43797,6074,0,6,64,0,1024,0
43798,6075,0,6,64,0,1024,0
43799,5189,0,7,32,0,0,0
43800,6060,0,6,128,0,0,0
43801,5242,0,4,65536,0,0,0
43802,6064,0,6,1024,0,0,0
43803,5196,0,7,512,0,0,0
43804,6136,0,3,1048576,0,0,0
43805,6117,0,3,268435456,0,0,0
43806,25744,0,4,1,0,0,0
43807,5195,0,7,512,0,0,0
43808,5484,0,5,0,8,0,0
43809,6077,0,6,64,0,1024,0
43810,5730,0,11,8,0,0,0
43811,4941,0,13,0,0,0,0
43812,9889,0,7,32,0,0,0
43813,5421,0,7,0,-2147483648,0,0
43814,5672,0,11,8192,0,0,0
43815,5143,0,3,2048,0,0,0
43816,5144,0,3,2048,0,0,0
43817,5201,0,7,0,0,262144,0
43818,5118,0,9,2097152,0,0,0
43819,6063,0,6,1024,0,0,0
43820,5394,0,11,524288,0,0,0
43821,9888,0,7,32,0,0,0
43822,5180,0,7,1,0,0,0
43823,5215,0,7,16384,0,0,0
43824,5229,0,7,524288,0,0,0
43825,5232,0,7,262144,0,0,0
43826,5176,0,7,1,0,0,0
43827,5177,0,7,1,0,0,0
43828,5178,0,7,1,0,0,0
43829,5179,0,7,1,0,0,0
43830,5211,0,7,8192,0,0,0
43831,6222,0,5,2,0,0,0
43832,7232,0,13,0,0,0,0
43833,5589,0,10,2048,0,0,0
43835,6127,0,3,1073741824,0,0,0
43836,6554,0,4,8,0,0,0
43837,5760,0,8,32768,524288,0,0
43838,5171,0,8,262144,0,0,0
43839,5588,0,10,2048,0,0,0
43840,7254,0,13,0,0,0,0
43841,7230,0,13,0,0,0,0
43842,7231,0,13,0,0,0,0
43843,6219,0,5,32,0,0,0
43844,6139,0,3,65536,0,0,0
43845,6129,0,3,1073741824,0,0,0
43846,5761,0,8,32768,0,0,0
43847,7236,0,13,0,0,0,0
43848,7251,0,13,0,0,0,0
43849,7252,0,13,0,0,0,0
43850,7253,0,13,0,0,0,0
43851,6940,0,10,8192,0,0,0
43852,7240,0,13,0,0,0,0
43853,9752,0,7,8388608,0,2097152,0
43854,6307,0,5,8388608,0,0,0
43855,7239,0,13,0,0,0,0
43856,8417,0,3,2048,0,0,0
43857,8416,0,3,2048,0,0,0
43858,5487,0,7,1073741824,0,0,0
43859,5234,0,7,262144,0,0,0
43860,5277,0,8,32,0,0,0
43861,5782,0,5,0,1024,0,0
43862,9747,0,7,8,0,0,0
43863,6546,0,4,32,0,0,0
43864,6131,0,3,64,0,0,0
43866,9750,0,7,64,0,0,0
43867,5145,0,3,2048,0,0,0
43868,6495,0,11,536870912,0,0,0
43869,6078,0,6,64,0,1024,0
43870,5246,0,4,262144,0,0,0
43872,6041,0,11,1,0,0,0
43873,7237,0,13,0,0,0,0
43874,6190,0,4,131072,0,0,0
43875,7238,0,13,0,0,0,0
43876,6141,0,3,524416,0,0,0
43877,6201,0,5,1048576,0,0,0
43878,5570,0,7,2097152,0,0,0
43879,6192,0,4,65536,0,0,0
43880,6065,0,6,1,0,1024,0
43881,5740,0,5,32,0,0,0
43882,5720,0,5,65536,0,0,0
43883,6202,0,5,1048576,0,0,0
43884,28539,0,9,0,0,0,0
43885,7294,0,10,8,0,32,0
43886,5676,0,5,256,0,0,0
43887,5677,0,11,16384,0,0,0
43888,6392,0,11,8,0,0,0
43889,7244,0,13,0,0,0,0
43890,7245,0,13,0,0,0,0
43891,7246,0,13,0,0,0,0
43892,6615,0,13,0,0,0,0
43893,6785,0,7,65536,0,0,0
43894,6548,0,4,32,0,0,0
43895,6371,0,11,8192,0,0,0
43896,6770,0,8,128,0,0,0
43897,8026,0,11,2097152,0,0,0
43898,6346,0,6,-2147483648,33558528,1024,0
43899,6783,0,7,16384,0,0,0
43900,6612,0,13,0,0,0,0
43901,6613,0,13,0,0,0,0
43902,6572,0,4,1024,0,0,0
43903,6547,0,4,32,0,0,0
43904,6363,0,11,16,0,0,0
43905,7234,0,13,0,0,0,0
43906,9745,0,7,2048,0,0,0
43907,6365,0,11,16,0,0,0
43908,6390,0,11,8,0,0,0
43909,6372,0,11,8192,0,0,0
43910,7384,0,4,4,0,0,0
43911,6391,0,11,8,0,0,0
43912,6774,0,8,262144,0,0,0
43913,6555,0,4,8,0,0,0
43914,6213,0,5,0,1024,0,0
43915,7178,0,13,0,0,0,0
43916,7233,0,13,0,0,0,0
43917,9512,0,13,0,0,0,0
43918,7128,0,6,2,0,1024,0
43919,7268,0,3,2097152,0,0,0
43920,7269,0,3,2097152,0,0,0
43921,8439,0,3,4096,0,0,0
43922,7270,0,3,2097152,0,0,0
43923,6760,0,8,8519680,0,0,0
43924,6756,0,7,262144,0,0,0
43925,6552,0,4,8,0,0,0
43926,6768,0,8,134217728,0,0,0
43927,6789,0,5,524288,0,0,0
43928,7301,0,3,34078720,0,0,0
43929,6364,0,11,16,0,0,0
43930,7241,0,13,0,0,0,0
43931,6660,0,9,1,0,0,0
43932,7247,0,13,0,0,0,0
43933,6205,0,5,32768,0,0,0
43934,6358,0,5,1073741824,268435456,0,0
43936,6223,0,5,2,0,0,0
43937,6143,0,3,256,0,8,0
43938,8495,0,3,32768,0,8,0
43939,6673,0,4,65536,0,0,0
43940,6778,0,7,32,0,0,0
43941,6780,0,7,1,0,0,0
43942,6761,0,8,8519680,0,0,0
43943,6762,0,8,8519680,0,0,0
43944,6343,0,4,128,0,0,0
43945,6217,0,5,1024,0,0,0
43946,12042,0,3,0,524288,8,0
43947,6512,0,13,0,0,0,0
43948,5675,0,11,524288,0,0,0
43949,6178,0,4,1,0,0,0
43950,6795,0,7,0,8,0,0
43951,7250,0,13,0,0,0,0
43952,6350,0,11,1073741824,0,0,0
43953,6351,0,11,1073741824,0,0,0
43954,6352,0,11,1073741824,0,0,0
43955,6353,0,5,0,128,0,0
43956,6215,0,5,0,1024,0,0
43957,6366,0,5,1048576,0,0,0
43958,6360,0,5,1073741824,0,0,0
43959,6375,0,11,524288,0,0,0
43960,6377,0,11,524288,0,0,0
43961,6809,0,7,2048,0,0,0
43962,7300,0,3,34078720,0,0,0
43963,28541,0,5,0,0,0,0
43964,7235,0,13,0,0,0,0
43965,6798,0,7,8192,0,0,0
43966,6800,0,7,32768,0,0,0
43967,1006,0,6,2,0,1024,0
43968,7922,0,4,16777216,0,0,0
43969,7321,0,3,1048576,0,0,0
43971,7648,0,5,2,0,0,0
43972,7641,0,5,1,0,0,0
43973,7870,0,5,1073741824,0,0,0
43974,25999,0,7,0,0,0,0
43975,8418,0,3,2097152,0,0,0
43976,7804,0,5,8388608,0,0,0
43977,992,0,6,32768,0,1024,0
43978,7373,0,4,2,0,0,0
43979,7805,0,5,8388608,0,0,0
43980,8498,0,11,134217728,0,0,0
43981,8949,0,7,4,0,0,0
43982,8052,0,11,268435456,0,0,0
43983,8413,0,3,2,0,0,0
43984,5857,0,5,64,0,0,0
43985,5599,0,10,128,0,0,0
43986,6807,0,7,2048,0,0,0
43987,8044,0,11,1048576,0,0,0
43988,8185,0,11,67108864,0,0,0
43989,7887,0,4,4,0,0,0
43990,7799,0,5,4096,0,0,0
43991,7800,0,5,4096,0,0,0
43992,7801,0,5,4096,0,0,0
43993,7802,0,5,4096,0,0,0
43994,8444,0,3,16,0,0,0
43995,8187,0,11,1073741828,0,0,0
43997,7402,0,4,134217728,0,0,0
43998,1032,0,10,64,0,32,0
43999,8972,0,7,2048,0,0,0
44000,8450,0,3,8192,0,8,0
44001,8951,0,7,4,0,0,0
44002,7844,0,13,0,0,0,0
44003,7302,0,3,34078720,0,0,0
44004,8012,0,11,0,2048,0,0
44005,8004,0,11,128,0,0,0
44006,8005,0,11,64,0,0,0
44007,7320,0,3,34078720,0,0,0
44008,8028,0,11,2097152,0,0,0
44009,168,0,3,34078720,0,0,0
44010,8029,0,11,2097152,0,0,0
44011,8010,0,11,128,0,0,0
44012,8955,0,7,16777216,131072,8192,0
44013,6066,0,6,1,0,1024,0
44014,7651,0,5,8,0,0,0
44015,1079,0,7,8388608,0,2097152,0
44016,8349,0,11,0,-2147221504,0,0
44017,7379,0,4,1024,0,0,0
44018,7400,0,4,134217728,0,0,0
44019,8037,0,11,16777216,0,0,0
44020,7816,0,5,8192,0,0,0
44022,8676,0,8,8389120,0,0,0
44023,8492,0,3,512,0,0,0
44024,8104,0,6,8192,0,0,0
44025,8455,0,3,8192,0,8,0
44026,8458,0,3,8,0,8,0
44027,8502,0,11,0,-2147221504,0,0
44028,8503,0,11,0,-2147221504,0,0
44029,8461,0,3,256,0,8,0
44030,8512,0,11,536870912,0,0,0
44031,8438,0,3,4096,0,0,0
44032,9493,0,7,8388608,0,2097152,0
44034,8129,0,6,16,0,0,0
44035,8629,0,8,8,0,0,0
44036,8105,0,6,8192,0,0,0
44037,8076,0,11,65536,0,0,0
44038,8462,0,3,256,0,8,0
44039,8106,0,6,8192,0,0,0
44040,980,0,5,1024,0,0,0
44042,8045,0,11,1048576,0,0,0
44043,8631,0,8,256,0,0,0
44044,8437,0,3,4096,0,0,0
44045,8232,0,11,0,2048,0,0
44046,8075,0,11,536870912,0,0,0
44047,10054,0,3,1073741824,0,0,0
44049,8235,0,11,0,2048,0,0
44051,8419,0,3,2097152,0,0,0
44052,8632,0,8,256,0,0,0
44053,600,0,6,1,0,1024,0
44054,8639,0,8,1048576,0,0,0
44055,8623,0,8,8519680,0,0,0
44056,10053,0,3,1073741824,0,0,0
44058,945,0,11,1024,0,0,0
44059,8034,0,11,16777216,0,0,0
44060,8160,0,11,536870912,0,0,0
44062,643,0,10,64,0,32,0
44063,8072,0,11,32768,0,0,0
44064,8640,0,8,1048576,0,0,0
44065,8680,0,8,8192,0,0,0
44067,8914,0,7,256,0,0,0
44070,8446,0,3,16,0,0,0
44071,11958,0,3,0,4,0,0
44072,7369,0,4,4194304,0,0,0
44073,8204,0,4,128,0,0,0
44074,6574,0,4,1024,0,0,0
44075,8427,0,3,524416,0,0,0
44076,6808,0,7,2048,0,0,0
44077,7242,0,13,0,0,0,0
44078,8053,0,11,268435456,0,0,0
44079,8056,0,11,-2147483648,0,0,0
44081,8380,0,4,16384,0,0,0
44082,8008,0,11,128,0,0,0
44083,8190,0,11,4096,0,0,0
44085,8688,0,8,8192,0,0,0
44086,8643,0,8,2097152,0,0,0
44088,8647,0,8,524288,0,0,0
44089,6787,0,7,65536,0,0,0
44090,6788,0,6,536870912,0,0,0
44091,8155,0,11,536870912,0,0,0
44092,8046,0,11,1048576,0,0,0
44093,8679,0,8,8192,0,0,0
44094,8689,0,8,8192,0,0,0
44095,8156,0,11,32768,0,0,0
44096,8157,0,11,32768,0,0,0
44097,7840,0,13,0,0,0,0
44098,7372,0,4,2,0,0,0
44099,7243,0,13,0,0,0,0
44100,7248,0,13,0,0,0,0
44101,7249,0,13,0,0,0,0
44102,8451,0,3,8192,0,8,0
44105,7396,0,13,0,0,0,0
44106,8918,0,7,128,0,0,0
44107,8686,0,8,8192,0,0,0
44108,325,0,11,1024,0,0,0
44109,8637,0,8,134217728,0,0,0
44110,8122,0,6,65536,0,0,0
44112,8071,0,11,536870912,0,0,0
44113,8042,0,11,1048576,0,0,0
44114,7322,0,3,32,0,0,0
44115,8983,0,7,8192,0,0,0
44117,8412,0,3,2,0,0,0
44119,8161,0,11,536870912,0,0,0
44120,8162,0,11,65536,0,0,0
44121,8163,0,11,65536,0,0,0
44122,8407,0,3,32,0,0,0
44123,8408,0,3,32,0,0,0
44124,8050,0,11,268435456,0,0,0
44125,8685,0,8,8192,0,0,0
44126,8205,0,4,128,0,0,0
44127,7405,0,4,16384,0,0,0
44128,8725,0,8,8389120,0,0,0
44129,9856,0,7,64,0,0,0
44130,9913,0,7,16384,0,0,0
44131,10186,0,3,524416,0,0,0
44132,9857,0,7,64,0,0,0
44133,8134,0,11,1024,0,0,0
44134,8170,0,11,536870912,0,0,0
44135,8936,0,7,64,0,0,0
44136,28593,0,3,0,0,0,0
44137,10185,0,3,524416,0,0,0
44138,10187,0,3,524416,0,0,0
44139,9484,0,6,1073741824,67112960,0,0
44140,8171,0,11,67108864,0,0,0
44141,9634,0,7,1073741824,0,0,0
44144,9756,0,7,256,0,0,0
44145,8177,0,11,537133056,0,0,0
44146,8178,0,11,67108864,0,0,0
44147,8179,0,11,0,0,0,0
44148,10151,0,3,1,0,8,0
44149,8499,0,11,134217728,0,0,0
44150,8146,0,11,67108864,0,0,0
44151,14914,0,6,1048576,0,1024,0
44152,7646,0,5,32768,0,0,0
44153,9835,0,7,2,0,0,0
44155,9485,0,6,1073741824,67112960,0,0
44156,10496,0,11,524288,0,0,0
44157,10211,0,3,2048,0,0,0
44158,10212,0,3,2048,0,0,0
44159,10159,0,3,512,0,0,0
44160,1719,0,4,16,0,0,0
44161,10180,0,3,32,0,0,0
44162,10181,0,3,32,0,0,0
44163,10173,0,3,8192,0,8,0
44164,9850,0,7,0,0,262144,0
44165,8649,0,8,524288,0,0,0
44166,8905,0,7,1,0,0,0
44167,28592,0,3,0,0,0,0
44168,9833,0,7,2,0,0,0
44169,10951,0,6,2,0,1024,0
44170,10445,0,11,2097152,0,0,0
44171,9853,0,7,512,0,0,0
44172,9758,0,7,32,0,0,0
44173,8921,0,7,2,0,0,0
44174,10174,0,3,8192,0,8,0
44175,10177,0,3,256,0,8,0
44176,8924,0,7,2,0,0,0
44177,8938,0,7,64,0,0,0
44178,10216,0,3,4,0,0,0
44179,710,0,5,0,134217728,0,0
44180,10225,0,3,8,0,8,0
44181,8939,0,7,64,0,0,0
44182,8103,0,6,8192,0,0,0
44184,8145,0,11,0,0,0,0
44185,8633,0,8,256,0,0,0
44186,2379,0,13,0,0,0,0
44187,8929,0,7,2,0,0,0
44188,8400,0,3,1,0,8,0
44189,8198,0,4,128,0,0,0
44190,8820,0,4,2097152,0,0,0
44191,8457,0,3,8,0,8,0
44192,8926,0,7,2,0,0,0
44193,8289,0,5,16384,0,0,0
44194,8406,0,3,32,0,0,0
44195,8621,0,8,8388610,0,0,0
44196,9904,0,7,4096,0,0,0
44197,8927,0,7,2,0,0,0
44198,8181,0,11,536870912,0,0,0
44199,8182,0,11,67108864,0,0,0
44200,8212,0,13,0,0,0,0
44201,8058,0,11,-2147483648,0,0,0
44202,8946,0,7,0,4,0,0
44203,10160,0,3,512,0,0,0
44204,8903,0,7,32,0,0,0
44205,8928,0,7,2,0,0,0
44206,8124,0,6,65536,0,0,0
44207,8696,0,8,64,0,0,0
44208,8650,0,8,524288,0,0,0
44209,8184,0,11,536870912,0,0,0
44210,8401,0,3,1,0,8,0
44211,10145,0,3,1073741824,0,0,0
44212,10179,0,3,32,0,0,0
44213,9862,0,7,128,0,0,0
44214,8624,0,8,8519680,0,0,0
