SourceText_lang,ID,ItemID,LegacyUpgradedItemID,StaticUpgradedItemID,SourceTypeEnum,Flags,LegacyItemID,UpgradeItemID[0],UpgradeItemID[1],UpgradeItemID[2],UpgradeItemID[3],UpgradeItemID[4],UpgradeItemID[5],UpgradeItemBonusListID[0],UpgradeItemBonusListID[1],UpgradeItemBonusListID[2],UpgradeItemBonusListID[3],UpgradeItemBonusListID[4],UpgradeItemBonusListID[5]
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,669,122350,93857,0,2,0,42944,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,670,122359,93864,0,2,0,42984,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,671,122362,93897,0,2,0,42992,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,672,122357,93876,0,2,0,42951,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,673,122360,93859,0,2,0,42985,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,674,122377,93866,0,2,0,44105,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,675,122354,93853,0,2,0,42948,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,676,122364,93852,0,2,0,44091,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,677,122366,93841,0,2,0,44093,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,678,122367,93850,0,2,0,44094,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,679,122370,93898,0,2,2,44097,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,680,122368,93849,0,2,0,44095,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,681,122369,93848,0,2,2,44096,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,682,122361,93896,0,2,0,42991,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,683,122378,93861,0,2,0,44107,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,684,122372,93895,0,2,0,44099,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,685,122373,93894,0,2,0,44100,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,686,122374,93886,0,2,0,44101,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,687,122375,93889,0,2,0,44102,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,688,122371,93899,0,2,2,44098,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Quest: |rStranglethorn Fishing Extravaganza,689,122529,50255,0,6,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,690,122384,93860,0,2,0,48691,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,691,122382,93865,0,2,0,48687,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,692,122383,93863,0,2,0,48689,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,693,122380,93885,0,2,0,48683,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,694,122381,93891,0,2,0,48685,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,695,122386,93846,0,2,0,48718,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,696,122385,93847,0,2,0,48716,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,697,122379,93888,0,2,0,48677,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,698,122261,62039,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,699,122262,62040,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,700,122260,62038,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,701,122255,62027,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,702,122251,62023,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,703,122252,62024,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,704,122253,62025,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,705,122254,62026,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,706,122245,61931,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,707,122256,62029,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,708,122249,61942,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,709,122250,61958,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,710,122248,61937,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,711,122246,61935,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,712,122247,61936,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,713,122263,69887,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,714,122264,69888,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,715,122387,93892,0,2,0,69889,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,716,122388,93893,0,2,0,69890,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,717,122389,93845,0,2,0,69893,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,718,122266,69892,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,719,122392,0,0,2,0,93903,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
"|cFFFFD200Vendor: |rPaul North + ""Bad Luck"" Symmes|n|cFFFFD200Zone: |rOrgrimmar - Brawl'gar Arena|n|n|cFFFFD200Vendor: |rQuackenbush + Dershway the Triggered|n|cFFFFD200Zone: |rDeeprun Tram - Bizmo's Brawlpub",720,122396,93858,0,2,0,92948,122339,122341,151615,167732,187998,204337,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,721,122390,0,0,2,0,93904,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,722,122530,93900,0,2,2,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,723,122391,0,0,2,0,93902,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
,724,104399,0,105683,0,1,0,151615,167732,187998,204337,0,0,3617,5806,7923,9445,0,0
,725,104400,0,105684,0,1,0,151615,167732,187998,204337,0,0,3617,5806,7923,9445,0,0
,726,104401,0,105691,0,1,0,151615,167732,187998,204337,0,0,3617,5806,7923,9445,0,0
,727,104402,0,105688,0,1,0,151615,167732,187998,204337,0,0,3617,5806,7923,9445,0,0
,728,104403,0,105686,0,1,0,151615,167732,187998,204337,0,0,3617,5806,7923,9445,0,0
,729,104404,0,105685,0,1,0,151615,167732,187998,204337,0,0,3617,5806,7923,9445,0,0
,730,104405,0,105692,0,1,0,151615,167732,187998,204337,0,0,3617,5806,7923,9445,0,0
,731,104406,0,105690,0,1,0,151615,167732,187998,204337,0,0,3617,5806,7923,9445,0,0
,732,104407,0,105693,0,1,0,151614,167731,187997,204336,0,0,3617,5806,7923,9445,0,0
,733,104408,0,105689,0,1,0,151614,167731,187997,204336,0,0,3617,5806,7923,9445,0,0
,734,104409,0,105687,0,1,0,151614,167731,187997,204336,0,0,3617,5806,7923,9445,0,0
,735,105670,0,104399,0,1,0,151615,167732,187998,204337,0,0,3615,5807,7921,9443,0,0
,736,105671,0,104400,0,1,0,151615,167732,187998,204337,0,0,3615,5807,7921,9443,0,0
,737,105672,0,104404,0,1,0,151615,167732,187998,204337,0,0,3615,5807,7921,9443,0,0
,738,105673,0,104403,0,1,0,151615,167732,187998,204337,0,0,3615,5807,7921,9443,0,0
,739,105674,0,104409,0,1,0,151614,167731,187997,204336,0,0,3615,5807,7921,9443,0,0
,740,105675,0,104402,0,1,0,151615,167732,187998,204337,0,0,3615,5807,7921,9443,0,0
,741,105676,0,104408,0,1,0,151614,167731,187997,204336,0,0,3615,5807,7921,9443,0,0
,742,105677,0,104406,0,1,0,151615,167732,187998,204337,0,0,3615,5807,7921,9443,0,0
,743,105678,0,104401,0,1,0,151615,167732,187998,204337,0,0,3615,5807,7921,9443,0,0
,744,105679,0,104405,0,1,0,151615,167732,187998,204337,0,0,3615,5807,7921,9443,0,0
,745,105680,0,104407,0,1,0,151614,167731,187997,204336,0,0,3615,5807,7921,9443,0,0
,746,105683,0,0,0,1,0,151615,167732,187998,204337,0,0,3616,5808,7922,9444,0,0
,747,105684,0,0,0,1,0,151615,167732,187998,204337,0,0,3616,5808,7922,9444,0,0
,748,105685,0,0,0,1,0,151615,167732,187998,204337,0,0,3616,5808,7922,9444,0,0
,749,105686,0,0,0,1,0,151615,167732,187998,204337,0,0,3616,5808,7922,9444,0,0
,750,105687,0,0,0,1,0,151614,167731,187997,204336,0,0,3616,5808,7922,9444,0,0
,751,105688,0,0,0,1,0,151615,167732,187998,204337,0,0,3616,5808,7922,9444,0,0
,752,105689,0,0,0,1,0,151614,167731,187997,204336,0,0,3616,5808,7922,9444,0,0
,753,105690,0,0,0,1,0,151615,167732,187998,204337,0,0,3616,5808,7922,9444,0,0
,754,105691,0,0,0,1,0,151615,167732,187998,204337,0,0,3616,5808,7922,9444,0,0
,755,105692,0,0,0,1,0,151615,167732,187998,204337,0,0,3616,5808,7922,9444,0,0
,756,105693,0,0,0,1,0,151614,167731,187997,204336,0,0,3616,5808,7922,9444,0,0
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,770,122668,0,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,771,122667,0,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,772,122666,0,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,773,122664,0,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,774,122663,0,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,775,122662,0,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rEstelle Gendry|n|cFFFFD200Zone: |rOrgrimmar - Gates of Orgrimmar|n|n|cFFFFD200Vendor: |rKrom Stoutarm|n|cFFFFD200Zone: |rIronforge - Hall of Explorers,776,127010,0,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,777,127011,0,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar - Valley of Strength|n|n|cFFFFD200Vendor: |rShay Pressler|n|cFFFFD200Zone: |rStormwind - Trade District,778,127012,0,0,2,0,0,122338,122340,151614,167731,187997,204336,582,583,3592,5805,7920,9354
