ID,SpecializationID,PvpScalingEffectTypeID,Value
127,255,12,1.5
128,255,13,1.5
129,255,14,0.75
130,259,1,1
131,259,2,0
132,259,3,0
133,259,4,0
134,259,5,1
135,259,6,0.595
136,259,7,1
137,259,8,1
138,259,9,1
139,259,10,1
140,259,11,1
141,259,12,0.97
142,259,13,0.97
143,259,14,1
144,260,1,1
145,260,2,0
146,260,3,0
147,260,4,0
148,260,5,1
149,260,6,0.71
150,260,7,1
151,260,8,1
152,260,9,1
153,260,10,1
154,260,11,1
155,260,12,1
156,260,13,1
157,260,14,1
158,261,1,1
159,261,2,0
160,261,3,0
161,261,4,0
162,261,5,1
163,261,6,0.72
164,261,7,1
165,261,8,1
166,261,9,1
167,261,10,0.25
168,261,11,1.25
169,261,12,0.5
170,261,13,0.5
171,261,14,2
172,256,1,1
173,256,2,0
174,256,3,-18
175,256,4,0
176,256,5,1
177,256,6,1
178,256,7,1.4
179,256,8,1
180,256,9,1
181,256,10,0.5
182,256,11,1
183,256,12,1.5
184,256,13,1.5
185,256,14,1
186,257,1,1
187,257,2,0
188,257,3,-40
189,257,4,-4400
190,257,5,1
191,257,6,1
192,257,7,1.49
193,257,8,1
194,257,9,1
195,257,10,0.45
196,257,11,1.25
197,257,12,1
198,257,13,1
199,257,14,1
200,258,1,1
201,258,2,0
202,258,3,0
203,258,4,0
204,258,5,1
205,258,6,1
206,258,7,1.3
207,258,8,1
208,258,9,1
209,258,10,0.75
210,258,11,1
211,258,12,1.6
212,258,13,1.6
213,258,14,0.75
214,250,1,1
215,250,2,0
216,250,3,-10
217,250,4,0
218,250,5,0.9
219,250,6,1
220,250,7,1
221,250,8,0.7
222,250,9,1
223,250,10,0.25
224,250,11,1
225,250,12,0
226,250,13,0
227,250,14,1
228,251,1,1
229,251,2,0
230,251,3,0
231,251,4,0
232,251,5,0.7
233,251,6,1
234,251,7,1
235,251,8,1.13
236,251,9,1
237,251,10,0.25
238,251,11,1.5
239,251,12,1
240,251,13,1
241,251,14,1.25
242,252,1,1
243,252,2,0
244,252,3,0
245,252,4,0
246,252,5,0.91
247,252,6,1
248,252,7,1
249,252,8,1.13
250,252,9,1
251,252,10,0.75
252,252,11,1.25
253,252,12,1.05
254,252,13,1.05
255,252,14,1
256,262,1,1
257,262,2,0
258,262,3,0
259,262,4,0
260,262,5,1
261,262,6,1
262,262,7,1.335
263,262,8,1.15
264,262,9,1.25
265,262,10,0.75
266,262,11,0.75
267,262,12,1.85
268,262,13,1.85
269,262,14,0.75
270,263,1,1
271,263,2,0
272,263,3,0
273,263,4,0
274,263,5,1
275,263,6,0.92
276,263,7,1
277,263,8,1.15
278,263,9,1.25
279,263,10,0.25
280,263,11,1
281,263,12,1.85
282,263,13,1.85
283,263,14,1
284,264,1,1
285,264,2,0
286,264,3,-25
287,264,4,-12320
288,264,5,1
289,264,6,1
290,264,7,1.32
291,264,8,1
292,264,9,1.3
293,264,10,1.6
294,264,11,1
295,264,12,1.4
296,264,13,1.4
297,264,14,1.2
298,62,1,1
299,62,2,0
300,62,3,0
301,62,4,0
302,62,5,1
303,62,6,1
304,62,7,1.14
305,62,8,1
306,62,9,1
307,62,10,0.25
308,62,11,1.5
309,62,12,1
310,62,13,1
311,62,14,1
312,63,1,1
313,63,2,0
314,63,3,0
315,63,4,0
316,63,5,1
317,63,6,1
318,63,7,1.01
319,63,8,0.9
320,63,9,1
321,63,10,0.5
322,63,11,1
323,63,12,1
324,63,13,1
325,63,14,1.5
326,64,1,1
327,64,2,0
328,64,3,0
329,64,4,0
330,64,5,1
331,64,6,1
332,64,7,1.18
333,64,8,0.9
334,64,9,1
335,64,10,0.1
336,64,11,1.5
337,64,12,1
338,64,13,1
339,64,14,1
340,265,1,1
341,265,2,0
342,265,3,0
343,265,4,0
344,265,5,1
345,265,6,1
346,265,7,1.13
347,265,8,1.2
348,265,9,1
349,265,10,1.25
350,265,11,1.5
351,265,12,0.6
352,265,13,0.6
353,265,14,1
354,266,1,1
355,266,2,0
356,266,3,0
357,266,4,0
358,266,5,1
359,266,6,1
360,266,7,1.35
361,266,8,1.05
362,266,9,1
363,266,10,0.75
364,266,11,1.5
365,266,12,0.75
366,266,13,0.75
367,266,14,1
368,267,1,1
369,267,2,0
370,267,3,0
371,267,4,0
372,267,5,1
373,267,6,1
374,267,7,1.36
375,267,8,1.2
376,267,9,1.3
377,267,10,0.25
378,267,11,1
379,267,12,1.05
380,267,13,1.05
381,267,14,1.75
382,268,1,1
383,268,2,0
384,268,3,0
385,268,4,0
386,268,5,1
387,268,6,1
388,268,7,1
389,268,8,0.8
390,268,9,1
391,268,10,0.25
392,268,11,1.25
393,268,12,0.1
394,268,13,0.1
395,268,14,1
396,270,1,1
397,270,2,0
398,270,3,-30
399,270,4,0
400,270,5,1
401,270,6,1
402,270,7,1.32
403,270,8,1
404,270,9,1.1
405,270,10,1
406,270,11,1
407,270,12,1.35
408,270,13,1.35
409,270,14,1
410,269,1,1
411,269,2,0
412,269,3,0
413,269,4,0
414,269,5,1
415,269,6,0.685
416,269,7,1
417,269,8,1
418,269,9,1
419,269,10,0.25
420,269,11,1.75
421,269,12,1.2
422,269,13,1.2
423,269,14,1
424,102,1,1
425,102,2,0
426,102,3,0
427,102,4,0
428,102,5,1
429,102,6,1
430,102,7,1.33
431,102,8,1
432,102,9,0.9
433,102,10,0.25
434,102,11,1
435,102,12,1.05
436,102,13,1.05
437,102,14,1.25
438,103,1,1
439,103,2,0
440,103,3,0
441,103,4,0
442,103,5,1
443,103,6,0.78
444,103,7,1
445,103,8,1.05
446,103,9,1.15
447,103,10,1
448,103,11,1
449,103,12,1.2
450,103,13,1.2
451,103,14,1
452,104,1,1
453,104,2,0
454,104,3,0
455,104,4,0
456,104,5,1
457,104,6,0.9
458,104,7,1
459,104,8,0.75
460,104,9,1
461,104,10,0.25
462,104,11,1
463,104,12,0
464,104,13,0
465,104,14,1
466,105,1,1
467,105,2,0
468,105,3,-30
469,105,4,-12320
470,105,5,1
471,105,6,1
472,105,7,1.5
473,105,8,1
474,105,9,1
475,105,10,1.2
476,105,11,1.5
477,105,12,1
478,105,13,1
479,105,14,0.5
480,577,1,1
481,577,2,0
482,577,3,0
483,577,4,0
484,577,5,1
485,577,6,0.8
486,577,7,1
487,577,8,1.05
488,577,9,1
489,577,10,0.4
490,577,11,1.1
491,577,12,1.3
492,577,13,1.3
493,577,14,1.3
494,581,1,1
495,581,2,0
496,581,3,0
497,581,4,0
498,581,5,1
499,581,6,1
500,581,7,1
501,581,8,0.8
502,581,9,1
503,581,10,0.25
504,581,11,1
505,581,12,0
506,581,13,0
507,581,14,1
