ID,Tier,Component,FileDataID,Color
2006,2,4,513681,29
2007,1,3,513818,29
2008,1,4,513817,29
2009,0,3,180119,29
2010,0,4,180118,29
2011,2,3,513684,30
2012,2,4,513683,30
2013,1,3,513820,30
2014,1,4,513819,30
2015,0,3,180121,30
2016,0,4,180120,30
2017,2,3,513686,31
2018,2,4,513685,31
2019,1,3,513822,31
2020,1,4,513821,31
2021,0,3,180123,31
2022,0,4,180122,31
2023,2,3,513688,32
2024,2,4,513687,32
2025,1,3,513824,32
2026,1,4,513823,32
2027,0,3,180125,32
2028,0,4,180124,32
2029,2,3,513690,33
2030,2,4,513689,33
2031,1,3,513826,33
2032,1,4,513825,33
2033,0,3,180127,33
2034,0,4,180126,33
2035,2,3,513692,34
2036,2,4,513691,34
2037,1,3,513828,34
2038,1,4,513827,34
2039,0,3,180129,34
2040,0,4,180128,34
2041,2,3,513694,35
2042,2,4,513693,35
2043,1,3,513830,35
2044,1,4,513829,35
2045,0,3,180131,35
2046,0,4,180130,35
2047,2,3,513696,36
2048,2,4,513695,36
2049,1,3,513832,36
2050,1,4,513831,36
2051,0,3,180133,36
2052,0,4,180132,36
2053,2,3,513698,37
2054,2,4,513697,37
2055,1,3,513834,37
2056,1,4,513833,37
2057,0,3,180135,37
2058,0,4,180134,37
2059,2,3,513700,38
2060,2,4,513699,38
2061,1,3,513836,38
2062,1,4,513835,38
2063,0,3,180137,38
2064,0,4,180136,38
2065,2,3,513702,39
2066,2,4,513701,39
2067,1,3,513838,39
2068,1,4,513837,39
2069,0,3,180139,39
2070,0,4,180138,39
2071,2,3,513704,40
2072,2,4,513703,40
2073,1,3,513840,40
2074,1,4,513839,40
2075,0,3,180141,40
2076,0,4,180140,40
2077,2,3,513706,41
2078,2,4,513705,41
2079,1,3,513842,41
2080,1,4,513841,41
2081,0,3,180143,41
2082,0,4,180142,41
2083,2,3,513708,42
2084,2,4,513707,42
2085,1,3,513844,42
2086,1,4,513843,42
2087,0,3,180145,42
2088,0,4,180144,42
2089,2,3,513710,43
2090,2,4,513709,43
2091,1,3,513846,43
2092,1,4,513845,43
2093,0,3,180147,43
2094,0,4,180146,43
2095,2,3,513712,44
2096,2,4,513711,44
2097,1,3,513848,44
2098,1,4,513847,44
2099,0,3,180149,44
2100,0,4,180148,44
2101,2,3,513714,45
2102,2,4,513713,45
2103,1,3,513850,45
2104,1,4,513849,45
2105,0,3,180151,45
2106,0,4,180150,45
2107,2,3,513716,46
2108,2,4,513715,46
2109,1,3,513852,46
2110,1,4,513851,46
2111,0,3,180153,46
2112,0,4,180152,46
2113,2,3,513718,47
2114,2,4,513717,47
2115,1,3,513854,47
2116,1,4,513853,47
2117,0,3,180155,47
2118,0,4,180154,47
2119,2,3,513720,48
2120,2,4,513719,48
2121,1,3,513856,48
2122,1,4,513855,48
2123,0,3,180157,48
2124,0,4,180156,48
2125,2,3,513722,49
2126,2,4,513721,49
2127,1,3,513858,49
2128,1,4,513857,49
2129,0,3,180159,49
2130,0,4,180158,49
2131,2,3,513724,50
2132,2,4,513723,50
2133,1,3,513860,50
2134,1,4,513859,50
2135,0,3,180161,50
2136,0,4,180160,50
