ID,Type,Param,Coeff,SpellProcsPerMinuteID
306,4,255,0.15,38
307,4,252,0.05,38
308,4,269,0.2,38
309,4,105,-0.2,35
310,4,270,-0.2,35
311,4,65,0.1,35
312,4,256,0.4,35
313,4,257,0,35
314,4,264,-0.3,35
337,4,72,-0.625,97
338,3,256,-0.4,61
339,4,250,-0.75,39
340,4,104,-0.75,39
341,4,268,-0.75,39
342,4,66,-0.75,39
343,4,73,-0.75,39
344,4,250,-0.75,35
345,4,104,-0.75,35
346,4,268,-0.75,35
347,4,66,-0.75,35
348,4,73,-0.75,35
349,1,4,1,100
350,4,262,0,100
351,4,263,0,100
352,4,264,0,100
353,7,0,-1,101
355,1,4,1,104
357,1,4,1,103
358,1,4,1,108
359,1,4,1,112
360,3,8,0.1,113
361,3,512,-0.1,113
362,1,4,1,114
363,1,4,1,99
364,1,4,1,116
365,1,4,1,117
366,1,4,1,118
367,4,62,-0.4,118
368,4,62,-0.4,119
369,1,4,1,121
370,1,4,1,122
371,3,2012,0.005,122
372,4,258,-0.167,119
373,4,258,-0.167,118
374,1,4,1,124
375,1,5,1,127
376,1,4,1,129
377,1,1,1,130
379,1,4,1,132
380,1,4,1,133
382,1,4,1,141
383,1,4,1,142
384,1,4,1,143
385,1,4,1,144
386,1,4,1,145
387,2,4,1,129
388,1,4,1,148
390,1,4,1,150
392,1,4,1,154
393,1,4,1,157
394,4,0,0,137
395,1,4,1,159
397,1,4,1,160
399,1,4,1,161
401,1,4,1,162
403,1,4,1,163
406,1,4,1,165
407,1,4,1,166
408,1,4,1,168
410,1,4,1,169
413,2,4,1,170
415,1,4,1,171
416,2,4,1,151
423,4,251,1.2,158
424,4,252,1.8,158
425,4,577,0.12,158
426,4,103,1.24,158
427,4,253,1.8,158
428,4,254,1.24,158
429,4,255,0.5,158
430,4,269,-0.2,158
431,4,70,0,158
432,4,259,0.17,158
433,4,260,1.8,158
434,4,261,2,158
435,4,263,2,158
436,4,71,0.1,158
437,4,72,0.72,158
441,1,1,1,179
442,1,4,1,180
443,1,4,1,181
444,1,4,1,182
446,1,4,1,184
447,4,105,0.12,184
448,4,270,0.03,184
449,4,257,0.18,184
450,4,256,-0.24,184
451,4,65,-0.13,184
452,4,264,0.12,184
459,1,4,1,186
460,4,252,-0.32,164
461,1,3,1,187
462,4,252,-0.32,187
463,1,4,1,188
464,4,263,-0.24,188
465,4,263,-0.24,163
466,4,252,-0.32,189
467,1,4,1,189
468,1,4,1,190
469,4,263,-0.24,190
470,4,263,-0.24,160
471,3,35,-0.5,159
472,3,35,-0.5,169
473,3,32,-0.32,150
474,4,263,-0.24,161
475,4,253,-0.27,161
476,1,4,1,191
477,4,253,-0.27,191
478,4,263,-0.5,180
479,4,263,-0.5,181
480,2,4,1,192
481,1,4,1,195
486,1,4,1,198
487,3,2603,-0.5,180
488,3,2603,-0.5,199
489,4,103,-0.5,199
490,4,104,-0.5,199
491,4,105,-0.5,199
492,3,400,-0.5,200
493,4,250,-0.5,200
494,4,581,-0.5,200
495,4,102,-0.5,200
496,4,104,-0.5,200
497,4,105,-0.5,200
498,4,253,-0.5,200
499,4,254,-0.5,200
500,4,268,-0.5,200
501,3,2477,-0.5,201
502,4,102,-0.5,201
503,4,103,-0.5,201
504,4,104,-0.5,201
505,4,268,-0.5,201
506,4,269,-0.5,201
507,4,66,-0.5,201
508,4,70,-0.5,201
509,4,258,-0.5,201
510,4,262,-0.5,201
511,4,263,-0.5,201
512,3,476,-0.5,202
513,4,251,-0.5,202
514,4,252,-0.5,202
515,4,577,-0.5,202
516,4,102,-0.5,202
517,4,103,-0.5,202
518,4,105,-0.5,202
519,4,270,-0.5,202
520,4,269,-0.5,202
521,4,65,-0.5,202
522,4,70,-0.5,202
523,4,71,-0.5,202
524,4,72,-0.5,202
525,4,255,-0.5,199
526,4,257,-0.5,199
527,4,263,-0.5,199
528,4,264,-0.5,199
529,4,103,-0.5,180
530,4,104,-0.5,180
531,4,105,-0.5,180
532,4,255,-0.5,180
533,4,257,-0.5,180
534,4,264,-0.5,180
535,3,4060,-0.5,203
541,4,250,-0.5,203
545,3,2607,-0.5,204
546,4,103,-0.5,204
547,4,104,-0.5,204
548,4,105,-0.5,204
549,4,257,-0.5,204
550,4,263,-0.5,204
551,4,264,-0.5,204
552,4,270,-0.5,200
553,4,65,-0.5,200
554,4,66,-0.5,200
555,4,262,-0.5,200
556,4,264,-0.5,200
557,4,73,-0.5,200
558,3,435,-0.5,205
559,4,581,-0.5,205
560,4,102,-0.5,205
561,4,104,-0.5,205
562,4,105,-0.5,205
563,4,253,-0.5,205
564,4,254,-0.5,205
565,4,268,-0.5,205
566,4,270,-0.5,205
567,4,262,-0.5,205
568,4,264,-0.5,205
569,1,4,1,205
570,4,65,-0.5,203
571,4,66,-0.5,203
572,4,73,-0.5,203
573,1,4,1,203
574,3,2477,-0.5,206
575,4,102,-0.5,206
576,4,103,-0.5,206
577,4,104,-0.5,206
578,4,268,-0.5,206
579,4,269,-0.5,206
580,4,66,-0.5,206
581,4,70,-0.5,206
582,4,258,-0.5,206
583,4,262,-0.5,206
584,4,263,-0.5,206
585,1,4,1,206
586,3,400,-0.5,207
587,4,250,-0.5,207
588,4,581,-0.5,207
589,4,102,-0.5,207
590,4,104,-0.5,207
591,4,105,-0.5,207
594,4,268,-0.5,207
595,4,270,-0.5,207
596,4,65,-0.5,207
597,4,66,-0.5,207
598,4,262,-0.5,207
599,4,264,-0.5,207
600,4,73,-0.5,207
601,3,2603,-0.5,208
602,4,103,-0.5,208
603,4,104,-0.5,208
604,4,105,-0.5,208
605,4,255,-0.5,208
606,4,257,-0.5,208
607,4,263,-0.5,208
608,4,264,-0.5,208
609,1,4,1,208
610,3,435,-0.5,209
611,4,581,-0.5,209
612,4,102,-0.5,209
613,4,104,-0.5,209
614,4,105,-0.5,209
615,4,268,-0.5,209
616,4,270,-0.5,209
617,4,262,-0.5,209
618,4,264,-0.5,209
619,4,577,0,209
620,4,103,-0.3,209
621,4,253,1,209
622,4,254,1,209
623,4,255,1.5,209
624,4,269,0,209
625,3,8,-0.3,209
626,4,263,0,209
627,3,2603,-0.5,210
628,4,103,-0.5,210
629,4,104,-0.5,210
630,4,105,-0.5,210
631,4,255,-0.5,210
632,4,257,-0.5,210
633,4,263,-0.5,210
634,4,264,-0.5,210
635,1,4,1,210
636,3,2477,-0.5,211
637,4,102,-0.5,211
638,4,103,-0.5,211
639,4,104,-0.5,211
640,4,268,-0.5,211
641,4,269,-0.5,211
642,4,66,-0.5,211
643,4,70,-0.5,211
644,4,258,-0.5,211
645,4,262,-0.5,211
646,4,263,-0.5,211
647,3,2607,-0.5,212
648,4,103,-0.5,212
649,4,104,-0.5,212
650,4,105,-0.5,212
651,4,257,-0.5,212
652,4,263,-0.5,212
653,4,264,-0.5,212
654,1,4,1,212
655,3,2607,-0.5,213
656,4,103,-0.5,213
657,4,104,-0.5,213
658,4,105,-0.5,213
659,4,257,-0.5,213
660,4,263,-0.5,213
661,4,264,-0.5,213
662,3,2093,-0.5,214
673,3,435,-0.5,215
681,1,4,1,215
682,1,4,1,216
683,4,103,-0.5,214
684,4,104,-0.5,214
687,4,263,-0.5,214
689,4,268,-0.5,214
690,4,269,-0.5,214
691,4,70,-0.5,214
692,4,66,-0.5,214
693,3,476,-0.5,217
694,4,251,-0.5,217
695,4,252,-0.5,217
696,4,577,-0.5,217
697,4,102,-0.5,217
698,4,103,-0.5,217
699,4,105,-0.5,217
700,4,270,-0.5,217
701,4,269,-0.5,217
702,4,65,-0.5,217
703,4,70,-0.5,217
704,4,71,-0.5,217
705,4,72,-0.5,217
706,3,400,-0.5,218
707,4,250,-0.5,218
708,4,581,-0.5,218
709,4,102,-0.5,218
710,4,104,-0.5,218
711,4,105,-0.5,218
712,4,253,-0.5,218
713,4,254,-0.5,218
714,4,268,-0.5,218
715,4,270,-0.5,218
716,4,65,-0.5,218
717,4,66,-0.5,218
718,4,262,-0.5,218
719,4,264,-0.5,218
720,4,73,-0.5,218
721,3,400,-0.5,219
722,4,250,-0.5,219
723,4,581,-0.5,219
724,4,102,-0.5,219
725,4,104,-0.5,219
726,4,105,-0.5,219
727,4,253,-0.5,219
728,4,254,-0.5,219
729,4,268,-0.5,219
730,4,270,-0.5,219
731,4,65,-0.5,219
732,4,66,-0.5,219
733,4,262,-0.5,219
734,4,264,-0.5,219
735,4,73,-0.5,219
736,3,2477,-0.5,220
737,4,102,-0.5,220
738,4,103,-0.5,220
739,4,104,-0.5,220
740,4,268,-0.5,220
741,4,269,-0.5,220
742,4,66,-0.5,220
743,4,70,-0.5,220
744,4,258,-0.5,220
745,4,262,-0.5,220
746,4,263,-0.5,220
747,1,4,1,220
748,1,4,1,221
749,3,2477,-0.5,222
750,4,102,-0.5,222
751,4,103,-0.5,222
752,4,104,-0.5,222
753,4,268,-0.5,222
754,4,269,-0.5,222
755,4,66,-0.5,222
756,4,70,-0.5,222
757,4,258,-0.5,222
758,4,262,-0.5,222
759,4,263,-0.5,222
760,3,2603,-0.5,224
761,4,103,-0.5,224
762,4,104,-0.5,224
763,4,105,-0.5,224
764,4,255,-0.5,224
765,4,257,-0.5,224
766,4,263,-0.5,224
767,4,264,-0.5,224
768,3,400,-0.5,225
769,4,250,-0.5,225
770,4,581,-0.5,225
771,4,102,-0.5,225
772,4,104,-0.5,225
773,4,105,-0.5,225
774,4,268,-0.5,225
775,4,270,-0.5,225
776,4,65,-0.5,225
777,4,66,-0.5,225
778,4,262,-0.5,225
779,4,264,-0.5,225
780,4,73,-0.5,225
781,3,476,-0.5,226
782,4,251,-0.5,226
783,4,252,-0.5,226
784,4,577,-0.5,226
785,4,102,-0.5,226
786,4,103,-0.5,226
787,4,105,-0.5,226
788,4,270,-0.5,226
789,4,269,-0.5,226
790,4,65,-0.5,226
791,4,70,-0.5,226
792,4,71,-0.5,226
793,4,72,-0.5,226
794,3,476,-0.5,227
795,4,251,-0.5,227
796,4,252,-0.5,227
797,4,577,-0.5,227
798,4,102,-0.5,227
799,4,103,-0.5,227
800,4,105,-0.5,227
801,4,270,-0.5,227
802,4,269,-0.5,227
803,4,65,-0.5,227
804,4,70,-0.5,227
805,4,71,-0.5,227
806,4,72,-0.5,227
807,1,4,1,227
809,1,4,1,224
810,3,2603,-0.5,228
811,4,103,-0.5,228
812,4,104,-0.5,228
813,4,105,-0.5,228
814,4,255,-0.5,228
815,4,257,-0.5,228
816,4,263,-0.5,228
817,4,264,-0.5,228
818,1,4,1,228
819,1,4,1,235
821,1,4,1,230
822,1,4,1,236
823,1,4,1,232
824,4,253,-0.27,232
825,3,2603,-0.5,237
826,4,103,-0.5,237
827,4,104,-0.5,237
828,4,105,-0.5,237
829,4,255,-0.5,237
830,4,257,-0.5,237
831,4,263,-0.5,237
832,4,264,-0.5,237
833,1,4,1,237
835,1,4,1,226
836,1,4,1,238
837,1,4,1,218
838,1,4,1,239
839,3,2477,-0.5,240
840,4,102,-0.5,240
841,4,103,-0.5,240
842,4,104,-0.5,240
843,4,268,-0.5,240
844,4,269,-0.5,240
845,4,66,-0.5,240
846,4,70,-0.5,240
847,4,258,-0.5,240
848,4,262,-0.5,240
849,4,263,-0.5,240
850,1,4,1,241
851,4,252,-0.32,241
853,1,4,1,240
854,3,476,-0.5,242
855,4,251,-0.5,242
856,4,252,-0.5,242
857,4,577,-0.5,242
858,4,102,-0.5,242
859,4,103,-0.5,242
860,4,105,-0.5,242
861,4,270,-0.5,242
862,4,269,-0.5,242
863,4,65,-0.5,242
864,4,70,-0.5,242
865,4,71,-0.5,242
866,4,72,-0.5,242
867,1,4,1,242
868,3,2603,-0.5,244
869,4,103,-0.5,244
870,4,104,-0.5,244
871,4,105,-0.5,244
872,4,255,-0.5,244
873,4,257,-0.5,244
874,4,263,-0.5,244
875,4,264,-0.5,244
876,1,4,1,244
886,3,2089,-0.5,246
887,4,103,-0.5,246
888,4,104,-0.5,246
889,4,255,-0.5,246
890,4,263,-0.5,246
891,4,268,-0.5,246
892,4,269,-0.5,246
893,4,66,-0.5,246
894,4,70,-0.5,246
895,2,3,1,246
896,3,2603,-0.5,247
897,4,103,-0.5,247
898,4,104,-0.5,247
899,4,105,-0.5,247
900,4,255,-0.5,247
901,4,257,-0.5,247
902,4,263,-0.5,247
903,4,264,-0.5,247
904,1,4,1,247
905,3,2477,-0.5,248
906,4,102,-0.5,248
907,4,103,-0.5,248
908,4,104,-0.5,248
909,4,268,-0.5,248
910,4,269,-0.5,248
911,4,66,-0.5,248
912,4,70,-0.5,248
913,4,258,-0.5,248
914,4,262,-0.5,248
915,4,263,-0.5,248
916,3,400,-0.5,249
917,4,250,-0.5,249
918,4,581,-0.5,249
919,4,102,-0.5,249
920,4,104,-0.5,249
921,4,105,-0.5,249
922,4,268,-0.5,249
923,4,270,-0.5,249
924,4,65,-0.5,249
925,4,66,-0.5,249
926,4,262,-0.5,249
927,4,264,-0.5,249
928,4,73,-0.5,249
929,3,400,-0.5,250
930,4,250,-0.5,250
931,4,581,-0.5,250
932,4,102,-0.5,250
933,4,104,-0.5,250
934,4,105,-0.5,250
935,4,268,-0.5,250
936,4,270,-0.5,250
937,4,65,-0.5,250
938,4,66,-0.5,250
939,4,262,-0.5,250
940,4,264,-0.5,250
941,4,73,-0.5,250
942,3,400,-0.5,251
943,4,250,-0.5,251
944,4,581,-0.5,251
945,4,102,-0.5,251
946,4,104,-0.5,251
947,4,105,-0.5,251
948,4,268,-0.5,251
949,4,270,-0.5,251
950,4,65,-0.5,251
951,4,66,-0.5,251
952,4,262,-0.5,251
953,4,264,-0.5,251
954,4,73,-0.5,251
955,3,400,-0.5,252
956,4,250,-0.5,252
957,4,581,-0.5,252
958,4,102,-0.5,252
959,4,104,-0.5,252
960,4,105,-0.5,252
961,4,253,-0.5,252
962,4,254,-0.5,252
963,4,268,-0.5,252
964,4,270,-0.5,252
965,4,65,-0.5,252
966,4,66,-0.5,252
967,4,262,-0.5,252
968,4,264,-0.5,252
969,4,73,-0.5,252
970,1,4,1,252
971,3,400,-0.5,253
972,4,250,-0.5,253
973,4,581,-0.5,253
974,4,102,-0.5,253
975,4,104,-0.5,253
976,4,105,-0.5,253
977,4,253,-0.5,253
978,4,254,-0.5,253
979,4,268,-0.5,253
980,4,270,-0.5,253
981,4,65,-0.5,253
982,4,66,-0.5,253
983,4,262,-0.5,253
984,4,264,-0.5,253
985,4,73,-0.5,253
986,1,4,1,253
989,4,71,-0.4,254
990,1,4,1,255
991,3,2607,-0.5,256
992,4,103,-0.5,256
993,4,104,-0.5,256
994,4,105,-0.5,256
995,4,257,-0.5,256
996,4,263,-0.5,256
997,4,264,-0.5,256
998,1,4,1,256
999,3,2477,-0.5,257
1000,4,102,-0.5,257
1001,4,103,-0.5,257
1002,4,104,-0.5,257
1003,4,268,-0.5,257
1004,4,269,-0.5,257
1005,4,66,-0.5,257
1006,4,70,-0.5,257
1007,4,258,-0.5,257
1008,4,262,-0.5,257
1009,4,263,-0.5,257
1011,1,4,1,257
1012,1,4,1,251
1013,3,476,-0.5,258
1014,4,251,-0.5,258
1015,4,252,-0.5,258
1016,4,577,-0.5,258
1017,4,102,-0.5,258
1018,4,103,-0.5,258
1019,4,105,-0.5,258
1020,4,270,-0.5,258
1021,4,269,-0.5,258
1022,4,65,-0.5,258
1023,4,70,-0.5,258
1024,4,71,-0.5,258
1025,4,72,-0.5,258
1027,3,435,-0.5,260
1028,4,581,-0.5,260
1029,4,102,-0.5,260
1030,4,104,-0.5,260
1031,4,105,-0.5,260
1034,4,268,-0.5,260
1035,4,270,-0.5,260
1036,4,262,-0.5,260
1037,4,264,-0.5,260
1038,1,4,1,260
1039,3,2477,-0.5,261
1040,4,102,-0.5,261
1041,4,103,-0.5,261
1042,4,104,-0.5,261
1043,4,268,-0.5,261
1044,4,269,-0.5,261
1045,4,66,-0.5,261
1046,4,70,-0.5,261
1047,4,258,-0.5,261
1048,4,262,-0.5,261
1049,4,263,-0.5,261
1050,1,4,1,261
1051,3,4060,-0.5,262
1052,4,250,-0.5,262
1053,4,65,-0.5,262
1054,4,66,-0.5,262
1055,4,73,-0.5,262
1057,3,2607,-0.5,263
1058,4,103,-0.5,263
1059,4,104,-0.5,263
1060,4,105,-0.5,263
1061,4,257,-0.5,263
1062,4,263,-0.5,263
1063,4,264,-0.5,263
1077,1,4,1,264
1078,1,4,1,265
1080,1,4,1,266
1081,1,4,1,269
1082,1,4,1,271
1083,1,4,1,272
1084,1,4,1,273
1090,1,4,1,275
1091,1,4,1,276
1092,1,4,1,277
1095,1,4,1,279
1096,1,4,1,280
1198,1,4,1,383
1199,1,4,1,385
1200,1,4,1,386
1201,1,4,1,388
1202,1,4,1,392
1203,1,4,1,394
1204,1,4,1,395
1205,1,4,1,397
1206,1,4,1,399
1207,1,4,1,400
1208,1,4,1,403
1209,1,4,1,404
1210,1,4,1,405
1212,1,4,1,410
1213,1,4,1,406
1214,1,4,1,407
1215,1,4,1,408
1216,1,4,1,409
1217,1,4,1,411
1218,1,4,1,412
1219,1,4,1,413
1220,4,65,0.4,413
1221,4,105,0.4,413
1222,4,264,0.4,413
1223,4,270,0.4,413
1224,4,257,0.4,413
1225,4,256,0.4,413
1226,4,65,-0.2,414
1227,1,4,1,415
1230,1,4,1,422
1234,8,134735,-0.5,425
1235,1,4,1,426
1240,1,4,1,428
1241,1,4,1,430
1252,1,4,1,436
1253,1,4,1,438
1254,3,2603,-0.5,181
1255,4,103,-0.5,181
1256,4,104,-0.5,181
1257,4,105,-0.5,181
1258,4,264,-0.5,181
1259,4,255,-0.5,181
1260,4,257,-0.5,181
1261,4,256,-0.5,181
1263,8,393709,1.5,422
1264,4,0,0,443
1265,1,4,1,445
1266,8,276023,0.3,130
1267,1,4,1,446
1268,1,4,1,449
1271,1,4,1,450
1273,1,4,1,452
1274,1,4,1,453
