ID,EpicF[0],EpicF[1],SuperiorF[0],SuperiorF[1],GoodF[0],GoodF[1],Epic[0],Epic[1],Superior[0],Superior[1],Good[0],Good[1]
101,7469.9385,5975.9507,7469.9385,5975.9507,7469.9385,5975.9507,7469,5975,7469,5975,7469,5975
102,7563.313,6050.6504,7563.313,6050.6504,7563.313,6050.6504,7563,6050,7563,6050,7563,6050
103,7657.854,6126.283,7657.854,6126.283,7657.854,6126.283,7657,6126,7657,6126,7657,6126
104,7753.5776,6202.862,7753.5776,6202.862,7753.5776,6202.862,7753,6202,7753,6202,7753,6202
105,7850.497,6280.3975,7850.497,6280.3975,7850.497,6280.3975,7850,6280,7850,6280,7850,6280
106,7948.6284,6358.903,7948.6284,6358.903,7948.6284,6358.903,7948,6358,7948,6358,7948,6358
107,8047.9863,6438.389,8047.9863,6438.389,8047.9863,6438.389,8047,6438,8047,6438,8047,6438
108,8148.586,6518.8687,8148.586,6518.8687,8148.586,6518.8687,8148,6518,8148,6518,8148,6518
109,8250.443,6600.3545,8250.443,6600.3545,8250.443,6600.3545,8250,6600,8250,6600,8250,6600
110,8353.574,6682.859,8353.574,6682.859,8353.574,6682.859,8353,6682,8353,6682,8353,6682
111,8457.993,6766.395,8457.993,6766.395,8457.993,6766.395,8457,6766,8457,6766,8457,6766
112,8563.719,6850.9746,8563.719,6850.9746,8563.719,6850.9746,8563,6850,8563,6850,8563,6850
113,8670.765,6936.612,8670.765,6936.612,8670.765,6936.612,8670,6936,8670,6936,8670,6936
114,8779.149,7023.32,8779.149,7023.32,8779.149,7023.32,8779,7023,8779,7023,8779,7023
115,8888.889,7111.1113,8888.889,7111.1113,8888.889,7111.1113,8888,7111,8888,7111,8888,7111
116,9000,7200,9000,7200,9000,7200,9000,7200,9000,7200,9000,7200
117,9112.5,7290,9112.5,7290,9112.5,7290,9112,7290,9112,7290,9112,7290
118,9226.406,7381.125,9226.406,7381.125,9226.406,7381.125,9226,7381,9226,7381,9226,7381
119,9341.736,7473.389,9341.736,7473.389,9341.736,7473.389,9341,7473,9341,7473,9341,7473
120,9458.508,7566.8066,9458.508,7566.8066,9458.508,7566.8066,9458,7566,9458,7566,9458,7566
121,9576.739,7661.3916,9576.739,7661.3916,9576.739,7661.3916,9576,7661,9576,7661,9576,7661
122,9696.448,7757.1587,9696.448,7757.1587,9696.448,7757.1587,9696,7757,9696,7757,9696,7757
123,9817.654,7854.1235,9817.654,7854.1235,9817.654,7854.1235,9817,7854,9817,7854,9817,7854
124,9940.375,7952.3,9940.375,7952.3,9940.375,7952.3,9940,7952,9940,7952,9940,7952
125,10064.63,8051.7036,10064.63,8051.7036,10064.63,8051.7036,10064,8051,10064,8051,10064,8051
126,10190.438,8152.35,10190.438,8152.35,10190.438,8152.35,10190,8152,10190,8152,10190,8152
127,10317.818,8254.254,10317.818,8254.254,10317.818,8254.254,10317,8254,10317,8254,10317,8254
128,10446.791,8357.433,10446.791,8357.433,10446.791,8357.433,10446,8357,10446,8357,10446,8357
129,10577.376,8461.9,10577.376,8461.9,10577.376,8461.9,10577,8461,10577,8461,10577,8461
130,10709.593,8567.674,10709.593,8567.674,10709.593,8567.674,10709,8567,10709,8567,10709,8567
131,10843.463,8674.7705,10843.463,8674.7705,10843.463,8674.7705,10843,8674,10843,8674,10843,8674
132,10979.006,8783.205,10979.006,8783.205,10979.006,8783.205,10979,8783,10979,8783,10979,8783
133,11116.243,8892.995,11116.243,8892.995,11116.243,8892.995,11116,8892,11116,8892,11116,8892
134,11255.196,9004.157,11255.196,9004.157,11255.196,9004.157,11255,9004,11255,9004,11255,9004
135,11395.887,9116.709,11395.887,9116.709,11395.887,9116.709,11395,9116,11395,9116,11395,9116
136,11538.335,9230.668,11538.335,9230.668,11538.335,9230.668,11538,9230,11538,9230,11538,9230
137,11682.564,9346.052,11682.564,9346.052,11682.564,9346.052,11682,9346,11682,9346,11682,9346
138,11828.597,9462.877,11828.597,9462.877,11828.597,9462.877,11828,9462,11828,9462,11828,9462
139,11976.454,9581.163,11976.454,9581.163,11976.454,9581.163,11976,9581,11976,9581,11976,9581
140,12126.159,9700.928,12126.159,9700.928,12126.159,9700.928,12126,9700,12126,9700,12126,9700
141,12277.736,9822.189,12277.736,9822.189,12277.736,9822.189,12277,9822,12277,9822,12277,9822
142,12431.208,9944.967,12431.208,9944.967,12431.208,9944.967,12431,9944,12431,9944,12431,9944
143,12586.599,10069.278,12586.599,10069.278,12586.599,10069.278,12586,10069,12586,10069,12586,10069
144,12743.931,10195.145,12743.931,10195.145,12743.931,10195.145,12743,10195,12743,10195,12743,10195
145,12903.229,10322.584,12903.229,10322.584,12903.229,10322.584,12903,10322,12903,10322,12903,10322
146,13064.521,10451.616,13064.521,10451.616,13064.521,10451.616,13064,10451,13064,10451,13064,10451
147,13227.827,10582.262,13227.827,10582.262,13227.827,10582.262,13227,10582,13227,10582,13227,10582
148,13393.175,10714.54,13393.175,10714.54,13393.175,10714.54,13393,10714,13393,10714,13393,10714
149,13560.589,10848.472,13560.589,10848.472,13560.589,10848.472,13560,10848,13560,10848,13560,10848
150,13730.097,10984.077,13730.097,10984.077,13730.097,10984.077,13730,10984,13730,10984,13730,10984
151,13901.723,11121.378,13901.723,11121.378,13901.723,11121.378,13901,11121,13901,11121,13901,11121
152,14075.494,11260.396,14075.494,11260.396,14075.494,11260.396,14075,11260,14075,11260,14075,11260
153,14251.438,11401.15,14251.438,11401.15,14251.438,11401.15,14251,11401,14251,11401,14251,11401
154,14429.581,11543.665,14429.581,11543.665,14429.581,11543.665,14429,11543,14429,11543,14429,11543
155,14609.951,11687.961,14609.951,11687.961,14609.951,11687.961,14609,11687,14609,11687,14609,11687
156,14792.575,11834.061,14792.575,11834.061,14792.575,11834.061,14792,11834,14792,11834,14792,11834
157,14977.482,11981.986,14977.482,11981.986,14977.482,11981.986,14977,11981,14977,11981,14977,11981
158,15164.701,12131.761,15164.701,12131.761,15164.701,12131.761,15164,12131,15164,12131,15164,12131
159,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0
180,5754.6826,4603.746,5754.6826,4603.746,5754.6826,4603.746,5754,4603,5754,4603,5754,4603
181,5826.6157,4661.293,5826.6157,4661.293,5826.6157,4661.293,5826,4661,5826,4661,5826,4661
182,5899.4487,4719.559,5899.4487,4719.559,5899.4487,4719.559,5899,4719,5899,4719,5899,4719
183,5973.192,4778.553,5973.192,4778.553,5973.192,4778.553,5973,4778,5973,4778,5973,4778
184,6047.8564,4838.285,6047.8564,4838.285,6047.8564,4838.285,6047,4838,6047,4838,6047,4838
185,6123.455,4898.7637,6123.455,4898.7637,6123.455,4898.7637,6123,4898,6123,4898,6123,4898
186,6199.998,4959.9985,6199.998,4959.9985,6199.998,4959.9985,6199,4959,6199,4959,6199,4959
187,6277.498,5021.9985,6277.498,5021.9985,6277.498,5021.9985,6277,5021,6277,5021,6277,5021
188,6355.967,5084.7734,6355.967,5084.7734,6355.967,5084.7734,6355,5084,6355,5084,6355,5084
189,6435.4165,5148.333,6435.4165,5148.333,6435.4165,5148.333,6435,5148,6435,5148,6435,5148
190,6515.859,5212.687,6515.859,5212.687,6515.859,5212.687,6515,5212,6515,5212,6515,5212
191,6597.307,5277.8457,6597.307,5277.8457,6597.307,5277.8457,6597,5277,6597,5277,6597,5277
192,6679.7734,5343.819,6679.7734,5343.819,6679.7734,5343.819,6679,5343,6679,5343,6679,5343
193,6763.271,5410.6167,6763.271,5410.6167,6763.271,5410.6167,6763,5410,6763,5410,6763,5410
194,6847.8115,5478.2495,6847.8115,5478.2495,6847.8115,5478.2495,6847,5478,6847,5478,6847,5478
195,6933.409,5546.7275,6933.409,5546.7275,6933.409,5546.7275,6933,5546,6933,5546,6933,5546
196,7020.077,5616.0615,7020.077,5616.0615,7020.077,5616.0615,7020,5616,7020,5616,7020,5616
197,7107.828,5686.262,7107.828,5686.262,7107.828,5686.262,7107,5686,7107,5686,7107,5686
198,7196.676,5757.341,7196.676,5757.341,7196.676,5757.341,7196,5757,7196,5757,7196,5757
199,7286.6343,5829.307,7286.6343,5829.307,7286.6343,5829.307,7286,5829,7286,5829,7286,5829
200,7377.7173,5902.174,7377.7173,5902.174,7377.7173,5902.174,7377,5902,7377,5902,7377,5902
201,7469.9385,5975.9507,7469.9385,5975.9507,7469.9385,5975.9507,7469,5975,7469,5975,7469,5975
202,7563.313,6050.6504,7563.313,6050.6504,7563.313,6050.6504,7563,6050,7563,6050,7563,6050
203,7657.854,6126.283,7657.854,6126.283,7657.854,6126.283,7657,6126,7657,6126,7657,6126
204,7753.5776,6202.862,7753.5776,6202.862,7753.5776,6202.862,7753,6202,7753,6202,7753,6202
205,7850.497,6280.3975,7850.497,6280.3975,7850.497,6280.3975,7850,6280,7850,6280,7850,6280
206,7948.6284,6358.903,7948.6284,6358.903,7948.6284,6358.903,7948,6358,7948,6358,7948,6358
207,8047.9863,6438.389,8047.9863,6438.389,8047.9863,6438.389,8047,6438,8047,6438,8047,6438
208,8148.586,6518.8687,8148.586,6518.8687,8148.586,6518.8687,8148,6518,8148,6518,8148,6518
209,8250.443,6600.3545,8250.443,6600.3545,8250.443,6600.3545,8250,6600,8250,6600,8250,6600
210,8353.574,6682.859,8353.574,6682.859,8353.574,6682.859,8353,6682,8353,6682,8353,6682
211,8457.993,6766.395,8457.993,6766.395,8457.993,6766.395,8457,6766,8457,6766,8457,6766
212,8563.719,6850.9746,8563.719,6850.9746,8563.719,6850.9746,8563,6850,8563,6850,8563,6850
213,8670.765,6936.612,8670.765,6936.612,8670.765,6936.612,8670,6936,8670,6936,8670,6936
214,8779.149,7023.32,8779.149,7023.32,8779.149,7023.32,8779,7023,8779,7023,8779,7023
215,8888.889,7111.1113,8888.889,7111.1113,8888.889,7111.1113,8888,7111,8888,7111,8888,7111
216,9000,7200,9000,7200,9000,7200,9000,7200,9000,7200,9000,7200
217,9112.5,7290,9112.5,7290,9112.5,7290,9112,7290,9112,7290,9112,7290
218,9226.406,7381.125,9226.406,7381.125,9226.406,7381.125,9226,7381,9226,7381,9226,7381
219,9341.736,7473.389,9341.736,7473.389,9341.736,7473.389,9341,7473,9341,7473,9341,7473
220,9458.508,7566.8066,9458.508,7566.8066,9458.508,7566.8066,9458,7566,9458,7566,9458,7566
221,9576.739,7661.3916,9576.739,7661.3916,9576.739,7661.3916,9576,7661,9576,7661,9576,7661
222,9696.448,7757.1587,9696.448,7757.1587,9696.448,7757.1587,9696,7757,9696,7757,9696,7757
223,9817.654,7854.1235,9817.654,7854.1235,9817.654,7854.1235,9817,7854,9817,7854,9817,7854
224,9940.375,7952.3,9940.375,7952.3,9940.375,7952.3,9940,7952,9940,7952,9940,7952
225,10064.63,8051.7036,10064.63,8051.7036,10064.63,8051.7036,10064,8051,10064,8051,10064,8051
226,10190.438,8152.35,10190.438,8152.35,10190.438,8152.35,10190,8152,10190,8152,10190,8152
227,10317.818,8254.254,10317.818,8254.254,10317.818,8254.254,10317,8254,10317,8254,10317,8254
228,10446.791,8357.433,10446.791,8357.433,10446.791,8357.433,10446,8357,10446,8357,10446,8357
229,10577.376,8461.9,10577.376,8461.9,10577.376,8461.9,10577,8461,10577,8461,10577,8461
230,10709.593,8567.674,10709.593,8567.674,10709.593,8567.674,10709,8567,10709,8567,10709,8567
231,10843.463,8674.7705,10843.463,8674.7705,10843.463,8674.7705,10843,8674,10843,8674,10843,8674
232,10979.006,8783.205,10979.006,8783.205,10979.006,8783.205,10979,8783,10979,8783,10979,8783
233,11116.243,8892.995,11116.243,8892.995,11116.243,8892.995,11116,8892,11116,8892,11116,8892
234,11255.196,9004.157,11255.196,9004.157,11255.196,9004.157,11255,9004,11255,9004,11255,9004
235,11395.887,9116.709,11395.887,9116.709,11395.887,9116.709,11395,9116,11395,9116,11395,9116
236,11538.335,9230.668,11538.335,9230.668,11538.335,9230.668,11538,9230,11538,9230,11538,9230
237,11682.564,9346.052,11682.564,9346.052,11682.564,9346.052,11682,9346,11682,9346,11682,9346
238,11828.597,9462.877,11828.597,9462.877,11828.597,9462.877,11828,9462,11828,9462,11828,9462
239,11976.454,9581.163,11976.454,9581.163,11976.454,9581.163,11976,9581,11976,9581,11976,9581
240,12126.159,9700.928,12126.159,9700.928,12126.159,9700.928,12126,9700,12126,9700,12126,9700
241,12277.736,9822.189,12277.736,9822.189,12277.736,9822.189,12277,9822,12277,9822,12277,9822
242,12431.208,9944.967,12431.208,9944.967,12431.208,9944.967,12431,9944,12431,9944,12431,9944
243,12586.599,10069.278,12586.599,10069.278,12586.599,10069.278,12586,10069,12586,10069,12586,10069
244,12743.931,10195.145,12743.931,10195.145,12743.931,10195.145,12743,10195,12743,10195,12743,10195
245,12903.229,10322.584,12903.229,10322.584,12903.229,10322.584,12903,10322,12903,10322,12903,10322
246,13064.521,10451.616,13064.521,10451.616,13064.521,10451.616,13064,10451,13064,10451,13064,10451
247,13227.827,10582.262,13227.827,10582.262,13227.827,10582.262,13227,10582,13227,10582,13227,10582
248,13393.175,10714.54,13393.175,10714.54,13393.175,10714.54,13393,10714,13393,10714,13393,10714
249,13560.589,10848.472,13560.589,10848.472,13560.589,10848.472,13560,10848,13560,10848,13560,10848
250,13730.097,10984.077,13730.097,10984.077,13730.097,10984.077,13730,10984,13730,10984,13730,10984
251,13901.723,11121.378,13901.723,11121.378,13901.723,11121.378,13901,11121,13901,11121,13901,11121
252,14075.494,11260.396,14075.494,11260.396,14075.494,11260.396,14075,11260,14075,11260,14075,11260
253,14251.438,11401.15,14251.438,11401.15,14251.438,11401.15,14251,11401,14251,11401,14251,11401
254,14429.581,11543.665,14429.581,11543.665,14429.581,11543.665,14429,11543,14429,11543,14429,11543
255,14609.951,11687.961,14609.951,11687.961,14609.951,11687.961,14609,11687,14609,11687,14609,11687
256,14792.575,11834.061,14792.575,11834.061,14792.575,11834.061,14792,11834,14792,11834,14792,11834
257,14977.482,11981.986,14977.482,11981.986,14977.482,11981.986,14977,11981,14977,11981,14977,11981
258,15164.701,12131.761,15164.701,12131.761,15164.701,12131.761,15164,12131,15164,12131,15164,12131
259,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0
