Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Fatebound,"The Fatebound eagerly act as the Hand of Fate, sowing chaos into well-laid plans. Guided by the whims of a flipped Fatebound Coin, they deliver the ending their enemies are destined for; the ending they deserve.",52,27433,852
Deathstalker,"The harbingers of death, Deathstalkers strike from the shadows to bring a swift end to their targets.",53,27432,852
Totemic,"Totemic shamans excel at unlocking the full power of their totems, strengthening their totems and gaining access to new ones. They also hone their imbuement skills to maintain their threat up close.",54,26703,786
Stormbringer,"Stormbringers harness the power of the storm, enhancing their dominion over lightning and shaping it to their will. Summon a fierce Tempest to unleash chaos upon your foes awakening the storm, creating devastation in your path.",55,26683,786
Farseer,"Harness your spiritual magic, improving your spell casting capabilities and empowering you to call upon the spirits of your ancestors to aid you and your allies in combat.",56,27019,786
Soul Harvester,"Few grasp the power hidden within souls, but many know the hunger demons share for spirits of the fallen. Soul Harvesters enter pacts with demons from the Twisting Nether, serving as their host and feeding them the souls of their foes in exchange for incredible power.",57,27530,720
Hellcaller,"Amongst the satyr sects throughout Azeroth, Hellcallers are the most feared. Hellcaller warlocks have learned to weave together the vilest of shadow magic and entropic fel fire at the cost of corrupting their own soul.",58,27746,720
Diabolist,The defeat of the Legion left many powerful demons unbound. Diabolists command greater demons once thought to be uncontrollable and wield abyssal powers from the Twisting Nether on the battlefield.,59,26935,720
Slayer,"A vicious Warrior who sets their sights on a target and pursues it relentlessly, overwhelming their foes with an onslaught of steel and might.",60,26704,850
Mountain Thane,"Mountain Thanes are fierce fighters that live to challenge themselves against worthy opponents. Drawing strength from the earth and power from the storm, they strike with blows that hit like a thunder clap to overwhelm their enemies.",61,26684,850
Colossus,A veteran of countless battles who can shrug off attacks that would fell others while using their expertise to deliver their most powerful strikes and destroy their enemies.,62,26765,850
Conduit of the Celestials,Conduits of the Celestials devote themselves to the teachings of the August Celestials to embody their wisdom and harness their strength. Master Conduits may briefly channel the power of all Celestials at once.,64,27069,1000
Shado-Pan,Shado-Pan learn from their forebears and stand proud against their foes to defend friends and family. They bide their time to charge power before unleashing a flurry of blows to overwhelm opponents.,65,27070,1000
Master of Harmony,"Masters of Harmony chase physical perfection and the refinement of the body into pure strength, allowing them to tap into the flow of chi and natural cycles of power.",66,27745,1000
Stormbringer,"Stormbringers harness the power of the storm, enhancing their dominion over lightning and shaping it to their will. Summon a fierce Tempest to unleash chaos upon your foes awakening the storm, creating devastation in your path.",70,26683,1033
Totemic,"Totemic shamans excel at unlocking the full power of their totems, strengthening their totems and gaining access to new ones. They also hone their imbuement skills to maintain their threat up close.",71,26703,1033
Farseer,"Harness your spiritual magic, improving your spell casting capabilities and empowering you to call upon the spirits of your ancestors to aid you and your allies in combat.",72,27019,1033
Stormbringer,"Stormbringers harness the power of the storm, enhancing their dominion over lightning and shaping it to their will. Summon a fierce Tempest to unleash chaos upon your foes awakening the storm, creating devastation in your path.",73,26683,1034
Totemic,"Totemic shamans excel at unlocking the full power of their totems, strengthening their totems and gaining access to new ones. They also hone their imbuement skills to maintain their threat up close.",74,26703,1034
Farseer,"Harness your spiritual magic, improving your spell casting capabilities and empowering you to call upon the spirits of your ancestors to aid you and your allies in combat.",75,27019,1034
PH,Damage!,79,24179,1054
PH,Shielding!,80,24199,1054
Tank,"Brann relies on his allies, scavenged advanced technology, and his trusty shotgun to charge into the front lines.",81,24199,874
Tank,"Brann relies on his allies, scavenged advanced technology, and his trusty shotgun to charge into the front lines.",82,24199,1060
Healer,Brann uses his medical supplies and collected relics to heal injured players.,83,24186,1060
Damage Dealer,Brann brings down enemies from afar wielding Ol' Faithful.,84,24179,1060
