ID,Field_10_0_2_45779_000,Field_10_0_2_45779_001,Field_10_0_2_45779_002,Field_10_0_2_45779_003,Field_10_0_2_45779_004
149,SFX - Dungeon - Dragonflight - 10.0 Brackenhide Hollow,10.0 Brackenhide Hollow,197,128,1
150,SFX - Dungeon - Dragonflight - 10.0 Brackenhide Hollow - 1. Hackclaw's War-Band,1. Hackclaw's War-Band,197,149,1
151,SFX - Dungeon - Dragonflight - 10.0 Brackenhide Hollow - 2. Treemouth,2. Treemouth,197,149,1
152,SFX - Dungeon - Dragonflight - 10.0 Brackenhide Hollow - 3. Gutshot,3. Gutshot,197,149,1
153,SFX - Dungeon - Dragonflight - 10.0 Brackenhide Hollow - 4. Decatriarch Wratheye,4. Decatriarch Wratheye,197,149,1
154,SFX - Dungeon - Dragonflight - 10.0 Halls of Infusion,10.0 Halls of Infusion,197,128,1
155,SFX - Dungeon - Dragonflight - 10.0 Halls of Infusion - 1. Watcher Irideus,1. Watcher Irideus,197,154,1
156,SFX - Dungeon - Dragonflight - 10.0 Halls of Infusion - 2. Gulping Goliath,2. Gulping Goliath,197,154,1
157,SFX - Dungeon - Dragonflight - 10.0 Halls of Infusion - 3. Khajin the Unyielding,3. Khajin the Unyielding,197,154,1
158,SFX - Dungeon - Dragonflight - 10.0 Halls of Infusion - 4. Primal Tsunami,4. Primal Tsunami,197,154,1
159,SFX - Dungeon - Dragonflight - 10.0 Neltharus,10.0 Neltharus,197,128,1
160,"SFX - Dungeon - Dragonflight - 10.0 Neltharus - 1. Chargath, Bane of Scales","1. Chargath, Bane of Scales",197,159,1
161,SFX - Dungeon - Dragonflight - 10.0 Neltharus - 2. Forgemaster Gorek,2. Forgemaster Gorek,197,159,1
162,SFX - Dungeon - Dragonflight - 10.0 Neltharus - 3. Magmatusk,3. Magmatusk,197,159,1
163,SFX - Dungeon - Dragonflight - 10.0 Neltharus - 4. Warlord Sargha,4. Warlord Sargha,197,159,1
164,SFX - Dungeon - Dragonflight - 10.0 Ruby Life Pools,10.0 Ruby Life Pools,197,128,1
165,SFX - Dungeon - Dragonflight - 10.0 Ruby Life Pools - 1. Melidrussa Chillworn,1. Melidrussa Chillworn,197,164,1
166,SFX - Dungeon - Dragonflight - 10.0 Ruby Life Pools - 2. Kokia Blazehoof,2. Kokia Blazehoof,197,164,1
167,SFX - Dungeon - Dragonflight - 10.0 Ruby Life Pools - 3. Kyrakka and Erkhart Stormvein,3. Kyrakka and Erkhart Stormvein,197,164,1
168,SFX - Dungeon - Dragonflight - 10.0 Azure Vault,10.0 Azure Vault,197,128,1
169,SFX - Dungeon - Dragonflight - 10.0 Azure Vault - 1. Leymor,1. Leymor,197,168,1
170,SFX - Dungeon - Dragonflight - 10.0 Azure Vault - 2. Azureblade,2. Azureblade,197,168,1
171,SFX - Dungeon - Dragonflight - 10.0 Azure Vault - 3. Telash Greywing,3. Telash Greywing,197,168,1
172,SFX - Dungeon - Dragonflight - 10.0 Azure Vault - 4. Umbrelskul,4. Umbrelskul,197,168,1
173,SFX - Dungeon - Dragonflight - 10.0 Nokhud Offensive,10.0 Nokhud Offensive,197,128,1
174,SFX - Dungeon - Dragonflight - 10.0 Nokhud Offensive - 1. Granyth,1. Granyth,197,173,1
175,SFX - Dungeon - Dragonflight - 10.0 Nokhud Offensive - 2. Raging Tempest,2. Raging Tempest,197,173,1
176,SFX - Dungeon - Dragonflight - 10.0 Nokhud Offensive - 3. Teera and Maruuk,3. Teera and Maruuk,197,173,1
177,SFX - Dungeon - Dragonflight - 10.0 Nokhud Offensive - 4. Balakar Khan,4. Balakar Khan,197,173,1
178,SFX - Battle Pet,Battle Pet,197,197,1
179,SFX - Battle Pet - Humanoid,Humanoid,197,178,1
180,SFX - Battle Pet - Dragonkin,Dragonkin,197,178,1
181,SFX - Battle Pet - Flying,Flying,197,178,1
182,SFX - Battle Pet - Undead,Undead,197,178,1
183,SFX - Battle Pet - Critter,Critter,197,178,1
184,SFX - Battle Pet - Magic,Magic,197,178,1
185,SFX - Battle Pet - Elemental,Elemental,197,178,1
186,SFX - Battle Pet - Beast,Beast,197,178,1
187,SFX - Battle Pet - Aquatic,Aquatic,197,178,1
188,SFX - Battle Pet - Mechanical,Mechanical,197,178,1
189,SFX - Ambience,Ambience,197,197,1
190,SFX - Ambience - Dragonflight,Dragonflight,197,189,1
191,SFX - Ambience - Dragonflight - 10.0 Waking Shores,10.0 Waking Shores,197,190,1
192,SFX - Ambience - Dragonflight - 10.1 Zaralek Cavern,10.1 Zaralek Cavern,197,190,1
193,SFX - Ambience - Dragonflight - 10.1 Zaralek Cavern - Zone Tone,Zone Tone,197,192,1
194,SFX - Ambience - Dragonflight - 10.1 Zaralek Cavern - Periodic,Periodic,197,192,1
195,SFX - Ambience - Dragonflight - 10.0 Waking Shores - Zone Tone,Zone Tone,197,191,1
196,SFX - Ambience - Dragonflight - 10.0 Waking Shores - Periodic,Periodic,197,191,1
197,SFX,SFX,0,0,1
198,SFX - Player - Class - Evoker - Augmentation,Augmentation,197,45,0.7943282
199,SFX - Quest,Quest,197,197,1
200,SFX - Quest - Dragonflight,Dragonflight,197,199,1
201,SFX - Quest - Dragonflight - 10.0 Campaign,10.0 Campaign,197,200,1
202,SFX - Quest - Dragonflight - 10.0 Sidequest,10.0 Sidequest,197,200,1
203,SFX - Toy - Warcraft Rumble Machine,Warcraft Rumble Machine,197,62,0.63095737
204,Music,Music,0,0,1
205,Music - Toy,Toy,204,204,1
206,Music - Toy - Warcraft Rumble Machine,Warcraft Rumble Machine,204,205,0.63095737
207,SFX - UI - Ping,Ping,197,23,1
208,SFX - Ambience - Dragonflight - 10.2 Emerald Dream,10.2 Emerald Dream,197,190,1
209,SFX - Ambience - Dragonflight - 10.2 Emerald Dream - Ambience General,Ambience General,197,208,0.31622776
210,SFX - Ambience - Dragonflight - 10.2 Emerald Dream - Zone Tone - Dream,Dream,197,251,0.25118864
211,SFX - Ambience - Dragonflight - 10.2 Emerald Dream - Zone Tone - Lava,Lava,197,251,0.7943282
212,SFX - Ambience - Dragonflight - 10.2 Emerald Dream - Periodic,Periodic,197,208,1
213,SFX - Ambience - Dragonflight - 10.2 Emerald Dream - Emitter,Emitter,197,208,1
216,SFX - RTC,RTC,197,197,1
217,SFX - RTC - Dragonflight,Dragonflight,197,216,1
218,SFX - RTC - Dragonflight - 10.2,10.2,197,217,1
220,SFX - Reuse,Reuse,197,197,0.56234133
222,SFX - Raid - Dragonflight - 10.2 Amirdrassil,10.2 Amirdrassil,197,70,1
223,SFX - Raid - Dragonflight - 10.2 Amirdrassil - 1. Gnarlroot,1. Gnarlroot,197,222,1
224,SFX - Raid - Dragonflight - 10.2 Amirdrassil - 2. Igira the Cruel,2. Igira the Cruel,197,222,1
225,SFX - Raid - Dragonflight - 10.2 Amirdrassil - 3. Volcoross,3. Volcoross,197,222,1
226,SFX - Raid - Dragonflight - 10.2 Amirdrassil - 4. Council of Dreams,4. Council of Dreams,197,222,1
227,"SFX - Raid - Dragonflight - 10.2 Amirdrassil - 5. Larodar, Keeper of the Flame","5. Larodar, Keeper of the Flame",197,222,1
228,"SFX - Raid - Dragonflight - 10.2 Amirdrassil - 6. Nimue, Weaver of the Cycle","6. Nimue, Weaver of the Cycle",197,222,1
229,SFX - Raid - Dragonflight - 10.2 Amirdrassil - 7. Smolderon,7. Smolderon,197,222,1
230,"SFX - Raid - Dragonflight - 10.2 Amirdrassil - 8. Tindral Sageswift, Seer of the Flame","8. Tindral Sageswift, Seer of the Flame",197,222,1
231,SFX - Raid - Dragonflight - 10.2 Amirdrassil - 9. Fyrakk the Blazing,9. Fyrakk the Blazing,197,222,1
232,SFX - Ambience - Dragonflight - 10.2 Amirdrassil,10.2 Amirdrassil,197,190,0.56234133
233,SFX - Raid - Dragonflight - 10.2 Amirdrassil - 4. Council of Dreams - Aerwynn,Aerwynn,197,226,1
234,SFX - Raid - Dragonflight - 10.2 Amirdrassil - 4. Council of Dreams - Urctos,Urctos,197,226,1
235,SFX - Raid - Dragonflight - 10.2 Amirdrassil - 4. Council of Dreams - Pip,Pip,197,226,1
236,SFX - Reuse - Void,Void,197,220,1
237,SFX - Bestiary,Bestiary,197,197,1
239,SFX - Bestiary - Dragonflight,Dragonflight,197,237,1
240,SFX - Bestiary - Dragonflight - 10.2,10.2,197,239,1
241,SFX - Ambience - Dragonflight - 10.2 Amirdrassil - Periodic,Periodic,197,232,1
242,SFX - Ambience - Dragonflight - 10.2 Amirdrassil - Emitter,Emitter,197,232,1
243,SFX - Ambience - Dragonflight - 10.2 Amirdrassil - ZoneTone,ZoneTone,197,232,0.39810717
249,SFX - Raid - Dragonflight - 10.2 Amirdrassil - 7. Smolderon - NPC,NPC,197,229,1
250,SFX - Raid - Dragonflight - 10.2 Amirdrassil - 7. Smolderon - Spells,Spells,197,229,1
251,SFX - Ambience - Dragonflight - 10.2 Emerald Dream - Zone Tone,Zone Tone,197,208,0.17782794
252,SFX - RTC - Dragonflight - 10.2 - EDT,EDT,197,218,0.56234133
253,SFX - RTC - Dragonflight - 10.2 - VCO,VCO,197,218,0.70794576
254,SFX - RTC - Dragonflight - 10.2 - ETE,ETE,197,218,0.70794576
255,SFX - RTC - Dragonflight - 10.2 - GNW,GNW,197,218,0.70794576
256,SFX - Raid - Dragonflight - 10.2 Amirdrassil - 3. Volcoross - Tail,Tail,197,225,0.56234133
257,SFX - Plunderstorm,Plunderstorm,197,197,1
258,SFX - Plunderstorm - Creature Spell ,Creature Spell ,197,257,1
259,SFX - Plunderstorm - Creature Spell  - T1,T1,197,258,1
260,SFX - Plunderstorm - Creature Spell  - T2,T2,197,258,1
261,SFX - Plunderstorm - Player Spell,Player Spell,197,257,1
262,SFX - Plunderstorm - Player Spell - Offensive ,Offensive ,197,261,1
263,SFX - Plunderstorm - Player Spell - Utility ,Utility ,197,261,1
264,SFX - Ambience - The War Within,The War Within,197,189,1
265,SFX - Ambience - The War Within - 11.0 The Ringing Deeps,11.0 The Ringing Deeps,197,264,1
266,SFX - Ambience - The War Within - 11.0 The Ringing Deeps - Zone Tone - Industrial Area,Industrial Area,197,285,0.03981072
267,SFX - Ambience - The War Within - 11.0 The Ringing Deeps - Periodic,Periodic,197,265,0.1
268,SFX - Ambience - The War Within - 11.0 The Ringing Deeps - Zone Tone - Nature Area,Nature Area,197,285,0.19952624
269,SFX - Ambience - The War Within - 11.0 Isle of Dorn,11.0 Isle of Dorn,197,264,1
270,SFX - Ambience - The War Within - 11.0 Isle of Dorn - Zone Tone,Zone Tone,197,269,0.56234133
271,SFX - Ambience - The War Within - 11.0 Isle of Dorn - Periodic,Periodic,197,269,1
272,SFX - Ambience - The War Within - 11.0 Hallowfall,11.0 Hallowfall,197,264,1
273,SFX - Ambience - The War Within - 11.0 Azj-Kahet,11.0 Azj-Kahet,197,264,1
274,SFX - Ambience - The War Within - 11.0 Azj-Kahet - Zone Tone,Zone Tone,197,273,0.56234133
275,SFX - Ambience - The War Within - 11.0 Azj-Kahet - Periodic,Periodic,197,273,1
276,SFX - Ambience - The War Within - 11.0 Hallowfall - Zone Tone,Zone Tone,197,272,1
277,SFX - Ambience - The War Within - 11.0 Hallowfall - Periodic,Periodic,197,272,1
278,SFX - Ambience - The War Within - 11.0 Isle of Dorn - Zone Tone - Plains,Plains,197,270,1
279,SFX - Ambience - The War Within - 11.0 Isle of Dorn - Zone Tone - City,City,197,270,1
280,SFX - Ambience - The War Within - 11.0 Isle of Dorn - Zone Tone - Coast,Coast,197,270,1
281,SFX - Ambience - The War Within - 11.0 Isle of Dorn - Zone Tone - Low Mountains,Low Mountains,197,270,1
282,SFX - Ambience - The War Within - 11.0 Isle of Dorn - Zone Tone - High Mountains,High Mountains,197,270,1
283,SFX - Ambience - The War Within - 11.0 Isle of Dorn - Zone Tone - Canyon,Canyon,197,270,1
284,SFX - Ambience - The War Within - 11.0 Isle of Dorn - Zone Tone - Ocean,Ocean,197,270,1
285,SFX - Ambience - The War Within - 11.0 The Ringing Deeps - Zone Tone,Zone Tone,197,265,1
286,SFX - Plunderstorm - Player Spell - Consumable,Consumable,197,261,1
287,SFX - Plunderstorm - Bestiary,Bestiary,197,257,1
288,"SFX - Mount - Mechanical - Motorcycle, Fel","Motorcycle, Fel",197,55,1
290,SFX - Reuse - Honey,Honey,197,220,1
291,SFX - Reuse - Honey - Combat,Combat,197,290,1
292,SFX - Reuse - Honey - Cosmetic,Cosmetic,197,290,1
293,SFX - Ambience - The War Within - 11.0 The Ringing Deeps - Emitter,Emitter,197,265,1
294,SFX - Player - Class - Mage - Frostfire,Frostfire,197,47,1
295,SFX - RTC - Dragonflight - 10.2.7,10.2.7,197,217,1
296,SFX - RTC - Dragonflight - 10.2.7 - KAD,KAD,197,295,0.56234133
297,SFX - Player - Class - Death Knight - San'layn,San'layn,197,42,1
298,SFX - Player - Class - Paladin - Lightsmith,Lightsmith,197,49,1
299,SFX - Player - Class - Paladin - Herald of the Sun,Herald of the Sun,197,49,1
300,SFX - Player - Class - Paladin - Templar,Templar,197,49,1
301,SFX - Toy - 10.2.7,10.2.7,197,62,1
302,SFX - Toy - 10.2.7 - Satchel of Stormborn Seeds,Satchel of Stormborn Seeds,197,301,1
303,SFX - Toy - 10.2.7 - Satchel of Stormborn Seeds - Effect,Effect,197,302,0.39810717
304,SFX - Bestiary - The War Within - 11.0 - Abyssal Eel,Abyssal Eel,197,311,0.70794576
305,SFX - RTC - Dragonflight - 10.2.7 - VPR,VPR,197,295,1
306,SFX - Player - Class - Druid - Druid of the Claw,Druid of the Claw,197,44,1
307,SFX - Player - Class - Druid - Elune's Chosen,Elune's Chosen,197,44,1
308,SFX - Player - Class - Druid - Wildstalker,Wildstalker,197,44,1
309,SFX - Player - Class - Druid - Keeper of the Grove,Keeper of the Grove,197,44,1
310,SFX - Bestiary - The War Within,The War Within,197,237,1
311,SFX - Bestiary - The War Within - 11.0,11.0,197,310,1
312,SFX - GameObject,GameObject,197,197,1
313,SFX - GameObject - The War Within,The War Within,197,312,1
314,SFX - GameObject - The War Within - 11.0,11.0,197,313,1
315,SFX - GameObject - The War Within - 11.0 - 11DU_Airship_Stairs01,11DU_Airship_Stairs01,197,314,1
316,SFX - Raid - The War Within,The War Within,197,69,1
317,SFX - Toy - 11.0,11.0,197,62,1
318,SFX - RTC - Dragonflight - 10.2.7 - CFB,CFB,197,295,1
319,SFX - RTC - Dragonflight - 10.2.7 - WDT,WDT,197,295,1
320,SFX - RTC - Dragonflight - 10.2.7 - ALW,ALW,197,295,1
321,SFX - Mount - Mechanical - Airship,Airship,197,55,1
322,SFX - Mount - Mechanical - Airship - Darkmoon Dirigible,Darkmoon Dirigible,197,321,1
323,SFX - RTC - Dragonflight - 10.2.7 - LWL,LWL,197,295,1
324,SFX - Mount - Mechanical - Airship - Delver's Dirigible,Delver's Dirigible,197,321,0.7943282
325,SFX - Ambience - The War Within - 11.0 Dungeons,11.0 Dungeons,197,264,1
327,SFX - Ambience - The War Within - 11.0 Dungeons - Darkflame Cleft,Darkflame Cleft,197,325,0.70794576
328,SFX - Ambience - The War Within - 11.0 Dungeons - Darkflame Cleft - Zone Tone,Zone Tone,197,327,0.15848932
329,SFX - Ambience - The War Within - 11.0 Dungeons - Darkflame Cleft - Periodic,Periodic,197,327,0.70794576
