ID,Name,SoundID,Priority,MinDelayMinutes
670,Intro-ElwynnForest,22776,1,25
671,Intro-BrackwellPumpkinPatch,22777,1,25
672,Intro-EastvaleLoggingCamp,22778,1,25
673,Intro-HeroesVigil,22779,1,25
674,Intro-NorthshireValley,22780,1,25
675,Intro-RidgepointTower,22782,1,25
676,Intro-MaclureVineyards,22783,1,25
677,Intro-StonefieldFarm,22784,1,25
678,Intro-AzureloadMine,22786,1,25
679,Intro-DurnholdeKeep,22787,1,25
680,Intro-TinkerTown,22792,1,25
681,Intro-IronbandsExcavationSite,22795,1,25
682,Intro-IronwingCavern,22796,1,25
683,Intro-FarstriderLodge,22798,1,25
684,Intro-ValleyOfKings,22800,1,25
685,Intro-RedRocks,22811,1,25
686,Intro-TheGreatGateN,22813,1,25
687,Intro-Ratchet,22817,1,25
688,Intro-FarWatchPost,22821,1,25
689,Intro-GroldomFarm,22822,1,25
690,Intro-Mor'shanBaseCamp,22823,1,25
691,Intro-TheDryHills,22826,1,25
692,Intro-TheMerchantCoast,22827,1,25
693,Intro-ValleyofStrength,22830,1,25
694,Intro-GrommashHold,22831,1,25
695,Intro-Battlescar,22834,1,25
696,Intro-DesolationHold,22836,1,25
697,Intro-FortTriumph,22838,1,25
698,Intro-HonorsStand,22842,1,25
699,Intro-NorthwatchHold,22843,1,25
700,Intro-OvergrownCamp,22845,1,25
701,Intro-TheGreatGateS,22847,1,25
702,Intro-BattlescarValley,22851,1,25
703,Intro-GreatwoodVale,22852,1,25
704,Intro-LakeEluneara,22861,1,25
705,Intro-Nighthaven,22862,1,25
706,Intro-ShrineOfRemulos,22863,1,25
707,Intro-Gadgetzan,22865,1,25
708,Intro-LandsEndBeach,22869,1,25
709,Intro-LostRiggerCove,22870,1,25
710,Intro-SouthbreakShore,22872,1,25
711,Intro-Aldrassil,22874,1,25
712,Intro-Dolanaar,22875,1,25
713,Intro-Gnarlpine,22876,1,25
714,Intro-LakeAlameth,22877,1,25
715,Intro-PoolsOfArlithrien,22878,1,25
716,Intro-StarbreezeVillage,22879,1,25
717,Intro-TheCleft,22880,1,25
718,Intro-TheOracleGlade,22881,1,25
719,Intro-WellspringLake,22882,1,25
720,Intro-WellspringHovel,22883,1,25
721,Intro-WellspringRiver,22884,1,25
722,Intro-BanethilHollow,22886,1,25
723,Intro-AshenLake,22909,1,25
724,Intro-BlackhornsPennance,22910,1,25
725,Intro-LeyarasSorrow,22917,1,25
726,Intro-ShrineofGoldrinn,22919,1,25
727,Intro-Nordrassil,22921,1,25
728,Intro-SanctuaryOfMalorne,22924,1,25
729,Intro-TheVerdantThicket,22926,1,25
730,Intro-Astraanar,22928,1,25
731,Intro-BlackfathomCamp,22931,1,25
732,Intro-FalfarrenRiver,22933,1,25
733,Intro-FallenSkyLake,22934,1,25
734,Intro-DemonFallRidge,22935,1,25
735,Intro-FelfireHill,22937,1,25
736,Intro-FireScarShrine,22938,1,25
737,Intro-HellscreamsWatch,22940,1,25
738,Intro-HouseOfEdune,22941,1,25
740,Intro-MystralLake,22945,1,25
741,Intro-NightsongWoods,22947,1,25
742,Intro-OrendilsRetreat,22948,1,25
743,Intro-RaynewoodRetreat,22949,1,25
744,Intro-RaynewoodTower,22950,1,25
745,Intro-SilverwindRefuge,22952,1,25
746,Intro-SilverwingGrove,22953,1,25
747,Intro-SplintertreePost,22954,1,25
748,Intro-StardustSpire,22955,1,25
749,Intro-Talondeepvale,22956,1,25
750,Intro-HowlingVale,22957,1,25
751,Intro-RuinsofStardust,22958,1,25
752,Intro-TheSkunkworks,22959,1,25
753,Intro-WarsongLaborCamp,22961,1,25
754,Intro-WarsongLumberCamp,22962,1,25
755,Intro-ZoramgarOutpost,22963,1,25
756,Intro-Azshara,22966,1,25
757,Intro-BearsHead,22968,1,25
758,Intro-BilgewaterHarbor,22969,1,25
759,Intro-BlackmawHold,22971,1,25
760,Intro-DarnassianBaseCamp,22972,1,25
761,Intro-GallywixPleasurePalace,22973,1,25
762,Intro-LegashEncampment,22976,1,25
763,Intro-MountainfootStripMine,22977,1,25
764,Intro-NorthernRocketwayExchange,22978,1,25
765,Intro-OrgrimmarRearGate,22979,1,25
766,Intro-OrgrimmarRocketwayExchange,22980,1,25
767,Intro-RuinsofEldarath,22982,1,25
768,Intro-SouthernRocketwayTerminus,22984,1,25
769,Intro-StormCliffs,22985,1,25
770,Intro-TalrendisPoint,22986,1,25
771,Intro-TempleOfZinMalor,22988,1,25
772,Intro-AuberdineRefugeeCamp,22997,1,25
773,Intro-GroveOfTheAncients,22998,2,25
774,Intro-LorDanel,23001,2,25
775,Intro-Nazjvel,23003,2,25
776,Intro-RuinsOfAuberdine,23005,1,25
777,Intro-RuinsOfLornestra,23006,1,25
778,Intro-Darnassus,23010,1,25
779,Intro-GelkisVillage,23016,1,25
780,Intro-MagramTerritory,23019,1,25
781,Intro-MannorocCoven,23020,1,25
782,Intro-Shokthokar,23025,1,25
783,Intro-SlitherbladeShore,23026,1,25
784,Intro-ThunksAbode,23029,1,25
785,Intro-ValleyOfBones,23030,1,25
786,Intro-ValleyOfSpears,23031,1,25
787,Intro-DarkspearIsle,23035,1,25
788,Intro-ZalazanesFall,23037,1,25
789,Intro-BloodtalonShore,23038,1,25
790,Intro-NorthwatchFoothold,23040,1,25
791,Intro-RazorHill,23041,1,25
792,Intro-SouthfuryWatershed,23042,1,25
793,Intro-SouthfuryRiverDurotar,23042,1,25
794,Intro-SpitescaleCove,23045,1,25
795,Intro-DranosharBlockade,23046,1,25
796,Intro-TiragardeKeep,23047,1,25
797,Intro-ValleyOfTrials,23049,1,25
798,Intro-DeathwingsFall,23059,1,25
799,Intro-FracturedBattlefront,23060,1,25
800,Intro-NeedlerockSlag,23061,1,25
801,Intro-StormsFuryWreckage,23062,1,25
802,Intro-TempleOfEarth,23064,1,25
803,Intro-Stonecore,23065,1,25
804,Intro-GatewayofEternity,23066,1,25
805,Intro-ObeliskOfTheStars,23067,1,25
806,Intro-StepsOfFate,23069,1,25
807,Intro-HallsOfOrigination,23070,1,25
808,Intro-HamatepsGate,23072,1,25
809,Intro-ObeliskOfTheSun,23074,1,25
810,Intro-ChamberOfTheSun,23076,1,25
811,Intro-GilneasCity,23077,1,25
812,Intro-GreymaneCourt,23079,1,25
813,Intro-StonewardPrison,23080,1,25
814,Intro-AdericsRepose,23083,1,25
815,Intro-CrowleyOrchard,23084,1,25
816,Intro-HaywardFishery,23088,1,25
817,Intro-KingsGate,23089,1,25
818,Intro-NorthernHeadlands,23091,1,25
819,Intro-RygnasLair,23092,1,25
820,Intro-StagecoachCrashSite,23094,1,25
821,Intro-Taldoren,23095,1,25
822,Intro-TheBlackwald,23097,1,25
823,Intro-TheHeadlands,23099,1,25
826,Intro-AllianceBeachhead,23103,1,25
827,Intro-BilgewaterLumberYard,23104,1,25
828,Intro-DireStrait,23108,1,25
829,Intro-DrakasFury,23109,1,25
830,Intro-GallywixDocks,23110,1,25
831,Intro-GallywixLaborMine,23111,1,25
832,Intro-HordeBaseCamp,23112,1,25
833,Intro-KajamiteCavern,23114,1,25
834,Intro-KTCOilPlatform,23116,1,25
835,Intro-LandingSite,23118,1,25
836,Intro-LostCaldera,23119,1,25
837,Intro-LostPeak,23121,1,25
838,Intro-RaptorRise,23123,1,25
839,Intro-ScorchedGully,23124,1,25
840,Intro-ShipwreckShore,23125,1,25
841,Intro-SkyFalls,23127,1,25
842,Intro-TheGreatSeaLostIsles,23128,1,25
843,Intro-SavageGlen,23129,1,25
844,Intro-SlavePits,23130,1,25
845,Intro-ViciousVale,23131,1,25
846,Intro-TownInABox,23132,1,25
847,Intro-TranquilCoast,23133,1,25
848,Intro-RuinsofVashjelan,23134,1,25
849,Intro-VengeanceWake,23138,1,25
850,Intro-VerdantHighlands,23139,1,25
851,Intro-VolcanothsLair,23140,1,25
852,Intro-WarchiefsLookout,23141,1,25
853,Intro-WildOverlook,23143,1,25
854,Intro-BlackDrake,23148,1,25
855,Intro-Bloodgulch,23149,1,25
856,Intro-CrucibleofCarnage,23151,1,25
857,Intro-Crushblow,23152,1,25
858,Intro-DragonmawPass,23154,1,25
859,Intro-DragonmawPort,23155,1,25
860,Intro-Highbank,23157,1,25
861,Intro-TwilightCitadel,23161,1,25
862,Intro-TwilightAltarofStorms,23162,1,25
863,Intro-VictoryPoint,23163,1,25
864,Intro-WeepingWound,23164,1,25
867,intro-ogre,23757,1,40
868,Intro-ChillBreeze,23763,1,25
869,Intro-Bashal'AranCollapse,23777,1,25
870,silent,0,0,0
871,Intro-TheHighSeat,7338,1,60
881,intro-zg-thecoil,24661,1,40
882,intro-zg-thedevilsterrace,24662,1,40
883,intro-zg-thecacheofmadness,24660,1,40
884,intro-zg-telpleofbethekk,24659,1,40
885,intro-zg-mandokirsdomain,24658,1,40
886,intro-zg-altarofthebloodgod,24657,1,40
904,Intro-FL-RagnarosReach,25424,1,40
905,Intro-FL-Flamebreach,25414,1,40
906,Intro-FL-BethtilacsLair,25423,1,40
907,Intro-FL-SulfuronKeep,25388,1,40
908,Intro-FL-IgneousDepths,25410,1,40
909,Intro-FL-MalfurionsBreach,25413,1,40
943,Intro-50-WanderingIsle,25832,0,40
944,Intro-50-WanderingIsle-Temple,33525,0,40
947,Intro-50-DawningSpan,25852,0,40
948,Intro-DMF-IslandIntro,26537,1,40
949,Intro-DMF-DeathMatch,26538,1,40
952,Intro-43-EndTime-Intro,26570,1,40
953,Intro-43-EndTime-AzureIntro,26572,1,40
954,Intro-43-EndTime-EmeraldIntro,26575,1,40
955,Intro-43-EndTime-ObsidianIntro,26569,1,40
956,Intro-43-EndTime-MurozondIntro,26571,1,40
957,Intro-43-FotF-RavenholdtIntro,26596,1,40
958,Intro-43-WellOfEternity-AzsharaIntro,26579,1,40
959,Intro-43-WellOfEternity-MannorothIntro,26580,1,40
961,Intro-43-HourOfTwilight-Intro,26605,1,40
962,Intro-43-HourOfTwilight-GalakrondIntro,26606,1,40
963,Intro-43-HourOfTwilight-WyrmrestIntro,26607,1,40
964,Intro-43-DragonSoul-WyrmrestIntro,26612,1,40
965,Intro-43-DragonSoul-SkyfireIntro,26613,1,40
966,Intro-43-DragonSoul-MaelstromIntro,26620,1,40
967,Intro-43-WellOfEternity-Intro,26578,1,40
994,Intro-50-SpiritPath,28765,0,40
995,Intro-50-MSV-Raid-MoguShanVaults,33201,0,40
997,Intro-50-ValeofEternalBlossom,28772,2,40
998,Intro-50-ShenZinSu,30231,0,40
999,Intro-50-TempleoftheJadeSerpent,31982,0,40
1000,Intro-50-TJS-HeartofJade,31985,0,40
1001,Intro-50-TJS-Dungeon-LiuFlameheart,31989,0,40
1002,Intro-50-TJS-Dungeon-ShaofDoubt,31988,0,40
1003,Intro-50-MoguShanPalace,33190,0,40
1004,Intro-50-MoguShanPalace-BOSS,33194,0,40
1005,Intro-50-MSV-Raid-BOSS,33207,0,40
1006,Intro-50-MSV-Raid-EmpReach,33203,0,40
1007,Intro-50-MSV-Raid-Forge-EngineofNalaksha,33205,0,40
1008,Intro-50-MSV-Raid-Forge-HallofShapers,33209,0,40
1009,Intro-50-KW-TurtleBeach,33380,0,40
1010,Intro-50-WanderingIsle-TempleFire,33524,0,40
1011,Intro-50-WanderingIsle-TempleWater/Earth,33526,0,40
1012,Intro-50-WanderingIsle-Hozen,33523,0,40
1013,Intro-50-WanderingIsle-WoodofStaves,30576,0,40
1014,Intro-50-Dungeon-Scholomance,33514,0,40
1015,Intro,0,0,0
1016,Intro-50-GSS-Dungeon-CrossingtheBridge,33603,0,40
1017,Intro-50-GSS-Dungeon-GateoftheSettingSun,33605,0,40
1018,Intro-50-GSS-Dungeon-Courtyard,33604,0,40
1019,Intro-50-SoN-Dungeon-SiegeofNiuzao,33611,0,40
1020,Intro-50-SoN-Dungeon-NiuzaoExterior,33613,0,40
1021,Intro-50-TES-Raid-TerraceofEndlessSpring,33624,0,40
1022,Intro-50-JadeForest,33642,0,40
1023,Intro-50-SPM-Dungeon-ShadoPan,33650,0,40
1024,Intro-50-SPM-Dungeon-Sha,33648,0,40
1025,Intro-50-SPM-Dungeon-Snowdrift,33649,0,40
1026,Intro-50-SPM-Dungeon-SealedChamber,33655,0,40
1027,Intro-50-SPM-ShadoPan,33657,0,40
1028,Intro-50-SPM-SealedChamber,33659,0,40
1029,Intro-50-SPM-GroveofFallingBlossoms,33661,0,40
1030,Intro-50-VFW-ValleyoftheFourWinds,33692,0,40
1031,Intro-50-HOF-Raid-Antechamber,33699,0,40
1032,Intro-50-HOF-Raid-Training,33702,0,40
1033,Intro-50-HOF-Raid-StagingDread,33705,0,40
1034,Intro-50-HOF-Raid-Amber,33708,0,40
1035,Intro-50-HOF-Raid-HeartofFear,33710,0,40
1036,Intro-50-SM-Dungeon-ScarletEntrance,33718,0,40
1037,Intro-50-SM-Dungeon-Vestibule,33720,0,40
1038,Intro-50-SM-Dungeon-Training,33724,0,40
1039,Intro-50-SM-Dungeon-Armory,33726,0,40
1040,Intro-50-SM-Dungeon-Champions,33728,0,40
1041,Intro-50-SM-Dungeon-Treasures,33730,0,40
1042,Intro-50-SM-Dungeon-Athenaeum,33732,0,40
1043,Intro-50-SM-Dungeon-Forlorn,33734,0,40
1044,Intro-50-SM-Dungeon-ChapelGardens,33736,0,40
1045,Intro-50-SM-Dungeon-Crusader,33739,0,40
1046,Intro-50-SM-Dungeon-ChapelRoom,33741,0,40
1047,Intro-50-SSB-TricklingPassage-A,33749,0,40
1048,Intro-50-SSB-GrainCellar,33753,0,40
1049,Intro-50-SSB -Brewhall,33757,0,40
1050,Intro-50-SSB-Exterior1 ,33758,0,40
1051,Intro-50-SSB-Exterior2,33761,0,40
1052,Intro-50-SSB-TheGreatWheel,33764,0,40
1053,Intro-50-SSB-Exterior3,33771,0,40
1054,Zone-50-DW_RikkitunVillage_Intro,33820,0,40
1055,Zone-50-DW_TheSunsetBrewgarden_Intro,33828,0,40
1056,Zone-50-DW_TheHorridMarch_TheThunderingRun_Intro,33830,0,40
1059,Intro-50-VeiledStair-HundredSteps,33847,0,40
1060,Intro-50-VeiledStair-SecretAerie,33851,0,40
1061,Intro-50-TS-SikvessLair,33854,0,40
1062,Intro-50-TS-HatredsVice,33860,0,40
1063,Intro-50-KLS-KunLaiSummit,33864,0,40
1064,Intro-50-KLS-TempleoftheWhiteTiger,33871,0,40
1065,Intro-50-KLS-PeakofSerenity,33873,0,40
1066,Intro-50-KLS-ZouchinVillage,33879,0,40
1067,Intro-50-KLS-NeverestPinnacle,33884,0,40
1068,Intro-50-KW-KrasarangWilds,33899,0,40
1073,Intro-50-TS-ShanzeDao,33965,0,40
1076,Intro-51-KW-LionsLanding-INTRO,34879,0,40
1077,Intro-51-KW-DominationPoint-INTRO,34882,0,40
1078,Intro-51-PurgeofDalaran-Horde-INTRO,34991,0,40
1079,Intro-51-PurgeofDalaran-City-INTRO,34996,0,40
1080,Intro-51-Darnassus-Alliance-Jaina-INTRO,34997,0,40
1081,Intro-52-StormwindKeep,36283,2,40
1082,Intro-IsleOfThunder,36582,1,25
1083,Intro-IOTK_Sunreaver,36649,1,25
1084,Intro-IOTK_KirinTor,36647,1,25
1085,Intro-IOTK_KirinTor,36647,1,25
1086,Intro-52-IOTK-MoguGraveyard,36780,0,40
1088,Intro-52-TKRaid_ThroneOfThunder,36701,1,40
1089,Intro-52-IOTK-LootRoom-1,36912,0,5
1090,Intro-52-IOTK-LootRoom-2,36913,0,5
1091,Intro-52-IOTK-LootRoom-3,36914,0,5
1092,Intro-52-IOTK-Zebtula-Shaolmara,36964,0,40
1093,Intro-52-LootRun,36968,0,0
1094,Intro-52-TKRaid_Horridon,36720,1,40
1095,Intro-52-TKRaid_JinRokh,36706,1,20
1096,Intro-52-TKRaid_Tortos,36850,1,40
1097,Intro-52-TKRaid_JiKun,36852,1,40
1098,Intro-52-TKRaid_IronQon,36857,1,40
1099,Intro-52-TKRaid_HallofKings,36859,1,40
1100,Intro-52-TKRaid_MoguQueens,36860,1,20
1101,Intro-52-TKRaid_PinnacleofStorms,36862,1,40
1102,Intro-52-TKRaid_Beholder,36853,1,40
1103,Intro-52-TKRaid_RaDen,37012,1,40
1104,Intro-52-IOG_IsleOfGiants,37015,1,40
1105,Intro-53-Quest-BattleforRazorHill,37643,1,25
1106,Intro-54-TI_TimelessIsle,39124,1,40
1107,Intro-54-SOR-Vale-Intro,39437,1,40
1108,PH-Intro-54-SOR_Mines,39437,1,40
1109,Intro-54-TI_TimelessIsle_Ordos,39690,1,40
1110,Intro-54-SOR-Vale-GoldenLotus-Intro,39692,1,40
1111,Intro-54-SOR-Vale-NorushenRoom-Intro,39694,1,40
1112,Intro-54-SOR-Gates-Dock-Intro,39704,1,40
1113,Intro-54-SOR-Gates-ValleyofStrength-Intro,39706,1,40
1114,Intro-54-SOR-Underhold-Intro,39710,1,40
1115,Intro-54-SOR-InnerSanctum-Paragons-Intro,39715,1,40
1116,Intro-54-SOR-InnerSanctum-Garrosh-Intro,39716,1,20
1117,Intro-60-BlizzCon-FF-BladespireThrone-Intro,40195,0,40
1118,Intro-60-BlizzCon-SMV-Karabor-Intro,40200,0,40
1121,Intro-60-TJ_TanaanJungleIntro_DarkPortal_Intro,48259,0,40
1122,Intro-60-PVP-Ashran-RingofConquest-Intro,48484,0,40
1123,Intro-60-Garrison-H-Intro,48540,8,120
1124,Intro-60-Garrison-A-Intro,48543,8,120
1125,Intro-60-SpiresofArak,48884,0,40
1126,Intro-60-Gorgrond,48910,0,40
1127,Intro-60-FFR-Frostfire-Intro,49002,0,40
1128,Intro-60-NGD-Oshu'gun-Intro,49073,0,40
1129,Intro-60-NGD-Nagrand-Intro,49074,0,40
1130,Intro-60-Talador-Intro,49080,0,40
1131,Intro-60-Dungeon-GrimrailDepot-Intro,49184,0,40
1132,Intro-60-Dungeon-IronDocks-Intro,49185,0,40
1133,Intro-60-Dungeon-Skyreach-Intro,49128,0,40
1134,Intro-60-Dungeon-Auchindoun-Intro,49199,0,40
1135,Intro-60-Dungeon-SMBurialGrounds-Intro,49207,0,40
1136,Intro-60-Dungeon-SMBurialGrounds-Ner'Zhul-Intro,49207,0,40
1137,Intro-60-Dungeon-Everbloom-Intro,49218,0,40
1138,Intro-60-Dungeon-BlackRock-Foundry-Intro,49226,0,40
1139,Intro-60-Dungeon-Highmaul-Intro,49275,0,40
1140,Intro-GarrisonJukebox-01,49511,1,25
1141,Intro-GarrisonJukebox-02,49512,1,25
