ID,Name_lang,Description_lang,IconFileDataID,Category
77,Icy Water,Massive frozen ice chunks float on the surface of the water.  Navigating through the maze of ice leaves your ships vulnerable to attack.,236794,2
78,Stormy Weather,"Powerful wind gusts, violent lightning strikes, and rogue waves are just three concerns when sailing through Stormy Weather.",463562,2
79,Dense Fog,A Dense Fog coats this location in absolute darkness.,132331,2
80,Chaotic Whirlpools,"Chaotic Whirlpools appear without reason or warning, causing havoc on any vessel trying to pass through.",892446,2
81,Swift,"Accelerates through water with reckless power, half of the battle is just keeping up. The other half is physical.",132120,2
82,Evasive,"Capable of making abrupt turns without warning, this is a difficult target to hit.",136205,2
83,Minelayer,"As a minelayer, this ship dispenses proximity mines behind it, leaving a treacherous trail to follow.",133710,2
84,First Strike,A quick opening attack that can end a battle before it begins.,132212,2
85,Expert Captain,"A ship run by a veteran captain, well versed in nuanced naval combat.  Expert Captains cannot be countered directly, but must be accounted for to succeed.",133168,2
86,Ground Objective,,132296,2
87,Land Objective,"An objective that requires moving goods or troops to locations on land.

|cffb2f0ffCountered by: |r
|TInterface\ICONS\Ships_ABILITY_BoardingPartyALLIANCE.blp:24:24:0:0|t |cffffffff Transport|r",132296,2
88,Cursed Crew,Crewed by cursed sailors.,135974,2
89,Cliffs,"An unforgiving, precarious land.",409549,0
109,Boss,"|CFFFFFFF0Boss|R
Reduces mission success chance if not countered.",1357797,2
110,Hazard,"|CFFFFFFF0Hazard|R
Mission duration is increased if not countered.",1357798,2
111,Whirlwind,,132369,2
112,Warrior,,132347,2
113,Boss,"|CFFFFFFF0Boss|R
Reduces mission success chance if not countered.",1357797,2
114,Boss,"|CFFFFFFF0Boss|R
Reduces mission success chance if not countered.",1357797,2
115,Minions,"|CFFFFFFF0Army|R
This army has powerful armor.  Mission duration increased if not countered.",1357814,2
121,Spell,"|CFFFFFFF0Spell|R
A high damaging spell which causes increased damage to troops if not countered.",1357804,2
122,Ambush,Chance of mission success reduced.  Cannot be countered.,1357812,2
124,Boss,"|CFFFFFFF0Boss|R
Reduces mission success chance if not countered.",1357797,2
125,Boss,"|CFFFFFFF0Boss|R
Reduces mission success chance if not countered.",1357797,2
126,Brutal,Success chance reduced by ${$a910}%.,311232,2
127,Easy,Success chance reduced by ${$a909}%.,311236,2
128,Hard,Success chance reduced by ${$a907}%.,311237,2
129,Very Hard,Success chance reduced by ${$a908}%.,311238,2
130,Elite,Chance of mission success reduced.  Cannot be countered.,1357812,2
131,Dungeon,Chance of mission success reduced.  Cannot be countered.,1357812,2
132,Raid,Chance of mission success reduced.  Cannot be countered.,1357812,2
135,Argus Elite,"|CFFFFFFF0Argus Elite|R
Reduces mission success chance if not countered.",1113433,2
138,Primary Objective,"Adept at making devices, destroying devices or making devices that destroy other devices.",134520,2
139,Recon,"|cFFFFD200""Large groups attract attention""|r",134441,2
141,Scout,,134441,2
142,Ranged,,236201,2
143,Melee,,132269,2
144,Mounted,,132226,2
145,Sabotage,"While active, increases duration of other missions by 50%.

|cFFFFD200""Explosions can be messy""|r",133715,0
147,Primary Objective,"Finds targets, retreives information and looks good doing it.",132288,2
148,Night Vision,Provides a way to see in complete darkness.,136057,2
149,Primary Objective,Trained in a variety of combat styles and weapons.,615342,2
150,Quick Strike,"Reducing mission duration also increases success chance.

|cFFFFD200""A fast attack will surprise the enemy and provide zero opportunity to counter.  Get in and get out.""|r",134376,0
151,Elite Mission,Chance of mission success reduced.  Cannot be countered.,616373,2
153,Stealth,"Troops reduce success chance by 100%.

|cFFFFD200""Large groups attract attention""|r",132320,2
154,Long Campaign,"Increases success by 10% for every troop vitality on the mission.

|cFFFFD200""The long travel time and gruelling conditions would benefit from some fresh legs.""|r",1060984,2
256,Deep Sea,"Mission success chance reduced.

|cFFFFD200""How do you expect us to get there, swim?""|r",135861,2
257,JasonTest Mechanic,JasonTest Mechanic,0,0
