ID,OrderIndex,Gender,ClassMask,CreatureModelDataID,TextureVariationFileDataID[0],TextureVariationFileDataID[1],TextureVariationFileDataID[2],TextureVariationFileDataID[3],RaceMasks[0],RaceMasks[1],CreatureDisplayInfoID
207,20,1,0,0,1273131,0,0,0,-1321907123,1427461461,120489
208,20,0,0,0,0,1270153,0,0,-1321907123,1427461461,120489
209,20,0,0,0,0,1270154,0,0,-1321907123,1427461461,120489
210,2,0,0,8587,1272948,1270152,0,0,1309324210,-1440044374,120489
211,20,0,0,0,0,1270156,0,0,-1321907123,1427461461,120489
212,20,0,0,0,0,1270157,0,0,-1321907123,1427461461,120489
213,30,1,0,0,0,1307051,0,0,0,0,120489
214,30,1,0,0,0,1273085,0,0,0,0,120489
215,30,1,0,0,0,1273086,0,0,0,0,120489
216,30,1,0,0,0,1273087,0,0,0,0,120489
217,30,1,0,0,0,1273089,0,0,0,0,120489
218,30,1,0,0,0,1273093,0,0,0,0,120489
219,30,0,0,0,1272948,0,0,0,0,0,120489
220,30,0,0,0,1272949,0,0,0,0,0,120489
221,30,0,0,0,1272950,0,0,0,0,0,120489
222,30,0,0,0,1272951,0,0,0,0,0,120489
223,30,0,0,0,1272952,0,0,0,0,0,120489
224,30,0,0,0,1272953,0,0,0,0,0,120489
225,1,1,0,8476,1273132,1307051,0,0,0,0,120489
226,1,0,0,8477,1272948,1270153,0,0,0,0,120489
227,1,1,0,8307,1273145,1273133,0,0,-1321907123,1427461461,120490
228,1,0,0,8475,1257969,1272942,0,0,-1321907123,1427461461,120490
229,1,0,0,8475,1270141,1272942,0,0,1309324210,-1440044374,120490
230,1,1,0,8913,1273140,1273133,0,0,1309324210,-1440044374,120490
231,2,1,0,0,1273144,0,0,0,-1321907123,1427461461,120490
232,2,1,0,0,1273145,0,0,0,-1321907123,1427461461,120490
233,2,1,0,0,1273146,0,0,0,-1321907123,1427461461,120490
234,2,1,0,0,1273147,0,0,0,-1321907123,1427461461,120490
235,2,1,0,0,1273148,0,0,0,-1321907123,1427461461,120490
236,2,1,0,0,0,1273133,0,0,0,0,120490
237,2,1,0,0,0,1273134,0,0,0,0,120490
238,2,1,0,0,0,1273135,0,0,0,0,120490
239,2,1,0,0,0,1273136,0,0,0,0,120490
240,2,1,0,0,0,1273137,0,0,0,0,120490
241,2,1,0,0,0,1273138,0,0,0,0,120490
242,2,0,0,0,0,1272942,0,0,0,0,120490
243,2,0,0,0,0,1272943,0,0,0,0,120490
244,2,0,0,0,0,1272944,0,0,0,0,120490
245,2,0,0,0,0,1272945,0,0,0,0,120490
246,2,0,0,0,0,1272946,0,0,0,0,120490
247,2,0,0,0,0,1272947,0,0,0,0,120490
248,2,1,0,0,1273139,0,0,0,1309324210,-1440044374,120490
249,2,1,0,0,1273140,0,0,0,1309324210,-1440044374,120490
250,4,1,0,0,1273141,0,0,0,1309324210,-1440044374,120490
251,2,1,0,0,1273142,0,0,0,1309324210,-1440044374,120490
252,2,1,0,0,1273143,0,0,0,1309324210,-1440044374,120490
253,-1,0,0,16258,0,0,0,0,0,0,115607
254,-1,1,0,16258,0,0,0,0,0,0,115607
