ID,ObjectEffectPackageID,ObjectEffectGroupID,StateType
942,509,650,23
957,509,645,25
958,509,644,34
959,509,649,24
960,509,649,35
963,61,160,46
964,492,614,12
966,514,654,68
967,515,655,68
968,501,632,12
972,221,346,34
1003,61,160,82
1004,61,157,83
1005,61,163,85
1006,61,163,84
1007,61,163,20
1018,101,192,87
1019,101,192,86
1020,61,157,87
1021,61,157,86
1028,421,541,68
1029,421,541,69
1031,101,192,100
1032,101,192,101
1033,101,185,96
1034,101,191,99
1035,101,190,98
1036,101,192,97
1037,533,671,104
1038,533,672,19
1049,509,645,13
1055,501,632,27
1056,497,624,13
1058,101,192,33
1059,101,191,23
1060,101,192,12
1061,101,192,36
1062,101,192,24
1063,537,674,82
1064,537,674,83
1065,537,674,86
1066,537,675,85
1067,537,675,84
1071,241,361,98
1072,241,361,99
1073,241,362,97
1074,241,362,96
1079,241,361,34
1098,241,362,82
1099,241,361,83
1104,241,361,84
1105,241,361,86
1157,596,618,12
1162,461,281,4
1163,461,281,38
1215,628,758,12
1217,630,760,19
1219,596,761,15
1220,596,618,20
1221,596,618,21
1222,596,618,13
1223,631,762,40
1224,631,762,8
1225,631,762,14
1226,631,762,15
1228,632,763,12
1229,632,764,13
1230,633,765,8
1231,634,766,19
1235,635,759,12
1236,629,767,12
1241,637,770,87
1242,637,770,88
1243,637,770,85
1244,637,770,84
1246,637,770,89
1247,637,771,82
1248,637,771,19
1249,637,770,63
1252,637,770,34
1253,637,770,13
1254,637,773,83
1256,637,774,83
1257,637,772,41
1258,638,775,13
1259,638,776,34
1260,638,775,21
1261,638,775,20
1262,638,775,22
1263,638,776,31
1264,638,776,32
1265,639,778,13
1266,639,777,12
1267,639,777,31
1268,639,777,32
1269,639,778,22
1270,639,778,20
1271,639,778,21
1272,640,780,19
1273,641,781,8
1274,642,783,77
1275,643,785,34
1276,643,786,102
1277,643,786,87
1278,643,786,101
1279,644,787,13
1280,644,788,12
1281,645,789,13
1282,645,789,34
1283,639,778,34
1297,647,790,56
1298,647,790,55
1299,647,790,34
1300,647,791,41
1301,647,792,19
1302,647,792,96
1303,647,790,49
1304,647,790,50
1305,647,792,38
1311,648,794,46
1312,648,795,37
1313,648,796,33
1316,649,797,33
1317,650,798,13
1318,650,798,56
1319,648,784,33
1320,648,795,33
1321,648,630,1
1322,648,626,1
1323,648,628,37
1325,652,799,13
1326,652,800,15
1327,653,770,87
1328,653,770,88
1329,653,770,85
1330,653,770,84
1331,653,770,89
1332,653,771,82
1333,653,771,19
1334,653,770,63
1335,653,770,34
1336,653,770,13
1337,653,773,83
1338,653,774,83
1339,653,772,41
1340,653,770,1
1342,654,801,3
1344,654,802,1
1345,654,801,4
1346,654,803,5
1347,654,804,3
1348,655,805,76
1349,656,806,10
1350,656,807,15
1351,656,808,12
1352,656,809,13
1353,657,157,34
1354,657,169,27
1355,657,166,24
1356,657,165,23
1357,657,163,21
1358,657,160,19
1359,657,161,13
1360,657,164,22
1361,657,170,30
1362,657,171,26
1363,657,172,35
1364,657,173,6
1365,657,169,33
1366,657,169,29
1367,657,169,28
1368,657,169,29
1369,657,169,28
1370,657,221,42
1371,657,222,41
1372,657,160,46
1373,657,160,82
1374,657,157,83
1375,657,163,85
1376,657,163,84
1377,657,163,20
1378,657,157,87
1379,657,157,86
1380,657,160,38
1381,629,767,13
1382,635,759,13
1383,629,810,41
1384,658,811,1
1385,659,812,87
1386,659,812,83
1387,659,813,82
1388,660,814,1
1389,661,816,71
1390,639,817,24
1391,662,798,13
1392,662,798,56
1394,662,819,1
1395,662,819,38
1396,663,818,1
1397,663,819,1
1398,663,819,38
1399,664,820,87
1400,664,820,84
1401,664,820,85
1402,664,820,83
1403,664,820,88
1404,664,822,19
1406,664,822,82
1407,664,822,38
1408,664,822,48
1409,664,820,34
1410,664,820,61
1411,664,820,62
1412,664,820,83
1416,665,824,34
1417,665,824,13
1420,666,825,12
1421,666,825,13
1422,666,826,12
1423,667,827,13
1425,667,827,31
1426,667,827,32
1427,667,829,12
1433,668,831,1
1434,668,832,84
1435,668,832,85
1436,668,833,82
1437,668,834,90
1438,669,835,12
1439,669,836,13
1440,669,837,12
1442,669,838,12
1443,669,840,13
1444,668,841,84
1445,668,841,85
1463,671,843,90
1467,671,848,12
1472,671,848,19
1473,671,848,82
1474,671,848,87
1475,671,849,82
1478,672,851,83
1479,672,852,82
1480,672,852,41
1481,672,853,19
1483,672,854,83
1484,672,855,82
1485,672,856,83
1486,672,857,89
1487,672,854,89
1488,672,854,84
1489,672,854,85
1490,638,858,41
1498,673,858,41
1500,673,859,19
1501,673,859,38
1502,674,824,34
1503,674,824,13
1504,674,824,38
1505,675,860,80
1506,676,819,71
1507,677,862,1
1509,678,864,1
1511,679,864,105
1512,680,865,12
1513,680,865,34
1514,680,865,13
1515,681,866,49
1517,683,868,19
1519,685,869,41
1524,686,870,27
1525,687,871,55
1527,636,872,69
1528,636,402,19
1529,636,401,19
1530,636,872,19
1531,688,873,40
1532,645,789,12
1533,689,874,72
1534,690,875,50
1535,691,876,1
1536,692,835,12
1537,692,840,13
1538,637,771,38
1543,632,764,37
1544,632,764,55
1548,694,878,38
1549,694,878,1
1550,122,204,13
1551,122,204,8
1552,122,204,40
1553,81,158,13
1561,102,200,13
1562,102,200,8
1563,61,157,90
1564,61,160,96
1565,241,361,90
1566,241,361,100
1567,241,361,97
1568,696,879,77
1570,697,880,82
1571,697,881,83
1572,697,882,90
1574,697,884,82
1575,697,885,19
1576,697,886,34
1577,697,887,13
1578,697,888,34
1579,697,889,90
1580,697,890,90
1581,697,884,83
1582,697,884,89
1583,697,884,84
1584,697,884,85
1585,698,891,1
1590,700,892,87
1592,701,893,15
1593,701,894,40
1594,701,895,15
1595,702,896,15
1599,703,897,16
1601,704,898,34
1602,704,899,34
1603,704,898,22
1606,704,901,36
1607,704,901,24
1608,705,902,77
1609,706,770,87
1610,706,770,88
1611,706,770,85
1612,706,770,84
1613,706,770,89
1614,706,771,82
1615,706,771,19
1616,706,770,63
1617,706,770,34
1618,706,770,13
1619,706,773,83
1620,706,774,83
1621,706,772,41
1622,706,771,38
1623,707,905,19
1624,707,904,83
1625,707,903,83
1626,707,903,86
1627,707,903,84
1628,707,903,85
1629,707,903,23
1644,708,912,83
1645,708,913,83
1646,709,914,14
1647,709,914,39
1648,710,915,83
1649,710,916,38
1664,711,917,34
1665,711,918,90
1666,711,919,90
1667,711,920,19
1668,711,920,82
1669,711,921,41
1670,711,922,83
1671,710,923,90
1672,710,924,49
1673,711,920,83
1674,711,925,90
1675,711,926,91
1676,711,927,41
1677,712,928,19
1678,713,929,38
1679,713,930,90
1680,713,931,83
1681,713,932,34
1682,713,933,22
1683,713,934,20
1684,713,935,21
1685,713,936,89
1686,713,937,83
1687,710,938,20
1688,710,939,21
1689,710,940,22
1690,710,941,89
1693,714,882,90
1694,714,884,82
1697,714,887,13
1698,714,888,34
1699,714,889,90
1700,714,890,90
1701,714,884,83
1702,714,884,89
1703,714,884,84
1704,714,884,85
1705,714,942,19
1706,714,943,34
1707,714,944,83
1709,714,945,82
1713,718,950,40
1714,718,951,40
1716,101,185,20
1717,101,185,21
1718,161,270,34
1719,161,269,102
1720,719,953,82
1721,719,954,89
1722,719,955,84
1723,719,956,83
1724,719,957,19
1725,719,958,100
1726,719,955,85
1727,719,957,103
1728,719,957,96
1729,719,958,98
1730,719,958,99
1731,719,959,34
1732,719,957,22
1733,719,957,20
1734,719,957,21
1735,719,957,13
1736,719,957,41
1737,719,960,90
1738,718,962,15
1739,720,963,41
1740,720,964,34
1743,720,965,13
1744,720,965,22
1745,720,965,20
1746,720,965,21
1747,720,966,77
1748,721,970,77
1749,721,969,13
1750,721,968,34
1751,721,967,41
1752,721,969,22
1753,721,969,20
1754,721,969,21
1755,722,971,34
1756,723,972,23
1759,724,974,1
1760,725,975,77
1761,726,976,34
1762,726,977,34
1763,726,977,19
1764,727,790,56
1765,727,790,55
1766,727,790,34
1767,727,791,41
1768,727,792,19
1769,727,792,96
1770,727,790,49
1771,727,790,50
1772,727,792,38
1773,726,978,1
1774,727,979,1
1775,726,980,34
1776,726,981,20
1777,726,981,21
1778,728,982,71
1779,729,983,34
1780,729,984,77
1781,729,985,78
1782,730,986,1
1783,729,987,15
1785,731,951,1
1787,718,988,79
1789,732,990,19
1790,733,991,12
1791,733,991,31
1792,733,991,32
1793,733,991,13
1794,733,991,22
1795,734,992,71
1796,735,993,13
1797,735,993,34
1798,735,993,20
1799,735,993,21
1800,735,993,83
1801,736,983,34
1803,736,985,78
1804,736,987,15
1805,736,994,77
1807,738,915,83
1809,738,923,90
1810,738,924,49
1811,738,938,20
1812,738,939,21
1813,738,940,22
1814,738,941,89
1815,739,997,40
1830,745,1001,12
1831,746,1002,83
1832,746,1004,84
1833,746,1004,85
1834,746,1005,34
1835,746,1006,82
1847,753,1013,61
1848,753,1014,90
1849,753,1015,34
1850,753,1016,91
1887,762,1034,49
1890,762,1037,19
1893,764,1040,12
1894,764,1039,82
1895,764,1039,84
1896,764,1039,85
1898,762,1041,34
1899,762,1041,47
1901,764,1039,89
1902,764,1042,90
1903,764,1043,83
1904,762,1041,320
1905,762,1034,61
3995,1284,2091,34
3996,1284,2091,20
3997,1284,2091,21
3998,1284,2092,24
3999,1284,2091,22
4000,1284,2091,12
4001,1284,2092,35
6741,1820,3135,41
7204,1927,3366,175
7205,1929,3367,19
7206,1929,3368,87
7207,1929,3367,283
7208,1929,3367,55
7209,1929,3367,82
7210,1929,3367,22
7211,1929,3367,296
7212,1929,3368,49
7213,1929,3368,88
7214,1929,3368,85
7215,1929,3368,84
7216,1929,3368,83
7217,1929,3368,34
7218,1929,3368,20
7219,1929,3368,21
7220,1929,3369,61
7221,1929,3369,34
7222,1929,3368,61
7223,1929,3368,63
7224,1929,3368,64
7225,1929,3368,65
7226,1929,3367,26
7725,2091,3692,41
7726,2091,3693,834
7727,2091,3694,835
7728,2091,3695,836
7730,2092,3697,175
7731,2092,3698,34
7732,2092,3699,23
8523,2238,4077,19
8524,2238,4077,55
8566,2250,4118,175
8651,2264,4141,37
8652,2264,4142,37
8653,2264,4143,37
8654,2264,4144,37
8655,2264,4145,23
8656,2264,4147,35
8657,2264,4152,24
8671,2272,4167,37
8672,2272,4168,37
8673,2272,4169,37
8674,2272,4170,100
8680,2274,4177,1
8681,2274,4178,1
8684,2274,4180,37
8685,2274,4181,41
8686,2274,4182,19
8690,2274,4185,34
8709,2272,4188,175
8710,2272,4189,41
8764,2274,4197,175
9517,2351,4416,20
9518,2351,4408,38
9519,2351,4409,37
9520,2351,4415,83
9521,2351,4414,82
9522,2351,4412,35
9523,2351,4411,36
9524,2351,4416,21
9526,2264,4481,61
9528,2264,4481,82
9529,2264,4481,84
9530,2264,4481,85
9531,2264,4481,86
9532,2264,4481,27
9533,2264,4481,26
9534,2264,4481,28
9535,2264,4481,29
9536,2264,4481,30
