ID,Name_lang,SafeLocID,PlayerConditionID,Flags,Field_8_2_0_30080_005,Field_8_2_0_30080_006
51,Take the portal from Wizard's Sanctum to Boralus,7308,67398,4,1,10
52,"Wizard's Sanctum, Portal to Boralus",7309,924,0,2,0
53,Take the portal from Greyfang Enclave to Stormwind,7314,924,0,1,0
54,Take the portal from Shrine of Seven Stars to Stormwind,7315,924,0,1,0
55,Take the portal from Hall of Mysteries to Hellfire Peninsula,7316,924,1,1,0
56,"The Stair of Destiny, Portal to Stormwind",7317,924,1,2,0
57,Enter the Deeprun Tram,7318,924,0,1,0
58,Exit to Ironforge,7319,924,0,2,0
59,Board the Tram,7320,924,0,0,0
60,Board the Tram,7321,924,0,0,0
61,Take the portal from Sanctum of the Sages to Stormwind,7322,62085,0,1,0
62,Take the portal from Sanctum of the Sages to the Exodar,7323,62085,0,1,0
63,Take the portal from Sanctum of the Sages to Ironforge,7324,62085,0,1,0
64,Take the boat from Stormwind to Boralus,7325,924,0,1,0
65,Take the boat from Boralus to Stormwind,7326,924,0,1,0
66,Take the boat from Stormwind to Valiance Keep,7327,924,0,0,0
67,Take the boat from Valiance Keep to Stormwind,7343,924,0,0,0
68,Take the boat from Baradin Bay to Theramore Isle,7328,924,0,0,0
69,Take the boat from Theramore Isle to Menethil Harbor,7329,924,0,0,0
70,Take the boat from Menethil Harbor to Daggercap Bay,7330,924,0,0,0
71,Take the boat from Daggercap Bay to Menethil Harbor,7331,924,0,0,0
72,Take the boat from Booty Bay to Ratchet,7332,0,0,0,0
73,Take the boat from Ratchet to Booty Bay,7333,0,0,0,0
74,Take the boat from Unu'pe to Moa'ki Harbor,7334,0,0,0,0
75,Take the boat from Moa'ki Harbor to Unu'pe,7335,0,0,0,0
76,Take the boat from Moa'ki Harbor to Kamagua,7336,0,0,0,0
77,Take the boat from Kamagua to Moa'ki Harbor,7337,0,0,0,0
78,Enter the Wizard's Sanctum,7338,924,1,0,0
79,Enter the Deeprun Tram,7339,924,0,1,0
80,Exit to Stormwind,7340,924,0,2,0
81,Boralus Harbor,7344,924,0,2,0
82,Talk to the Dockmaster to travel to Boralus,7345,924,0,1,0
83,Talk to the Dockmaster to travel to Boralus,7346,924,0,1,0
84,Take the boat from Vol'dun to Boralus,7347,924,0,1,0
85,Take the Dark Portal to Draenor,7348,69532,0,1,0
86,"Dark Portal to Stormshield, Ashran",7349,33093,2,2,0
87,Dark Portal to Shadowmoon Valley,7350,924,2,2,0
88,Dark Portal to Tanaan Assault,7351,87481,0,2,0
89,Dark Portal to Hellfire Peninsula,7352,0,0,2,0
90,Take the Dark Portal to Blasted Lands,7353,0,0,1,0
91,"Blasted Lands, Dark Portal",7348,0,0,2,0
92,Take the Dark Portal to Outland,7348,69535,0,1,0
93,Take the portal from the Vindicaar to Dalaran,7354,0,0,1,0
94,Take the portal from the Vindicaar to Dalaran,7355,0,0,1,0
95,Take the portal from the Vindicaar to Dalaran,7356,0,0,1,0
96,"Krasus' Landing, Dalaran",7357,0,0,2,0
97,Entrance to Ironforge,7358,924,1,0,0
98,"Wizard's Sanctum, Portal to Shattrath [DNT TEMP]",7294,70119,1,1,0
99,Take the portal from Western Earthshrine to Mount Hyjal,7386,37427,0,1,0
100,Take the portal from Nordrassil to Orgrimmar,7387,923,0,1,0
101,Pathfinder's Den,7388,923,0,2,0
102,Take the portal from Western Earthshrine to Deepholm,7389,37429,0,1,0
103,Deepholm,7390,923,0,2,0
104,Take the portal from Temple of Earth to Orgrimmar,7391,923,0,1,0
105,Take the portal from Western Earthshrine to Twilight Highlands,7392,37428,0,1,0
106,Twilight Highlands,7393,923,0,2,0
107,Take the portal from Dragonmaw Port to Orgrimmar,7394,76948,0,1,0
108,Western Earthshrine,7395,923,0,2,0
109,Take the portal from Western Earthshrine to Uldum,7396,37426,0,1,0
110,Take the portal from Western Earthshrine to Vashj'ir,7397,57341,0,1,0
111,Vashj'ir,7398,923,0,2,0
112,Take the portal from Western Earthshrine to Tol Barad,7399,923,0,1,0
113,Tol Barad,7400,923,0,2,0
114,Take the portal from Hellscream's Grasp to Orgrimmar,7401,923,0,1,0
115,Take the portal from Pathfinder's Den to Silvermoon City,7402,923,0,1,0
116,Silvermoon City,7403,923,0,2,0
117,Take the portal from Sunfury Spire to Orgrimmar,7404,923,0,1,0
118,Use the Orb of Translocation in Inner Sanctum to travel to Undercity,7405,923,0,1,0
119,Tirisfal Glades,7406,923,0,2,0
120,Take the portal from Pathfinder's Den to Shattrath,7407,6289,0,1,0
121,Take the portal from Terrace of Light to Orgrimmar,7408,923,0,1,0
122,Take the portal from Pathfinder's Den to Ashran,7409,67336,0,1,0
123,"Ashran, Warspear",7410,923,2,2,0
124,Take the portal from Stormshield to Tanaan Jungle,7411,33077,0,1,0
125,Take the portal from Lion's Watch to Ashran,7412,33077,0,1,0
126,Take the portal from Tower of Elements to Orgrimmar,7413,923,0,1,0
127,Take the portal from Vol'mar to Ashran,7414,33174,0,1,0
128,Take the portal from Warspear to Tanaan Jungle,7415,32338,0,1,0
129,Take the portal from Pathfinder's Den to Azsuna,7416,67394,0,1,0
130,Take the portal from Crumbled Palace to Orgrimmar,7417,923,0,1,0
131,Azsuna,7417,923,0,2,0
132,Take the portal from Pathfinder's Den to Zuldazar,7418,67389,0,1,0
133,"Zuldazar, Hall of Ancient Paths",7419,923,0,2,0
134,Take the portal from Hall of Ancient Paths to Silvermoon City,7420,923,0,1,0
135,Take the portal from Hall of Ancient Paths to Orgrimmar,7421,74271,0,1,0
136,Take the portal from Hall of Ancient Paths to Thunder Bluff,7422,923,0,1,0
137,"Thunder Bluff, The Pools of Vision",7423,923,0,2,0
138,Take the portal from Hall of Ancient Paths to Silithus,7424,57388,0,1,0
139,Take the portal from Magni's Encampment to Zuldazar,7425,57388,0,1,0
140,Take the portal from Pathfinder's Den to Jade Forest,7426,67388,0,1,0
141,Honeydew Village,7427,923,0,2,0
142,Take the portal from Honeydew Village to Orgrimmar,7427,923,0,1,0
143,Take the portal from Shrine of Two Moons to Orgrimmar,7428,923,0,1,0
144,Take the portal from Pathfinder's Den to Crystalsong Forest,7429,76876,0,1,0
145,Crystalsong Forest,7431,923,0,2,0
146,Take the portal from Sunreaver's Sanctuary to Orgrimmar,7434,923,0,1,0
147,Take the portal from Orgrimmar to Undercity,7437,923,0,1,0
148,Take the zeppelin from Orgrimmar to Stranglethorn Vale,7438,923,0,0,0
149,Take the zeppelin from Grom'gol Base Camp to Orgrimmar,7439,923,0,0,0
150,Take the zeppelin from Orgrimmar to Borean Tundra,7440,923,0,0,0
151,Take the zeppelin from Warsong Hold to Orgrimmar,7441,923,0,0,0
152,Take the portal from the Stair of Destiny to Orgrimmar,7443,923,0,1,0
153,Take the portal from your garrison to Ashran,7444,28959,0,1,0
154,Take the portal from your garrison to Ashran,7445,28958,0,1,0
155,The Port of Zuldazar,7446,923,0,2,0
156,Talk to the Dockmaster to travel to Zuldazar,7447,923,0,1,0
157,Talk to the Dockmaster to travel to Zuldazar,7448,923,0,1,0
158,Talk to the Dockmaster to travel to Zuldazar,7449,923,0,1,0
159,Take the Dark Portal to Draenor,7348,70212,0,1,0
160,Dark Portal to Frostfire Ridge,7450,923,2,2,0
161,"Dark Portal to Warspear, Ashran",7459,33093,2,2,0
162,Entrance to Deeprun Tram,7339,924,0,2,0
163,Exit From Deeprun Tram,7318,924,0,2,0
164,"Boat to Boralus Harbor, Tiragarde Sound",7325,924,0,2,0
165,Stormwind Boat Exit,7326,924,0,2,0
166,Take the exit to Stormwind,7340,924,0,1,0
167,Take the exit to Ironforge,7319,924,0,1,0
168,Take the portal from Mezzamere to Boralus,7484,69813,0,1,0
169,Take the portal from Sanctum of the Sages to Nazjatar,7485,70647,0,1,0
170,"Sanctum of the Sages, Portal to Nazjatar",7485,70647,0,2,0
171,Portal to Boralus,7484,69813,0,2,0
172,Take the portal from Mezzamere to Boralus,7484,69813,1,1,0
173,Take the portal from Hall of Ancient Paths to Nazjatar,7488,70647,0,1,0
174,Take the portal from Newhome to Zuldazar,7489,70274,0,1,0
175,Portal to Zuldazar,7489,70274,0,2,0
176,Take the sub from Zuldazar to Mechagon,7491,69452,0,1,0
177,Captain Krooz,7491,69452,0,2,0
178,"Prospectus Bay, Mechagon",7492,923,0,2,0
179,Take the sub from Mechagon to Zuldazar,7493,70284,0,1,0
180,Take the portal from Windrunner's Sanctuary to Orgrimmar,7494,923,0,1,0
181,Take the Banshee's Wail to Kul Tiras,7495,5703,1,0,0
182,Take the to Wind's Redemption to Zandalar,7496,5703,1,0,0
183,Take the to Wind's Redemption to Nazmir,7496,61891,0,1,0
184,Take the to Wind's Redemption to Vol'dun,7496,61797,0,1,0
185,Take the to Wind's Redemption to Zuldazar,7496,61892,0,1,0
186,Take the Banshee's Wail to Tiragarde Sound,7495,75528,0,1,0
187,Take the Banshee's Wail to Drustvar,7495,61897,0,1,0
188,Take the Banshee's Wail to Stormsong Valley,7495,61723,0,1,0
189,Take the Banshee's Wail to Tiragarde Sound,7497,75530,0,2,0
190,Take the Banshee's Wail to Stormsong Valley,7498,61723,0,2,0
191,Take the Banshee's Wail to Drustvar,7499,61897,0,2,0
192,Take the to Wind's Redemption to Zuldazar,7500,61892,0,2,0
193,Take the to Wind's Redemption to Nazmir,7501,61891,0,2,0
194,Take the to Wind's Redemption to Vol'dun,7502,61797,0,2,0
195,Take the portal from Magni's Encampment to Zuldazar,7425,923,0,2,0
196,Take the portal from Sanctum of the Sages to Silithus,7517,57389,0,1,0
197,Take the portal from Magni's Encampment to Zuldazar,7518,924,0,2,0
198,Take the portal from Magni's Encampment to Tiragarde,7519,57389,0,1,0
199,Sanctum of the Sages,7520,924,0,2,0
202,"Ashran, Stormshield",7300,0,0,2,0
203,Take the portal from Pathfinder's Den to Caverns of Time,7656,112273,16,1,0
204,Take the portal from Caverns of Time to Orgrimmar,7657,112274,16,1,0
205,Take the portal from Wizard's Sanctum to Caverns of Time,7659,924,4,1,10
207,Caverns of Time,7655,0,16,2,0
208,Take the portal from Caverns of Time to Stormwind,7658,924,0,1,0
209,Take the portal from Stormwind to Darnassus,7660,924,0,1,0
210,Take the portal from Rut'theran Village to Stormwind,7661,924,0,1,0
211,"Darkshore, Portal to Darnassus",7662,924,0,2,0
212,Take the portal from Pathfinder's Den to Zuldazar,7676,67389,1,1,0
213,Take the portal from Tirisfal Glades to Orgrimmar,7894,77256,0,1,0
214,Take the portal from Tirisfal Glades to Stranglethorn Vale,7895,77256,0,1,0
215,Take the portal from Tirisfal Glades to Howling Fjord,7896,77256,0,1,0
216,Howling Fjord,7897,923,0,2,0
217,Stranglethorn Vale,7898,923,0,2,0
218,Take the portal from Pathfinder's Den to Oribos,8017,79400,0,1,0
219,Take the portal from Wizard's Sanctum to Oribos,8018,79400,4,1,10
220,"Wizard's Sanctum, Portal to Oribos",8019,924,0,2,0
221,"Wizard's Sanctum, Portal to Oribos",8020,923,0,2,0
222,Create a portal to Stormwind,0,81254,8,1,0
223,Create a portal to Ironforge,0,81255,8,1,0
224,Create a portal to Darnassus,0,81256,8,1,0
225,Create a portal to Exodar,0,81257,8,1,0
226,Create a portal to Theramore,0,81258,8,1,0
227,Create a portal to Orgrimmar,0,81259,8,1,0
228,Create a portal to Undercity,0,81260,8,1,0
229,Create a portal to Thunder Bluff,0,81261,8,1,0
230,Create a portal to Silvermoon,0,81262,8,1,0
231,Create a portal to Stonard,0,81263,8,1,0
232,Create a portal to Shattrath,0,81264,8,1,0
233,Create a portal to Shattrath,0,81265,8,1,0
234,Create a portal to Dalaran - Northrend,0,81266,8,1,0
235,Create a portal to Tol Barad,0,81267,8,1,0
236,Create a portal to Tol Barad,0,81268,8,1,0
237,Create a portal to Dalaran - Ancient,0,81269,8,1,0
238,Create a portal to Vale of Eternal Blossoms,0,81270,8,1,0
239,Create a portal to Vale of Eternal Blossoms,0,81271,8,1,0
240,Create a portal to Stormshield,0,81272,8,1,0
241,Create a portal to Warspear,0,81273,8,1,0
242,Create a portal to Hall of the Guardian,0,81275,8,1,0
243,Create a portal to Dalaran - Broken Isles,0,81276,8,1,0
244,Create a portal to Boralus,0,81277,8,1,0
245,Create a portal to Dazar'alor,0,81278,8,1,0
246,Stormwind,8207,81254,0,2,0
247,Ironforge,8208,81255,0,2,0
248,Darnassus,8209,81256,0,2,0
249,Exodar,8210,81257,0,2,0
250,Theramore,8211,81258,0,2,0
251,Shattrath,8212,81264,0,2,0
252,Dalaran - Northrend,8213,81266,0,2,0
253,Tol Barad,8214,81267,0,2,0
254,Dalaran - Ancient,8215,81269,0,2,0
255,Vale of Eternal Blossoms,8216,81270,0,2,0
256,Stormshield,8217,81272,0,2,0
257,Hall of the Guardian,8218,81275,0,2,0
258,Dalaran - Broken Isles,8219,81276,0,2,0
259,Boralus,8220,81277,0,2,0
260,Orgrimmar,8221,81259,0,2,0
261,Undercity,8222,81260,0,2,0
262,Thunder Bluff,8223,81261,0,2,0
263,Silvermoon,8224,81262,0,2,0
264,Stonard,8225,81263,0,2,0
265,Shattrath,8226,81265,0,2,0
266,Tol Barad,8227,81268,0,2,0
267,Vale of Eternal Blossoms,8228,81271,0,2,0
268,Warspear,8229,81273,0,2,0
269,Dazar'alor,8230,81278,0,2,0
270,Jump into the Maw from the Ring of Transference,8323,93068,16,1,0
271,Maw,8324,93068,16,2,0
272,Use the Waystone to Oribos,8342,80945,4,1,0
273,Oribos,8343,0,16,2,0
274,Revendreth,8355,0,16,2,0
275,Maldraxxus,8357,0,16,2,0
276,Enter Torghast through the entrance portal,8452,87423,0,1,0
277,Exit Torghast through the exit door,8451,83810,0,1,0
278,Exit Torghast through the exit door,8454,83810,16,2,0
279,Enter Torghast through the entrance portal,8455,87423,0,2,0
280,Take the Dark Portal to Outland,7348,0,0,1,0
281,Take the portal from Oribos to Stormwind,8460,87609,0,1,0
282,Oribos,8461,87609,0,2,0
283,Take the portal from Stormwind to Oribos,8460,87609,0,1,0
284,Take the portal from Oribos to Orgrimmar,8463,87617,0,1,0
285,Oribos,8464,87617,0,2,0
286,Take the portal from Orgrimmar to Oribos,8465,87617,0,1,0
287,Create a portal to Oribos,0,88449,8,1,0
288,Oribos - Shadowlands,8475,88449,0,2,0
289,Maldraxxus,8486,0,16,2,0
290,Maldraxxus,8487,0,16,2,0
291,Take the Animaflow Teleporter in Ve'nari's Refuge to Korthia,8756,0,17,1,0
292,Take the Animaflow Teleporter in Ve'nari's Refuge to Korthia,8757,0,17,2,0
293,Take the Waystone in Keeper's Respite to Oribos,8758,93069,4,1,0
294,Take the Waystone in Keeper's Respite to Oribos,8759,0,16,2,0
295,Take the portal to Korthia within the Ring of Transference,8759,93068,16,1,0
296,Take the portal to Korthia within the Ring of Transference,8758,93068,16,2,0
297,Take the portal to Zereth Mortis within the Ring of Transference,9138,94989,4,1,0
298,Take the portal to Zereth Mortis within the Ring of Transference,9139,0,0,2,0
299,Take the Waystone in Geometric Cavern to Oribos,9139,0,0,1,0
300,Take the Waystone in Geometric Cavern to Oribos,9138,0,0,2,0
301,Speak to Tal-Inara within Oribos to travel to Zereth Mortis,9174,94561,4,1,0
302,Take the portal from Ruins of Lordaeron to Orgrimmar,9233,97144,0,1,0
303,Take the portal from Ruins of Lordaeron to Stranglethorn Vale,9234,97144,0,1,0
304,Take the portal from Ruins of Lordaeron to Howling Fjord,9235,97144,0,1,0
305,Take the boat from Stormwind to the Waking Shores,9501,924,0,1,0
306,Boat to the Waking Shores,9502,924,0,2,0
307,Zeppelin to the Waking Shores,9503,923,0,2,0
308,Take the zeppelin from Orgrimmar to the Waking Shores,9504,923,0,1,0
309,Take the portal from Orgrimmar to Valdrakken,9505,103380,0,1,0
310,Portal to Valdrakken,9506,103380,0,2,0
311,Portal to Valdrakken,9507,103379,0,2,0
312,Take the portal from Stormwind to Valdrakken,9508,103379,4,1,30
313,Take the portal from Valdrakken to Stormwind,9507,103379,0,1,0
314,Portal to Stormwind,9508,103379,4,1,30
315,Take the boat from the Waking Shores to Stormwind,9502,924,0,1,0
316,Boat to Stormwind,9501,924,0,2,0
317,Exit the Wizard's Sanctum,9508,103379,4,1,30
318,Portal to Orgrimmar,9505,103380,0,2,0
319,Take the portal from Valdrakken to Orgrimmar,9506,103380,0,1,0
320,Zeppelin to Orgrimmar,9504,923,0,2,0
321,Take the zeppelin from the Waking Shores to Orgrimmar,9503,923,0,1,0
322,Exit Zaralek Cavern through the tunnels,9610,0,0,1,0
323,Tunnel to Ohn'ahran Plains,9611,0,0,2,0
324,Enter Zaralek Cavern through the tunnels,9612,0,0,1,0
325,Tunnel to Zaralek Cavern,9613,0,0,2,0
326,Create a portal to Valdrakken,0,109942,8,1,0
327,Valdrakken - Dragon Isles,9630,109942,0,2,0
328,Exit Zaralek Cavern through the tunnels,9631,0,0,1,0
329,Tunnel to Azure Span,9632,0,0,2,0
330,Exit Zaralek Cavern through the tunnels,9633,0,0,1,0
331,Tunnel to Ohn'ahran Plains,9634,0,0,2,0
332,Enter Zaralek Cavern through the tunnels,9635,0,0,1,0
333,Tunnel to Zaralek Cavern,9636,0,0,2,0
334,Enter Zaralek Cavern through the tunnels,9637,0,0,1,0
335,Tunnel to Zaralek Cavern,9638,0,0,2,0
336,Portal from Dalaran to Sanctum of Light,9766,41396,16,1,0
337,Portal to Sanctum of Light,9767,41396,16,2,0
338,Portal to Dalaran,9766,41396,0,2,0
339,Portal from Sanctum of Light to Dalaran,9767,41396,0,1,0
340,Portal from Dalaran to Sanctum of Light,9768,41395,16,1,0
341,Portal to Sanctum of Light,9767,41395,16,2,0
342,Portal from Sanctum of Light to Dalaran,9767,41395,0,1,0
343,Portal to Dalaran,9768,41395,0,2,0
344,Take the Ancient Bough portal to the Emerald Dream,9777,0,0,1,0
345,Use the Ancient Bough portal to leave the Emerald Dream,9778,0,0,2,0
346,Use the Ancient Bough portal to leave the Emerald Dream,9779,0,0,1,0
347,Ancient Bough portal to Emerald Dream,9780,0,0,2,0
351,Take the portal from Orgrimmar to Ruins of Lordaeron,7437,113979,0,1,0
352,Ruins of Lordaeron,9792,113979,0,2,0
353,Take the portal from Howling Fjord to Ruins of Lordaeron,9793,113979,0,1,0
354,Take the portal from Grom'gol to Ruins of Lordaeron,7898,113979,0,1,0
355,Take the portal from Ruins of Lordaeron to Orgrimmar,9794,113979,0,2,0
356,Take the portal from Ruins of Lordaeron to Howling Fjord,9795,113979,0,1,0
357,Take the portal from Ruins of Lordaeron to Grom'gol,9796,113979,0,1,0
360,Take the portal to the Gala of Gifts,9924,116631,0,1,0
361,Portal to the Gala of Gifts,9925,923,0,2,0
362,Portal to the Gala of Gifts,9926,924,0,2,0
363,Take the portal to the Gala of Gifts,9927,116631,0,1,0
364,Take the portal to the Gala of Gifts,9928,116631,0,1,0
365,Take the portal to the Gala of Gifts,9929,116631,0,1,0
366,Take the portal to the Gala of Gifts,9930,116631,0,1,0
367,Take the portal to the Gala of Gifts,9931,116631,0,1,0
368,Take the portal to the Gala of Gifts,9932,116631,0,1,0
369,Take the Valdrakken portal to the Emerald Dream,9945,0,0,1,0
370,Take the portal from Bel'ameth to Stormwind,9950,924,0,1,0
371,Portal to Stormwind,9951,924,0,2,30
372,Take the portal from Stormwind to Bel'ameth,9951,924,0,1,0
373,Portal to Bel'ameth,9950,924,0,2,30
374,Take the portal from Bel'ameth to Darkshore,9952,924,0,1,0
375,Portal to Darskhore,9953,924,0,2,0
376,Take the portal from Darkshore to Bel'ameth,9954,924,4,1,0
377,Portal to Bel'ameth,9792,924,0,2,0
378,Take the portal from Bel'ameth to Mount Hyjal,9955,4383,0,1,0
379,Portal to Mount Hyjal,9956,4383,0,2,0
380,Take the portal from Mount Hyjal to Bel'ameth,9957,4383,0,1,0
381,Portal to Bel'ameth,9958,4383,0,2,0
382,Take the portal from Amirdrassil to Feathermoon Stronghold,9963,924,0,1,0
383,Portal to Val'sharah,9960,924,0,2,0
384,Take the portal from Val'sharah to Bel'ameth,9961,924,0,1,0
385,Portal to Bel'ameth,9962,924,0,2,0
386,Portal to Feathermoon Stronghold,9964,924,0,2,0
387,Take the portal from Feathermoon Stronghold to Bel'ameth,9965,924,0,1,0
388,Portal to Bel'ameth,9966,924,0,2,0
389,Take the portal from Dornogal to Orgrimmar,10073,120899,0,1,0
390,Take the portal from Dornogal to Stormwind,10074,120900,0,1,0
391,Portal to Orgrimmar,10075,120899,0,2,0
392,Take the portal from Orgrimmar to Dornogal,10076,120899,0,1,0
393,Portal to Dornogal,10077,120899,0,2,0
394,Portal to Stormwind,10078,120900,0,2,0
395,Take the portal from Stormwind to Dornogal,10079,120900,4,1,30
396,Portal to Dornogal,10080,120900,0,2,0
397,Create a portal to Dornogal,0,121677,8,1,0
398,Dornogal - Khaz Algar,10155,121677,0,2,0
399,Portal to Emerald Dream,10177,0,0,2,0
400,Traverse the Coreway to the Isle of Dorn,10196,0,50,1,0
401,Exit to Isle of Dorn,10197,0,50,2,0
402,Traverse the Coreway to the Ringing Deeps,10194,0,50,1,0
403,Exit to Ringing Deeps,10195,0,50,2,0
404,Take the portal from Dustwallow Marsh to Dalaran,10186,0,0,1,0
405,Take the portal from Dalaran to Dustwallow Marsh,10187,0,0,2,0
406,Take the portal from Dragonblight to Dalaran,10188,0,0,1,0
407,Take the portal from Dalaran to Dragonblight,10189,0,0,2,0
408,Take the portal from Dalaran to Searing Gorge,10190,0,0,2,0
409,Take the portal from Searing Gorge to Dalaran,10191,0,0,1,0
414,Cross the Hallowfall Gate to Hallowfall,10198,0,50,1,0
415,Exit to Hallowfall,10199,0,50,2,0
416,Cross the Hallowfall Gate to the Ringing Deeps,10200,0,50,1,0
417,Exit to Ringing Deeps,10201,0,50,2,0
418,Traverse Arathi's End to Azj-Kahet,10202,0,50,1,0
419,Exit to Azj-Kahet,10203,0,50,2,0
420,Traverse the Whispering Chasm to Azj-Kahet,10204,0,50,1,0
421,Exit to Azj-Kahet,10205,0,50,2,0
422,Traverse Arathi's End to Hallowfall,10206,0,50,1,0
423,Exit to Hallowfall,10207,0,50,2,0
424,Exit to Hallowfall,10208,0,50,2,0
425,Traverse the Whispering Chasm to Hallowfall,10209,0,50,1,0
432,Azj-Kahet,10233,0,19,0,0
433,Hallowfall,10234,0,19,0,0
434,Azj-Kahet,10235,0,19,0,0
435,Take the portal from Stormwind to Dalaran,10246,0,0,1,0
436,Take the portal from Stormwind to Dalaran,10247,0,0,2,0
437,Take the portal from Orgrimmar to Dalaran,10248,0,0,1,0
438,Take the portal from Orgrimmar to Dalaran,10249,0,0,2,0
439,Exit to the Ringing Deeps,10255,0,50,0,0
440,Cross the Trickling Abyss to Azj-Kahet,10261,0,50,1,0
441,Exit to Azj-Kahet,10262,0,50,2,0
442,Cross the Trickling Abyss to the Ringing Deeps,10264,0,50,1,0
443,Exit to Ringing Deeps,10263,0,50,2,0
444,Take the burrow to Azj-Kahet,10265,118328,18,1,0
445,Exit to Azj-Kahet,10266,118328,18,2,0
446,Exit to Dornogal,10268,118328,18,2,0
447,Take the burrow to Dornogal,10267,118328,18,1,0
448,Exit to Dornogal,10285,0,50,0,0
449,Talk to Khadgar in Dalaran to set off for Khaz Algar.,10291,0,0,1,0
450,Talk to Khadgar in Dalaran to set off for Khaz Algar.,10292,0,0,2,0
