ID,PerksActivityTagID,PerksActivityID
421,11,244
422,11,237
423,4,255
424,7,256
425,8,256
426,8,254
427,7,254
428,8,194
429,8,235
430,4,225
431,4,182
432,12,200
433,12,196
434,8,202
435,12,201
436,4,194
437,11,194
438,12,192
439,8,192
440,12,191
441,8,191
442,4,193
443,8,193
444,3,195
445,8,185
446,4,203
447,8,203
448,4,218
449,11,218
450,12,197
451,4,206
452,11,206
453,1,216
454,1,211
456,6,258
457,2,258
458,6,259
459,2,259
460,6,260
461,4,260
462,4,261
463,2,261
464,4,262
465,4,263
466,4,264
467,4,265
468,7,266
469,7,267
470,7,268
471,4,268
472,7,269
473,4,269
474,7,270
475,7,271
479,7,275
480,7,276
481,7,277
482,7,278
484,13,279
485,3,279
486,7,279
487,13,280
488,3,280
489,7,280
490,6,281
491,13,281
492,13,282
493,5,282
494,6,283
495,4,283
498,13,285
499,8,285
500,4,286
501,6,286
502,4,287
503,6,287
504,4,288
505,4,289
506,8,290
507,4,291
508,7,291
509,4,292
510,7,292
511,4,293
512,7,293
513,4,294
514,7,294
515,4,295
516,7,295
517,8,295
518,11,295
519,4,296
520,7,296
521,8,296
523,1,297
524,8,297
525,1,298
526,4,298
527,1,299
528,4,299
529,11,294
530,2,275
531,1,283
532,1,286
533,1,287
534,1,92
535,1,278
536,1,277
539,1,268
540,1,269
541,8,276
542,8,274
543,8,263
544,8,264
545,8,262
546,8,271
547,4,300
548,4,301
549,4,302
550,4,303
551,8,303
552,4,304
553,11,304
554,7,305
555,7,306
556,7,307
557,4,308
558,4,309
559,14,310
560,3,310
561,7,310
562,3,311
563,14,311
564,7,311
565,3,312
566,15,312
567,7,312
568,3,313
569,15,313
570,7,313
571,7,314
572,3,314
573,7,315
574,7,316
575,7,317
576,3,317
577,7,318
578,7,319
579,8,319
580,7,320
581,11,320
582,1,320
583,8,320
585,6,322
586,14,322
587,6,323
588,15,323
589,7,324
590,11,324
591,1,324
592,8,324
593,7,325
594,11,325
595,1,325
596,8,325
620,7,341
621,1,341
622,7,342
623,4,343
624,8,343
625,3,344
