ID,HealthBase,HealthGainPerLevel,AttackBase,AttackGainPerLevel,AttackSpellID,AbilitySpellID,AbilitySpellID2,PassiveSpellID,Role
151,2000,20,35,2,11,156,0,0,1
152,1500,20,50,2,11,157,0,0,1
153,2000,20,100,2,11,158,0,0,3
154,3000,15,50,2,15,159,0,0,3
155,7000,20,100,2,11,160,0,0,3
156,2000,20,50,2,15,161,0,0,2
157,1300,20,35,2,15,162,0,0,3
158,3250,20,50,2,15,163,0,0,2
159,1200,20,80,2,11,146,0,0,2
160,500,10,40,4,11,164,0,0,1
161,1000,10,50,4,11,165,0,0,1
162,500,10,30,4,11,166,0,0,2
163,2000,10,60,4,11,167,0,0,2
164,750,6,35,2,11,168,0,0,1
165,1750,10,35,2,11,169,0,0,1
166,1500,15,30,2,11,170,0,0,1
167,1200,15,50,2,15,171,0,0,2
168,2500,25,30,3,11,172,0,0,1
169,1100,25,60,3,11,173,0,0,1
170,2000,25,70,3,11,174,0,0,3
171,800,15,65,2,11,175,0,0,1
172,1200,25,50,3,15,176,0,0,3
173,1750,15,25,2,11,177,0,0,5
174,1400,15,50,2,11,178,0,0,1
175,2200,15,40,2,15,179,0,0,3
176,2000,15,15,2,11,180,0,0,5
177,2000,15,75,2,15,181,0,0,3
178,2000,25,50,3,11,182,0,0,3
179,2000,15,50,2,11,183,0,0,1
180,3000,15,50,2,15,184,0,0,3
181,5000,20,90,2,11,185,0,0,1
182,3000,6,80,2,11,186,0,0,1
183,4750,10,60,2,11,187,0,0,5
184,4500,25,50,3,11,188,0,0,1
185,2500,15,40,2,11,189,0,0,5
186,3000,25,65,3,15,190,0,0,3
187,3000,15,25,2,11,199,0,0,5
188,1200,15,50,2,11,200,0,0,1
189,1300,15,60,2,11,201,0,0,1
190,3500,15,60,2,11,202,0,0,5
191,1200,15,40,2,11,203,0,0,1
192,2000,15,40,2,11,204,0,0,1
193,2500,15,50,2,15,205,0,0,3
194,1500,15,25,2,11,206,0,0,5
195,800,6,50,2,11,207,0,0,1
196,3000,15,25,2,11,208,0,0,5
197,800,15,25,2,15,209,0,0,2
198,4000,15,75,2,11,210,0,0,5
199,1200,15,35,2,11,211,0,0,1
200,800,15,50,2,11,212,0,0,1
201,3500,15,80,2,11,213,0,0,4
202,2200,15,50,2,15,214,0,0,3
203,800,15,40,2,11,209,0,0,1
204,3500,15,40,2,11,215,0,0,1
205,500,15,100,2,11,216,0,0,1
206,2500,15,55,2,11,217,0,0,1
207,3200,15,60,2,15,218,0,0,3
208,1800,15,75,2,11,219,0,0,1
209,5000,15,40,2,11,220,0,0,1
210,2500,15,75,2,11,221,0,0,1
211,1000,15,35,2,11,222,0,0,1
212,10,10,60,2,0,223,0,0,3
213,1250,15,60,2,11,224,0,0,1
214,3000,15,100,2,11,225,0,0,1
215,1250,15,75,2,11,226,0,0,1
216,10,10,80,2,0,227,0,0,3
217,10,10,500,2,0,228,0,0,3
218,10,10,10,2,0,229,0,0,3
219,10,10,50,2,0,230,0,0,4
220,2000,15,60,2,11,231,0,0,5
221,3000,15,50,2,11,232,0,0,5
222,750,15,90,2,11,233,0,0,3
223,3500,15,75,2,11,234,0,0,5
224,1000,15,80,2,15,235,0,0,2
225,3000,15,80,2,11,236,0,0,1
226,500,15,50,2,15,237,0,0,2
227,5500,15,75,2,11,238,0,0,5
228,3000,15,75,2,15,239,0,0,3
229,1200,15,60,2,15,240,0,0,2
230,3000,15,50,2,15,241,0,0,3
231,1100,15,65,2,11,242,0,0,4
232,3500,15,80,2,15,243,0,0,3
233,400,40,30,3,11,244,0,0,1
234,250,25,50,5,11,245,0,0,1
235,800,8,20,2,11,247,0,0,5
236,300,3,40,4,11,246,0,0,1
237,200,20,30,3,11,248,0,0,1
238,1750,15,40,2,11,249,0,0,5
239,1200,15,50,2,15,250,0,0,2
240,2250,15,60,2,15,251,0,0,3
241,2000,15,55,2,11,252,0,0,1
242,1000,15,70,2,11,253,0,0,1
243,500,15,90,2,15,254,0,0,3
244,1750,15,40,2,11,255,0,0,5
245,1200,15,50,2,11,256,0,0,1
246,4000,15,75,2,11,257,0,0,1
247,1250,15,55,2,11,258,0,0,1
248,1500,10,40,4,11,259,0,0,1
249,1500,10,45,4,11,260,0,0,3
250,1100,15,50,2,15,261,0,0,4
251,3000,15,40,2,11,277,0,0,5
252,1200,15,50,2,11,263,0,0,1
253,4000,15,60,2,11,264,0,0,1
254,1200,15,40,2,11,265,0,0,1
255,6000,15,75,2,11,266,0,0,1
256,1750,15,45,2,11,267,0,0,1
257,500,15,30,2,11,268,0,0,1
258,3500,15,45,2,11,269,0,0,5
259,3000,15,60,2,15,270,0,0,3
260,2000,15,60,2,11,271,0,0,1
261,2500,15,60,2,15,272,0,0,3
262,800,15,25,2,11,273,0,0,1
263,4000,15,60,2,11,274,0,0,1
264,1200,15,35,2,11,211,0,0,1
265,1100,15,25,2,15,275,0,0,4
266,500,15,25,2,15,276,0,0,3
267,3000,15,40,2,11,277,0,0,5
268,3000,15,40,2,11,262,0,0,5
269,1000,15,40,2,15,278,0,0,3
270,1200,15,50,2,11,279,0,0,1
271,6000,15,50,2,11,280,0,0,1
272,5000,15,50,2,15,281,0,0,2
273,6000,15,75,2,11,282,0,0,1
274,1250,15,45,2,11,283,0,0,1
275,2000,15,60,2,11,284,0,0,1
276,3500,20,50,2,15,285,0,0,2
277,2500,15,15,2,11,286,0,0,1
278,750,25,40,3,11,287,0,0,1
279,1750,25,40,3,11,288,0,0,5
280,1000,25,40,3,15,289,0,0,2
281,750,25,40,3,11,290,0,0,1
282,1750,25,40,3,11,291,0,0,3
283,3500,20,90,2,11,292,0,0,1
284,2000,25,50,3,11,293,0,0,5
285,1000,25,50,3,11,294,0,0,1
286,3500,20,70,2,11,295,0,0,1
287,5000,20,90,2,11,296,0,0,1
288,1500,15,40,2,11,209,0,0,1
289,3000,20,50,2,11,297,0,0,1
290,1000,25,50,3,15,298,0,0,3
291,500,50,20,2,15,299,0,0,3
292,10,10,10,2,0,300,0,0,3
293,10,10,50,2,0,301,0,0,3
294,250,25,50,5,15,305,0,0,3
295,300,30,40,4,11,306,0,0,4
296,450,45,35,4,11,307,0,0,1
297,350,35,35,4,15,308,0,0,2
298,350,45,25,3,11,309,0,0,4
299,400,40,30,3,11,0,0,0,1
300,400,40,40,4,11,310,0,0,1
301,300,30,50,5,15,311,0,0,4
302,300,30,50,5,11,312,0,0,1
303,300,30,40,4,15,313,0,0,4
304,350,35,40,4,11,314,0,0,4
305,250,25,50,5,15,315,0,0,2
306,400,40,30,3,11,0,0,0,1
307,550,55,25,3,11,316,0,0,5
308,350,25,50,5,11,317,0,0,1
309,300,30,40,4,15,318,0,0,4
310,350,35,35,4,11,319,0,0,1
311,350,35,40,4,15,320,0,0,3
312,400,40,30,3,11,0,0,0,1
313,300,30,30,3,15,321,0,0,4
314,550,55,20,2,11,322,0,0,5
315,300,30,50,5,15,323,0,0,3
316,425,43,30,3,15,324,0,0,4
317,300,30,45,5,11,325,0,0,4
318,800,80,30,3,11,326,0,0,1
319,800,80,40,4,11,327,0,0,2
320,400,40,20,2,11,328,0,0,1
321,1500,150,15,2,11,329,0,0,5
322,800,80,20,2,11,330,0,0,5
323,250,25,20,2,11,331,0,0,4
324,600,60,10,1,11,332,0,0,3
325,200,20,50,5,11,333,0,0,1
326,600,60,10,1,11,334,0,0,1
327,300,30,20,2,11,335,0,0,3
328,800,80,40,4,11,336,0,0,1
329,200,20,20,2,11,337,0,0,3
330,600,60,10,1,11,338,0,0,1
331,100,10,30,3,11,339,0,0,2
332,600,60,20,2,11,348,0,0,1
333,450,45,20,2,11,341,0,0,1
334,750,75,20,2,11,342,0,0,5
335,1000,100,20,2,11,343,0,0,5
336,2000,200,40,4,11,344,0,0,2
337,300,30,40,4,11,345,0,0,2
338,600,60,20,2,11,346,0,0,1
339,1200,120,30,3,11,347,0,0,3
340,8000,80,10,1,11,349,0,0,2
341,800,80,30,3,11,350,0,0,1
342,800,25,50,5,15,351,0,0,3
343,1200,90,30,3,11,352,0,0,5
344,900,70,35,4,15,353,0,0,3
345,6000,150,200,5,15,354,0,355,3
346,8000,80,10,1,11,356,0,0,1
347,6000,150,200,5,11,358,0,357,1
348,900,70,35,4,15,359,0,0,3
349,1200,15,50,2,11,360,0,0,1
350,1200,70,25,4,11,361,0,0,5
351,800,15,55,2,11,362,0,0,1
352,800,60,75,3,11,363,0,0,1
353,1000,80,20,2,11,364,0,0,5
354,1000,15,60,2,11,365,0,0,1
355,700,15,80,2,15,366,0,0,3
356,1250,15,75,2,11,367,0,0,1
357,1000,15,80,2,15,368,0,0,3
358,4000,15,60,2,11,369,0,0,5
359,4000,15,60,2,11,370,0,0,5
360,3000,15,60,2,11,371,0,0,1
361,1200,40,40,4,11,372,0,0,1
362,1500,50,30,3,11,373,0,0,1
363,2000,20,75,2,11,374,0,0,1
364,1000,20,60,2,11,375,0,0,1
