Message_lang,ID,DifficultyID,LockID,ResetInterval,MaxPlayers,ItemContext,ItemContextPickerID,Flags,ContentTuningID,WorldStateExpressionID,MapID
"You must complete the quest ""Echoes of Tortured Souls"" and be level 80 before entering the Heroic difficulty of the Pit of Saron.",484,2,0,1,5,0,0,0,0,0,658
You must be at least level 80 and in a raid group to enter.,485,3,11,2,10,0,0,32,0,0,631
You must be at least level 80 and in a raid group to enter.,486,4,12,2,25,0,0,0,0,0,631
You must have defeated The Lich King in the 10 Player raid before attempting 10 Player Heroic difficulty.,487,5,13,2,10,0,0,0,0,0,631
You must have defeated The Lich King in the 25 Player raid before attempting 25 Player Heroic difficulty.,488,6,14,2,25,0,0,0,0,0,631
,641,0,0,0,0,0,0,0,0,0,713
,642,0,0,0,0,0,0,0,0,0,712
,661,0,0,0,0,0,0,0,0,0,646
,662,0,0,0,0,0,0,0,0,0,638
,663,0,0,0,0,0,0,0,0,0,654
,664,0,0,0,0,0,0,0,0,0,648
,701,0,0,0,0,0,0,0,0,0,718
,721,0,0,0,0,0,0,0,0,0,719
You must be at least level 85 and in a raid group to enter.,741,3,30,2,10,0,0,0,0,0,720
,742,0,0,0,0,0,0,0,0,0,721
,744,0,0,0,0,0,0,0,0,0,723
You must be at least level 77 to enter.,745,1,0,0,5,0,0,0,0,0,643
You must be at least level 83 to enter.,746,1,0,0,5,0,0,0,0,0,644
You must be at least level 77 and have the Cataclysm expansion installed to enter.,747,1,0,0,5,0,0,0,0,0,645
Heroic Difficulty requires you to be level 85.,748,2,0,1,5,0,0,0,0,0,644
Heroic Difficulty requires you to be level 85.,749,2,0,1,5,0,0,0,0,0,645
You must be level 80 and in a raid group to enter.,750,3,15,2,10,0,0,32,0,0,724
You must be level 80 and in a raid group to enter.,751,4,16,2,25,0,0,0,0,0,724
You must be level 80 and in a raid group to enter.,752,5,17,2,10,0,0,0,0,0,724
You must be level 80 and in a raid group to enter.,753,6,18,2,25,0,0,0,0,0,724
You must be at least level 80 to enter.,754,1,0,0,5,0,0,0,0,0,725
Heroic Difficulty requires you to be level 85.,755,2,0,1,5,0,0,0,0,0,725
,756,0,0,0,0,0,0,0,0,0,726
,757,0,0,0,0,0,0,0,0,0,727
,768,0,0,0,0,0,0,0,0,0,730
,769,0,0,0,0,0,0,0,0,0,731
,770,0,0,0,0,0,0,0,0,0,732
You must have completed the Blackwing Descent achievement before attempting Heroic difficulty.,773,5,24,2,10,0,0,0,0,0,669
You must have completed the Blackwing Descent achievement before attempting Heroic difficulty.,774,6,25,2,25,0,0,0,0,0,669
,776,0,0,0,0,0,0,0,0,0,736
,781,0,0,0,0,0,0,0,0,0,674
,782,0,0,0,0,0,0,0,0,0,738
,783,0,0,0,0,0,0,0,0,0,739
,784,0,0,0,0,0,0,0,0,0,740
,785,0,0,0,0,0,0,0,0,0,741
,786,0,0,0,0,0,0,0,0,0,651
,787,0,0,0,0,0,0,0,0,0,742
,788,0,0,0,0,0,0,0,0,0,743
,792,0,0,0,0,0,0,0,0,0,746
,793,0,0,0,0,0,0,0,0,0,747
,794,0,0,0,0,0,0,0,0,0,656
,795,0,0,0,0,0,0,0,0,0,655
,796,0,0,0,0,0,0,0,0,0,660
,797,0,0,0,0,0,0,0,0,0,748
You must be at least level 80 to enter.,800,1,0,0,5,0,0,0,0,0,657
,801,0,0,0,0,0,0,0,0,0,749
,802,0,0,0,0,0,0,0,0,0,750
,803,0,0,0,0,0,0,0,0,0,751
,804,0,0,0,0,0,0,0,0,0,752
,805,0,0,0,0,0,0,0,0,0,753
Heroic Difficulty requires you to be level 85.,806,2,0,1,5,0,0,0,0,0,643
You must be at least level 85 and in a raid group to enter.,809,3,34,2,10,0,0,0,0,0,754
You must be at least level 85 and in a raid group to enter.,810,4,35,2,25,0,0,0,0,0,754
"You must be at least level 85, in control of Tol Barad and in a raid group to enter.",813,3,42,2,10,0,0,0,0,0,757
"You must be at least level 85, in control of Tol Barad and in a raid group to enter.",814,4,43,2,25,0,0,0,0,0,757
You must be at least level 83 to enter.,816,1,0,0,5,0,0,0,0,0,755
Heroic Difficulty requires you to be level 85.,817,2,0,1,5,0,0,0,0,0,657
,818,0,0,0,0,0,0,0,0,0,759
,819,0,0,0,0,0,0,0,0,0,760
,820,0,0,0,0,0,0,0,0,0,761
Heroic Difficulty requires you to be level 85.,821,2,0,1,5,0,0,0,0,0,755
You must have completed The Bastion of Twilight achievement before attempting Heroic difficulty.,823,5,28,2,10,0,0,0,0,0,671
You must have completed The Bastion of Twilight achievement before attempting Heroic difficulty.,824,6,29,2,25,0,0,0,0,0,671
,827,0,0,0,0,0,0,0,0,0,762
,828,0,0,0,0,0,0,0,0,0,763
Heroic Difficulty requires you to be level 85.,829,2,0,1,5,0,0,0,0,0,36
You must have completed the Throne of the Four Winds achievement before attempting Heroic difficulty.,831,5,36,2,10,0,0,0,0,0,754
You must have completed the Throne of the Four Winds achievement before attempting Heroic difficulty.,832,6,37,2,25,0,0,0,0,0,754
,835,0,0,0,0,0,0,0,0,0,764
,836,1,0,0,5,0,0,0,0,0,734
,837,2,0,0,5,0,0,0,0,0,734
,838,1,0,0,5,0,0,0,0,0,734
Heroic Difficulty requires you to be level 85.,839,2,0,1,5,0,0,0,0,0,33
,840,0,0,0,0,0,0,0,0,0,765
,841,0,0,0,0,0,0,0,0,0,766
,842,0,0,0,0,0,0,0,0,0,767
You must be at least level 85 and in a raid group to enter.,1579,4,31,2,25,0,0,0,0,0,720
,1580,0,0,0,0,0,0,0,0,0,721
,1599,0,0,0,0,0,0,0,0,0,189
,1611,0,0,0,0,0,0,0,0,0,309
Zul'Gurub is only available as a Heroic Difficulty level 85 dungeon.,1645,1,0,0,5,0,0,0,0,0,859
Heroic Difficulty requires you to be level 85.,1646,2,0,1,5,0,0,0,0,0,859
,1649,0,0,0,0,0,0,0,0,0,861
Heroic Difficulty requires level 85 to enter.,1690,2,0,1,5,0,0,0,0,0,568
,1800,0,0,0,0,0,0,0,0,0,930
,1801,0,0,0,0,0,0,0,0,0,930
End Time is only available as a Heroic Difficulty level 85 dungeon.,1819,1,0,0,5,0,0,0,0,0,938
Heroic Difficulty requires you to be level 85.,1820,2,0,1,5,0,0,0,0,0,938
Well of Eternity is only available as a Heroic Difficulty level 85 dungeon.,1821,1,0,0,5,0,0,0,0,0,939
Heroic Difficulty requires you to be level 85 and have earned the Heroic: End Time achievement.,1822,2,0,1,5,0,0,0,0,0,939
Hour of Twilight is only available as a Heroic Difficulty level 85 dungeon.,1823,1,0,0,5,0,0,0,0,0,940
Heroic Difficulty requires you to be level 85 and have earned the Heroic: Well of Eternity achievement.,1824,2,0,1,5,0,0,0,0,0,940
,1846,1,0,0,1,0,0,0,0,0,951
,1847,2,0,0,0,0,0,0,0,0,951
You must have completed The Firelands achievement before attempting Heroic difficulty.,1861,5,32,2,10,0,0,0,0,0,720
You must have completed The Firelands achievement before attempting Heroic difficulty.,1862,6,33,2,25,0,0,0,0,0,720
You must be at least level 85 and in a raid group to enter.,1875,3,38,2,10,0,0,0,0,0,967
You must be at least level 85 and in a raid group to enter.,1876,4,39,2,25,0,0,0,0,0,967
,1877,0,0,0,0,0,0,0,0,0,968
,1896,0,0,0,0,0,0,0,0,0,974
,1902,0,0,0,0,0,0,0,0,0,977
,1903,0,0,0,0,0,0,0,0,0,977
,1923,0,0,0,0,0,0,0,0,0,980
You must have completed the Destroyer's End achievement before attempting Heroic difficulty.,1924,5,40,2,10,0,0,0,0,0,967
You must have completed the Destroyer's End achievement before attempting Heroic difficulty.,1925,6,41,2,25,0,0,0,0,0,967
,1969,0,0,0,0,0,0,0,0,0,727
,2025,0,0,0,0,0,0,0,0,0,509
,2026,0,0,0,0,0,0,0,0,0,509
,2027,0,0,0,0,0,0,0,0,0,509
,2028,0,0,0,0,0,0,0,0,0,531
,2029,0,0,0,0,0,0,0,0,0,531
,2030,0,0,0,0,0,0,0,0,0,531
,2031,0,0,0,0,0,0,0,0,0,409
,2032,0,0,0,0,0,0,0,0,0,409
,2033,0,0,0,0,0,0,0,0,0,409
,2034,0,0,0,0,0,0,0,0,0,469
,2035,0,0,0,0,0,0,0,0,0,469
,2036,0,0,0,0,0,0,0,0,0,469
,3065,9,0,2,40,0,0,32,0,0,469
,3066,9,0,2,40,0,0,32,0,0,531
,4358,0,0,0,0,0,0,0,0,0,2118
,4432,148,0,3,20,0,0,32,0,0,309
,4454,148,0,3,20,0,0,32,0,0,509
,4500,0,0,0,0,0,0,0,0,0,30
,4502,0,0,0,0,0,0,0,0,0,489
,4503,0,0,0,0,0,0,0,0,0,529
,4564,9,21,4,40,0,0,0,0,0,249
,4619,0,0,0,0,0,0,0,0,0,1
,4620,0,0,0,0,0,0,0,0,0,0
,4638,0,0,0,0,0,0,0,0,0,449
,4639,0,0,0,0,0,0,0,0,0,450
,4829,0,0,0,0,0,0,0,0,0,562
,4830,0,0,0,0,0,0,0,0,0,559
,4831,0,0,0,0,0,0,0,0,0,566
,4832,0,0,0,0,0,0,0,0,0,572
You must be at least level 70 to enter.,4840,4,0,2,25,0,0,32,0,0,564
,4843,0,0,0,0,0,0,0,0,0,530
,4844,176,0,2,25,0,0,0,0,0,565
You must be at least level 70 to enter.,4845,175,0,2,10,0,0,0,0,0,532
,4846,176,0,2,25,0,0,0,0,0,544
,4847,176,0,2,25,0,0,0,0,0,550
,4848,176,0,2,25,0,0,0,0,0,548
,4851,0,0,2,10,0,0,0,0,0,0
You must be at least level 65 to enter on Heroic Difficulty.,4852,2,0,1,5,0,0,0,0,0,269
,4858,3,0,2,10,0,0,32,0,0,532
,4859,173,0,0,5,0,0,0,0,0,540
,4860,174,0,1,5,0,0,0,0,0,540
,4861,173,0,0,5,0,0,0,0,0,542
,4862,174,0,1,5,0,0,0,0,0,542
,4863,173,0,0,5,0,0,0,0,0,545
,4864,174,0,1,5,0,0,0,0,0,545
,4865,173,0,0,5,0,0,0,0,0,546
,4866,174,0,1,5,0,0,0,0,0,546
,4867,173,0,0,5,0,0,0,0,0,547
,4868,174,0,1,5,0,0,0,0,0,547
,4869,173,0,0,5,0,0,0,0,0,552
,4870,174,0,1,5,0,0,0,0,0,552
,4871,173,0,0,5,0,0,0,0,0,553
,4872,174,0,1,5,0,0,0,0,0,553
,4873,173,0,0,5,0,0,0,0,0,554
,4874,174,0,1,5,0,0,0,0,0,554
,4875,173,0,0,5,0,0,0,0,0,555
,4876,174,0,1,5,0,0,0,0,0,555
,4877,173,0,0,5,0,0,0,0,0,556
,4878,174,0,1,5,0,0,0,0,0,556
,4879,173,0,0,5,0,0,0,0,0,557
,4880,174,0,1,5,0,0,0,0,0,557
,4881,173,0,0,5,0,0,0,0,0,558
,4882,174,0,1,5,0,0,0,0,0,558
,4883,173,0,0,5,0,0,0,0,0,269
,4884,174,0,1,5,0,0,0,0,0,269
,4885,173,0,0,5,0,0,0,0,0,560
,4886,174,0,1,5,0,0,0,0,0,560
,4887,173,0,0,5,0,0,0,0,0,543
,4888,174,0,1,5,0,0,0,0,0,543
,5024,173,0,0,5,0,0,0,0,0,585
,5025,174,0,1,5,0,0,0,0,0,585
,5036,0,0,0,0,0,0,0,0,0,723
,5051,176,0,2,25,0,0,0,0,0,580
,5099,0,0,0,5,0,0,0,0,0,2565
,5101,0,0,0,5,0,0,0,0,0,2567
,5130,0,0,0,0,0,0,0,0,0,37
,5137,175,7,2,10,0,0,0,0,0,603
,5138,176,8,2,25,0,0,0,0,0,603
,5346,0,0,0,0,0,0,0,0,0,597
,5468,0,0,0,0,0,0,0,0,0,2755
,5513,0,0,0,0,0,0,0,0,0,728
,5521,0,0,0,0,0,0,0,0,0,628
,5522,0,0,0,0,0,0,0,0,0,607
