ID,IconHighlightSpellClassMask[0],IconHighlightSpellClassMask[1],IconHighlightSpellClassMask[2],IconHighlightSpellClassMask[3],SpellID,OverlayFileDataID,ScreenLocationID,SoundEntriesID,Color,Field_5_5_0_61411_006,Scale,TriggerType,Field_5_5_0_61411_009
219,0,0,0,0,94338,0,0,0,-1,0,1,-1,0
232,6656,0,0,0,89485,0,0,0,0,0,1,0,0
239,0,536870912,0,0,56817,0,0,0,0,0,1,0,0
245,0,0,256,0,94709,0,0,0,0,0,1,0,0
333,0,0,0,0,95644,450923,4,0,-1,0,1.5,0,0
334,1048576,0,0,0,95774,467696,4,0,-1,0,1,0,0
340,2048,0,0,0,79808,449486,8,0,-1,0,1,0,0
377,2080374784,0,0,31,88448,0,0,0,0,0,1,0,0
378,0,0,0,0,63735,0,0,0,-1,0,1,-1,0
381,134217728,0,0,0,96171,511105,4,0,-1,0,1,0,0
382,262176,0,0,0,81141,511104,9,0,-1,0,1,0,0
470,7232,0,0,0,98464,0,0,0,0,0,1,0,0
492,-2147483648,0,1536,0,54149,459313,9,0,-1,0,1,0,0
589,32768,512,2048,0,104245,0,0,0,0,0,1,0,0
590,32,0,0,0,104246,0,0,0,0,0,1,0,0
591,64,0,0,0,104247,0,0,0,0,0,1,0,0
592,0,1024,0,0,104248,0,0,0,0,0,1,0,0
593,0,0,32768,0,104249,0,0,0,0,0,1,0,0
594,4194304,0,0,0,104250,0,0,0,0,0,1,0,0
595,0,128,16777216,0,104251,0,0,0,0,0,1,0,0
609,0,0,0,0,105066,0,0,0,-1,0,1,-1,0
639,0,0,0,0,106080,0,0,0,0,0,1,0,0
685,0,0,0,0,107095,0,0,0,-1,0,1,-1,0
735,0,0,0,0,107788,0,0,0,0,0,1,0,0
736,2048,0,0,0,107806,450931,4,0,-1,0,1,0,0
737,4104,0,0,0,107807,450931,4,0,-1,0,1,0,0
832,0,0,0,0,108561,0,0,0,-1,0,1,0,0
856,0,0,0,0,109175,0,0,0,-1,0,1,-1,0
863,1,0,0,0,109476,0,0,0,0,0,1,0,0
927,0,0,0,0,110724,450922,9,0,-1,0,1,0,0
975,0,0,0,0,111662,0,0,0,0,0,1,1,0
997,7,8388608,0,0,112071,0,0,0,-1,0,1,0,0
1079,0,0,0,0,114250,0,0,0,-1,0,1,-1,0
1080,2048,0,0,0,114255,450933,3,0,-1,0,1,0,0
1091,1,0,0,0,114590,0,0,0,0,0,1,0,0
1104,4194304,0,0,0,114787,0,0,0,0,0,1,0,0
1105,4194304,0,0,0,104223,0,0,0,0,0,1,-1,0
1118,0,0,0,0,115689,0,0,0,-1,0,1,0,0
1119,0,0,0,0,115694,0,0,0,-1,0,1,0,0
1120,0,0,0,0,115696,0,0,0,-1,0,1,0,0
1121,0,0,0,0,115697,0,0,0,-1,0,1,0,0
1128,4,0,0,0,116349,0,0,0,0,0,1,0,0
1132,16,0,0,0,116768,623952,8,0,-1,0,1,0,0
1133,0,0,0,0,116769,450933,3,0,0,0,1,0,0
1134,0,0,0,0,116808,0,0,0,0,0,1,1,0
1136,1,0,0,0,116610,0,0,12197,0,0,1,0,0
1161,0,0,0,0,118203,0,0,0,0,0,1,1,0
1162,0,0,0,0,48107,449490,9,0,-7711,0,0.5,0,0
1166,0,0,65536,0,87160,592058,3,0,-1,0,1,0,0
1183,100663296,0,0,0,116680,0,0,0,0,0,1,0,0
1186,1024,0,0,0,118864,623952,3,0,-1,0,1,0,0
1201,0,0,0,0,119732,458740,9,3219,-1,0,1,1,0
1204,0,4096,0,0,77762,449491,9,0,-1,0,1,0,0
1238,7,8388608,0,0,121069,0,0,0,-1,0,1,0,0
1245,0,256,0,0,121125,0,0,0,-1,0,1,0,0
1246,0,0,256,0,121153,449493,9,0,-1,0,1,0,0
1312,4194368,0,0,0,122016,0,0,0,-1,0,1,-1,0
1331,33554432,0,0,0,122107,623951,9,0,-1,0,1,0,0
1334,0,128,0,0,122355,458741,3,0,-1,0,1,0,0
1335,4194368,0,0,0,122510,627610,4,0,-1,0,1,0,0
1344,0,256,0,0,122979,0,0,0,0,0,1,1,0
1354,0,0,0,1,115654,0,0,0,0,0,1,-1,0
1365,0,0,4,0,124273,623950,9,0,-1,0,1,0,0
1366,8192,0,0,0,124430,627609,4,0,-1,0,1,0,0
1368,0,0,0,16,124495,0,0,0,-9550489,0,1,0,0
1369,6144,0,0,0,34720,0,0,0,0,0,1,0,0
1370,268435456,0,0,0,124899,0,0,0,-8585113,0,1,0,0
1371,0,0,0,0,102751,0,0,0,0,0,1,-1,0
1377,0,0,0,0,125360,0,0,0,-8585113,0,1,-1,0
1380,0,0,0,0,5301,0,0,0,0,0,1,1,0
1383,0,0,0,0,43574,0,0,0,0,0,1,-1,0
1384,0,0,0,0,126083,592058,8,0,-1,0,1,0,0
1385,131072,1048576,0,0,126084,449489,8,0,-1,0,1,0,0
1386,0,128,0,0,126090,458741,8,0,-1,0,1,0,0
1387,0,0,0,0,12345,0,0,0,0,0,1,-1,0
1388,0,0,0,-2147483648,126896,0,0,0,0,0,1,0,0
1390,0,0,0,0,127155,0,0,0,0,0,1,-1,0
1399,0,0,0,0,127654,0,0,0,0,0,1,-1,0
1401,0,0,0,0,127709,0,0,0,0,0,1,-1,0
1405,0,0,0,0,127705,0,0,0,0,0,1,-1,0
1411,0,0,0,0,100633,0,0,0,0,0,1,-1,0
1412,0,0,0,0,61978,0,0,0,0,0,1,-1,0
1413,0,0,0,0,43363,0,0,0,0,0,1,-1,0
1426,0,0,0,0,121550,0,0,0,0,0,1,-1,0
1428,1,0,0,0,123266,469752,4,0,-1,0,1,0,0
1429,0,32,0,0,123267,469752,4,0,-1,0,1,0,0
1430,2048,0,0,0,128654,450933,8,0,-1,0,1,0,0
1433,0,0,0,0,128718,0,0,0,0,0,1,-1,0
1434,0,0,0,0,128740,0,0,0,0,0,1,-1,0
1435,0,0,0,0,128747,0,0,0,0,0,1,-1,0
1436,0,0,0,0,83623,0,0,0,0,0,1,-1,0
1437,0,0,0,0,126814,0,0,0,0,0,1,-1,0
1438,0,0,0,0,128862,0,0,0,0,0,1,-1,0
1439,1073741824,0,1536,0,128863,0,0,0,-1,0,1,0,0
1441,0,0,0,0,128888,0,0,0,0,0,1,-1,0
1442,0,0,0,0,66244,0,0,0,0,0,1,-1,0
1445,0,0,0,0,128675,0,0,0,0,0,1,-1,0
1446,0,0,0,0,129107,450919,9,0,-16717568,0,1.5,0,0
1449,0,0,0,512,32379,0,0,0,0,0,1,1,0
1452,0,0,0,0,48165,0,0,0,0,0,1,-1,0
1455,0,0,0,0,2583,0,0,0,0,0,1,-1,0
1457,0,0,0,0,128666,0,0,0,0,0,1,-1,0
1464,0,0,0,0,70000,0,0,0,0,0,1,-1,0
1467,0,0,0,0,100219,0,0,0,0,0,1,-1,0
1470,0,0,0,0,129632,0,0,0,-1,0,1,-1,0
1471,0,0,0,0,129633,0,0,0,-1,0,1,-1,0
1472,0,0,0,0,82124,0,0,0,0,0,1,-1,0
1477,0,0,0,0,129873,0,0,0,0,0,1,0,0
1481,0,0,0,0,80772,0,0,0,0,0,1,-1,0
1482,0,0,0,0,105794,0,0,0,0,0,1,-1,0
1485,0,0,0,0,106041,0,0,0,0,0,1,-1,0
1486,0,0,0,0,130575,0,0,0,0,0,1,-1,0
1487,0,0,0,0,109446,0,0,0,0,0,1,-1,0
1488,1024,0,0,0,5302,0,0,0,0,0,1,0,0
1489,0,0,0,0,130733,592058,0,0,-1,0,1,-1,0
1494,0,0,0,0,114879,0,0,0,0,0,1,-1,0
1495,0,0,0,0,114657,0,0,0,0,0,1,-1,0
1496,0,0,0,0,115133,0,0,0,0,0,1,-1,0
1498,0,0,0,0,107520,0,0,0,0,0,1,-1,0
1500,0,0,0,0,50864,0,0,0,0,0,1,-1,0
1501,0,0,0,0,131029,0,0,0,0,0,1,-1,0
1502,0,0,0,0,40000,0,0,0,0,0,1,-1,0
1511,0,0,0,0,120456,0,0,0,0,0,1,-1,0
1517,0,0,0,0,104684,0,0,0,0,0,1,-1,0
1518,0,0,0,0,62734,0,0,0,0,0,1,-1,0
1520,0,0,0,0,131475,0,0,0,0,0,1,-1,0
1522,0,0,0,0,131477,0,0,0,0,0,1,-1,0
1523,0,0,0,0,131478,0,0,0,0,0,1,-1,0
1524,0,0,0,0,131479,0,0,0,0,0,1,-1,0
1525,0,0,0,0,131480,0,0,0,0,0,1,-1,0
1526,0,0,0,0,131481,0,0,0,0,0,1,-1,0
1527,0,0,0,0,131482,0,0,0,0,0,1,-1,0
1528,0,0,0,0,131483,0,0,0,0,0,1,-1,0
1529,0,0,0,0,131484,0,0,0,0,0,1,-1,0
1531,0,0,0,0,131491,0,0,0,0,0,1,-1,0
1534,0,0,8192,0,131755,0,0,0,0,0,1,0,0
1537,0,0,0,0,122159,0,0,0,0,0,1,-1,0
1548,0,0,0,0,132030,0,0,0,0,0,1,-1,0
1549,0,0,0,0,132046,0,0,0,0,0,1,-1,0
1550,0,0,0,0,132047,0,0,0,0,0,1,-1,0
1584,0,0,0,0,106833,0,0,0,0,0,1,-1,0
1610,0,0,0,0,78142,0,0,0,0,0,1,-1,0
1611,0,0,0,0,82126,0,0,0,0,0,1,-1,0
1644,0,0,0,0,113356,0,0,0,0,0,1,-1,0
1711,0,0,0,0,132573,592058,0,0,-1,0,1,-1,0
1713,0,0,0,0,132589,0,0,0,0,0,1,-1,0
1714,0,0,0,0,132592,0,0,0,0,0,1,-1,0
1715,0,0,0,0,132591,0,0,0,0,0,1,-1,0
1716,0,0,0,0,132594,0,0,0,0,0,1,-1,0
1717,0,0,0,0,132595,0,0,0,0,0,1,-1,0
1718,0,0,0,0,132596,0,0,0,0,0,1,-1,0
1719,0,0,0,0,132598,0,0,0,0,0,1,-1,0
1720,0,0,0,0,132599,0,0,0,0,0,1,-1,0
1721,0,0,0,0,132600,0,0,0,0,0,1,-1,0
1722,0,0,0,0,692,0,0,0,0,0,1,-1,0
1723,0,0,0,0,132679,0,0,0,0,0,1,-1,0
1725,0,0,0,0,132706,0,0,0,0,0,1,-1,0
1726,0,0,0,0,132716,0,0,0,-1,0,1,-1,0
1730,0,0,0,0,132725,0,0,0,0,0,1,-1,0
1733,0,0,0,0,132732,0,0,0,0,0,1,-1,0
1734,0,0,0,0,50145,0,0,0,0,0,1,-1,0
1836,0,0,0,0,39893,0,0,0,0,0,1,-1,0
1837,0,0,0,0,133011,0,0,0,0,0,1,-1,0
1838,0,0,0,0,133012,0,0,0,0,0,1,-1,0
1842,0,0,0,0,69864,0,0,0,0,0,1,-1,0
1844,0,0,0,0,95737,0,0,0,0,0,1,-1,0
1878,0,0,0,0,133965,0,0,0,0,0,1,-1,0
1880,0,0,0,0,66109,0,0,0,0,0,1,-1,0
1881,0,0,0,0,40803,0,0,0,0,0,1,-1,0
1882,0,0,0,0,113357,0,0,0,0,0,1,-1,0
1887,0,0,0,0,45214,0,0,0,0,0,1,-1,0
1895,0,0,0,0,135090,0,0,0,0,0,1,-1,0
1896,0,0,0,0,135100,0,0,0,0,0,1,-1,0
1897,2048,0,0,0,135286,627610,4,0,-1,0,1,0,0
1899,0,0,0,0,135700,510823,9,0,-1,0,1,0,0
1901,0,0,0,0,113963,0,0,0,0,0,1,-1,0
1907,0,0,0,0,136337,0,0,0,0,0,1,-1,0
1924,0,0,0,0,136593,0,0,0,0,0,1,-1,0
1925,0,0,0,0,136639,0,0,0,0,0,1,-1,0
1928,0,0,0,0,136706,0,0,0,0,0,1,-1,0
1929,0,0,0,0,136787,0,0,0,0,0,1,-1,0
1931,0,0,0,0,137134,0,0,0,0,0,1,-1,0
1932,0,0,0,0,137247,0,0,0,-1,0,1,-1,0
1933,0,0,0,0,137267,0,0,0,0,0,1,-1,0
1934,0,0,0,0,137268,0,0,0,0,0,1,-1,0
1935,0,0,0,0,137288,0,0,0,-1,0,1,-1,0
1936,0,0,0,0,137323,0,0,0,-1,0,1,-1,0
1937,0,0,0,0,137326,0,0,0,-1,0,1,-1,0
1938,0,0,0,0,137331,0,0,0,-1,0,1,-1,0
1942,0,0,16777216,134217728,137591,0,0,0,0,0,1,0,0
1943,0,0,0,0,137615,0,0,0,0,0,1,-1,0
1946,0,0,0,0,138237,0,0,0,-1,0,1,-1,0
1947,0,0,0,0,138307,0,0,0,0,0,1,-1,0
1948,0,0,0,0,73910,0,0,0,0,0,1,-1,0
1950,0,0,0,16,138664,450916,0,0,-1,0,1,0,0
1953,0,0,0,0,100287,0,0,0,0,0,1,-1,0
1956,0,0,0,0,139139,0,0,0,-1,0,1,-1,0
1960,0,0,0,0,139403,450916,0,0,-1,0,1,-1,0
1961,0,0,0,0,139618,0,0,0,0,0,1,-1,0
1962,0,0,0,0,139628,0,0,0,0,0,1,-1,0
1963,0,0,0,0,139633,0,0,0,0,0,1,-1,0
1964,0,0,0,0,139646,0,0,0,0,0,1,-1,0
1965,0,0,0,0,139648,0,0,0,0,0,1,-1,0
1966,0,0,0,0,139649,0,0,0,0,0,1,-1,0
1967,0,0,0,0,139650,0,0,0,0,0,1,-1,0
1968,0,0,0,0,139651,0,0,0,0,0,1,-1,0
1969,0,0,0,0,139652,0,0,0,0,0,1,-1,0
1970,0,0,0,0,139653,0,0,0,0,0,1,-1,0
1971,0,0,0,0,139654,0,0,0,0,0,1,-1,0
1972,0,0,0,0,139655,0,0,0,0,0,1,-1,0
1973,0,0,0,0,139656,0,0,0,0,0,1,-1,0
1974,0,0,0,0,139672,0,0,0,-1,0,1,-1,0
1975,0,0,0,0,139718,0,0,0,-1,0,1,-1,0
1976,0,0,0,0,119084,0,0,0,0,0,1,-1,0
1977,0,0,0,0,139958,0,0,0,-1,0,1,-1,0
1978,0,128,0,0,140074,801268,3,0,-1,0,1,0,0
1979,0,128,0,0,140075,801268,8,0,-1,0,1,0,0
1980,1,64,0,0,140076,801266,4,0,-1,0,1,0,0
1983,0,8388608,0,0,53351,0,0,0,0,0,1,1,0
1984,128,0,0,0,17877,0,0,0,0,0,1,1,0
1986,0,0,0,0,138510,0,0,0,0,0,1,-1,0
1987,0,0,0,0,138515,0,0,0,0,0,1,-1,0
1988,0,0,0,0,138516,0,0,0,0,0,1,-1,0
1989,0,0,0,0,138517,0,0,0,0,0,1,-1,0
1990,0,0,0,0,138518,0,0,0,0,0,1,-1,0
1991,0,0,0,0,138519,0,0,0,0,0,1,-1,0
1992,0,0,0,0,138521,0,0,0,0,0,1,-1,0
1993,0,0,0,0,138522,0,0,0,0,0,1,-1,0
1994,0,0,0,0,138523,0,0,0,0,0,1,-1,0
1995,1,0,0,0,140467,0,0,0,0,0,1,0,0
2004,0,0,8192,0,140704,0,0,0,0,0,1,0,0
2005,536870912,0,0,0,140817,0,0,0,0,0,1,1,0
2034,0,0,0,0,141107,0,0,0,0,0,1,-1,0
2035,0,0,0,0,141110,0,0,0,0,0,1,-1,0
2036,0,0,0,0,140979,0,0,0,0,0,1,-1,0
2039,0,0,0,0,141113,0,0,0,0,0,1,-1,0
2040,0,0,0,0,141115,0,0,0,0,0,1,-1,0
2044,0,0,0,0,8878,0,0,0,0,0,1,-1,0
2045,0,128,0,0,141459,0,0,0,0,0,1,1,0
2046,2048,0,0,0,141509,0,0,0,0,0,1,0,0
2047,16777216,0,0,0,141495,0,0,0,0,0,1,0,0
2048,0,0,0,0,141615,0,0,0,0,0,1,-1,0
2049,0,0,0,0,141616,0,0,0,0,0,1,-1,0
2050,0,0,0,0,141740,0,0,0,0,0,1,-1,0
2051,0,0,0,0,141742,0,0,0,0,0,1,-1,0
2054,0,0,0,0,105040,0,0,0,0,0,1,-1,0
2055,0,0,0,0,118855,0,0,0,0,0,1,-1,0
2059,0,0,0,0,142050,0,0,0,0,0,1,-1,0
2068,0,0,0,0,3007,0,0,0,0,0,1,-1,0
2069,0,0,0,0,142299,0,0,0,0,0,1,-1,0
2070,0,0,0,0,142301,0,0,0,0,0,1,-1,0
2071,0,0,0,0,142254,0,0,0,0,0,1,-1,0
2072,0,0,0,0,142440,0,0,0,0,0,1,-1,0
2076,0,0,0,0,142867,0,0,0,0,0,1,-1,0
2079,0,0,0,0,143005,0,0,0,0,0,1,-1,0
2080,0,0,0,0,143051,0,0,0,0,0,1,-1,0
2081,0,0,0,0,77881,0,0,0,0,0,1,-1,0
2082,0,128,0,0,143052,0,0,0,0,0,1,1,0
2086,0,0,0,0,143004,0,0,0,0,0,1,-1,0
2087,0,0,0,0,122350,0,0,0,0,0,1,-1,0
2092,0,0,0,0,115504,0,0,0,0,0,1,-1,0
2093,0,0,0,0,123481,0,0,0,0,0,1,-1,0
2094,0,0,0,0,109063,0,0,0,0,0,1,-1,0
2097,0,0,0,0,143725,0,0,0,0,0,1,-1,0
2103,0,0,0,0,143906,0,0,0,0,0,1,-1,0
2104,1040,0,0,0,139597,0,0,0,0,0,1,0,0
2111,0,0,0,0,110154,0,0,0,0,0,1,-1,0
2112,0,0,0,0,105734,0,0,0,0,0,1,-1,0
2113,0,0,0,0,144384,0,0,0,0,0,1,-1,0
2119,0,131072,0,0,144595,0,0,0,0,0,1,0,0
2120,536870912,0,0,0,144442,0,0,0,0,0,1,0,0
2123,0,0,0,0,144890,0,0,0,0,0,1,-1,0
2125,0,0,0,0,144905,0,0,0,0,0,1,-1,0
2127,0,0,4,0,144967,0,0,0,0,0,1,0,0
2134,0,0,0,0,107828,0,0,0,0,0,1,-1,0
2135,0,0,0,4,145138,510822,4,0,-1,0,1,0,0
2136,0,0,0,0,145248,0,0,0,0,0,1,-1,0
2141,0,0,0,0,514,0,0,0,0,0,1,-1,0
2155,0,0,0,0,146204,0,0,0,0,0,1,-1,0
2156,0,0,0,0,69369,898423,12,0,-1,0,1,0,0
2159,0,0,0,0,146580,0,0,0,0,0,1,-1,0
2160,0,0,0,0,146616,0,0,0,0,0,1,-1,0
2163,0,0,0,0,146619,0,0,0,0,0,1,-1,0
2165,0,256,0,0,146993,0,0,0,0,0,1,1,0
2170,2,0,0,0,146421,0,0,0,0,0,1,-1,0
2171,0,0,0,0,147538,0,0,0,0,0,1,-1,0
2175,0,0,0,0,143834,0,0,0,0,0,1,-1,0
2178,0,0,0,0,147728,0,0,0,0,0,1,-1,0
2179,0,0,0,0,147730,0,0,0,0,0,1,-1,0
2182,0,0,0,0,147900,0,0,0,0,0,1,-1,0
2196,0,0,0,0,148044,0,0,0,0,0,1,-1,0
2198,0,0,0,0,148053,0,0,0,0,0,1,-1,0
2213,0,0,0,0,148568,0,0,0,0,0,1,-1,0
2214,0,0,0,0,148569,0,0,0,0,0,1,-1,0
2215,0,0,0,0,148605,0,0,0,0,0,1,-1,0
2216,0,0,0,0,148610,0,0,0,0,0,1,-1,0
2218,268435488,0,0,0,145162,0,0,0,0,0,1,0,0
2220,0,0,0,0,148770,0,0,0,0,0,1,-1,0
2221,0,0,0,0,148775,0,0,0,0,0,1,-1,0
2222,0,0,0,0,148776,0,0,0,0,0,1,-1,0
2223,0,0,0,0,148777,0,0,0,0,0,1,-1,0
2224,0,0,0,0,148862,0,0,0,0,0,1,-1,0
2225,0,0,0,0,148923,0,0,0,0,0,1,-1,0
2226,0,0,0,0,147777,0,0,0,0,0,1,-1,0
2230,0,0,0,0,148965,0,0,0,0,0,1,-1,0
2231,0,0,0,0,148966,0,0,0,0,0,1,-1,0
2232,0,0,0,0,148967,0,0,0,0,0,1,-1,0
2233,0,0,8192,0,148971,0,0,0,0,0,1,0,0
2234,0,0,0,0,149053,0,0,0,0,0,1,-1,0
2235,0,0,0,0,149059,0,0,0,0,0,1,-1,0
2236,32,0,0,0,149093,0,0,0,0,0,1,0,0
2237,0,0,0,0,149106,0,0,0,0,0,1,-1,0
2247,0,0,0,0,149116,0,0,0,0,0,1,-1,0
2248,0,0,0,0,149543,0,0,0,0,0,1,-1,0
2249,0,0,0,0,149544,0,0,0,0,0,1,-1,0
2250,0,0,0,0,149545,0,0,0,0,0,1,-1,0
2251,0,0,0,0,149546,0,0,0,0,0,1,-1,0
2252,0,0,0,0,149547,0,0,0,0,0,1,-1,0
2253,0,0,0,0,149596,0,0,0,0,0,1,-1,0
2264,0,0,0,0,121650,0,0,0,0,0,1,-1,0
2266,0,0,0,0,150091,0,0,0,0,0,1,-1,0
2271,0,0,0,0,150234,0,0,0,0,0,1,-1,0
2280,0,0,0,0,151006,0,0,0,0,0,1,-1,0
