ID,Description_lang,OrderIndex,ProfTraitTreeID
71,"Increase your Perception, helping you gather rarer materials.",3,144
72,"Infuse bait with elemental power, allowing you to gather rousing elements.",1,145
73,Invent a variety of toys to entertain yourself and those around you.,1,206
74,Learn to cut Illimited Diamonds with elemental essence.,2,129
75,Increase your Resourcefulness while crafting Embroidered Bags.,2,161
76,Convert uncommon gems into clusters of rare gems.,1,128
77,Create and upgrade the Wyrmhole Generator for swift teleportation.,0,206
78,Create epic bracers with Tinker slots that can be used by anyone.,0,205
79,Learn how to use Finishing Reagents to improve your gem cuts.,0,129
80,Learn patterns for gear and Optional Reagents with special effects.,0,134
81,"Learn powerful formulae for Draconic, Devotion, and Waking enchantments.",1,240
82,Learn schematics for a variety of bombs with different effects.,0,204
83,Learn schematics for new Tinkers to be used in gear with Tinker slots.,2,206
84,Craft a Torch of Primal Awakening and a Runed Khaz'gorite Rod.,1,245
85,"Carve Illuminating and Kinetic Pillar of the Isles, powerful staves.",1,148
86,Collect cloth more efficently and find rare cloth to unravel.,2,160
87,Craft a Khaz'gorite Blacksmith Toolbox and make higher quality tools.,0,103
88,"Craft a variety of new powerful rings and necklaces, such as the Elemental Lariat.",1,131
89,"Craft and customize Darkmoon Deck Boxes, powerful Darkmoon trinkets.",1,176
90,"Craft armor with unique bonuses, such as the Amice of the Blue.",1,162
91,Craft fishing lures to target specific fish.,1,144
92,Craft Flame-Touched mail armor.,0,124
93,"Craft Azureweave and Chronocloth armor, each with a unique set bonus.",0,162
94,Craft Life-Bound leather armor.,0,126
95,Craft mining and blacksmithing tools.,1,102
96,Craft Primal Molten weapons.,0,102
97,Craft the Scribe's Resplendent Quill.,0,148
98,"Craft the Tiered Medallion Setting, used to add sockets to necklaces.",0,131
99,Craft Vibrant Wildercloth armor.,0,164
100,Create fun illusory items for everyone to enjoy.,2,245
101,"Create safer bombs, which can be used by anyone.",3,204
102,"Create the Zapthrottle Soul Inhaler, an important device for collecting crucial reagents.",3,207
103,Find mystic items which can be disenchanted for reagents and rousing elements.,0,244
104,Find Rousing Elements when unraveling rare cloth.,0,161
105,Gather herbs while mounted.,0,235
106,Gather more rousing elements from elemental deposits.,1,213
107,Gather more rousing elements from elemental herbs.,1,234
108,Mine ore deposits while mounted.,0,211
109,"Shatter Awakened elements, gaining temporary combat and crafting bonuses.",3,244
110,Shatter enchanting reagents to lower rarity versions of themselves.,2,244
111,"Write Draconic Treatises, granting Profession Knowledge to the reader.",3,176
112,"Master the crafting of stone enhancements, such as Primal Whetstones and Weightstones.",2,103
113,Master the crafting of equipment that provide set bonuses.,1,134
114,"Master the crafting of Inks, the primary reagent used by scribes.",2,147
115,Master the crafting of magic enhanced Cloth Armor.,2,162
116,Master the crafting of professions accessories and drums.,2,135
117,"Master the formulation of basic, Optional, and Finishing Reagents.",1,59
118,Increase your crafting skill and efficiency while milling herbs into pigments.,1,147
119,Increase your crafting skill while crafting armor kits and reagents.,1,135
120,Reduce the cooldown of Overload Elemental Deposit whenever you mine.,0,213
121,Reduce the cooldown of Overload Elemental Herbs whenever you gather.,0,234
122,"Increase your handling of bombs, reducing the chance of painful backfires when deployed.",2,204
123,Reduce the negative side-effects of mining elemental deposits.,2,213
124,Reduce the negative side-effects of gathering elemental herbs.,2,234
125,Refine lower quality herbs into a higher quality.,1,236
126,Refine lower quality ore into a higher quality.,1,212
127,Refine lower quality reagents into a higher quality.,1,143
128,"Improve the reliability of devices, reducing the chance of backfires when deployed.",3,206
129,Find rare gems or Illimited Diamonds occassionally while mining.,1,211
130,Increase your Multicraft and Multicraft effectiveness when crafting phials.,2,84
131,Improve at crafting potions in large quantities.,2,58
132,Master the production of scopes and ammunition for ranged weapons.,2,205
