ID,Colors0_r,Colors0_g,Colors0_b,Colors1_r,Colors1_g,Colors1_b,Colors2_r,Colors2_g,Colors2_b,Alpha1,Alpha2,EdgeColor_r,EdgeColor_g,EdgeColor_b,Field_8_1_0_28440_014,Field_8_1_0_28440_015,Field_10_0_5_47118_016,Field_10_0_5_47118_017
48,0,0,0,0.52156866,0.52156866,0.52156866,0.36862746,0.36862746,0.36862746,0.5,1,0.10196079,0.7686275,1,0,0,0,0
50,0,0,0,0.52156866,0.52156866,0.52156866,0.36862746,0.36862746,0.36862746,0.5,1,0.9450981,1,0.10196079,0,0,0,0
57,0.015686275,0.015686275,0.08627451,0.17254902,0,0.30588236,0.9686275,0.9686275,0.98823535,0.7,1,0.023529414,0.11764707,0.41176474,1,2,0,0
58,0.10588236,0.16470589,0.27058825,0.3803922,0.6509804,0.7058824,1,1,1,0.5,1,1,1,1,1,2,0,0
60,0.27058825,0.10588236,0.10588236,0.5411765,0.21176472,0.20784315,0.7019608,0.4784314,0.4784314,0.5,0.9,0.9294118,0.3019608,0.3019608,20,2,0,0
65,0.03529412,0.08627451,0.74509805,0.4666667,0.19215688,0.63529414,0.64705884,0.65882355,0.82745105,0.5,0.25,0,0,0,1,3,0,0
66,0.03529412,0.08627451,0.74509805,0,0,0,0.64705884,0.65882355,0.82745105,0.5,0.25,0.64705884,0.65882355,0.82745105,1,3,0,0
69,0.44705886,0,0.60784316,0.5294118,0.7725491,0.8352942,1,1,1,0.5,1,1,0.56078434,0.9843138,1,3,0,0
71,0,0.08627451,0.21960786,0.07058824,0.654902,0.7686275,1,1,1,0.5,0.9,1,1,1,20,2,0,0
73,0,0.08627451,0.21960786,0.34509805,0.47058827,0.49411768,1,1,1,0.5,0.9,1,1,1,20,2,0,0
75,0,0.08627451,0.21960786,0.07058824,0.654902,0.7686275,1,1,1,0.5,0.9,1,1,1,20,2,0,0
77,0,0.08627451,0.21960786,0.07058824,0.654902,0.7686275,1,1,1,0.5,0.9,1,1,1,20,2,0,0
78,0,0.08627451,0.21960786,0.34509805,0.47058827,0.49411768,1,1,1,0.5,0.9,1,1,1,20,2,0,0
79,0.10588236,0.16470589,0.27058825,0.3803922,0.6509804,0.7058824,1,1,1,0.5,1,1,1,1,1,2,0,0
80,0,0,0,0.35686275,0.20392159,1,0,0,0,0.5,0.9,0.7607844,0.7019608,1,0,0,0,0
81,0.10588236,0.16470589,0.27058825,0.3803922,0.6509804,0.7058824,1,1,1,0.5,1,1,1,1,1,2,0,0
82,0,0.08627451,0.21960786,0.34509805,0.47058827,0.49411768,1,1,1,0.5,0.9,1,1,1,20,2,0,0
83,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
84,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
85,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
86,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
87,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
88,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
89,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
90,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
91,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
92,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
93,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
94,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
95,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
96,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
97,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
98,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
99,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
100,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
101,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
102,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
103,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
104,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
105,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
106,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
107,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
108,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
109,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
110,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
111,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
112,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
114,0.4431373,0.227451,0.5254902,0,0,0,0.77647066,0.4156863,1,0.5,1,0.7686275,0.003921569,0.9294118,1,0,0,0
115,0,0.08627451,0.21960786,0.34509805,0.47058827,0.49411768,1,1,1,0.5,0.9,1,1,1,20,2,0,0
116,0.07058824,0.015686275,0.08627451,0.24313727,0,0.31764707,1,1,1,0.5,1,0.54901963,0.35686275,0.5529412,1,2,0,0
118,0,0.08627451,0.21960786,0.34509805,0.47058827,0.49411768,1,1,1,0.5,0.9,1,1,1,20,2,0,0
120,0,0.10980393,1,1,1,1,0,0.6784314,1,0.5,1,0,1,0.9294118,1,0,0,0
124,1,0.9803922,0.3254902,1,0.7686275,0.34509805,1,0.5411765,0.023529414,0.5,1,0.9921569,1,0.4156863,4,0,0,0
133,0.07058824,0,0.29803923,0,0,0,0,0,0,0.5,1,0.07450981,0,1,0,1,0,0
141,0.23137257,0.10588236,0.27058825,0.3647059,0.8588236,0.33333334,1,1,1,0.5,1,1,1,1,1,2,0,0
142,0.19607845,0.14509805,0.7490196,0.36862746,0.57254905,0.87843144,0,0,0,0.5,1,0,0,0,10,0,0,0
145,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
146,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
147,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
148,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
149,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
151,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
152,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
153,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
154,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
155,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
156,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
157,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
158,0,0.08627451,0.21960786,0.21568629,0.59607846,0.54509807,1,1,1,0.5,0.9,0.24705884,0.58431375,0.5568628,20,3,0,0
159,0.054901965,0.06666667,0.9215687,0.31764707,0.7490196,0.90196085,0.5254902,0.909804,0.9725491,0.5,2,0.74509805,0.96470594,1,20,3,0,0
161,0,0.08627451,0.21960786,0.07058824,0.654902,0.7686275,1,1,1,0.5,0.9,1,1,1,6,2,0,0
163,0.08235294,0.227451,0.45882356,0.20392159,0.4431373,0.7254902,0.58431375,0.91372555,1,0.5,0.9,0.8117648,0.6117647,0.23137257,6,2,0,0
165,0,0,0,0.5019608,0.5019608,0.5019608,1,1,1,0.25,0.7,0,0,0,6,2,0,0
169,0,0,0,0.37647063,0.62352943,0.62352943,0.2509804,0.7490196,0.7490196,0.35,1,0,0,0,0,0,0,0
170,0,0,0,0.37647063,0.62352943,0.62352943,0.2509804,0.7490196,0.7490196,0.35,1,0,0,0,0,0,0,0
171,0,0,0,0.050980397,0.043137256,0.16862746,0.098039225,0.07450981,0.1764706,0.5,2,0.019607844,0.08235294,0.35686275,1,1,0,0
172,0.23529413,0.20392159,0.31764707,0.058823533,0.058823533,0.058823533,0.8745099,0.15294118,0.8745099,0.5,1,0.27058825,0.27058825,0.37647063,0,0,0,0
178,0.18039216,0.015686275,0.011764707,0.8745099,0.25882354,0.08235294,0.8117648,0.8117648,0.8117648,0.5,0.9,1,0.227451,0,20,2,0,0
180,0,0.08627451,0.21960786,0.07058824,0.654902,0.7686275,1,1,1,0.5,0.9,1,1,1,20,2,0,0
183,0,0,0,0.07058824,0.0627451,0.17254902,0.23137257,0,1,0.6,0.77,0.09411766,0.41960788,0.9960785,0,1,0,0
187,0,0,0,0.37647063,0.62352943,0.62352943,0.2509804,0.7490196,0.7490196,0.5,1,0,0,0,0,0,0,0
191,0,0,0,0.86666673,0.86666673,0.86666673,0,0,0,0.5,0.9,0,0,0,20,2,0,0
193,0.10588236,0.16470589,0.27058825,0.3803922,0.6509804,0.7058824,1,1,1,0.5,1,1,1,1,1,2,0,0
195,0,0,0,0.050980397,0.043137256,0.16862746,0.098039225,0.07450981,0.1764706,0.5,2,0.019607844,0.08235294,0.35686275,20,1,0,0
196,0.10588236,0.16470589,0.27058825,0.3803922,0.6509804,0.7058824,1,1,1,0.5,1,1,1,1,1,2,0,0
198,0,0.08627451,0.21960786,0.07058824,0.654902,0.7686275,1,1,1,0.5,0.9,1,1,1,20,2,0,0
200,0,0.08627451,0.21960786,0.07058824,0.654902,0.7686275,1,1,1,0.5,0.9,1,1,1,20,2,0,0
201,0.13725491,0.6117647,0.4901961,0.3803922,0.6509804,0.7058824,0.627451,0.9921569,0.9294118,0.6,1,1,1,1,1,2,0,0
208,0,0,0,0.050980397,0.043137256,0.16862746,0.098039225,0.07450981,0.1764706,0.5,2,0.019607844,0.08235294,0.35686275,20,1,0,0
210,0,0.08627451,0.21960786,0.34509805,0.47058827,0.49411768,1,1,1,0.5,0.9,1,1,1,20,2,0,0
213,0,0,0,0.050980397,0.043137256,0.16862746,0.098039225,0.07450981,0.1764706,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
217,0.18039216,0.015686275,0.011764707,0.8745099,0.25882354,0.08235294,0.8117648,0.8117648,0.8117648,0.5,0.9,1,0.227451,0,20,2,0,0
218,0.18039216,0.015686275,0.011764707,0.8745099,0.25882354,0.08235294,0.8117648,0.8117648,0.8117648,0.5,0.9,1,0.227451,0,20,2,0,0
219,0.18039216,0.015686275,0.011764707,0.5372549,0.08235294,0.8745099,0.8117648,0.8117648,0.8117648,0.5,0.9,1,0.39607847,0,20,2,0,0
220,0,0,0,0.050980397,0.043137256,0.16862746,0.098039225,0.07450981,0.1764706,0.7,2,0.019607844,0.08235294,0.35686275,0,1,0,0
222,0.10588236,0.16470589,0.27058825,0.3803922,0.6509804,0.7058824,1,1,1,0.5,1,1,1,1,1,2,0,0
227,0,0,0,0.16078432,0.09411766,0.56078434,1,1,1,0.25,1,1,1,1,0,2,0,0
234,0,0,0,0.82745105,0.2784314,0.007843138,1,0.85098046,0.7058824,0.5,0.5,1,0.4156863,0,0,2,0,0
235,0,0.7490196,1,0,0,0,0,0,0,0.25,0.75,0.5019608,0,1,0,1,0,0
236,0,0,0,0.07058824,0.0627451,0.17254902,0.23137257,0,1,0.6,0.77,0.09411766,0.41960788,0.9960785,0,1,0,0
237,0,0,0,0.07058824,0.0627451,0.17254902,0.23137257,0,1,0.6,0.77,0.09411766,0.41960788,0.9960785,0,1,0,0
238,0,0,0,0.07058824,0.0627451,0.17254902,0.23137257,0,1,0.6,0.77,0.09411766,0.41960788,0.9960785,0,1,0,0
239,0,0,0,0.07058824,0.0627451,0.17254902,0.23137257,0,1,0.6,0.77,0.09411766,0.41960788,0.9960785,0,1,0,0
240,0.93725497,0.82745105,0.9607844,0.32941177,0.16470589,0.8941177,0.050980397,0.0627451,0.59607846,0.8,0.2,0.36862746,0.3803922,1,1,0,0,0
242,0.07450981,0.07450981,0.1137255,0.9333334,0.7568628,0.5137255,0.9333334,0.7568628,0.5137255,0.5,0.9,1,1,1,20,2,0,0
243,0.07450981,0.07450981,0.1137255,0.9215687,0.9215687,0.9215687,0.909804,0.909804,0.89019614,0.5,10,0.9450981,0.9450981,0.9450981,20,2,0,0
246,0.03137255,0.03137255,0.03137255,0.6039216,0.6039216,0.6039216,1,1,1,0.5,1,1,1,1,20,3,0,0
247,0.07450981,0.07450981,0.1137255,0.9333334,0.7568628,0.5137255,0.9333334,0.7568628,0.5137255,0.5,0.9,1,1,1,20,3,0,0
251,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
252,0,0,0,0.050980397,0.043137256,0.16862746,0.13333334,0.10980393,0.21176472,0.5,2,0.019607844,0.08235294,0.35686275,0,1,0,0
253,0.15686275,0.19607845,0.2627451,0.3803922,0.6509804,0.7058824,0.7254902,0.8588236,0.8862746,0.5,1,1,1,1,1,2,0,0
254,0,1,1,0.5019608,1,1,1,1,1,0.25,0.7,1,1,1,6,2,0,0
257,0,1,1,0.5019608,1,1,1,1,1,0.25,0.7,1,1,1,6,2,0,0
260,0,0,0,0.37647063,0.62352943,0.62352943,0.2509804,0.7490196,0.7490196,0.5,1,0,0,0,5,1,0,0
263,0,0,0,0.09019608,0.8117648,0.52156866,1,1,1,0.5,0.9,1,1,1,20,2,0,0
264,0,0,0,0.62352943,0.62352943,0.62352943,0.7490196,0.7490196,0.7490196,0.5,1,0,0,0,0,0,0,0
277,0.10588236,0.16470589,0.27058825,0.7686275,0.07058824,0.9490197,0.9490197,0.7607844,0.9686275,0.9,1,1,1,1,1,2,0,0
279,0,0,0,0.37647063,0.62352943,0.62352943,0.2509804,0.7490196,0.7490196,0.5,1,0,0,0,0,3,0,0
284,0,0.08627451,0.21960786,0.07058824,0.654902,0.7686275,1,1,1,0.5,0.9,1,1,1,20,2,0,0
285,0,0.08627451,0.21960786,0.07058824,0.654902,0.7686275,1,1,1,0.5,0.9,1,1,1,20,2,0,0
286,0,0,0,0,0,0,0,0,0,0.99,1,0,0,0,0,2,0,0
287,0.27058825,0.10588236,0.10588236,0.8588236,0.33333334,0.33333334,1,1,1,0.5,1,1,1,1,1,2,0,0
288,0,0.08627451,0.21960786,0,0.90196085,1,1,1,1,0.5,0.9,1,1,1,20,2,0,0
290,0.10588236,0.16470589,0.27058825,0,0.7176471,1,0.7607844,0.9686275,0.9686275,0.9,1,1,1,1,1,2,0,0
292,0.31764707,0.44705886,0.65882355,0.50980395,0.8313726,1,0.40000004,0.56078434,0.7960785,0.5,1,0.81568635,0.8941177,0.9215687,0,0,0,0
293,0,0,0,1,0.2509804,0.2509804,1,1,1,0.5,1,1,1,1,1,2,0,0
295,0.14509805,0,0,0.80392164,0.019607844,0.019607844,1,0.8745099,0.8745099,0.5,1.1,1,1,1,1,2,0,0
296,0.10588236,0.16470589,0.27058825,0,0.7176471,1,0.7607844,0.9686275,0.9686275,0.9,1,1,1,1,1,2,0,0
298,0.16862746,0.10588236,0.27058825,0.40000004,0.15686275,0.68235296,1,1,1,0.5,1,0.40784317,0.35686275,0.7294118,1,3,0,0
299,0.10588236,0.16470589,0.27058825,0.3803922,0.6509804,0.7058824,1,1,1,0.5,1,1,1,1,1,2,0,0
301,0,0.003921569,0.454902,0,0.2784314,1,0,0.94117653,1,0.5,0.8,0.43921572,0.87843144,1,1,2,0,0
303,0.10588236,0.16470589,0.27058825,0,0.7176471,1,0.7607844,0.9686275,0.9686275,0.9,1,1,1,1,1,2,0,0
306,0,0,0,0.07450981,0.44705886,0.29803923,0.09019608,0.8117648,0.52156866,0.5,1,0.13333334,0.09019608,0.17254902,20,3,0,0
307,0,0,0,0,0.40000004,0.63529414,0.6901961,0.8313726,1,0.2,1,1,1,1,0,0,0,0
310,0.61960787,0,0,0.30980393,0.03529412,0.03529412,0.42352945,0,0,0.5,1,0.43921572,0.019607844,0.019607844,2,0,0,0
311,0.61960787,0,0,0.30980393,0.03529412,0.03529412,0.42352945,0,0,0.5,1,0.43921572,0.019607844,0.019607844,2,0,0,0
317,0.34509805,0.47450984,0.68235296,0.5176471,0.8196079,0.9921569,0.4156863,0.58431375,0.7960785,0.5,1,0.7960785,0.8941177,0.909804,0,0,0,0
318,0.882353,0,0.011764707,0.65882355,0.027450982,0.015686275,0.38431376,0.078431375,0.078431375,0.5,1,0,0,0,0,1,0,0
320,0,0,0,0.39607847,0.5058824,0.40000004,0,0,0,0.5,0.9,0,0,0,20,2,0,0
321,0,0,0,0.1764706,0.92549026,0.8745099,0,0,0,0.8,0.5,0,0,0,0,0,0,0
322,0.8117648,0.011764707,0,0.3529412,0.09411766,0.08627451,0.4784314,0.050980397,0.050980397,0.5,1,0.8235295,0.12941177,0.09411766,0,0,0,0
324,0,0.08627451,0.21960786,0.07058824,0.654902,0.7686275,1,1,1,0.5,0.9,1,1,1,20,2,0,0
327,0,0.003921569,0,0.098039225,0.29411766,0.5058824,0.08235294,0.06666667,0.3529412,0.5,0.8,0.023529414,0.023529414,0.023529414,1,2,0,0
328,0,0,0,0.07450981,0.44705886,0.29803923,0.09019608,0.8117648,0.52156866,0.5,1,0.13333334,0.09019608,0.17254902,20,3,0,0
329,0.23137257,0.10588236,0.27058825,0.73333335,0.33333334,0.8588236,1,1,1,0.5,1,1,1,1,1,2,0,0
332,0,0,0,0.72156864,0.54901963,0.19607845,0.9176471,0.48235297,0.043137256,0.5,1,0.9921569,0.5568628,0.027450982,0,3,0,0
333,0,0.003921569,0.454902,0,0.2784314,1,0,0.94117653,1,0.5,0.8,0.43921572,0.87843144,1,1,2,0,0
334,0.14901961,0.1254902,0.18431373,0.31764707,0.23529413,0.4156863,0.3372549,0.13725491,0.54509807,0.9,1,0.40784317,0.35686275,0.7294118,6,2,0,0
335,0.5882353,0.6431373,0.6431373,0.23137257,0.5019608,0.5019608,0.10980393,0.38823533,0.36862746,0.25,0.7,0,0,0,6,2,0,0
336,0.10588236,0.16470589,0.27058825,0,0.7176471,1,0.7607844,0.9686275,0.9686275,0.9,1,1,1,1,1,2,0,0
337,0,0,0,0.41960788,0.45882356,0.45882356,0.06666667,0.15294118,0.15294118,0.5,1,0,0,0,0,3,0,0
339,0,1,1,0.5019608,1,1,1,1,1,0.25,0.7,1,1,1,6,2,0,0
340,0,0,0,0.098039225,0,0,0.1254902,0,0,0.5,1,0,0,0,1,3,0,0
341,0.12941177,0.18431373,0.20000002,0.45098042,0.54901963,0.61960787,1,1,1,0.5,1,1,1,1,1,2,0,0
342,1,0,0,1,0.4156863,0,1,0.7294118,0,0.5,1,1,0.6666667,0,0,0,0,0
343,0.10588236,0.16470589,0.27058825,0.18039216,0.82745105,0.57254905,1,1,1,0.5,1,1,1,1,1,2,0,0
345,0.854902,0,0.16078432,0.49803925,0,0.09411766,0.9450981,0.16470589,0.30980393,0.5,1,0,0,0,5,0,0,0
348,0,0,0,0.09019608,0.8117648,0.52156866,1,1,1,0.5,0.9,1,1,1,20,2,0,0
350,0,0.95294124,1,0,0.5803922,1,0,0,0,0.5,1,0.86274517,0.86274517,0.86274517,0,0,0,0
351,0,0.95294124,1,0,0.5803922,1,0,0,0,0.5,1,0.86274517,0.86274517,0.86274517,0,0,0,0
352,0,0.95294124,1,0,0.5803922,1,0,0,0,0.5,1,0.86274517,0.86274517,0.86274517,0,0,0,0
357,0.078431375,0.09019608,0.1137255,0.20392159,0.3019608,0.41176474,0.41960788,0.45882356,0.5176471,0.5,0.7,0.18039216,0.21568629,0.24313727,0,2,0,0
358,0.078431375,0.09019608,0.1137255,0.20392159,0.3019608,0.41176474,0.41960788,0.45882356,0.5176471,0.5,0.8,0.37647063,0.50980395,0.6117647,0,3,0,0
359,0,0.95294124,1,0,0.5803922,1,0,0,0,0.5,1,0.86274517,0.86274517,0.86274517,0,0,0,0
360,0.10588236,0.16470589,0.27058825,0.3803922,0.6509804,0.7058824,1,1,1,0.5,1,1,1,1,1,2,0,0
361,0.078431375,0.09019608,0.1137255,0.4156863,0.5686275,0.7294118,0.6039216,0.6627451,0.75294125,0.5,0.7,0.4156863,0.4901961,0.5529412,0,2,0,0
363,0.027450982,0,0,0.24313727,0,0,0.37647063,0.003921569,0,0.5,0.8,1,0.043137256,0,1,2,0,0
364,0.10588236,0.16470589,0.27058825,0.3803922,0.6509804,0.7058824,1,1,1,0.5,1,1,1,1,1,2,0,0
367,0.34509805,0.47450984,0.68235296,0.5176471,0.8196079,0.9921569,0.4156863,0.58431375,0.7960785,0.5,1,0.7960785,0.8941177,0.909804,0,0,0,0
368,0,0.003921569,0.454902,0,0.2784314,1,0,0.94117653,1,0.5,0.8,0.43921572,0.87843144,1,1,2,0,0
369,0,0,0,0.24313727,0.8588236,0.6,0.22352943,0.9803922,0.5568628,0.5,1,0.023529414,0.6901961,0.31764707,0,0,0,0
371,0.6901961,0,0,0.36078432,0.019607844,0.019607844,1,0.61960787,0.61960787,0.35,0.8,1,0.61960787,0.61960787,20,2,0,0
372,0,0.003921569,0.454902,0,0.2784314,1,0,0.94117653,1,0.5,0.8,0.43921572,0.87843144,1,1,2,0,0
