ID,ExteriorComponentGroupID,ExteriorComponentID
2562,5501,999
2563,5502,999
2564,5503,999
2565,5504,999
2566,5505,999
2567,5506,999
2824,8272,3793
2825,8273,3793
2826,8274,3793
2827,8275,3793
2828,8276,3793
2829,8277,3793
2830,8278,3793
2831,8279,3793
2832,8280,3793
2833,8281,3793
2834,8282,3793
2835,8283,3793
2836,8284,3793
2837,8285,3793
2838,8286,3793
2839,8287,3793
2840,8312,3795
2841,8313,3795
2842,8314,3795
2843,8315,3795
2844,8316,3795
2845,8317,3795
2846,8318,3795
2847,8319,3795
2848,8328,3797
2849,8329,3797
2850,8330,3797
2851,8331,3797
2852,8332,3797
2853,8333,3797
2854,8433,3805
2855,8434,3805
2856,8435,3805
2857,8436,3805
2858,8437,3805
2859,8438,3805
2860,8439,3805
2861,8440,3811
2862,8441,3811
2863,8442,3811
2864,8443,3811
2865,8444,3811
2866,8445,3811
2867,8446,3811
2868,8447,3817
2869,8448,3817
2870,8449,3817
2871,8450,3817
2872,8451,3817
2873,8452,3817
2874,8453,3817
2875,8480,3823
2876,8481,3823
2877,8482,3823
2878,8483,3823
2879,8484,3823
2880,8485,3823
2881,8486,3823
2882,8487,3823
2883,8488,3823
2884,8489,3823
2885,8490,3823
2886,8491,3823
2887,8492,3823
2888,8493,3823
2889,8494,3823
2890,8495,3823
2891,8505,3829
2892,8506,3829
2893,8507,3829
2894,8508,3829
2895,8509,3829
2896,8510,3829
2897,8511,3829
2898,8512,3829
2899,8513,3829
2900,8514,3829
2901,8515,3835
2902,8516,3835
2903,8517,3835
2904,8518,3835
2905,8519,3835
2906,8520,3835
2907,8521,3835
2908,8522,3835
2909,8539,3841
2910,8540,3841
2911,8541,3841
2912,8542,3841
2913,8543,3841
2914,8544,3841
2915,8545,3841
2916,8546,3841
2917,8547,3841
2918,8548,3841
2919,8549,3847
2920,8550,3847
2921,8551,3847
2922,8552,3847
2923,8553,3847
2924,8554,3847
2925,8555,3847
2926,8556,3847
2927,8557,3847
2928,8558,3847
2929,8559,3847
2930,8560,3847
2931,8561,3847
2932,8562,3847
2933,8563,3847
2934,8564,3847
2935,8565,3853
2936,8566,3853
2937,8567,3853
2938,8568,3853
2939,8569,3853
2940,8570,3853
2941,8571,3853
2942,8572,3853
2943,8573,3853
2944,8574,3853
2945,8575,3853
2946,8576,3853
2947,8577,3853
2948,8578,3853
2949,8579,3853
