ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
313,Halberdier,,,6557,0,3,1
314,Shock Trooper,,,6557,0,3,1
315,Plaguesinger,,,6557,0,3,1
316,Grovetender,,,6557,0,3,1
317,Trapper,,,6557,0,3,1
318,Cheerful Assassin,,,6557,0,0,0
319,Greeter,,,6557,0,0,0
320,Mirror-Maker,,,6557,0,0,0
321,Butler,,,6557,0,0,0
322,Fixer,,,6557,0,0,0
323,Brawler,,,2117,0,0,0
325,Grovetender,,,6557,0,3,9
326,Trapper,,,6557,0,3,9
327,Nightblade,,,6557,0,3,9
328,Soulcaster,,,6557,0,3,9
329,Phalanx,,,6557,0,3,9
330,Halberdier,,,6557,0,3,9
331,Shock Trooper,,,6557,0,3,9
332,Plaguesinger,,,6557,0,3,9
333,Secutor,,,6558,0,1,0
334,Abonimation,,,6558,0,1,0
335,Dynamo,,,6558,0,1,0
336,Knowledgemaster,,,6558,0,1,0
337,Ooze,,,6558,0,1,0
338,Skeleton,,,6558,0,1,0
339,Abomination,,,6558,0,1,0
340,Lich,,,6558,0,1,0
341,Gladiator,,,6558,0,1,0
342,Assembler,,,6558,0,1,0
343,Skeleton,,,6558,0,1,0
344,Shadowblade,,,6558,0,1,0
345,Plague Deviser,,,6558,0,1,0
346,Bonesmith,,,6558,0,1,0
347,Slaughter Daughter,,,6558,0,1,0
348,Reverent Sword,,,6557,0,0,0
349,Giving Hand,,,6557,0,0,0
350,Duitiful Construct,,,6557,0,0,0
351,Larion Master,,,6557,0,0,0
352,Phalynx Master,,,6557,0,0,0
353,Diligent Assistant,,,6557,0,0,0
354,Aspirant,,,6557,0,0,0
355,Disciple,,,6557,0,0,0
356,Mikanikos's Companion,,,6557,0,0,0
357,Hand of Courage,,,6557,0,0,0
358,Dazzler,,,6557,0,0,0
359,Trickster,,,6557,0,0,0
360,Gentle Caretaker,,,6557,0,0,0
361,Chilling Spear,,,6557,0,0,0
362,Shaper of Starlight,,,6557,0,0,0
363,Kin of the Unnoticed,,,6557,0,0,0
364,Protector of Tirna Vaal,,,6557,0,0,0
365,Artisan of Tirna Vaal,,,6557,0,0,0
366,Fangs of Spirit,,,6557,0,0,0
367,Horns of Night,,,6557,0,0,0
368,Eyes of the Forest,,,6557,0,0,0
369,Dawnbranch,,,6557,0,0,0
370,Caretaker,,,6557,0,0,0
371,Hunt-Captain,,,6557,0,0,0
372,Grove Tender,,,6557,0,0,0
373,Ascended,,,6557,0,0,0
374,Aspirant,,,6557,0,0,0
375,Forgelite Prime,,,6557,0,0,0
376,Barbarian,,,2117,0,0,0
377,Master Glazier,,,6557,0,0,0
378,Lich,,,6558,0,1,0
379,Blacksmith,,,6558,0,1,0
380,Boon Companion,,,6558,0,1,0
381,Thrilling Gladiator,,,6558,0,1,0
382,Indestructible,,,6558,0,1,0
383,Weaponsmith,,,6557,0,0,0
384,Quartermaster,,,6557,0,0,0
385,Emissary,,,6557,0,0,0
386,Spore,,,6557,0,0,0
387,Weaver,,,6557,0,0,0
388,Messenger,,,6557,0,0,0
389,Mystic,,,6557,0,0,0
390,Spirit Guide,,,6557,0,0,0
391,Protector,,,6557,0,0,0
392,Wings of Mending,,,6557,0,0,0
393,Farmer,,,6557,0,0,0
394,Artiste,,,6557,0,0,0
395,Aristocrat,,,6557,0,0,0
396,Recuperator,,,6557,0,0,0
397,Masseuse,,,6557,0,0,0
398,Unflappable Servant,,,6557,0,0,0
