ID,DamageReplaceStatF,DamageSecondaryF,DamageReplaceStat,DamageSecondary,EpicF[0],EpicF[1],EpicF[2],EpicF[3],EpicF[4],SuperiorF[0],SuperiorF[1],SuperiorF[2],SuperiorF[3],SuperiorF[4],GoodF[0],GoodF[1],GoodF[2],GoodF[3],GoodF[4],Epic[0],Epic[1],Epic[2],Epic[3],Epic[4],Superior[0],Superior[1],Superior[2],Superior[3],Superior[4],Good[0],Good[1],Good[2],Good[3],Good[4]
11,0.6586826,0.6586826,0,0,5.3423104,4.006733,3.0050497,2.6711552,2.6711552,5.3423104,4.006733,3.0050497,2.6711552,2.6711552,5.3423104,4.006733,3.0050497,2.6711552,2.6711552,5,4,3,2,2,5,4,3,2,2,5,4,3,2,2
12,0.78320223,0.78320223,0,0,5.967255,4.4754415,3.356581,2.9836276,2.9836276,5.967255,4.4754415,3.356581,2.9836276,2.9836276,5.967255,4.4754415,3.356581,2.9836276,2.9836276,5,4,3,2,2,5,4,3,2,2,5,4,3,2,2
13,0.9236355,0.9236355,0,0,6.6260805,4.9695606,3.7271705,3.3130403,3.3130403,6.6260805,4.9695606,3.7271705,3.3130403,3.3130403,6.6260805,4.9695606,3.7271705,3.3130403,3.3130403,6,4,3,3,3,6,4,3,3,3,6,4,3,3,3
14,1.0811833,1.0811833,1,1,7.3187795,5.4890842,4.116813,3.6593897,3.6593897,7.3187795,5.4890842,4.116813,3.6593897,3.6593897,7.3187795,5.4890842,4.116813,3.6593897,3.6593897,7,5,4,3,3,7,5,4,3,3,7,5,4,3,3
15,1.2570851,1.2570851,1,1,8.045344,6.034008,4.525506,4.022672,4.022672,8.045344,6.034008,4.525506,4.022672,4.022672,8.045344,6.034008,4.525506,4.022672,4.022672,8,6,4,4,4,8,6,4,4,4,8,6,4,4,4
16,1.4451756,1.4451756,1,1,8.786881,6.590161,4.9426208,4.3934407,4.3934407,8.786881,6.590161,4.9426208,4.3934407,4.3934407,8.786881,6.590161,4.9426208,4.3934407,4.3934407,8,6,4,4,4,8,6,4,4,4,8,6,4,4,4
17,1.6488429,1.6488429,1,1,9.539657,7.1547427,5.366057,4.7698283,4.7698283,9.539657,7.1547427,5.366057,4.7698283,4.7698283,9.539657,7.1547427,5.366057,4.7698283,4.7698283,9,7,5,4,4,9,7,5,4,4,9,7,5,4,4
18,1.8680494,1.8680494,1,1,10.300021,7.725016,5.793762,5.1500106,5.1500106,10.300021,7.725016,5.793762,5.1500106,5.1500106,10.300021,7.725016,5.793762,5.1500106,5.1500106,10,7,5,5,5,10,7,5,5,5,10,7,5,5,5
19,2.1026657,2.1026657,2,2,11.064455,8.298341,6.223756,5.5322275,5.5322275,11.064455,8.298341,6.223756,5.5322275,5.5322275,11.064455,8.298341,6.223756,5.5322275,5.5322275,11,8,6,5,5,11,8,6,5,5,11,8,6,5,5
20,2.352478,2.352478,2,2,11.829604,8.872203,6.6541524,5.914802,5.914802,11.829604,8.872203,6.6541524,5.914802,5.914802,11.829604,8.872203,6.6541524,5.914802,5.914802,11,8,6,5,5,11,8,6,5,5,11,8,6,5,5
21,2.516537,2.516537,2,2,12.107997,9.080997,6.810748,6.0539985,6.0539985,12.107997,9.080997,6.810748,6.0539985,6.0539985,12.107997,9.080997,6.810748,6.0539985,6.0539985,12,9,6,6,6,12,9,6,6,6,12,9,6,6,6
22,2.6819193,2.6819193,2,2,12.360801,9.270601,6.9529505,6.1804004,6.1804004,12.360801,9.270601,6.9529505,6.1804004,6.1804004,12.360801,9.270601,6.9529505,6.1804004,6.1804004,12,9,6,6,6,12,9,6,6,6,12,9,6,6,6
23,2.848118,2.848118,2,2,12.588367,9.441276,7.080957,6.2941837,6.2941837,12.588367,9.441276,7.080957,6.2941837,6.2941837,12.588367,9.441276,7.080957,6.2941837,6.2941837,12,9,7,6,6,12,9,7,6,6,12,9,7,6,6
24,3.0146592,3.0146592,3,3,12.791224,9.593418,7.1950636,6.3956122,6.3956122,12.791224,9.593418,7.1950636,6.3956122,6.3956122,12.791224,9.593418,7.1950636,6.3956122,6.3956122,12,9,7,6,6,12,9,7,6,6,12,9,7,6,6
25,3.1811032,3.1811032,3,3,12.970058,9.727544,7.2956576,6.485029,6.485029,12.970058,9.727544,7.2956576,6.485029,6.485029,12.970058,9.727544,7.2956576,6.485029,6.485029,12,9,7,6,6,12,9,7,6,6,12,9,7,6,6
26,3.3470514,3.3470514,3,3,13.125691,9.844269,7.3832016,6.5628457,6.5628457,13.125691,9.844269,7.3832016,6.5628457,6.5628457,13.125691,9.844269,7.3832016,6.5628457,6.5628457,13,9,7,6,6,13,9,7,6,6,13,9,7,6,6
27,3.5196955,3.5196955,3,3,13.287568,9.965676,7.474257,6.643784,6.643784,13.287568,9.965676,7.474257,6.643784,6.643784,13.287568,9.965676,7.474257,6.643784,6.643784,13,9,7,6,6,13,9,7,6,6,13,9,7,6,6
28,3.6993449,3.6993449,3,3,13.45587,10.091903,7.568927,6.727935,6.727935,13.45587,10.091903,7.568927,6.727935,6.727935,13.45587,10.091903,7.568927,6.727935,6.727935,13,10,7,6,6,13,10,7,6,6,13,10,7,6,6
29,3.886324,3.886324,3,3,13.630789,10.223092,7.667319,6.8153944,6.8153944,13.630789,10.223092,7.667319,6.8153944,6.8153944,13.630789,10.223092,7.667319,6.8153944,6.8153944,13,10,7,6,6,13,10,7,6,6,13,10,7,6,6
30,4.0809736,4.0809736,4,4,13.812526,10.359394,7.7695456,6.906263,6.906263,13.812526,10.359394,7.7695456,6.906263,6.906263,13.812526,10.359394,7.7695456,6.906263,6.906263,13,10,7,6,6,13,10,7,6,6,13,10,7,6,6
31,4.1844764,4.1844764,4,4,14.001289,10.500967,7.8757253,7.0006447,7.0006447,14.001289,10.500967,7.8757253,7.0006447,7.0006447,14.001289,10.500967,7.8757253,7.0006447,7.0006447,14,10,7,7,7,14,10,7,7,7,14,10,7,7,7
32,4.291456,4.291456,4,4,14.197299,10.647975,7.985981,7.0986495,7.0986495,14.197299,10.647975,7.985981,7.0986495,7.0986495,14.197299,10.647975,7.985981,7.0986495,7.0986495,14,10,7,7,7,14,10,7,7,7,14,10,7,7,7
33,4.4020586,4.4020586,4,4,14.400786,10.80059,8.100442,7.200393,7.200393,14.400786,10.80059,8.100442,7.200393,7.200393,14.400786,10.80059,8.100442,7.200393,7.200393,14,10,8,7,7,14,10,8,7,7,14,10,8,7,7
34,4.5164332,4.5164332,4,4,14.61199,10.958992,8.219244,7.305995,7.305995,14.61199,10.958992,8.219244,7.305995,7.305995,14.61199,10.958992,8.219244,7.305995,7.305995,14,10,8,7,7,14,10,8,7,7,14,10,8,7,7
35,4.634738,4.634738,4,4,14.831161,11.123371,8.342528,7.4155807,7.4155807,14.831161,11.123371,8.342528,7.4155807,7.4155807,14.831161,11.123371,8.342528,7.4155807,7.4155807,14,11,8,7,7,14,11,8,7,7,14,11,8,7,7
36,4.7571373,4.7571373,4,4,15.058565,11.293923,8.470443,7.5292826,7.5292826,15.058565,11.293923,8.470443,7.5292826,7.5292826,15.058565,11.293923,8.470443,7.5292826,7.5292826,15,11,8,7,7,15,11,8,7,7,15,11,8,7,7
37,4.883804,4.883804,4,4,15.294474,11.470856,8.603142,7.647237,7.647237,15.294474,11.470856,8.603142,7.647237,7.647237,15.294474,11.470856,8.603142,7.647237,7.647237,15,11,8,7,7,15,11,8,7,7,15,11,8,7,7
38,5.0149164,5.0149164,5,5,15.539177,11.654383,8.7407875,7.7695885,7.7695885,15.539177,11.654383,8.7407875,7.7695885,7.7695885,15.539177,11.654383,8.7407875,7.7695885,7.7695885,15,11,8,7,7,15,11,8,7,7,15,11,8,7,7
39,5.1506634,5.1506634,5,5,15.792975,11.844731,8.883549,7.8964877,7.8964877,15.792975,11.844731,8.883549,7.8964877,7.8964877,15.792975,11.844731,8.883549,7.8964877,7.8964877,15,11,8,7,7,15,11,8,7,7,15,11,8,7,7
40,5.291242,5.291242,5,5,16.056183,12.042137,9.031603,8.028091,8.028091,16.056183,12.042137,9.031603,8.028091,8.028091,16.056183,12.042137,9.031603,8.028091,8.028091,16,12,9,8,8,16,12,9,8,8,16,12,9,8,8
41,5.4368577,5.4368577,5,5,16.32913,12.246847,9.185135,8.164565,8.164565,16.32913,12.246847,9.185135,8.164565,8.164565,16.32913,12.246847,9.185135,8.164565,8.164565,16,12,9,8,8,16,12,9,8,8,16,12,9,8,8
42,5.587726,5.587726,5,5,16.612158,12.459119,9.344339,8.306079,8.306079,16.612158,12.459119,9.344339,8.306079,8.306079,16.612158,12.459119,9.344339,8.306079,8.306079,16,12,9,8,8,16,12,9,8,8,16,12,9,8,8
43,5.7440724,5.7440724,5,5,16.90563,12.679223,9.509418,8.452815,8.452815,16.90563,12.679223,9.509418,8.452815,8.452815,16.90563,12.679223,9.509418,8.452815,8.452815,16,12,9,8,8,16,12,9,8,8,16,12,9,8,8
44,5.9061327,5.9061327,5,5,17.209923,12.907442,9.680582,8.604961,8.604961,17.209923,12.907442,9.680582,8.604961,8.604961,17.209923,12.907442,9.680582,8.604961,8.604961,17,12,9,8,8,17,12,9,8,8,17,12,9,8,8
45,6.0741544,6.0741544,6,6,17.525429,13.144072,9.858054,8.762714,8.762714,17.525429,13.144072,9.858054,8.762714,8.762714,17.525429,13.144072,9.858054,8.762714,8.762714,17,13,9,8,8,17,13,9,8,8,17,13,9,8,8
46,6.2483964,6.2483964,6,6,17.85256,13.389421,10.042066,8.92628,8.92628,17.85256,13.389421,10.042066,8.92628,8.92628,17.85256,13.389421,10.042066,8.92628,8.92628,17,13,10,8,8,17,13,10,8,8,17,13,10,8,8
47,6.4291296,6.4291296,6,6,18.19175,13.643812,10.23286,9.095875,9.095875,18.19175,13.643812,10.23286,9.095875,9.095875,18.19175,13.643812,10.23286,9.095875,9.095875,18,13,10,9,9,18,13,10,9,9,18,13,10,9,9
48,6.616639,6.616639,6,6,18.543447,13.907585,10.430689,9.271724,9.271724,18.543447,13.907585,10.430689,9.271724,9.271724,18.543447,13.907585,10.430689,9.271724,9.271724,18,13,10,9,9,18,13,10,9,9,18,13,10,9,9
49,6.811222,6.811222,6,6,18.908125,14.181093,10.63582,9.454062,9.454062,18.908125,14.181093,10.63582,9.454062,9.454062,18.908125,14.181093,10.63582,9.454062,9.454062,18,14,10,9,9,18,14,10,9,9,18,14,10,9,9
50,7.0131917,7.0131917,7,7,19.286278,14.464707,10.848531,9.643139,9.643139,19.286278,14.464707,10.848531,9.643139,9.643139,19.286278,14.464707,10.848531,9.643139,9.643139,19,14,10,9,9,19,14,10,9,9,19,14,10,9,9
51,7.245237,7.245237,7,7,19.678421,14.758816,11.069112,9.8392105,9.8392105,19.678421,14.758816,11.069112,9.8392105,9.8392105,19.678421,14.758816,11.069112,9.8392105,9.8392105,19,14,11,9,9,19,14,11,9,9,19,14,11,9,9
52,7.4862638,7.4862638,7,7,20.085096,15.063823,11.297867,10.042548,10.042548,20.085096,15.063823,11.297867,10.042548,10.042548,20.085096,15.063823,11.297867,10.042548,10.042548,20,15,11,10,10,20,15,11,10,10,20,15,11,10,10
53,7.736684,7.736684,7,7,20.506874,15.380155,11.535116,10.253437,10.253437,20.506874,15.380155,11.535116,10.253437,10.253437,20.506874,15.380155,11.535116,10.253437,10.253437,20,15,11,10,10,20,15,11,10,10,20,15,11,10,10
54,7.9969306,7.9969306,7,7,20.944342,15.708257,11.781193,10.472171,10.472171,20.944342,15.708257,11.781193,10.472171,10.472171,20.944342,15.708257,11.781193,10.472171,10.472171,20,15,11,10,10,20,15,11,10,10,20,15,11,10,10
55,8.267457,8.267457,8,8,21.398125,16.048594,12.036446,10.699062,10.699062,21.398125,16.048594,12.036446,10.699062,10.699062,21.398125,16.048594,12.036446,10.699062,10.699062,21,16,12,10,10,21,16,12,10,10,21,16,12,10,10
56,8.548741,8.548741,8,8,21.868872,16.401653,12.301241,10.934436,10.934436,21.868872,16.401653,12.301241,10.934436,10.934436,21.868872,16.401653,12.301241,10.934436,10.934436,21,16,12,10,10,21,16,12,10,10,21,16,12,10,10
57,8.841282,8.841282,8,8,22.357265,16.767948,12.575961,11.178633,11.178633,22.357265,16.767948,12.575961,11.178633,11.178633,22.357265,16.767948,12.575961,11.178633,11.178633,22,16,12,11,11,22,16,12,11,11,22,16,12,11,11
58,9.145607,9.145607,9,9,22.864017,17.148012,12.86101,11.432009,11.432009,22.864017,17.148012,12.86101,11.432009,11.432009,22.864017,17.148012,12.86101,11.432009,11.432009,22,17,12,11,11,22,17,12,11,11,22,17,12,11,11
59,9.462269,9.462269,9,9,23.389877,17.542408,13.156806,11.694939,11.694939,23.389877,17.542408,13.156806,11.694939,11.694939,23.389877,17.542408,13.156806,11.694939,11.694939,23,17,13,11,11,23,17,13,11,11,23,17,13,11,11
60,9.791848,9.791848,9,9,23.935629,17.951721,13.463791,11.967814,11.967814,23.935629,17.951721,13.463791,11.967814,11.967814,23.935629,17.951721,13.463791,11.967814,11.967814,23,17,13,11,11,23,17,13,11,11,23,17,13,11,11
61,10.246329,10.246329,10,10,24.502092,18.37657,13.782427,12.251046,12.251046,24.502092,18.37657,13.782427,12.251046,12.251046,24.502092,18.37657,13.782427,12.251046,12.251046,24,18,13,12,12,24,18,13,12,12,24,18,13,12,12
62,10.720328,10.720328,10,10,25.09013,18.817596,14.113197,12.545065,12.545065,25.09013,18.817596,14.113197,12.545065,12.545065,25.09013,18.817596,14.113197,12.545065,12.545065,25,18,14,12,12,25,18,14,12,12,25,18,14,12,12
63,11.214826,11.214826,11,11,25.700642,19.275482,14.456611,12.850321,12.850321,25.700642,19.275482,14.456611,12.850321,12.850321,25.700642,19.275482,14.456611,12.850321,12.850321,25,19,14,12,12,25,19,14,12,12,25,19,14,12,12
64,11.730857,11.730857,11,11,26.334578,19.750933,14.8132,13.167289,13.167289,26.334578,19.750933,14.8132,13.167289,13.167289,26.334578,19.750933,14.8132,13.167289,13.167289,26,19,14,13,13,26,19,14,13,13,26,19,14,13,13
65,12.269512,12.269512,12,12,26.992928,20.244696,15.183521,13.496464,13.496464,26.992928,20.244696,15.183521,13.496464,13.496464,26.992928,20.244696,15.183521,13.496464,13.496464,26,20,15,13,13,26,20,15,13,13,26,20,15,13,13
66,12.811747,12.811747,12,12,27.633179,20.724884,15.543663,13.816589,13.816589,27.633179,20.724884,15.543663,13.816589,13.816589,27.633179,20.724884,15.543663,13.816589,13.816589,27,20,15,13,13,27,20,15,13,13,27,20,15,13,13
67,13.355701,13.355701,13,13,28.252445,21.189335,15.892001,14.126223,14.126223,28.252445,21.189335,15.892001,14.126223,14.126223,28.252445,21.189335,15.892001,14.126223,14.126223,28,21,15,14,14,28,21,15,14,14,28,21,15,14,14
68,13.899397,13.899397,13,13,28.847805,21.635853,16.22689,14.423903,14.423903,28.847805,21.635853,16.22689,14.423903,14.423903,28.847805,21.635853,16.22689,14.423903,14.423903,28,21,16,14,14,28,21,16,14,14,28,21,16,14,14
69,14.440733,14.440733,14,14,29.416307,22.062231,16.546673,14.708154,14.708154,29.416307,22.062231,16.546673,14.708154,14.708154,29.416307,22.062231,16.546673,14.708154,14.708154,29,22,16,14,14,29,22,16,14,14,29,22,16,14,14
70,14.9775,14.9775,14,14,29.955,22.466251,16.849688,14.9775,14.9775,29.955,22.466251,16.849688,14.9775,14.9775,29.955,22.466251,16.849688,14.9775,14.9775,29,22,16,14,14,29,22,16,14,14,29,22,16,14,14
71,18.276571,18.276571,18,18,30.460953,22.845715,17.134287,15.230476,15.230476,30.460953,22.845715,17.134287,15.230476,15.230476,30.460953,22.845715,17.134287,15.230476,15.230476,30,22,17,15,15,30,22,17,15,15,30,22,17,15,15
72,19.074284,19.074284,19,19,30.931273,23.198454,17.39884,15.465636,15.465636,30.931273,23.198454,17.39884,15.465636,15.465636,30.931273,23.198454,17.39884,15.465636,15.465636,30,23,17,15,15,30,23,17,15,15,30,23,17,15,15
73,19.863314,19.863314,19,19,31.363127,23.522346,17.64176,15.681563,15.681563,31.363127,23.522346,17.64176,15.681563,15.681563,31.363127,23.522346,17.64176,15.681563,15.681563,31,23,17,15,15,31,23,17,15,15,31,23,17,15,15
74,20.639956,20.639956,20,20,31.753778,23.815334,17.8615,15.876889,15.876889,31.753778,23.815334,17.8615,15.876889,15.876889,31.753778,23.815334,17.8615,15.876889,15.876889,31,23,17,15,15,31,23,17,15,15,31,23,17,15,15
75,21.400398,21.400398,21,21,32.100597,24.075449,18.056585,16.050299,16.050299,32.100597,24.075449,18.056585,16.050299,16.050299,32.100597,24.075449,18.056585,16.050299,16.050299,32,24,18,16,16,32,24,18,16,16,32,24,18,16,16
76,22.140745,22.140745,22,22,32.401093,24.30082,18.225615,16.200546,16.200546,32.401093,24.30082,18.225615,16.200546,16.200546,32.401093,24.30082,18.225615,16.200546,16.200546,32,24,18,16,16,32,24,18,16,16,32,24,18,16,16
77,22.893078,22.893078,22,22,32.7044,24.5283,18.396225,16.3522,16.3522,32.7044,24.5283,18.396225,16.3522,16.3522,32.7044,24.5283,18.396225,16.3522,16.3522,32,24,18,16,16,32,24,18,16,16,32,24,18,16,16
78,23.657557,23.657557,23,23,33.010544,24.757908,18.568432,16.505272,16.505272,33.010544,24.757908,18.568432,16.505272,16.505272,33.010544,24.757908,18.568432,16.505272,16.505272,33,24,18,16,16,33,24,18,16,16,33,24,18,16,16
79,24.434341,24.434341,24,24,33.319557,24.989668,18.74225,16.659779,16.659779,33.319557,24.989668,18.74225,16.659779,16.659779,33.319557,24.989668,18.74225,16.659779,16.659779,33,24,18,16,16,33,24,18,16,16,33,24,18,16,16
80,25.223595,25.223595,25,25,33.631462,25.223595,18.917696,16.815731,16.815731,33.631462,25.223595,18.917696,16.815731,16.815731,33.631462,25.223595,18.917696,16.815731,16.815731,33,25,18,16,16,33,25,18,16,16,33,25,18,16,16
81,25.499308,25.829254,25,25,33.946285,25.459713,19.094786,16.973143,16.973143,33.946285,25.459713,19.094786,16.973143,16.973143,33.946285,25.459713,19.094786,16.973143,16.973143,33,25,19,16,16,33,25,19,16,16,33,25,19,16,16
82,25.777971,26.444042,25,26,34.264057,25.698042,19.273531,17.132029,17.132029,34.264057,25.698042,19.273531,17.132029,17.132029,34.264057,25.698042,19.273531,17.132029,17.132029,34,25,19,17,17,34,25,19,17,17,34,25,19,17,17
83,26.059616,27.068075,26,27,34.5848,25.938602,19.45395,17.2924,17.2924,34.5848,25.938602,19.45395,17.2924,17.2924,34.5848,25.938602,19.45395,17.2924,17.2924,34,25,19,17,17,34,25,19,17,17,34,25,19,17,17
84,26.344276,27.701475,26,27,34.90855,26.181414,19.63606,17.454275,17.454275,34.90855,26.181414,19.63606,17.454275,17.454275,34.90855,26.181414,19.63606,17.454275,17.454275,34,26,19,17,17,34,26,19,17,17,34,26,19,17,17
85,26.631983,28.344362,26,28,35.23533,26.426498,19.819874,17.617664,17.617664,35.23533,26.426498,19.819874,17.617664,17.617664,35.23533,26.426498,19.819874,17.617664,17.617664,35,26,19,17,17,35,26,19,17,17,35,26,19,17,17
86,26.922768,28.996859,26,28,35.565166,26.673876,20.005407,17.782583,17.782583,35.565166,26.673876,20.005407,17.782583,17.782583,35.565166,26.673876,20.005407,17.782583,17.782583,35,26,20,17,17,35,26,20,17,17,35,26,20,17,17
87,27.216661,29.659086,27,29,35.898094,26.92357,20.192678,17.949047,17.949047,35.898094,26.92357,20.192678,17.949047,17.949047,35.898094,26.92357,20.192678,17.949047,17.949047,35,26,20,17,17,35,26,20,17,17,35,26,20,17,17
88,27.513699,30.331171,27,30,36.234135,27.175602,20.381702,18.117067,18.117067,36.234135,27.175602,20.381702,18.117067,18.117067,36.234135,27.175602,20.381702,18.117067,18.117067,36,27,20,18,18,36,27,20,18,18,36,27,20,18,18
89,27.813911,31.013239,27,31,36.573322,27.429993,20.572495,18.286661,18.286661,36.573322,27.429993,20.572495,18.286661,18.286661,36.573322,27.429993,20.572495,18.286661,18.286661,36,27,20,18,18,36,27,20,18,18,36,27,20,18,18
90,28.117336,31.70542,28,31,36.915688,27.686766,20.765074,18.457844,18.457844,36.915688,27.686766,20.765074,18.457844,18.457844,36.915688,27.686766,20.765074,18.457844,18.457844,36,27,20,18,18,36,27,20,18,18,36,27,20,18,18
91,28.424002,32.40784,28,32,37.261253,27.945942,20.959455,18.630627,18.630627,37.261253,27.945942,20.959455,18.630627,18.630627,37.261253,27.945942,20.959455,18.630627,18.630627,37,27,20,18,18,37,27,20,18,18,37,27,20,18,18
92,28.733946,33.120636,28,33,37.610058,28.207544,21.155657,18.805029,18.805029,37.610058,28.207544,21.155657,18.805029,18.805029,37.610058,28.207544,21.155657,18.805029,18.805029,37,28,21,18,18,37,28,21,18,18,37,28,21,18,18
93,29.047203,33.843937,29,33,37.962128,28.471594,21.353695,18.981064,18.981064,37.962128,28.471594,21.353695,18.981064,18.981064,37.962128,28.471594,21.353695,18.981064,18.981064,37,28,21,18,18,37,28,21,18,18,37,28,21,18,18
94,29.363806,34.577873,29,34,38.31749,28.738117,21.553589,19.158745,19.158745,38.31749,28.738117,21.553589,19.158745,19.158745,38.31749,28.738117,21.553589,19.158745,19.158745,38,28,21,19,19,38,28,21,19,19,38,28,21,19,19
95,29.68379,35.32259,29,35,38.676178,29.007135,21.755352,19.338089,19.338089,38.676178,29.007135,21.755352,19.338089,19.338089,38.676178,29.007135,21.755352,19.338089,19.338089,38,29,21,19,19,38,29,21,19,19,38,29,21,19,19
96,30.007193,36.078213,30,36,39.038227,29.278671,21.959003,19.519114,19.519114,39.038227,29.278671,21.959003,19.519114,19.519114,39.038227,29.278671,21.959003,19.519114,19.519114,39,29,21,19,19,39,29,21,19,19,39,29,21,19,19
97,30.33405,36.84489,30,36,39.403664,29.552748,22.164562,19.701832,19.701832,39.403664,29.552748,22.164562,19.701832,19.701832,39.403664,29.552748,22.164562,19.701832,19.701832,39,29,22,19,19,39,29,22,19,19,39,29,22,19,19
98,30.664396,37.622765,30,37,39.772522,29.829391,22.372044,19.886261,19.886261,39.772522,29.829391,22.372044,19.886261,19.886261,39.772522,29.829391,22.372044,19.886261,19.886261,39,29,22,19,19,39,29,22,19,19,39,29,22,19,19
99,30.998268,38.41197,30,38,40.144833,30.108625,22.581469,20.072416,20.072416,40.144833,30.108625,22.581469,20.072416,20.072416,40.144833,30.108625,22.581469,20.072416,20.072416,40,30,22,20,20,40,30,22,20,20,40,30,22,20,20
100,32.275776,40.38903,32,40,40.52063,30.390472,22.792854,20.260315,20.260315,40.52063,30.390472,22.792854,20.260315,20.260315,40.52063,30.390472,22.792854,20.260315,20.260315,40,30,22,20,20,40,30,22,20,20,40,30,22,20,20
101,32.627045,41.225708,32,41,40.899944,30.674957,23.006218,20.449972,20.449972,40.899944,30.674957,23.006218,20.449972,20.449972,40.899944,30.674957,23.006218,20.449972,20.449972,40,30,23,20,20,40,30,23,20,20,40,30,23,20,20
102,32.982063,42.07451,32,42,41.282806,30.962107,23.221579,20.641403,20.641403,41.282806,30.962107,23.221579,20.641403,20.641403,41.282806,30.962107,23.221579,20.641403,20.641403,41,30,23,20,20,41,30,23,20,20,41,30,23,20,20
103,33.340866,42.935593,33,42,41.66926,31.251942,23.438957,20.83463,20.83463,41.66926,31.251942,23.438957,20.83463,20.83463,41.66926,31.251942,23.438957,20.83463,20.83463,41,31,23,20,20,41,31,23,20,20,41,31,23,20,20
104,33.7035,43.809105,33,43,42.059322,31.544493,23.65837,21.029661,21.029661,42.059322,31.544493,23.65837,21.029661,21.029661,42.059322,31.544493,23.65837,21.029661,21.029661,42,31,23,21,21,42,31,23,21,21,42,31,23,21,21
105,34.07,44.695213,34,44,42.45304,31.83978,23.879835,21.22652,21.22652,42.45304,31.83978,23.879835,21.22652,21.22652,42.45304,31.83978,23.879835,21.22652,21.22652,42,31,23,21,21,42,31,23,21,21,42,31,23,21,21
106,34.440407,45.59407,34,45,42.850445,32.137833,24.103374,21.425222,21.425222,42.850445,32.137833,24.103374,21.425222,21.425222,42.850445,32.137833,24.103374,21.425222,21.425222,42,32,24,21,21,42,32,24,21,21,42,32,24,21,21
107,34.814766,46.50584,34,46,43.251568,32.438675,24.329006,21.625784,21.625784,43.251568,32.438675,24.329006,21.625784,21.625784,43.251568,32.438675,24.329006,21.625784,21.625784,43,32,24,21,21,43,32,24,21,21,43,32,24,21,21
108,35.19311,47.430687,35,47,43.656445,32.742332,24.55675,21.828222,21.828222,43.656445,32.742332,24.55675,21.828222,21.828222,43.656445,32.742332,24.55675,21.828222,21.828222,43,32,24,21,21,43,32,24,21,21,43,32,24,21,21
109,35.575493,48.36877,35,48,44.065113,33.048836,24.786627,22.032557,22.032557,44.065113,33.048836,24.786627,22.032557,22.032557,44.065113,33.048836,24.786627,22.032557,22.032557,44,33,24,22,22,44,33,24,22,22,44,33,24,22,22
110,35.96195,49.32026,35,49,44.477608,33.358204,25.018654,22.238804,22.238804,44.477608,33.358204,25.018654,22.238804,22.238804,44.477608,33.358204,25.018654,22.238804,22.238804,44,33,25,22,22,44,33,25,22,22,44,33,25,22,22
