ID,ChrSpecID,SpellID,TraitSubTreeID,Threshold,ItemSetID
6247,0,9417,0,6,1656
6248,0,9117,0,3,1657
6249,0,9331,0,6,1657
6250,0,9117,0,3,1658
6251,0,9408,0,6,1658
6252,0,9117,0,3,1659
6253,0,9417,0,6,1659
6254,0,9117,0,3,1660
6255,0,9417,0,6,1660
6256,0,9117,0,3,1661
6257,0,9408,0,6,1661
6258,0,447286,0,8,1662
6259,0,447285,0,5,1662
6260,0,447284,0,3,1662
6261,0,447289,0,3,1663
6262,0,447291,0,5,1663
6263,0,447292,0,8,1663
6264,0,447294,0,8,1664
6265,0,447295,0,3,1664
6266,0,447296,0,5,1664
6267,0,14462,0,3,1665
6268,0,9336,0,6,1665
6269,0,436239,0,2,1639
6270,0,449919,0,3,1639
6271,0,449921,0,3,1638
6272,0,9121,0,2,1640
6273,0,449924,0,3,1640
6274,0,449926,0,3,1640
6276,0,446169,0,3,1642
6277,0,449928,0,3,1641
6279,0,449929,0,3,1643
6280,0,449930,0,3,1644
6281,0,449931,0,3,1645
6282,0,436239,0,2,1646
6283,0,449933,0,3,1646
6284,0,449935,0,3,1646
6286,0,449970,0,3,1649
6288,0,449974,0,3,1650
6290,0,450012,0,3,1637
6291,0,9331,0,2,1647
6292,0,450083,0,3,1647
6293,0,449933,0,3,1648
6294,0,436239,0,2,1648
6295,0,450403,0,3,1647
6296,0,432639,0,2,1642
6297,0,29097,0,2,1666
6298,0,18679,0,8,1666
6299,0,450512,0,4,1666
6300,0,450608,0,6,1666
6301,0,18679,0,6,1667
6302,0,14803,0,8,1667
6303,0,450512,0,2,1667
6304,0,450608,0,4,1667
6305,0,29094,0,2,1668
6306,0,18679,0,8,1668
6307,0,30772,0,4,1668
6308,0,450577,0,6,1668
6309,0,14049,0,2,1669
6310,0,18679,0,6,1669
6311,0,14803,0,8,1669
6312,0,450577,0,4,1669
6313,0,29091,0,2,1670
6314,0,18679,0,8,1670
6315,0,30777,0,4,1670
6316,0,450527,0,6,1670
6317,0,14803,0,8,1671
6318,0,18679,0,6,1671
6319,0,14047,0,2,1671
6320,0,450527,0,4,1671
6321,0,29093,0,2,1672
6322,0,18679,0,8,1672
6324,0,450625,0,6,1672
6326,0,18679,0,6,1673
6327,0,14803,0,8,1673
6328,0,450625,0,4,1673
6329,0,14803,0,2,1674
6330,0,18679,0,8,1674
6331,0,30779,0,4,1674
6332,0,450576,0,6,1674
6333,0,14047,0,2,1675
6334,0,18679,0,6,1675
6335,0,14803,0,8,1675
6336,0,450576,0,4,1675
6337,0,450516,0,4,1672
6338,0,450516,0,2,1673
6339,0,14049,0,2,1676
6340,0,18679,0,6,1676
6341,0,27787,0,4,1676
6342,0,14803,0,8,1676
6343,0,29096,0,2,1677
6344,0,27787,0,6,1677
6345,0,18679,0,8,1677
6346,0,30771,0,4,1677
6347,0,29095,0,2,1678
6348,0,18679,0,8,1678
6349,0,450626,0,6,1678
6350,0,450517,0,4,1678
6351,0,18679,0,6,1679
6352,0,14803,0,8,1679
6353,0,450626,0,4,1679
6354,0,450517,0,2,1679
6355,0,29090,0,2,1680
6356,0,18679,0,8,1680
6357,0,30778,0,4,1680
6358,0,450585,0,6,1680
6359,0,14047,0,2,1681
6360,0,18679,0,6,1681
6361,0,14803,0,8,1681
6362,0,450585,0,4,1681
6363,0,29092,0,2,1682
6364,0,18679,0,8,1682
6365,0,30770,0,4,1682
6366,0,450587,0,6,1682
6476,0,455852,0,2,1698
6477,0,455858,0,4,1698
6478,0,455859,0,6,1698
6479,0,455864,0,2,1699
6480,0,455872,0,4,1699
6481,0,455873,0,6,1699
6482,0,456194,0,2,1700
6483,0,456222,0,4,1700
6484,0,456322,0,6,1700
6485,0,456325,0,2,1701
6486,0,456328,0,4,1701
6487,0,456332,0,6,1701
6488,0,456337,0,2,1702
6489,0,457324,0,4,1702
6490,0,456379,0,6,1702
6491,0,456389,0,2,1703
6492,0,456341,0,4,1703
6493,0,456394,0,6,1703
6494,0,456396,0,2,1704
6495,0,456398,0,4,1704
6496,0,456402,0,6,1704
6497,0,456404,0,2,1705
6498,0,456477,0,4,1705
6499,0,456481,0,6,1705
6500,0,456488,0,2,1706
6501,0,457323,0,4,1706
6502,0,456492,0,6,1706
6503,0,456494,0,2,1707
6504,0,456489,0,4,1707
6505,0,456533,0,6,1707
6506,0,456536,0,2,1708
6507,0,456538,0,4,1708
6508,0,456541,0,6,1708
6509,0,456545,0,2,1709
6510,0,456546,0,4,1709
6511,0,456547,0,6,1709
6512,0,456548,0,2,1710
6513,0,457322,0,4,1710
6514,0,457325,0,6,1710
6515,0,457329,0,2,1711
6516,0,457339,0,4,1711
6517,0,457344,0,6,1711
6518,0,457349,0,2,1712
6519,0,457440,0,4,1712
6520,0,457464,0,6,1712
6521,0,457475,0,2,1713
6522,0,457478,0,4,1713
6523,0,457494,0,6,1713
6524,0,457520,0,4,1714
6525,0,457524,0,6,1714
6526,0,457475,0,2,1714
6527,0,457475,0,2,1715
6528,0,457530,0,4,1715
6529,0,457532,0,6,1715
6530,0,457540,0,2,1716
6531,0,457541,0,4,1716
6532,0,457544,0,6,1716
6533,0,457548,0,2,1717
6534,0,457549,0,4,1717
6535,0,457553,0,6,1717
6536,0,457571,0,2,1718
6537,0,457572,0,4,1718
6538,0,457642,0,6,1718
6539,0,457645,0,2,1719
6540,0,457646,0,4,1719
6541,0,457651,0,6,1719
6542,0,457652,0,2,1720
6543,0,457697,0,4,1720
6544,0,457820,0,6,1720
6545,0,14049,0,6,1721
6546,0,22738,0,3,1721
6547,0,14467,0,2,1721
6548,0,14049,0,6,1722
6549,0,14467,0,2,1722
6550,0,23218,0,3,1722
6551,0,23218,0,3,1723
6552,0,14047,0,6,1723
6553,0,14467,0,2,1723
6554,0,23218,0,3,1724
6555,0,14467,0,2,1724
6558,0,23158,0,3,1725
6561,0,14049,0,6,1726
6562,0,459584,0,3,1726
6563,0,14047,0,6,1727
6564,0,14467,0,2,1727
6565,0,23025,0,3,1727
6566,0,14047,0,6,1728
6567,0,14467,0,2,1728
6568,0,23044,0,3,1728
6569,0,14467,0,2,1729
6570,0,23044,0,3,1729
6572,0,14049,0,6,1730
6573,0,14467,0,2,1730
6574,0,23048,0,3,1730
6575,0,14049,0,6,1731
6576,0,14467,0,2,1731
6577,0,22804,0,3,1731
6578,0,14467,0,2,1732
6579,0,22804,0,3,1732
6580,0,14047,0,6,1732
6581,0,14467,0,2,1733
6582,0,22804,0,3,1733
6584,0,14467,0,2,1734
6585,0,14047,0,6,1734
6586,0,23047,0,3,1734
6587,0,23218,0,3,1735
6588,0,14047,0,6,1735
6589,0,14467,0,2,1735
6590,0,23218,0,3,1736
6591,0,14467,0,2,1736
6593,0,14049,0,6,1737
6594,0,14467,0,2,1737
6595,0,23218,0,3,1737
6597,0,14049,0,6,1738
6598,0,459584,0,3,1738
6600,0,23158,0,3,1739
6602,0,14047,0,6,1740
6603,0,14467,0,2,1740
6604,0,23025,0,3,1740
6605,0,14047,0,6,1741
6606,0,14467,0,2,1741
6607,0,23044,0,3,1741
6608,0,14467,0,2,1742
6609,0,23044,0,3,1742
6611,0,14049,0,6,1743
6612,0,14467,0,2,1743
6613,0,23048,0,3,1743
6614,0,14049,0,6,1744
6615,0,14467,0,2,1744
6616,0,23302,0,3,1744
6617,0,14467,0,2,1745
6618,0,23302,0,3,1745
6620,0,14467,0,2,1746
6621,0,14047,0,6,1746
6622,0,23047,0,3,1746
6623,0,14049,0,6,1747
6624,0,22738,0,3,1747
6625,0,14467,0,2,1747
6626,0,23218,0,4,1748
6627,0,14047,0,2,1748
6628,0,14467,0,6,1748
6629,0,23218,0,4,1749
6630,0,14467,0,6,1749
6631,0,17371,0,2,1749
6632,0,14049,0,2,1750
6633,0,14467,0,6,1750
6634,0,23218,0,4,1750
6636,0,14049,0,2,1751
6637,0,459584,0,4,1751
6639,0,23158,0,4,1752
6640,0,14384,0,2,1752
6641,0,14047,0,2,1753
6642,0,14467,0,6,1753
6643,0,23025,0,4,1753
6644,0,14047,0,2,1754
6645,0,14467,0,6,1754
6646,0,23044,0,4,1754
6647,0,14467,0,6,1755
6648,0,23044,0,4,1755
6649,0,17371,0,2,1755
6650,0,14049,0,2,1756
6651,0,14467,0,6,1756
6652,0,23048,0,4,1756
6653,0,14467,0,6,1757
6654,0,22804,0,4,1757
6655,0,14047,0,2,1757
6656,0,14467,0,6,1758
6657,0,22804,0,4,1758
6658,0,17371,0,2,1758
6659,0,14049,0,2,1759
6660,0,14467,0,6,1759
6661,0,22804,0,4,1759
6662,0,14467,0,6,1760
6663,0,14047,0,2,1760
6664,0,23047,0,4,1760
6665,0,14049,0,2,1761
6666,0,22738,0,4,1761
6667,0,14467,0,6,1761
6668,0,23218,0,4,1762
6669,0,14047,0,2,1762
6670,0,14467,0,6,1762
6671,0,23218,0,4,1763
6672,0,14467,0,6,1763
6673,0,17371,0,2,1763
6674,0,14049,0,2,1764
6675,0,14467,0,6,1764
6676,0,23218,0,4,1764
6678,0,14049,0,2,1765
6679,0,459584,0,4,1765
6681,0,23158,0,4,1766
6682,0,14384,0,2,1766
6683,0,14047,0,2,1767
6684,0,14467,0,6,1767
6685,0,23025,0,4,1767
6686,0,14047,0,2,1768
6687,0,14467,0,6,1768
6688,0,23044,0,4,1768
6689,0,14467,0,6,1769
6690,0,23044,0,4,1769
6691,0,17371,0,2,1769
6692,0,14049,0,2,1770
6693,0,14467,0,6,1770
6694,0,23048,0,4,1770
6704,0,14467,0,6,1774
6705,0,14047,0,2,1774
6706,0,23047,0,4,1774
6707,0,14049,0,2,1775
6708,0,22738,0,4,1775
6709,0,14467,0,6,1775
6710,0,14467,0,6,1776
6711,0,23302,0,4,1776
6712,0,17371,0,2,1776
6713,0,14049,0,2,1777
6714,0,14467,0,6,1777
6715,0,23302,0,4,1777
6716,0,14049,0,2,1778
6717,0,18679,0,6,1778
6718,0,14803,0,8,1778
6719,0,450587,0,4,1778
6720,0,14467,0,6,1765
6721,0,14467,0,6,1751
6722,0,14467,0,6,1752
6723,0,14467,0,6,1766
6724,0,461267,0,2,1779
6725,0,461268,0,3,1779
6726,0,18036,0,2,1780
6727,0,461697,0,2,1780
6729,0,461698,0,2,1780
6730,0,432639,0,2,1781
6731,0,461990,0,4,1781
6732,0,436239,0,3,1781
6733,0,9764,0,2,1782
6734,0,17498,0,5,1782
6735,0,9417,0,4,1782
6736,0,14590,0,3,1782
6737,0,14712,0,3,1782
6738,0,9106,0,5,1782
6739,0,17332,0,2,1783
6740,0,13385,0,2,1783
6742,0,14056,0,2,1784
6743,0,27733,0,2,1785
6744,0,14803,0,4,1785
6745,0,14047,0,6,1785
6746,0,7516,0,2,1786
6747,0,9764,0,3,1786
6748,0,18686,0,4,1786
6749,0,13665,0,5,1786
6750,0,7495,0,3,1787
6752,0,18686,0,4,1787
6753,0,14047,0,5,1787
6754,0,13665,0,5,1788
6755,0,18686,0,4,1788
6756,0,9140,0,3,1788
6757,0,7516,0,2,1788
6758,0,7503,0,2,1787
6759,0,9233,0,3,1789
6760,0,14590,0,2,1789
6761,0,18675,0,2,1790
6762,0,14127,0,3,1790
6763,0,21625,0,2,1791
6764,0,21894,0,3,1791
6767,0,14590,0,4,1792
6768,0,14590,0,2,1793
6769,0,460230,0,2,1793
6770,0,448324,0,3,1792
6771,0,432639,0,2,1792
6791,0,9396,0,2,1795
6792,0,432639,0,2,1795
6793,0,467647,0,2,1796
6794,0,9336,0,2,1797
6795,0,467743,0,2,1798
6796,0,13387,0,2,1799
6797,0,7523,0,2,1800
6798,0,468256,0,2,1800
6799,0,467077,0,2,1801
6800,0,467084,0,4,1801
6801,0,467090,0,6,1801
6802,0,467099,0,2,1802
6803,0,467203,0,4,1802
6804,0,467205,0,6,1802
