ID,OccluderID,Sequence,LocationID
189890,21889,2,189898
189891,21889,3,189899
189892,21889,4,189900
189893,21890,1,189901
189894,21890,2,189902
189895,21890,3,189903
189896,21890,4,189904
189897,21891,1,189905
189898,21891,2,189906
189899,21891,3,189907
189900,21891,4,189908
189901,21892,1,189909
189902,21892,2,189910
189903,21892,3,189911
189904,21892,4,189912
189905,21893,1,189913
189906,21893,2,189914
189907,21893,3,189915
189908,21893,4,189916
189909,21893,5,189917
189910,21894,1,189918
189911,21894,2,189919
189912,21894,3,189920
189913,21894,4,189921
189914,21895,1,189922
189915,21895,2,189923
189916,21895,3,189924
189917,21895,4,189925
189918,21896,1,189926
189919,21896,2,189927
189920,21896,3,189928
189921,21896,4,189929
189922,21896,5,189930
189923,21896,6,189931
189924,21896,7,189932
189925,21897,1,189933
189926,21897,2,189934
189927,21897,3,189935
189928,21897,4,189936
189929,21897,5,189937
189930,21898,1,189938
189931,21898,2,189939
189932,21898,3,189940
189933,21898,4,189941
189934,21898,5,189942
189935,21899,1,189943
189936,21899,2,189944
189937,21899,3,189945
189938,21899,4,189946
189939,21899,5,189947
189940,21900,1,189948
189941,21900,2,189949
189942,21900,3,189950
189943,21900,4,189951
189944,21901,1,189952
189945,21901,2,189953
189946,21901,3,189954
189947,21901,4,189955
189948,21901,5,189956
189949,21901,6,189957
189950,21901,7,189958
189951,21901,8,189959
189952,21902,1,189960
189953,21902,2,189961
189954,21902,3,189962
189955,21902,4,189963
189956,21903,1,189964
189957,21903,2,189965
189958,21903,3,189966
189959,21903,4,189967
189960,21904,1,189968
189961,21904,2,189969
189962,21904,3,189970
189963,21904,4,189971
189964,21904,5,189972
189965,21905,1,189973
189966,21905,2,189974
189967,21905,3,189975
189968,21905,4,189976
189969,21905,5,189977
189970,21906,1,189978
189971,21906,2,189979
189972,21906,3,189980
189973,21906,4,189981
189974,21907,1,189982
189975,21907,2,189983
189976,21907,3,189984
189977,21907,4,189985
189978,21908,1,189986
189979,21908,2,189987
189980,21908,3,189988
189981,21908,4,189989
189982,21908,5,189990
189983,21909,1,189991
189984,21909,2,189992
189985,21909,3,189993
189986,21909,4,189994
189987,21910,1,189995
189988,21910,2,189996
189989,21910,3,189997
189990,21910,4,189998
189991,21911,1,189999
189992,21911,2,190000
189993,21911,3,190001
189994,21911,4,190002
189995,21912,1,190003
189996,21912,2,190004
189997,21912,3,190005
189998,21912,4,190006
189999,21912,5,190007
190000,21913,1,190008
190001,21913,2,190009
190002,21913,3,190010
190003,21913,4,190011
190004,21914,1,190012
190005,21914,2,190013
190006,21914,3,190014
190007,21914,4,190015
190008,21915,1,190016
190009,21915,2,190017
190010,21915,3,190018
190011,21915,4,190019
190012,21916,1,190020
190013,21916,2,190021
190014,21916,3,190022
190015,21916,4,190023
190016,21917,1,190024
190017,21917,2,190025
190018,21917,3,190026
190019,21917,4,190027
190020,21918,1,190028
190021,21918,2,190029
190022,21918,3,190030
190023,21918,4,190031
190024,21919,1,190032
190025,21919,2,190033
190026,21919,3,190034
190027,21919,4,190035
190028,21920,1,190036
190029,21920,2,190037
190030,21920,3,190038
190031,21920,4,190039
190032,21921,1,190040
190033,21921,2,190041
190034,21921,3,190042
190035,21921,4,190043
190036,21922,1,190044
190037,21922,2,190045
190038,21922,3,190046
190039,21922,4,190047
190567,22053,1,190575
190568,22053,2,190576
190569,22053,3,190577
190570,22053,4,190578
190571,22054,1,190579
190572,22054,2,190580
190573,22054,3,190581
190574,22054,4,190582
190575,22055,1,190583
190576,22055,2,190584
190577,22055,3,190585
190578,22055,4,190586
190579,22056,1,190587
190580,22056,2,190588
190581,22056,3,190589
190582,22056,4,190590
190583,22057,1,190591
190584,22057,2,190592
190585,22057,3,190593
190586,22057,4,190594
190587,22058,1,190595
190588,22058,2,190596
190589,22058,3,190597
190590,22058,4,190598
190591,22059,1,190599
190592,22059,2,190600
190593,22059,3,190601
190594,22059,4,190602
190595,22060,1,190603
190596,22060,2,190604
190597,22060,3,190605
190598,22060,4,190606
190599,22061,1,190607
190600,22061,2,190608
190601,22061,3,190609
190602,22061,4,190610
190603,22062,1,190611
190604,22062,2,190612
190605,22062,3,190613
190606,22062,4,190614
190607,22063,1,190615
190608,22063,2,190616
190609,22063,3,190617
190610,22063,4,190618
190611,22064,1,190619
190612,22064,2,190620
190613,22064,3,190621
190614,22064,4,190622
190615,22065,1,190623
190616,22065,2,190624
190617,22065,3,190625
190618,22065,4,190626
190619,22066,1,190627
190620,22066,2,190628
190621,22066,3,190629
190622,22066,4,190630
190623,22067,1,190631
190624,22067,2,190632
190625,22067,3,190633
190626,22067,4,190634
190627,22068,1,190635
190628,22068,2,190636
190629,22068,3,190637
190630,22068,4,190638
190631,22069,1,190639
190632,22069,2,190640
190633,22069,3,190641
190634,22069,4,190642
190635,22070,1,190643
190636,22070,2,190644
190637,22070,3,190645
190638,22070,4,190646
190639,22071,1,190647
190640,22071,2,190648
190641,22071,3,190649
190642,22071,4,190650
190643,22072,1,190651
190644,22072,2,190652
190645,22072,3,190653
190646,22072,4,190654
190647,22073,1,190655
190648,22073,2,190656
190649,22073,3,190657
190650,22073,4,190658
190651,22074,1,190659
190652,22074,2,190660
190653,22074,3,190661
190654,22074,4,190662
190655,22075,1,190663
190656,22075,2,190664
190657,22075,3,190665
190658,22075,4,190666
190659,22076,1,190667
190660,22076,2,190668
190661,22076,3,190669
190662,22076,4,190670
190663,22077,1,190671
190664,22077,2,190672
190665,22077,3,190673
190666,22077,4,190674
190667,22078,1,190675
190668,22078,2,190676
190669,22078,3,190677
190670,22078,4,190678
190671,22079,1,190679
190672,22079,2,190680
190673,22079,3,190681
190674,22079,4,190682
190675,22080,1,190683
190676,22080,2,190684
190677,22080,3,190685
190678,22080,4,190686
190679,22081,1,190687
190680,22081,2,190688
190681,22081,3,190689
190682,22081,4,190690
190683,22082,1,190691
190684,22082,2,190692
190685,22082,3,190693
190686,22082,4,190694
190687,22083,1,190695
190688,22083,2,190696
190689,22083,3,190697
190690,22083,4,190698
190691,22084,1,190699
190692,22084,2,190700
190693,22084,3,190701
190694,22084,4,190702
190695,22085,1,190703
190696,22085,2,190704
190697,22085,3,190705
190698,22085,4,190706
190699,22086,1,190707
190700,22086,2,190708
190701,22086,3,190709
190702,22086,4,190710
190703,22087,1,190711
190704,22087,2,190712
190705,22087,3,190713
190706,22087,4,190714
190707,22088,1,190715
190708,22088,2,190716
190709,22088,3,190717
190710,22088,4,190718
190711,22089,1,190719
190712,22089,2,190720
190713,22089,3,190721
190714,22089,4,190722
190715,22090,1,190723
190716,22090,2,190724
190717,22090,3,190725
190718,22090,4,190726
190719,22091,1,190727
190720,22091,2,190728
190721,22091,3,190729
190722,22091,4,190730
190723,22092,1,190731
190724,22092,2,190732
190725,22092,3,190733
190726,22092,4,190734
190727,22093,1,190735
190728,22093,2,190736
190729,22093,3,190737
190730,22093,4,190738
190731,22094,1,190739
190732,22094,2,190740
190733,22094,3,190741
190734,22094,4,190742
190735,22095,1,190743
190736,22095,2,190744
190737,22095,3,190745
190738,22095,4,190746
190739,22096,1,190747
190740,22096,2,190748
190741,22096,3,190749
190742,22096,4,190750
190743,22097,1,190751
190744,22097,2,190752
190745,22097,3,190753
190746,22097,4,190754
190747,22098,1,190755
190748,22098,2,190756
190749,22098,3,190757
190750,22098,4,190758
190751,22099,1,190759
190752,22099,2,190760
190753,22099,3,190761
190754,22099,4,190762
190755,22100,1,190763
190756,22100,2,190764
190757,22100,3,190765
190758,22100,4,190766
190759,22101,1,190767
190760,22101,2,190768
190761,22101,3,190769
190762,22101,4,190770
190763,22102,1,190771
190764,22102,2,190772
190765,22102,3,190773
190766,22102,4,190774
190767,22103,1,190775
190768,22103,2,190776
190769,22103,3,190777
190770,22103,4,190778
190771,22104,1,190779
190772,22104,2,190780
190773,22104,3,190781
190774,22104,4,190782
190775,22105,1,190783
190776,22105,2,190784
190777,22105,3,190785
190778,22105,4,190786
190779,22106,1,190787
190780,22106,2,190788
190781,22106,3,190789
190782,22106,4,190790
190783,22107,1,190791
190784,22107,2,190792
190785,22107,3,190793
190786,22107,4,190794
190787,22108,1,190795
190788,22108,2,190796
190789,22108,3,190797
190790,22108,4,190798
190791,22109,1,190799
190792,22109,2,190800
190793,22109,3,190801
190794,22109,4,190802
190795,22110,1,190803
190796,22110,2,190804
190797,22110,3,190805
190798,22110,4,190806
190799,22111,1,190807
190800,22111,2,190808
190801,22111,3,190809
190802,22111,4,190810
190803,22112,1,190811
190804,22112,2,190812
190805,22112,3,190813
190806,22112,4,190814
190807,22113,1,190815
190808,22113,2,190816
190809,22113,3,190817
190810,22113,4,190818
190811,22114,1,190819
190812,22114,2,190820
190813,22114,3,190821
190814,22114,4,190822
190815,22115,1,190823
190816,22115,2,190824
190817,22115,3,190825
190818,22115,4,190826
230508,25848,1,230492
230509,25848,2,230493
230510,25848,3,230494
230511,25848,4,230495
234467,26279,1,234450
234468,26279,2,234451
234469,26279,3,234452
234470,26279,4,234453
234475,26280,1,234458
234476,26280,2,234459
234477,26280,3,234460
234478,26280,4,234461
234479,26283,1,234462
234480,26283,2,234463
234481,26283,3,234464
234482,26283,4,234465
234484,26284,1,234467
234485,26284,2,234468
234486,26284,3,234469
234487,26284,4,234470
238005,26737,1,237987
238006,26737,2,237988
238007,26737,3,237989
238008,26737,4,237990
238009,26738,1,237991
238010,26738,2,237992
238011,26738,3,237993
238012,26738,4,237994
238841,26896,1,238820
238842,26896,2,238821
238843,26896,3,238822
238844,26896,4,238823
238845,26896,5,238824
238846,26896,6,238825
238886,26906,1,238865
238887,26906,2,238866
238888,26906,3,238867
238889,26906,4,238868
240235,27138,1,240213
240236,27138,2,240214
240237,27138,3,240215
240238,27138,4,240216
246887,27968,1,246862
246888,27968,2,246863
246889,27968,3,246864
246890,27968,4,246865
246891,27968,5,246866
246892,27968,6,246867
246938,27993,1,246913
246939,27993,2,246914
246940,27993,3,246915
246941,27993,4,246916
246942,27993,5,246917
246943,27993,6,246918
246944,27993,7,246919
246945,27993,8,246920
246999,28000,1,246974
247000,28000,2,246975
247001,28000,3,246976
247002,28000,4,246977
247003,28000,5,246978
247004,28000,6,246979
247005,28000,7,246980
247006,28000,8,246981
247007,28000,9,246982
247008,28000,10,246983
263707,30240,1,263661
263708,30240,2,263662
263709,30240,3,263663
263710,30240,4,263664
315410,36730,1,315338
315411,36730,2,315339
315412,36730,3,315340
315413,36730,4,315341
315414,36735,1,315342
315415,36735,2,315343
315416,36735,3,315344
315417,36735,4,315345
315555,36767,1,315483
315556,36767,2,315484
315557,36767,3,315485
315558,36767,4,315486
315559,36768,1,315487
315560,36768,2,315488
315561,36768,3,315489
315562,36768,4,315490
315563,36769,1,315491
315564,36769,2,315492
315565,36769,3,315493
315566,36769,4,315494
315567,36770,1,315495
315568,36770,2,315496
315569,36770,3,315497
315570,36770,4,315498
315571,36771,1,315499
315572,36771,2,315500
315573,36771,3,315501
315574,36771,4,315502
315575,36772,1,315503
315576,36772,2,315504
315577,36772,3,315505
315578,36772,4,315506
315579,36773,1,315507
315580,36773,2,315508
315581,36773,3,315509
315582,36773,4,315510
315583,36774,1,315511
315584,36774,2,315512
315585,36774,3,315513
315586,36774,4,315514
315587,36775,1,315515
315588,36775,2,315516
315589,36775,3,315517
315590,36775,4,315518
317103,36810,1,317031
317104,36810,2,317032
317105,36810,3,317033
317106,36810,4,317034
317107,36813,1,317035
317108,36813,2,317036
317109,36813,3,317037
317110,36813,4,317038
317112,36814,1,317040
317113,36814,2,317041
317114,36814,3,317042
317115,36814,4,317043
317117,36815,1,317045
317118,36815,2,317046
317119,36815,3,317047
317120,36815,4,317048
317121,36816,1,317049
317122,36816,2,317050
317123,36816,3,317051
317124,36816,4,317052
317126,36817,1,317054
317127,36817,2,317055
317128,36817,3,317056
317129,36817,4,317057
317131,36818,1,317059
317132,36818,2,317060
317133,36818,3,317061
317134,36818,4,317062
317135,36819,1,317063
317136,36819,2,317064
317137,36819,3,317065
317138,36819,4,317066
317139,36820,1,317067
317140,36820,2,317068
317141,36820,3,317069
317142,36820,4,317070
317143,36821,1,317071
317144,36821,2,317072
317145,36821,3,317073
317146,36821,4,317074
317147,36822,1,317075
317148,36822,2,317076
317149,36822,3,317077
317150,36822,4,317078
317151,36823,1,317079
317152,36823,2,317080
317153,36823,3,317081
317154,36823,4,317082
317159,36825,1,317087
317160,36825,2,317088
317161,36825,3,317089
317162,36825,4,317090
317163,36827,1,317091
317164,36827,2,317092
317165,36827,3,317093
317166,36827,4,317094
317206,36830,1,317134
317207,36830,2,317135
317208,36830,3,317136
317209,36830,4,317137
317210,36831,1,317138
317211,36831,2,317139
317212,36831,3,317140
317213,36831,4,317141
324718,37370,1,324631
324719,37370,2,324632
324720,37370,3,324633
324721,37370,4,324634
324722,37371,1,324635
324723,37371,2,324636
324724,37371,3,324637
324725,37371,4,324638
347396,40136,1,347181
347397,40136,2,347182
347398,40136,3,347183
347399,40136,4,347184
347404,40139,1,347189
347405,40139,2,347190
347406,40139,3,347191
347407,40139,4,347192
347412,40140,1,347197
347413,40140,2,347198
347414,40140,3,347199
347415,40140,4,347200
347416,40141,1,347201
347417,40141,2,347202
347418,40141,3,347203
347419,40141,4,347204
347420,40142,1,347205
347421,40142,2,347206
347422,40142,3,347207
347423,40142,4,347208
347424,40143,1,347209
347425,40143,2,347210
347426,40143,3,347211
347427,40143,4,347212
347432,40145,1,347217
347433,40145,2,347218
347434,40145,3,347219
347435,40145,4,347220
347436,40146,1,347221
347437,40146,2,347222
347438,40146,3,347223
347439,40146,4,347224
347440,40147,1,347225
347441,40147,2,347226
347442,40147,3,347227
347443,40147,4,347228
347444,40148,1,347229
347445,40148,2,347230
347446,40148,3,347231
347447,40148,4,347232
347448,40149,1,347233
347449,40149,2,347234
347450,40149,3,347235
347451,40149,4,347236
347528,40176,1,347313
347529,40176,2,347314
347530,40176,3,347315
347531,40176,4,347316
347539,40179,1,347324
347540,40179,2,347325
347541,40179,3,347326
347542,40179,4,347327
347701,40203,1,347486
347702,40203,2,347487
347703,40203,3,347488
347704,40203,4,347489
348058,40279,1,347843
348059,40279,2,347844
348060,40279,3,347845
348061,40279,4,347846
348062,40280,1,347847
348063,40280,2,347848
348064,40280,3,347849
348065,40280,4,347850
348066,40281,1,347851
348067,40281,2,347852
348068,40281,3,347853
348069,40281,4,347854
348070,40282,1,347855
348071,40282,2,347856
348072,40282,3,347857
348073,40282,4,347858
348074,40283,1,347859
348075,40283,2,347860
348076,40283,3,347861
348077,40283,4,347862
348088,40287,1,347873
348089,40287,2,347874
348090,40287,3,347875
348091,40287,4,347876
348092,40288,1,347877
348093,40288,2,347878
348094,40288,3,347879
348095,40288,4,347880
348096,40289,1,347881
348097,40289,2,347882
348098,40289,3,347883
348099,40289,4,347884
348100,40290,1,347885
348101,40290,2,347886
348102,40290,3,347887
348103,40290,4,347888
348104,40291,1,347889
348105,40291,2,347890
348106,40291,3,347891
348107,40291,4,347892
348108,40292,1,347893
348109,40292,2,347894
348110,40292,3,347895
348111,40292,4,347896
348112,40293,1,347897
348113,40293,2,347898
348114,40293,3,347899
348115,40293,4,347900
348116,40294,1,347901
348117,40294,2,347902
348118,40294,3,347903
348119,40294,4,347904
348120,40295,1,347905
348121,40295,2,347906
348122,40295,3,347907
348123,40295,4,347908
348128,40297,1,347913
348129,40297,2,347914
348130,40297,3,347915
348131,40297,4,347916
348132,40298,1,347917
348133,40298,2,347918
348134,40298,3,347919
348135,40298,4,347920
348136,40299,1,347921
348137,40299,2,347922
348138,40299,3,347923
348139,40299,4,347924
348140,40300,1,347925
348141,40300,2,347926
348142,40300,3,347927
348143,40300,4,347928
348144,40301,1,347929
348145,40301,2,347930
348146,40301,3,347931
348147,40301,4,347932
348148,40302,1,347933
348149,40302,2,347934
348150,40302,3,347935
348151,40302,4,347936
348152,40303,1,347937
348153,40303,2,347938
348154,40303,3,347939
348155,40303,4,347940
424030,50226,1,423794
424031,50226,2,423795
424032,50226,3,423796
424033,50226,4,423797
424227,50239,1,423991
424228,50239,2,423992
424229,50239,3,423993
424230,50239,4,423994
424232,50240,1,423996
424233,50240,2,423997
424234,50240,3,423998
424235,50240,4,423999
424236,50242,1,424000
424237,50242,2,424001
424238,50242,3,424002
424239,50242,4,424003
