ID,Text_lang,SortIndex,Min_level,Max_level
410,|cffffd100Tip:|r Never give another player your account information.,68,0,0
411,|cffffd100Tip:|r Sharing an account with someone else can compromise its security.,35,0,0
412,"|cffffd100Tip:|r There are many ways to customize your user interface, and even a few advanced features, in the Interface menu.",76,20,85
419,"|cffffd100Tip:|r When a player not in your group damages a monster before you do, it will display a gray health bar and you will get no loot or experience from killing it.",70,40,60
420,|cffffd100Tip:|r You can see the spell that your current target is casting by turning on the 'Cast Bars' options in the combat interface options tab.,71,40,85
422,|cffffd100Tip:|r You can access the map either by clicking the map button in the upper right of the mini-map or by hitting the 'M' key. The map can help you locate where you need to go to complete a quest.,72,10,40
423,|cffffd100Tip:|r Many high level dungeons have a heroic mode setting. Heroic mode dungeons are tuned for higher level players and have improved loot.,73,70,85
424,|cffffd100Tip:|r Spend your Honor or Conquest Points for Player vs. Player gear.,74,40,85
425,"|cffffd100Tip:|r Conquest Points can purchase better Player vs. Player gear than Honor Points, but are more challenging to acquire.",75,80,85
426,|cffffd100Tip:|r Dungeon meeting stones can be used to summon absent party members.  It requires two players at the stone to do a summoning.,77,40,85
427,|cffffd100Tip:|r The Parental Controls section of the Account Management site offers tools to help you manage your play time.,78,10,85
428,|cffffd100Tip:|r Quest items that are in the bank cannot be used to complete quests.,79,40,85
429,|cffffd100Tip:|r A quest marked as (Failed) in the quest log can be reacquired from the quest giver.,80,20,85
430,|cffffd100Tip:|r The number next to the quest name in your log is how many other party members are on that quest.,81,40,85
431,|cffffd100Tip:|r You cannot advance quests other than (Raid) quests while you are in a raid group.,82,80,85
432,|cffffd100Tip:|r You cannot cancel your bids in the auction house so bid carefully.,83,40,85
433,"|cffffd100Tip:|r To enter a chat channel, type /join [channel name] and /leave [channel name] to exit.",84,40,85
434,|cffffd100Tip:|r Mail will be kept for a maximum of 30 days before it disappears.,85,40,85
435,|cffffd100Tip:|r It is possible to change the look of your armor or weapons by visiting a Transmogrifier in major cities.,86,40,85
437,|cffffd100Tip:|r City Guards will often give you directions to other locations of note in the city.,87,20,60
438,|cffffd100Tip:|r You can repurchase items you have recently sold to a vendor from the buyback tab.,88,20,60
439,|cffffd100Tip:|r A group leader can reset their instances or change dungeon difficulty by Right Clicking on their character portrait.,89,60,85
440,|cffffd100Tip:|r You can always get a new hearthstone from any innkeeper.,90,20,60
441,|cffffd100Tip:|r You can open a small map of the current zone either with Shift-M or as an option from the world map.,91,40,85
442,"|cffffd100Tip:|r Players cannot dodge, parry, or block attacks that come from behind them. Creatures can dodge, but not parry or block attacks that come from behind them.",92,60,85
444,|cffffd100Tip:|r You can replace a gem that is already socketed into your item by dropping a new gem on top of it in the socketing interface.,93,60,85
445,|cffffd100Tip:|r If you Right Click on a name in the combat log a list of options will appear.,94,40,85
446,|cffffd100Tip:|r You can only have one Battle Elixir and one Guardian Elixir on you at a time.,95,60,85
447,"|cffffd100Tip:|r When you are mousing over an item, you can hold down the shift key and it will also show you the item of that type you have equipped.",96,40,85
448,"|cffffd100Tip:|r You can have up to 10 characters per realm, with a maximum of 50 characters total across all realms.",97,40,85
449,"|cffffd100Tip:|r You can reuse text that you have recently typed. Press Enter, then use <Alt> + Up Arrow to scroll through your previous messages.",98,40,85
450,|cffffd100Tip:|r Your mounts and non-combat companions can be accessed from tabs on your Spellbook.,101,20,85
451,"|cffffd100Tip:|r Currencies, such as the ones collected from Battlegrounds or Heroic dungeons, are stored in the Currency Page.",102,60,85
452,|cffffd100Tip:|r Some vehicles can carry multiple passengers.,103,60,85
453,|cffffd100Tip:|r Flying mounts can be used at higher level.,108,20,60
454,|cffffd100Tip:|r Completing some Achievements may grant unique non-combat items as rewards.,109,40,85
455,|cffffd100Tip:|r You can reforge items to change some of their stat bonuses by visiting an Arcane Reforger in some cities.,110,60,85
456,"|cffffd100Tip:|r Dealing damage, healing or casting spells can generate Threat against a creature.  Most creatures will attack the player with the highest Threat against them. When in a group, you want the character with the most Threat to be a tank.",111,40,80
457,|cffffd100Tip:|r Creatures four levels above you can hit you with a Crushing Blow for extra damage.,112,40,80
458,"|cffffd100Tip:|r Guns, bows and crossbows do not require ammunition to fire.",113,1,20
459,"|cffffd100Tip:|r You can have your hair cut, colored or styled in a Barber Shop located in many cities.",114,40,80
460,|cffffd100Tip:|r Recruiting a friend to World of Warcraft can provide rewards for both of you.,115,40,85
461,|cffffd100Tip:|r Heroic Dungeons require a minimum quality of gear before you can enter them with Dungeon Finder.,117,80,85
462,|cffffd100Tip:|r You can set a Focus Frame by Right Clicking on a unit frame.  You can unlock a Focus Frame to move it anywhere around your screen.,116,60,85
463,"|cffffd100Tip:|r You can set an option to cast spells on yourself or on your Focus target by looking in Interface Options, Combat.",118,40,85
464,|cffffd100Tip:|r You can use the Calendar to see upcoming holidays or plan events with your guild or friends.,99,60,85
465,|cffffd100Tip:|r You can Right Click on the Clock to set an alarm or display a stopwatch.,100,20,85
466,|cffffd100Tip:|r Characters with the Inscription profession can inscribe glyphs to improve some of your favorite spells and abilities.,104,25,85
467,"|cffffd100Tip:|r If you're looking for something different to do, try to complete some of the more unusual Achievements.",105,60,85
468,"|cffffd100Tip:|r You can link quests, items, spells and achievements to chat messages by Shift-Left Clicking in your log.",106,60,85
469,|cffffd100Tip:|r You can track progress on current quests or achievements.,107,40,85
470,"|cffffd100Tip:|r You can track many things, such as low-level quests or vendors by clicking on the magnifying glass near your mini map.",16,20,85
471,"|cffffd100Tip:|r A sanctuary is a town in which Player vs. Player combat is prohibited, such as Shattrath and Dalaran.",119,60,85
472,|cffffd100Tip:|r Improving your reputation with a faction can grant access to new quests or items.,120,60,85
473,|cffffd100Tip:|r The Calendar can tell you when raids reset. Your raid leader can choose to extend a raid.,121,80,85
474,"|cffffd100Tip:|r Creatures cannot make critical hits with spells, but players can.",122,60,85
475,"|cffffd100Tip:|r If you are having difficulty with a group of creatures in a dungeon, try using a crowd control ability, such as Polymorph or Sap.",154,40,85
476,"|cffffd100Tip:|r You can use the V key to show enemy name plates above the enemy's head.  Name plates may help you keep track of enemy health or spell casting, or may make it easier to quickly change targets.",15,40,85
479,|cffffd100Tip:|r You can use the Equipment Manager feature to quickly swap sets of gear that you find yourself using often.,124,40,85
480,"|cffffd100Tip:|r Once you reach level 30, your class trainer can instruct you in Dual Talent Specialization. This feature allows you to swap out your talents, glyphs and action bars between two commonly used configurations.",155,0,0
481,|cffffd100Tip:|r You can enable Arena Enemy Frames to display the unit frames of the enemy team when in Arena matches.,125,0,0
482,|cffffd100Tip:|r You can change your talent specialization by visiting your class trainer.,127,10,30
483,"|cffffd100Tip:|r If you press <Alt> while your cursor is over an item slot on your character, you can produce a list of items that can be equipped in that slot.",128,0,0
489,"|cffffd100Tip:|r If an enemy cast bar has a shield icon around it, that means you cannot interrupt the spell with your abilities.",129,40,85
490,|cffffd100Tip:|r Your guild can schedule Guild Events using the in-game calendar. You choose to sign up for these events rather than waiting for an invitation.,157,0,0
491,"|cffffd100Tip:|r When the autocomplete feature suggests character names, you can use Tab or <Shift> Tab to select a name from the list.",131,40,85
500,|cffffd100Tip:|r Always verify that you are accessing an official Blizzard website whenever submitting account information.,132,0,0
501,|cffffd100Tip:|r Emails from Blizzard will always end in either blizzard.com or battle.net.,133,10,85
502,|cffffd100Tip:|r You can download free programs to regularly scan your machine for malicious software including keyloggers.,134,10,85
503,"|cffffd100Tip:|r For additional features and functionality, merge your World of Warcraft account into a Blizzard Battle.net account.",135,250,250
504,|cffffd100Tip:|r Using a Blizzard Authenticator or Battle.net Mobile Authenticator will help protect your World of Warcraft account from theft.,136,10,85
505,"|cffffd100Tip:|r To avoid account theft, do not login to World of Warcraft on a computer that is shared with the general public. These machines can be infected with malicious software.",137,10,85
506,|cffffd100Tip:|r Be wary of unofficial sites advertising paid World of Warcraft services. These may contain malicious software that can lead to account theft.,138,10,85
507,"|cffffd100Tip:|r To avoid account theft, do not use browser add-ons or features that allow scripts to be run in the background.",139,10,85
508,|cffffd100Tip:|r Quest locations and questgivers can be seen on your map.,140,250,250
509,|cffffd100Tip:|r You can earn rewards for running random dungeons using the Dungeon Finder tool. You can go with a group of friends or use Dungeon Finder to find a dungeon group.,141,250,250
538,|cffffd100Tip:|r You can turn your character by holding the Right Mouse Button and moving the mouse. You can look around by holding the Left Mouse Button and moving the mouse.,142,1,10
539,|cffffd100Tip:|r Don't stand in the fire!,158,75,85
540,|cffffd100Tip:|r Click on the Lightwell!,144,75,85
543,|cffffd100Tip:|r Don't stand in the fire!,145,75,85
544,|cffffd100Tip:|r You can earn Justice points from dungeons and Valor points from Heroic dungeons or raids to purchase more powerful items.,146,75,85
578,|cffffd100Tip:|r The War Games feature allows your group leader to challenge another group to an Arena or Battleground skirmish of their choice. War Games can be started from the Player vs. Player screen <H>.,162,20,90
588,|cffffd100Tip:|r It is possible to change the look of your armor or weapons by visiting a Transmogrifier in major cities.,163,40,85
589,|cffffd100Tip:|r You can use Raid Finder to join a 25-player raid for some of the most epic experiences World of Warcraft has to offer.,164,85,85
