ID,LuaConstantName,Color
69,COMMON_GRAY_COLOR,-5723992
70,UNCOMMON_GREEN_COLOR,-15355136
71,RARE_BLUE_COLOR,-16739854
72,EPIC_PURPLE_COLOR,-3652102
73,LEGENDARY_ORANGE_COLOR,-32768
74,ARTIFACT_GOLD_COLOR,-1651584
75,HEIRLOOM_BLUE_COLOR,-16724737
76,PLAYER_FACTION_COLOR_HORDE,-1766126
77,PLAYER_FACTION_COLOR_ALLIANCE,-11905816
78,TOOLTIP_DEFAULT_COLOR,-1
79,TOOLTIP_DEFAULT_BACKGROUND_COLOR,-15263952
80,KYRIAN_BLUE_COLOR,-13982977
81,VENTHYR_RED_COLOR,-1831666
82,NIGHT_FAE_BLUE_COLOR,-8342019
83,NECROLORD_GREEN_COLOR,-15218588
84,ADVENTURES_HEALING_GREEN,-16711918
85,ADVENTURES_BUFF_BLUE,-16721665
86,ADVENTURES_COMBAT_LOG_GREY,-4605511
87,ADVENTURES_COMBAT_LOG_BLUE,-11620905
88,ADVENTURES_COMBAT_LOG_ORANGE,-3775413
89,ADVENTURES_COMBAT_LOG_YELLOW,-11776
91,ENCOUNTER_JOURNAL_SCROLL_BAR_BACKGROUND_COLOR,1073684756
92,RUNEFORGE_LEGEDARY_SPEC_COLOR,-4747414
93,SOULBIND_CONDUIT_ENHANCED_COLOR,-16724737
94,VERY_DARK_GRAY_COLOR,-14277082
95,VERY_LIGHT_GRAY_COLOR,-1710619
97,PURE_GREEN_COLOR,-16711936
98,PURE_RED_COLOR,-65536
100,TRIVIAL_DIFFICULTY_COLOR,-8355712
101,EASY_DIFFICULTY_COLOR,-12533696
102,FAIR_DIFFICULTY_COLOR,-256
103,DIFFICULT_DIFFICULTY_COLOR,-32704
104,IMPOSSIBLE_DIFFICULTY_COLOR,-57312
105,ACHIEVEMENT_INCOMPLETE_COLOR,-256
106,ACHIEVEMENT_COMPLETE_COLOR,-32704
107,NOT_ON_THREAT_COLOR,-1
108,NO_THREAT_COLOR,-5197648
109,YELLOW_THREAT_COLOR,-137
110,ORANGE_THREAT_COLOR,-26368
111,RED_THREAT_COLOR,-65536
112,ITEM_POOR_COLOR,-6447715
113,ITEM_STANDARD_COLOR,-1
114,ITEM_GOOD_COLOR,-14745856
115,ITEM_WOW_TOKEN_COLOR,-16724737
116,ITEM_EPIC_COLOR,-6081042
117,ITEM_LEGENDARY_COLOR,-32768
118,ITEM_ARTIFACT_COLOR,-1651584
119,ITEM_SCALING_STAT_COLOR,-16724737
120,ITEM_SUPERIOR_COLOR,-16748323
121,ERROR_COLOR,-57312
124,CONTEXT_FEEDBACK_COLOR,-7820545
125,FRIENDLY_STATUS_COLOR,-16711936
126,NEUTRAL_STATUS_COLOR,-256
127,HOSTILE_STATUS_COLOR,-65536
129,SET_ITEM_COLOR,-105
130,INCREASE_STAT_COLOR,-16711936
131,DECREASE_STAT_COLOR,-57312
132,GLYPH_LINK_COLOR,-10044417
133,TOY_LINK_COLOR,-10044417
134,AZERITE_ESSENCE_COLOR,-10044417
135,SPELL_LINK_COLOR,-9316865
136,EJ_SPELL_COLOR,-14067245
137,ENCHANT_COLOR,-12288
138,TALENT_LINK_COLOR,-9316865
139,INSTANCE_LOCK_LINK_COLOR,-32768
140,JOURNAL_LINK_COLOR,-10044417
141,BATTLEPET_ABILITY_LINK_COLOR,-11626761
142,ENHANCED_CONDUIT_COLOR,-16724737
143,SPELL_SUBTEXT_COLOR,-10931456
144,TRANSMOGRIFY_COLOR,-32513
145,REFUND_TOOLTIP_COLOR,-16724737
146,BIND_TRADE_TOOLTIP_COLOR,-16724737
147,USED_IN_TRADESKILL_COLOR,-10044417
148,REFUND_TOOLTIP_COLOR,-16724737
149,AZERITE_SUBTEXT_COLOR,-10044417
150,FRAMESTACK_FRAME_COLOR,-10053121
151,FRAMESTACK_HIDDEN_COLOR,-10066330
152,FRAMESTACK_REGION_COLOR,-7807523
153,ACHIEVEMENT_COLOR,-256
154,FRIENDS_BROADCAST_TIME_COLOR,-12353112
155,FRIENDS_OTHER_NAME_COLOR,-8682359
156,DEFAULT_MATERIAL_TEXT_COLOR,-13754609
157,DEFAULT_MATERIAL_TITLETEXT_COLOR,-16777216
158,STONE_MATERIAL_TITLETEXT_COLOR,-1191680
159,STONE_MATERIAL_TEXT_COLOR,-1
160,PARCHMENT_MATERIAL_TEXT_COLOR,-13754609
161,PARCHMENT_MATERIAL_TITLETEXT_COLOR,-16777216
162,MARBLE_MATERIAL_TEXT_COLOR,-16777216
163,MARBLE_MATERIAL_TITLETEXT_COLOR,-1191680
164,SILVER_MATERIAL_TITLETEXT_COLOR,-1191680
165,BRONZE_MATERIAL_TITLETEXT_COLOR,-1191680
166,SILVER_MATERIAL_TEXT_COLOR,-1
167,BRONZE_MATERIAL_TEXT_COLOR,-13754609
168,PARCHMENTLARGE_MATERIAL_TEXT_COLOR,-14417920
169,PARCHMENTLARGE_MATERIAL_TITLETEXT_COLOR,-13303808
170,PROGENITOR_MATERIAL_TEXT_COLOR,-1
171,PROGENITOR_MATERIAL_TITLETEXT_COLOR,-1
172,ARENA_NAME_FONT_COLOR,-4670
173,AREA_DESCRIPTION_FONT_COLOR,-1
174,INVASION_FONT_COLOR,-3670272
175,INVASION_DESCRIPTION_FONT_COLOR,-2039
176,INACTIVE_COLOR,-8355712
181,QUEST_INELIGIBLE_GRAY,-13421773
182,DISABLED_REAGENT_COLOR,-6250336
183,EDIT_MODE_LAYOUT_LINK_COLOR,-10044417
185,EDIT_MODE_GRID_LINE_COLOR,1073741823
186,EDIT_MODE_GRID_CENTER_LINE_COLOR,2143831546
187,PROFESSION_RECIPE_COLOR,-1909546
191,PANEL_BACKGROUND_COLOR,-870375903
192,LIGHTERBLUE_FONT_COLOR,-3875332
194,PROFESSION_SPEC_COLOR_BLACKSMITHING,-2340082
195,PROFESSION_SPEC_COLOR_JEWELCRAFTING,-4125125
196,PROFESSION_SPEC_COLOR_ENCHANTING,-5541661
197,PROFESSION_SPEC_COLOR_TAILORING,-14335797
198,PROFESSION_SPEC_COLOR_HERBALISM,-14575033
199,PROFESSION_SPEC_COLOR_MINING,-8814464
200,PROFESSION_SPEC_COLOR_SKINNING,-6928350
201,PROFESSION_SPEC_COLOR_INSCRIPTION,-11600427
202,PROFESSION_SPEC_COLOR_COOKING,-2321310
203,PROFESSION_SPEC_COLOR_FISHING,-9197636
204,PROFESSION_SPEC_COLOR_FIRST_AID,-1
205,PROFESSION_SPEC_COLOR_ARCHAEOLOGY,-4549289
206,PROFESSION_SPEC_COLOR_LEATHERWORKING,-10077659
207,PROFESSION_SPEC_COLOR_ALCHEMY,-5761091
208,PROFESSION_SPEC_COLOR_ENGINEERING,-1923018
210,EXPEDITION_MAJOR_FACTION_COLOR,-3924421
211,VALDRAKKEN_MAJOR_FACTION_COLOR,-5863442
212,CENTAUR_MAJOR_FACTION_COLOR,-11776
213,TUSKARR_MAJOR_FACTION_COLOR,-15891981
214,CAMPAIGN_COMPLETE_COLOR,-8520
215,DRAGONFLIGHT_RED_COLOR,16736609
216,DRAGONFLIGHT_BLUE_COLOR,3907043
217,DRAGONFLIGHT_GREEN_COLOR,2993754
218,DRAGONFLIGHT_BRONZE_COLOR,11768335
219,DRAGONFLIGHT_BLACK_COLOR,9868950
