ID,SoundKitID,InnerRadius2D,OuterRadius2D,TimeA,TimeB,TimeC,TimeD,RandomOffsetRange,Usage,TimeIntervalMin,TimeIntervalMax,DelayMin,DelayMax,VolumeSliderCategory,DuckToSFX,DuckToMusic,DuckToAmbience,DuckToDialog,DuckToSuppressors,DuckToCinematicSFX,DuckToCinematicMusic,Field_11_2_0_61476_021,InnerRadiusOfInfluence,OuterRadiusOfInfluence,TimeToDuck,TimeToUnduck,InsideAngle,OutsideAngle,OutsideVolume,MinRandomPosOffset,MaxRandomPosOffset,MsOffset,TimeCooldownMin,TimeCooldownMax,MaxInstancesBehavior,VolumeControlType,VolumeFadeInTimeMin,VolumeFadeInTimeMax,VolumeFadeInCurveID,VolumeFadeOutTimeMin,VolumeFadeOutTimeMax,VolumeFadeOutCurveID,ChanceToPlay,RolloffType,RolloffParam0,Field_8_2_0_30080_045,Field_8_2_0_30080_046,Field_8_2_0_30080_047,Field_8_2_0_30080_048,Field_8_3_0_32044_049,Field_8_3_0_32044_050,Field_8_3_0_32044_051,Field_8_3_0_32044_052,Field_8_3_0_32044_053,Field_8_3_0_32044_054,Field_9_1_0_38312_055,Field_9_1_0_38312_056
1614,15235,8,40,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
1615,15234,23,60,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
1654,15214,30,60,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
1674,15298,30,50,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
1774,15945,8,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
1814,15281,70,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
1834,15969,8,25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
1854,15973,4,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
1874,15977,10,25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
1954,16008,400,400,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
2334,13061,20,40,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
2354,15274,15,35,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
2654,16477,8,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
2655,16478,80,130,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
2674,16509,8,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
2694,16510,8,20,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
2695,16511,8,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
2715,16525,7,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3317,17180,20,40,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3318,17181,20,40,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3319,17182,20,40,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3395,17332,8,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3396,17330,8,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3648,17951,0,0,0,0,0,0,0,0,4000,6000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3651,17954,6,12,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,3159,-1,-1,3160,1,2,0,0,0,0,0,0,0,0,0,0,0,140,20000
3655,17960,0,0,0,0,0,0,0,0,4000,6000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3656,17961,0,0,0,0,0,0,0,0,4000,6000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3657,17962,0,0,0,0,0,0,0,0,4000,6000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3658,17981,0,0,0,0,0,0,0,0,10000,15000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3659,17984,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3660,17985,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3661,17986,0,0,0,0,0,0,0,0,4000,6000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3662,17987,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3663,17988,0,0,0,0,0,0,0,2,15000,30000,15000,30000,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3664,17989,0,0,0,0,0,0,0,2,15000,30000,15000,30000,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3668,17995,0,0,0,0,0,0,0,0,5000,7000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,360,360,0,0,0,0,0,0,0,0,-1,-1,3159,-1,-1,3160,1,1,0.1,0,0,0,0,0,0,0,0,0,0,20,20000
3689,18026,0,0,0,0,0,0,0,0,4000,7000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3691,18028,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3692,18029,0,0,0,0,0,0,0,0,3000,5000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3695,18032,0,0,0,0,0,0,0,2,10000,30000,10000,30000,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3696,18033,0,0,0,0,0,0,0,2,10000,30000,10000,30000,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3698,18035,0,0,0,0,0,0,0,2,10000,30000,10000,30000,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3699,18036,0,0,0,0,0,0,0,2,10000,30000,10000,30000,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3700,18038,0,0,0,0,0,0,0,2,10000,30000,10000,30000,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3701,18039,0,0,0,0,0,0,0,0,10000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3711,17822,0,0,0,0,0,0,0,0,4000,7000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3713,17931,5,8,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,360,360,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3714,17853,0,0,0,0,0,0,0,0,3000,5000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3716,17932,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3717,17834,0,0,0,0,0,0,0,0,5000,8000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3718,17835,0,0,0,0,0,0,0,0,5000,8000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,360,360,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3719,17833,0,0,0,0,0,0,0,0,3000,5000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3720,17832,5,15,0,0,0,0,0,0,3000,5000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,360,360,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3721,17939,5,10,0,0,0,0,0,0,4000,7000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3722,17936,0,0,0,0,0,0,0,0,5000,10000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3724,17863,0,0,0,0,0,0,0,0,3000,5000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,3159,-1,-1,3160,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3725,17858,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3727,17855,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3729,17959,0,0,0,0,0,0,0,0,4000,6000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3730,17957,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3731,17867,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3732,17847,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3733,17843,5,10,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,360,360,0,0,0,0,0,0,0,0,-1,-1,3159,-1,-1,3160,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3734,17840,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3735,17870,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3736,17868,0,0,0,0,0,0,0,0,5000,8000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3737,17869,0,0,0,0,0,0,0,0,3000,5000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3738,17966,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,3159,-1,-1,3160,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3739,17965,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3750,17649,0,0,0,0,0,0,0,0,5000,10000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3751,17786,5,8,0,0,0,0,0,0,3000,3000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,360,360,0,0,0,0,0,0,0,0,-1,-1,3159,-1,-1,3160,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3752,17683,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3753,17681,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3754,17682,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3755,17688,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3756,17685,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3757,17686,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3758,17687,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3773,17990,0,0,0,0,0,0,0,2,15000,30000,15000,30000,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3774,17993,0,0,0,0,0,0,0,2,15000,30000,15000,30000,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3779,17996,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3827,17647,10,25,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3828,17663,15,30,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3829,17648,0,0,0,0,0,0,0,0,5000,10000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3839,15959,7,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,3159,-1,-1,3160,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3847,16390,5,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3850,16392,0,0,0,0,0,0,0,0,3000,5000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,3159,-1,-1,3160,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3851,18279,0,0,0,0,0,0,0,2,15000,30000,15000,30000,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3852,16393,0,0,0,0,0,0,0,0,3000,5000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3853,18280,0,0,0,0,0,0,0,2,15000,30000,15000,30000,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3854,18281,0,0,0,0,0,0,0,2,15000,30000,15000,30000,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
3855,18282,0,0,0,0,0,0,0,0,15000,30000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,180,270,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,20000
