ID,Offset[0],Offset[1],Offset[2],GameObjectID,StateIndex,GameEventID,Facing,TransitionInID,TransitionOutID,CollisionHull,Flags,SpellVisualKitID,MultiPropertiesID
70,0,0,-0.3,290483,2,64062,0,0,0,1983085,0,104102,25
71,0,0,0,290485,0,64047,0,0,0,879796,0,104102,26
72,0,0,0,290486,1,64048,0,0,0,879799,0,104102,26
73,0,0,0,290487,0,64049,0,0,0,903114,0,104102,27
74,0,0,0,290488,1,64050,0,0,0,879796,0,104102,27
75,0,0,0,290490,2,64063,0,0,0,1982865,0,104102,27
76,0,0,0,290491,0,64051,0,0,0,879799,0,104102,28
77,0,0,0,290492,1,64064,0,0,0,1982866,0,104102,28
78,0,0,0,290497,0,64052,0,0,0,892725,0,104102,29
79,0,0,0.2,290498,1,64053,0,0,0,892728,0,104102,29
80,0,0,0,290499,0,64054,0,0,0,1983106,0,104102,30
81,0,0,0,290500,1,64055,0,0,0,0,0,104102,30
82,0,0,-0.25,290501,2,64071,0,0,0,1982872,0,104102,30
83,0,0,-0.5,290502,0,64056,0,0,0,892728,0,104102,31
84,0,0,0,290503,1,64072,0,0,0,1982875,0,104102,31
85,0,0,0.1,290505,0,64057,0,0,0,902301,0,104102,32
86,0,0,0,290506,1,64058,0,0,0,902305,0,104102,32
87,0,0,0,290507,0,64059,0,0,0,1982878,0,104102,33
88,0,0,0,290508,1,64060,0,0,0,902301,0,104102,33
89,0,0,0,290509,2,64065,0,0,0,1982868,0,104102,33
90,0,0,0,290510,0,64061,0,0,0,902305,0,104102,34
91,0,0,0,290511,1,64066,0,0,0,1982869,0,104102,34
92,0,0,0,290977,0,0,0,0,0,0,2,0,35
93,0,0,0,290978,1,62599,0,0,0,0,2,104248,35
94,0,0,0,290979,2,62142,0,0,0,0,2,104246,35
95,0,0,0,290981,0,60493,0,0,0,999748,0,104102,36
96,0,-4,0.631,290982,1,60492,-89.5,0,0,1000061,0,104102,36
97,0,0,0.1,291019,0,60572,0,0,0,968495,0,104102,37
98,-0.74,-6.47,0,291020,1,60573,0,0,0,986287,0,104102,37
99,0,0,0,291022,0,60313,0,0,0,892819,0,104102,38
100,0,-0.01,0,291023,1,60288,0,0,0,963174,0,104102,38
101,0,0,0,291025,0,60571,0,0,0,879805,0,104102,39
102,0,0,0,291026,1,60377,0,0,0,1030815,0,104102,39
103,0,0,0,291028,0,60571,0,0,0,879802,0,104102,40
104,0,0,0,291029,1,60377,0,0,0,940410,0,104102,40
105,0,0,0,292690,0,0,0,0,0,0,2,0,41
106,0,0,0,292691,1,64567,0,0,0,0,2,104836,41
107,0,0,0,292692,2,64386,0,0,0,0,2,104837,41
108,0,0,0,290981,0,63877,0,0,0,999748,0,104102,42
109,0,-4,0.631,290982,1,63876,-89.5,0,0,1000061,0,104102,42
110,0,0,0,291019,0,63875,0,0,0,968495,0,104102,43
111,-0.74,-6.47,0,291020,1,63874,0,0,0,986287,0,104102,43
112,0,0,0,291022,0,63879,0,0,0,892819,0,104102,44
113,0,-0.01,0,291023,1,63878,0,0,0,963174,0,104102,44
114,0,0,0,291025,0,63884,0,0,0,879805,0,104102,45
115,0,0,0,291026,1,63885,0,0,0,1030815,0,104102,45
116,0,0,0,291028,0,63884,0,0,0,879802,0,104102,46
117,0,0,0,291029,1,63885,0,0,0,940410,0,104102,46
118,0,0,0,293146,0,64050,0,34,0,0,0,0,47
119,0,0,0,293146,1,64870,0,0,0,0,0,0,47
220,0,0,0,293685,0,65047,0,0,0,0,0,104102,148
221,0,0,0,293686,1,65048,0,0,0,0,0,104102,148
222,0,0,0,293690,0,65052,0,0,0,0,0,104102,149
223,0,0,0,293691,1,65053,0,0,0,0,0,104102,149
224,1.901,-6.45,-0.1065,293712,0,65065,-0.09,0,0,0,0,104102,150
225,1.901,-8.45,-0.1065,293713,1,65066,-0.09,0,0,0,0,104102,150
226,0,0,0,293715,0,65067,0,0,0,0,0,104102,151
227,0,0,0,293716,1,65068,0,0,0,0,0,104102,151
228,0,0,0,293719,0,65069,0,0,0,0,0,104102,152
229,0,0,0,293720,1,65070,0,0,0,0,0,104102,152
230,0,0,0,293728,0,65072,0,0,0,0,0,0,153
231,0,0,0,293729,1,65073,0,0,0,0,0,0,153
232,0,0,0,293731,0,65074,0,0,0,0,0,0,154
233,0,0,0,293732,1,65075,0,0,0,0,0,0,154
234,0,0,0,293746,0,65083,0,0,0,0,0,104102,155
235,0,-0.01,0,293747,1,65084,0,0,0,0,0,104102,155
236,0,0,0,293751,0,65085,0,0,0,0,0,104102,156
237,0,0,0,293752,1,65086,0,0,0,0,0,104102,156
238,0,0,0,293754,0,65087,0,0,0,0,0,104102,157
239,0,0,0,293756,1,65088,0,0,0,0,0,104102,157
240,0,0,0.35,293760,0,65089,0,0,0,0,0,104102,158
241,0,0,0,293761,1,65090,0,0,0,0,0,104102,158
242,0,0,0,293764,0,65091,0,0,0,0,0,104102,159
243,-3.5,1,0.4,293765,1,65092,0,0,0,0,0,104102,159
244,0,0,-0.85,293767,0,65093,0,0,0,0,0,104102,160
245,0,0,0,293768,1,65094,0,0,0,0,0,104102,160
248,0,0,0,0,2,0,0,0,0,0,0,0,23
306,0,0,0.3,332546,0,70396,0,0,0,892174,0,104102,178
307,0,0,0,332547,1,70394,0,0,0,1982860,0,104102,178
308,0,0,0,0,2,0,0,0,0,0,0,0,178
