ID,Name_lang,Enchantment[0],Enchantment[1],Enchantment[2],Enchantment[3],Enchantment[4]
116,of critical strike,197,0,0,0,0
117,of Twain,200,188,110,0,0
118,of toughness,122,0,0,0,0
119,of quality,119,0,0,0,0
120,of proficiency,158,0,0,0,0
121,of proficiency,144,0,0,0,0
122,of proficiency,130,0,0,0,0
123,of proficiency,165,0,0,0,0
124,of proficiency,151,0,0,0,0
125,of proficiency,137,0,0,0,0
126,of proficiency,186,0,0,0,0
127,of proficiency,172,0,0,0,0
128,of defense,115,0,0,0,0
129,of proficiency,179,0,0,0,0
130,of beast slaying,193,0,0,0,0
131,of retaliation,204,0,0,0,0
132,of agility,92,0,0,0,0
133,of intellect,96,0,0,0,0
134,of spirit,100,0,0,0,0
135,of stamina,104,0,0,0,0
136,of strength,108,0,0,0,0
137,of toughness,123,0,0,0,0
138,of quality,120,0,0,0,0
139,of proficiency,159,0,0,0,0
140,of proficiency,145,0,0,0,0
141,of proficiency,131,0,0,0,0
142,of proficiency,166,0,0,0,0
143,of proficiency,152,0,0,0,0
144,of proficiency,138,0,0,0,0
145,of proficiency,187,0,0,0,0
146,of proficiency,173,0,0,0,0
147,of defense,116,0,0,0,0
148,of proficiency,180,0,0,0,0
149,of beast slaying,194,0,0,0,0
150,of retaliation,205,0,0,0,0
151,of agility,93,0,0,0,0
152,of intellect,97,0,0,0,0
153,of spirit,101,0,0,0,0
154,of stamina,105,0,0,0,0
155,of strength,109,0,0,0,0
156,of critical strike,198,0,0,0,0
167,of agility,343,0,0,0,0
168,of agility,349,0,0,0,0
171,of agility,358,0,0,0,0
172,of agility,363,0,0,0,0
173,of agility,368,0,0,0,0
174,of intellect,350,0,0,0,0
175,of intellect,354,0,0,0,0
176,of intellect,359,0,0,0,0
177,of intellect,364,0,0,0,0
178,of intellect,369,0,0,0,0
179,of spirit,351,0,0,0,0
180,of spirit,355,0,0,0,0
181,of spirit,360,0,0,0,0
182,of spirit,365,0,0,0,0
183,of spirit,370,0,0,0,0
184,of stamina,353,0,0,0,0
185,of stamina,356,0,0,0,0
186,of stamina,361,0,0,0,0
187,of stamina,366,0,0,0,0
188,of stamina,371,0,0,0,0
189,of strength,352,0,0,0,0
190,of strength,357,0,0,0,0
191,of strength,362,0,0,0,0
192,of strength,367,0,0,0,0
193,of strength,372,0,0,0,0
194,of toughness,344,0,0,0,0
195,of toughness,346,0,0,0,0
196,of toughness,345,0,0,0,0
197,of toughness,347,0,0,0,0
198,of toughness,348,0,0,0,0
207,of toughness,383,0,0,0,0
210,of toughness,384,0,0,0,0
211,of agility,403,0,0,0,0
212,of agility,404,0,0,0,0
213,of intellect,405,0,0,0,0
214,of intellect,406,0,0,0,0
215,of spirit,407,0,0,0,0
216,of spirit,408,0,0,0,0
217,of stamina,409,0,0,0,0
218,of stamina,411,0,0,0,0
219,of strength,410,0,0,0,0
220,of strength,412,0,0,0,0
227,of the falcon,74,79,0,0,0
228,of the wolf,74,82,0,0,0
229,of the falcon,75,79,0,0,0
231,of the falcon,74,80,0,0,0
232,of the falcon,75,81,0,0,0
233,of the falcon,76,80,0,0,0
234,of the falcon,76,81,0,0,0
235,of the falcon,90,81,0,0,0
236,of the falcon,76,94,0,0,0
237,of the falcon,90,95,0,0,0
238,of the falcon,75,80,0,0,0
247,of the falcon,91,95,0,0,0
248,of the falcon,90,94,0,0,0
249,of the falcon,91,94,0,0,0
250,of the falcon,91,96,0,0,0
251,of the falcon,92,96,0,0,0
252,of the falcon,92,95,0,0,0
253,of the falcon,92,97,0,0,0
254,of the falcon,93,97,0,0,0
255,of the falcon,93,96,0,0,0
256,of the wolf,74,83,0,0,0
267,of agility,883,0,0,0,0
287,of stamina,1068,0,0,0,0
307,of strength,684,0,0,0,0
308,of strength,1043,0,0,0,0
309,of strength,1044,0,0,0,0
310,of strength,1045,0,0,0,0
311,of strength,1046,0,0,0,0
312,of strength,1047,0,0,0,0
313,of strength,1048,0,0,0,0
314,of strength,1049,0,0,0,0
315,of strength,1050,0,0,0,0
316,of strength,1051,0,0,0,0
317,of strength,1052,0,0,0,0
318,of strength,1053,0,0,0,0
319,of strength,1054,0,0,0,0
320,of strength,1055,0,0,0,0
321,of strength,1056,0,0,0,0
322,of strength,1057,0,0,0,0
323,of strength,1058,0,0,0,0
324,of strength,1059,0,0,0,0
325,of strength,1060,0,0,0,0
326,of strength,1061,0,0,0,0
327,of strength,1062,0,0,0,0
328,of strength,1063,0,0,0,0
329,of strength,1064,0,0,0,0
330,of strength,1065,0,0,0,0
331,of strength,1066,0,0,0,0
332,of strength,1067,0,0,0,0
333,of stamina,1069,0,0,0,0
334,of stamina,1070,0,0,0,0
335,of stamina,1071,0,0,0,0
336,of stamina,1072,0,0,0,0
337,of stamina,1073,0,0,0,0
338,of stamina,1074,0,0,0,0
339,of stamina,1075,0,0,0,0
340,of stamina,1076,0,0,0,0
341,of stamina,1077,0,0,0,0
342,of stamina,1078,0,0,0,0
343,of stamina,1079,0,0,0,0
344,of stamina,1080,0,0,0,0
345,of stamina,1081,0,0,0,0
346,of stamina,1082,0,0,0,0
347,of stamina,1083,0,0,0,0
348,of stamina,1084,0,0,0,0
349,of stamina,1085,0,0,0,0
350,of stamina,1086,0,0,0,0
351,of stamina,1087,0,0,0,0
352,of stamina,1088,0,0,0,0
353,of stamina,1089,0,0,0,0
354,of stamina,1090,0,0,0,0
355,of stamina,1091,0,0,0,0
356,of stamina,1092,0,0,0,0
357,of stamina,1093,0,0,0,0
358,of agility,983,0,0,0,0
359,of agility,1094,0,0,0,0
360,of agility,1095,0,0,0,0
361,of agility,1096,0,0,0,0
362,of agility,1097,0,0,0,0
363,of agility,1098,0,0,0,0
364,of agility,1099,0,0,0,0
365,of agility,1100,0,0,0,0
366,of agility,1101,0,0,0,0
367,of agility,1102,0,0,0,0
368,of agility,1103,0,0,0,0
369,of agility,1104,0,0,0,0
370,of agility,1105,0,0,0,0
371,of agility,1106,0,0,0,0
372,of agility,1107,0,0,0,0
373,of agility,1108,0,0,0,0
374,of agility,1109,0,0,0,0
375,of agility,1110,0,0,0,0
376,of agility,1111,0,0,0,0
377,of agility,1112,0,0,0,0
378,of agility,1113,0,0,0,0
379,of agility,1114,0,0,0,0
380,of agility,1115,0,0,0,0
381,of agility,1116,0,0,0,0
382,of agility,1117,0,0,0,0
383,of intellect,1118,0,0,0,0
384,of intellect,1119,0,0,0,0
385,of intellect,1120,0,0,0,0
386,of intellect,1121,0,0,0,0
387,of intellect,1122,0,0,0,0
388,of intellect,1123,0,0,0,0
389,of intellect,1124,0,0,0,0
390,of intellect,1125,0,0,0,0
391,of intellect,1126,0,0,0,0
392,of intellect,1127,0,0,0,0
393,of intellect,1128,0,0,0,0
394,of intellect,1129,0,0,0,0
395,of intellect,1130,0,0,0,0
396,of intellect,1131,0,0,0,0
397,of intellect,1132,0,0,0,0
398,of intellect,1133,0,0,0,0
399,of intellect,1134,0,0,0,0
400,of intellect,1135,0,0,0,0
401,of intellect,1136,0,0,0,0
402,of intellect,1137,0,0,0,0
403,of intellect,1138,0,0,0,0
404,of intellect,1139,0,0,0,0
405,of intellect,1140,0,0,0,0
406,of intellect,1141,0,0,0,0
407,of intellect,1142,0,0,0,0
408,of intellect,1143,0,0,0,0
409,of spirit,1144,0,0,0,0
410,of spirit,1145,0,0,0,0
411,of spirit,1146,0,0,0,0
412,of spirit,1147,0,0,0,0
413,of spirit,1148,0,0,0,0
414,of spirit,1149,0,0,0,0
415,of spirit,1150,0,0,0,0
416,of spirit,1151,0,0,0,0
417,of spirit,1152,0,0,0,0
418,of spirit,1153,0,0,0,0
419,of spirit,1154,0,0,0,0
420,of spirit,1155,0,0,0,0
421,of spirit,1156,0,0,0,0
422,of spirit,1157,0,0,0,0
423,of spirit,1158,0,0,0,0
424,of spirit,1159,0,0,0,0
425,of spirit,1160,0,0,0,0
426,of spirit,1161,0,0,0,0
427,of spirit,1162,0,0,0,0
428,of spirit,1163,0,0,0,0
429,of spirit,1164,0,0,0,0
430,of spirit,1165,0,0,0,0
431,of spirit,1166,0,0,0,0
432,of spirit,1167,0,0,0,0
433,of spirit,1168,0,0,0,0
434,of spirit,1183,0,0,0,0
435,of the falcon,343,97,0,0,0
436,of the falcon,93,350,0,0,0
437,of the falcon,343,350,0,0,0
438,of the falcon,349,350,0,0,0
439,of the falcon,343,354,0,0,0
440,of the falcon,349,354,0,0,0
441,of the falcon,358,354,0,0,0
442,of the falcon,349,359,0,0,0
443,of the falcon,358,359,0,0,0
444,of the falcon,363,359,0,0,0
445,of the falcon,358,364,0,0,0
446,of the falcon,363,364,0,0,0
447,of the falcon,368,364,0,0,0
448,of the falcon,363,369,0,0,0
449,of the falcon,368,369,0,0,0
450,of the falcon,403,369,0,0,0
451,of the falcon,368,405,0,0,0
452,of the falcon,403,405,0,0,0
453,of the falcon,404,405,0,0,0
454,of the falcon,403,406,0,0,0
455,of the falcon,404,406,0,0,0
456,of the falcon,883,406,0,0,0
457,of the falcon,404,1118,0,0,0
458,of the falcon,883,1118,0,0,0
459,of the falcon,983,1118,0,0,0
460,of the falcon,883,1119,0,0,0
461,of the falcon,983,1119,0,0,0
462,of the falcon,1094,1119,0,0,0
463,of the falcon,983,1120,0,0,0
464,of the falcon,1094,1120,0,0,0
465,of the falcon,1095,1120,0,0,0
466,of the falcon,1094,1121,0,0,0
467,of the falcon,1095,1121,0,0,0
468,of the falcon,1096,1121,0,0,0
469,of the falcon,1095,1122,0,0,0
470,of the falcon,1096,1122,0,0,0
471,of the falcon,1097,1122,0,0,0
472,of the falcon,1096,1123,0,0,0
473,of the falcon,1097,1123,0,0,0
474,of the falcon,1098,1123,0,0,0
475,of the falcon,1097,1124,0,0,0
476,of the falcon,1098,1124,0,0,0
477,of the falcon,1099,1124,0,0,0
478,of the falcon,1098,1125,0,0,0
479,of the falcon,1099,1125,0,0,0
480,of the falcon,1100,1125,0,0,0
481,of the falcon,1099,1126,0,0,0
482,of the falcon,1100,1126,0,0,0
483,of the falcon,1101,1126,0,0,0
484,of the falcon,1100,1127,0,0,0
485,of the falcon,1101,1127,0,0,0
486,of the falcon,1102,1127,0,0,0
487,of the falcon,1101,1128,0,0,0
488,of the falcon,1102,1128,0,0,0
489,of the falcon,1103,1128,0,0,0
490,of the falcon,1102,1129,0,0,0
491,of the falcon,1103,1129,0,0,0
492,of the falcon,1104,1129,0,0,0
493,of the falcon,1103,1130,0,0,0
494,of the falcon,1104,1130,0,0,0
495,of the falcon,1105,1130,0,0,0
496,of the falcon,1104,1131,0,0,0
497,of the falcon,1105,1131,0,0,0
498,of the falcon,1106,1131,0,0,0
499,of the falcon,1105,1132,0,0,0
500,of the falcon,1106,1132,0,0,0
501,of the wolf,75,82,0,0,0
502,of the wolf,75,83,0,0,0
503,of the wolf,76,83,0,0,0
504,of the wolf,75,84,0,0,0
505,of the wolf,76,84,0,0,0
506,of the wolf,90,84,0,0,0
507,of the wolf,76,98,0,0,0
508,of the wolf,90,98,0,0,0
509,of the wolf,91,98,0,0,0
510,of the wolf,90,99,0,0,0
511,of the wolf,91,99,0,0,0
512,of the wolf,92,99,0,0,0
513,of the wolf,91,100,0,0,0
514,of the wolf,92,100,0,0,0
515,of the wolf,93,100,0,0,0
516,of the wolf,92,101,0,0,0
517,of the wolf,93,101,0,0,0
518,of the wolf,343,101,0,0,0
519,of the wolf,93,351,0,0,0
520,of the wolf,343,351,0,0,0
521,of the wolf,349,351,0,0,0
522,of the wolf,343,355,0,0,0
523,of the wolf,349,355,0,0,0
524,of the wolf,358,355,0,0,0
525,of the wolf,349,360,0,0,0
526,of the wolf,358,360,0,0,0
527,of the wolf,363,360,0,0,0
528,of the wolf,358,365,0,0,0
529,of the wolf,363,365,0,0,0
530,of the wolf,368,365,0,0,0
531,of the wolf,363,370,0,0,0
532,of the wolf,368,370,0,0,0
533,of the wolf,403,370,0,0,0
534,of the wolf,368,407,0,0,0
535,of the wolf,403,407,0,0,0
536,of the wolf,404,407,0,0,0
537,of the wolf,403,408,0,0,0
538,of the wolf,404,408,0,0,0
539,of the wolf,883,408,0,0,0
540,of the wolf,404,1144,0,0,0
541,of the wolf,883,1144,0,0,0
542,of the wolf,983,1144,0,0,0
543,of the wolf,883,1145,0,0,0
544,of the wolf,983,1145,0,0,0
545,of the wolf,1094,1145,0,0,0
546,of the wolf,983,1146,0,0,0
547,of the wolf,1094,1146,0,0,0
548,of the wolf,1095,1146,0,0,0
549,of the wolf,1094,1147,0,0,0
550,of the wolf,1095,1147,0,0,0
551,of the wolf,1096,1147,0,0,0
552,of the wolf,1095,1148,0,0,0
553,of the wolf,1096,1148,0,0,0
554,of the wolf,1097,1148,0,0,0
555,of the wolf,1096,1149,0,0,0
556,of the wolf,1097,1149,0,0,0
557,of the wolf,1098,1149,0,0,0
558,of the wolf,1097,1150,0,0,0
559,of the wolf,1098,1150,0,0,0
560,of the wolf,1099,1150,0,0,0
561,of the wolf,1098,1151,0,0,0
562,of the wolf,1099,1151,0,0,0
563,of the wolf,1100,1151,0,0,0
564,of the wolf,1099,1152,0,0,0
565,of the wolf,1100,1152,0,0,0
566,of the wolf,1101,1152,0,0,0
567,of the wolf,1100,1153,0,0,0
568,of the wolf,1101,1153,0,0,0
569,of the wolf,1102,1153,0,0,0
570,of the wolf,1101,1154,0,0,0
571,of the wolf,1102,1154,0,0,0
572,of the wolf,1103,1154,0,0,0
573,of the wolf,1102,1155,0,0,0
574,of the wolf,1103,1155,0,0,0
575,of the wolf,1104,1155,0,0,0
576,of the wolf,1103,1156,0,0,0
577,of the wolf,1104,1156,0,0,0
578,of the wolf,1105,1156,0,0,0
579,of the wolf,1104,1157,0,0,0
580,of the wolf,1105,1157,0,0,0
581,of the wolf,1106,1157,0,0,0
582,of the wolf,1105,1158,0,0,0
583,of the wolf,1106,1158,0,0,0
584,of the monkey,74,71,0,0,0
585,of the monkey,75,71,0,0,0
586,of the monkey,74,72,0,0,0
587,of the monkey,75,72,0,0,0
588,of the monkey,76,72,0,0,0
589,of the monkey,75,73,0,0,0
590,of the monkey,76,73,0,0,0
591,of the monkey,90,73,0,0,0
592,of the monkey,76,102,0,0,0
593,of the monkey,90,102,0,0,0
594,of the monkey,91,102,0,0,0
595,of the monkey,90,103,0,0,0
596,of the monkey,91,103,0,0,0
597,of the monkey,92,103,0,0,0
598,of the monkey,91,104,0,0,0
599,of the monkey,92,104,0,0,0
600,of the monkey,93,104,0,0,0
601,of the monkey,92,105,0,0,0
602,of the monkey,93,105,0,0,0
603,of the monkey,343,105,0,0,0
604,of the monkey,93,353,0,0,0
605,of the monkey,343,353,0,0,0
606,of the monkey,349,353,0,0,0
607,of the monkey,343,356,0,0,0
608,of the monkey,349,356,0,0,0
609,of the monkey,358,356,0,0,0
610,of the monkey,349,361,0,0,0
611,of the monkey,358,361,0,0,0
612,of the monkey,363,361,0,0,0
613,of the monkey,358,366,0,0,0
614,of the monkey,363,366,0,0,0
615,of the monkey,368,366,0,0,0
616,of the monkey,363,371,0,0,0
617,of the monkey,368,371,0,0,0
618,of the monkey,403,371,0,0,0
619,of the monkey,368,409,0,0,0
620,of the monkey,403,409,0,0,0
621,of the monkey,404,409,0,0,0
622,of the monkey,403,411,0,0,0
623,of the monkey,404,411,0,0,0
624,of the monkey,883,411,0,0,0
625,of the monkey,404,1068,0,0,0
626,of the monkey,883,1068,0,0,0
627,of the monkey,983,1068,0,0,0
628,of the monkey,883,1069,0,0,0
629,of the monkey,983,1069,0,0,0
630,of the monkey,1094,1069,0,0,0
631,of the monkey,983,1070,0,0,0
632,of the monkey,1094,1070,0,0,0
633,of the monkey,1095,1070,0,0,0
634,of the monkey,1094,1071,0,0,0
635,of the monkey,1095,1071,0,0,0
636,of the monkey,1096,1071,0,0,0
637,of the monkey,1095,1072,0,0,0
638,of the monkey,1096,1072,0,0,0
639,of the monkey,1097,1072,0,0,0
640,of the monkey,1096,1073,0,0,0
641,of the monkey,1097,1073,0,0,0
642,of the monkey,1098,1073,0,0,0
643,of the monkey,1097,1074,0,0,0
644,of the monkey,1098,1074,0,0,0
645,of the monkey,1099,1074,0,0,0
646,of the monkey,1098,1075,0,0,0
647,of the monkey,1099,1075,0,0,0
648,of the monkey,1100,1075,0,0,0
649,of the monkey,1099,1076,0,0,0
650,of the monkey,1100,1076,0,0,0
651,of the monkey,1101,1076,0,0,0
652,of the monkey,1100,1077,0,0,0
653,of the monkey,1101,1077,0,0,0
654,of the monkey,1102,1077,0,0,0
655,of the monkey,1101,1078,0,0,0
656,of the monkey,1102,1078,0,0,0
657,of the monkey,1103,1078,0,0,0
658,of the monkey,1102,1079,0,0,0
659,of the monkey,1103,1079,0,0,0
660,of the monkey,1104,1079,0,0,0
661,of the monkey,1103,1080,0,0,0
662,of the monkey,1104,1080,0,0,0
663,of the monkey,1105,1080,0,0,0
664,of the monkey,1104,1081,0,0,0
665,of the monkey,1105,1081,0,0,0
666,of the monkey,1106,1081,0,0,0
667,of the monkey,1105,1082,0,0,0
668,of the monkey,1106,1082,0,0,0
669,of the tiger,74,68,0,0,0
670,of the tiger,75,68,0,0,0
671,of the tiger,74,69,0,0,0
672,of the tiger,75,69,0,0,0
673,of the tiger,76,69,0,0,0
674,of the tiger,75,70,0,0,0
675,of the tiger,76,70,0,0,0
676,of the tiger,90,70,0,0,0
677,of the tiger,76,106,0,0,0
678,of the tiger,90,106,0,0,0
679,of the tiger,91,106,0,0,0
680,of the tiger,90,107,0,0,0
681,of the tiger,91,107,0,0,0
682,of the tiger,92,107,0,0,0
683,of the tiger,91,108,0,0,0
684,of the tiger,92,108,0,0,0
685,of the tiger,93,108,0,0,0
686,of the tiger,92,109,0,0,0
687,of the tiger,93,109,0,0,0
688,of the tiger,343,109,0,0,0
689,of the tiger,93,352,0,0,0
690,of the tiger,343,352,0,0,0
691,of the tiger,349,352,0,0,0
692,of the tiger,343,357,0,0,0
693,of the tiger,349,357,0,0,0
694,of the tiger,358,357,0,0,0
695,of the tiger,349,362,0,0,0
696,of the tiger,358,362,0,0,0
697,of the tiger,363,362,0,0,0
698,of the tiger,358,367,0,0,0
699,of the tiger,363,367,0,0,0
700,of the tiger,368,367,0,0,0
701,of the tiger,363,372,0,0,0
702,of the tiger,368,372,0,0,0
703,of the tiger,403,372,0,0,0
704,of the tiger,368,410,0,0,0
705,of the tiger,403,410,0,0,0
706,of the tiger,404,410,0,0,0
707,of the tiger,403,412,0,0,0
708,of the tiger,404,412,0,0,0
709,of the tiger,883,412,0,0,0
710,of the tiger,404,684,0,0,0
711,of the tiger,883,684,0,0,0
712,of the tiger,983,684,0,0,0
713,of the tiger,883,1043,0,0,0
714,of the tiger,983,1043,0,0,0
715,of the tiger,1094,1043,0,0,0
716,of the tiger,983,1044,0,0,0
717,of the tiger,1094,1044,0,0,0
718,of the tiger,1095,1044,0,0,0
719,of the tiger,1094,1045,0,0,0
720,of the tiger,1095,1045,0,0,0
721,of the tiger,1096,1045,0,0,0
722,of the tiger,1095,1046,0,0,0
723,of the tiger,1096,1046,0,0,0
724,of the tiger,1097,1046,0,0,0
725,of the tiger,1096,1047,0,0,0
726,of the tiger,1097,1047,0,0,0
727,of the tiger,1098,1047,0,0,0
728,of the tiger,1097,1048,0,0,0
729,of the tiger,1098,1048,0,0,0
730,of the tiger,1099,1048,0,0,0
731,of the tiger,1098,1049,0,0,0
732,of the tiger,1099,1049,0,0,0
733,of the tiger,1100,1049,0,0,0
734,of the tiger,1099,1050,0,0,0
735,of the tiger,1100,1050,0,0,0
736,of the tiger,1101,1050,0,0,0
737,of the tiger,1100,1051,0,0,0
738,of the tiger,1101,1051,0,0,0
739,of the tiger,1102,1051,0,0,0
740,of the tiger,1101,1052,0,0,0
741,of the tiger,1102,1052,0,0,0
742,of the tiger,1103,1052,0,0,0
743,of the tiger,1102,1053,0,0,0
744,of the tiger,1103,1053,0,0,0
745,of the tiger,1104,1053,0,0,0
746,of the tiger,1103,1054,0,0,0
747,of the tiger,1104,1054,0,0,0
748,of the tiger,1105,1054,0,0,0
749,of the tiger,1104,1055,0,0,0
750,of the tiger,1105,1055,0,0,0
751,of the tiger,1106,1055,0,0,0
752,of the tiger,1105,1056,0,0,0
753,of the tiger,1106,1056,0,0,0
754,of the owl,79,82,0,0,0
755,of the owl,80,82,0,0,0
756,of the owl,79,83,0,0,0
757,of the owl,80,83,0,0,0
758,of the owl,81,83,0,0,0
759,of the owl,80,84,0,0,0
760,of the owl,81,84,0,0,0
761,of the owl,94,84,0,0,0
762,of the owl,81,98,0,0,0
763,of the owl,94,98,0,0,0
764,of the owl,95,98,0,0,0
765,of the owl,94,99,0,0,0
766,of the owl,95,99,0,0,0
767,of the owl,96,99,0,0,0
768,of the owl,95,100,0,0,0
769,of the owl,96,100,0,0,0
770,of the owl,97,100,0,0,0
771,of the owl,96,101,0,0,0
772,of the owl,97,101,0,0,0
773,of the owl,350,101,0,0,0
774,of the owl,97,351,0,0,0
775,of the owl,350,351,0,0,0
776,of the owl,354,351,0,0,0
777,of the owl,350,355,0,0,0
778,of the owl,354,355,0,0,0
779,of the owl,359,355,0,0,0
780,of the owl,354,360,0,0,0
781,of the owl,359,360,0,0,0
782,of the owl,364,360,0,0,0
783,of the owl,359,365,0,0,0
784,of the owl,364,365,0,0,0
785,of the owl,369,365,0,0,0
786,of the owl,364,370,0,0,0
787,of the owl,369,370,0,0,0
788,of the owl,405,370,0,0,0
789,of the owl,369,407,0,0,0
790,of the owl,405,407,0,0,0
791,of the owl,406,407,0,0,0
792,of the owl,405,408,0,0,0
793,of the owl,406,408,0,0,0
794,of the owl,1118,408,0,0,0
795,of the owl,406,1144,0,0,0
796,of the owl,1118,1144,0,0,0
797,of the owl,1119,1144,0,0,0
798,of the owl,1118,1145,0,0,0
799,of the owl,1119,1145,0,0,0
800,of the owl,1120,1145,0,0,0
801,of the owl,1119,1146,0,0,0
802,of the owl,1120,1146,0,0,0
803,of the owl,1121,1146,0,0,0
804,of the owl,1120,1147,0,0,0
805,of the owl,1121,1147,0,0,0
806,of the owl,1122,1147,0,0,0
807,of the owl,1121,1148,0,0,0
808,of the owl,1122,1148,0,0,0
809,of the owl,1123,1148,0,0,0
810,of the owl,1122,1149,0,0,0
811,of the owl,1123,1149,0,0,0
812,of the owl,1124,1149,0,0,0
813,of the owl,1123,1150,0,0,0
814,of the owl,1124,1150,0,0,0
815,of the owl,1125,1150,0,0,0
816,of the owl,1124,1151,0,0,0
817,of the owl,1125,1151,0,0,0
818,of the owl,1126,1151,0,0,0
819,of the owl,1125,1152,0,0,0
820,of the owl,1126,1152,0,0,0
821,of the owl,1127,1152,0,0,0
822,of the owl,1126,1153,0,0,0
823,of the owl,1127,1153,0,0,0
824,of the owl,1128,1153,0,0,0
825,of the owl,1127,1154,0,0,0
826,of the owl,1128,1154,0,0,0
827,of the owl,1129,1154,0,0,0
828,of the owl,1128,1155,0,0,0
829,of the owl,1129,1155,0,0,0
830,of the owl,1130,1155,0,0,0
831,of the owl,1129,1156,0,0,0
832,of the owl,1130,1156,0,0,0
833,of the owl,1131,1156,0,0,0
834,of the owl,1130,1157,0,0,0
835,of the owl,1131,1157,0,0,0
836,of the owl,1132,1157,0,0,0
837,of the owl,1131,1158,0,0,0
838,of the owl,1132,1158,0,0,0
839,of the eagle,79,71,0,0,0
840,of the eagle,80,71,0,0,0
841,of the eagle,79,72,0,0,0
842,of the eagle,80,72,0,0,0
843,of the eagle,81,72,0,0,0
844,of the eagle,80,73,0,0,0
845,of the eagle,81,73,0,0,0
846,of the eagle,94,73,0,0,0
847,of the eagle,81,102,0,0,0
848,of the eagle,94,102,0,0,0
849,of the eagle,95,102,0,0,0
850,of the eagle,94,103,0,0,0
851,of the eagle,95,103,0,0,0
852,of the eagle,96,103,0,0,0
853,of the eagle,95,104,0,0,0
854,of the eagle,96,104,0,0,0
855,of the eagle,97,104,0,0,0
856,of the eagle,96,105,0,0,0
857,of the eagle,97,105,0,0,0
858,of the eagle,350,105,0,0,0
859,of the eagle,97,353,0,0,0
860,of the eagle,350,353,0,0,0
861,of the eagle,354,353,0,0,0
862,of the eagle,350,356,0,0,0
863,of the eagle,354,356,0,0,0
864,of the eagle,359,356,0,0,0
865,of the eagle,354,361,0,0,0
866,of the eagle,359,361,0,0,0
867,of the eagle,364,361,0,0,0
868,of the eagle,359,366,0,0,0
