FaceCustomizationOffset[0],FaceCustomizationOffset[1],FaceCustomizationOffset[2],CustomizeOffset[0],CustomizeOffset[1],CustomizeOffset[2],ID,Sex,DisplayID,CharComponentTextureLayoutID,Flags,SkeletonFileDataID,ModelFallbackChrModelID,TextureFallbackChrModelID,HelmVisFallbackChrModelID,CustomizeScale,CustomizeFacing,CameraDistanceOffset,BarberShopCameraOffsetScale,BarberShopCameraRotationFacing,BarberShopCameraRotationOffset
2,-0.025,-0.32,0,-0.042,0,67,0,83910,143,2,4690407,5,5,5,1.2,0.01309,-0.95,-0.012,0,-0.00872665
2.1,-0.0285,-0.5,0,-0.0275,0,68,1,83911,144,2,4690406,0,0,6,1.3,0.00872665,-1,0,0,0.00872665
2.6,0.084,-0.21,0,0.105,0,69,0,83913,145,1,4690427,0,0,17,1.2,0.002,-0.08,0.016,0,0
2.5,0.084,-0.23,0,0.104,0,70,1,83914,146,1,4690426,0,0,18,1.2,0.00872665,-0.05,0.017,0,0
2.6,0.082,0.15,0,0.132,0,71,0,84558,147,2,4690417,3,3,3,0.98,-0.0349066,-0.25,0.05,0,0.0349066
1.7,0.07,-0.24,0,0.07,0,72,1,84560,148,2,4690416,0,0,4,1.1,0,-0.65,0.002,0,0.0261799
3.4,-0.025,-0.27,0,-0.027,0,73,0,90786,149,2,4690408,13,13,0,1.2,0,0.4,0.001,0,0
3.45,-0.026,-0.37,0,-0.028,0,74,1,90787,150,2,4690408,0,0,0,1.3,0,0.3,0.001,0,0
1.74,-0.025,0.26,0,-0.041,0.02,89,3,104597,155,224,4626199,0,0,0,0.97,0.00436332,-1.3,-0.0033,0,0
0,0,0,0,0,0,123,3,106003,157,32,199640,0,0,0,0,0,0,0,0,0.5
0,0,0,0,0,0,124,3,107058,161,32,199640,0,0,0,0,0,0,0,0,0.5
0,0,0,0,0,0,125,3,105540,161,32,199640,0,0,0,0,0,-2,0,0,0.5
0,0,0,0,0,0,126,3,107056,157,32,199640,0,0,0,0,0,0,0,0,0.5
2,-0.035,-0.25,0,0.083,0,127,0,105328,159,2,4690413,1,1,0,1.1,-0.0392699,-0.4,0.1052,0,0.0218166
1.65,-0.0275,-0.41,0,-0.022,0,128,1,105213,158,2,4690412,2,2,0,1.2,0,-0.37,0.0048,0,0
0,0,0,0,0,0,129,3,105268,161,32,199640,0,0,0,0,0,0,0,0,0.5
0,0,0,0,0,0,148,3,64799,164,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,149,3,112642,166,32,199640,0,0,0,0,0,0,0,0,0.5
0,0,0,0,0,0,176,3,113609,167,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,180,3,113621,168,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,181,3,64802,169,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,182,3,64965,170,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,183,3,77396,171,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,184,3,87778,172,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,186,3,113958,173,32,199640,0,0,0,0,0,-5.2,-20,-50,0.5
0,0,0,0,0,0,188,3,114211,180,32,199640,0,0,0,0,0,0,0,0,0.5
0,0,0,0,0,0,189,3,115602,174,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,190,3,115603,175,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,191,3,115604,176,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,192,3,115605,177,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,193,3,115606,178,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,194,3,115607,179,32,0,0,0,0,0,0,0,0,0,0
2,-0.025,-0.32,0,-0.042,0,195,0,115279,185,2,5752243,0,0,0,1.2,0.01309,0,-0.012,0,-0.00872665
2.1,-0.0285,-0.5,0,-0.0275,0,196,1,115281,187,2,5752243,0,0,0,1.3,0.00872665,0,0,0,0.00872665
0,0,0,0,0,0,197,3,116130,181,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,198,3,116167,182,0,0,0,0,0,0,0,0,0,0,0
1.9,-0.027,0,0,-0.042,0,200,0,116539,183,2,4690415,7,7,7,1.2,0.01309,-0.95,-0.012,0,-0.00872665
1.9,-0.027,0,0,-0.0275,0,201,1,116687,184,2,4993122,8,8,8,1.3,0.00872665,-1,0,0,0.00872665
0,0,0,0,0,0,202,2,118919,189,32,199640,0,0,0,0,0,0.5,0,0,0.5
