ID,BattlePetStateID,Value,BattlePetAbilityID
791,34,1,1889
792,201,0,1906
793,34,1,1918
794,21,1,1961
795,2,1000,1990
798,73,100,2060
799,35,1,2061
800,22,1,2061
801,98,1,2066
802,36,1,2066
803,35,1,2066
804,25,-100,2083
805,36,1,2083
806,74,1,2083
807,69,1,2088
808,23,-50,2091
809,25,-50,2091
810,69,1,2103
811,74,5,2105
812,75,333,2105
813,74,4,2107
814,75,333,2107
815,74,3,2108
816,75,333,2108
817,74,2,2109
818,75,333,2109
819,74,1,2110
820,75,333,2110
821,23,100,2111
822,24,250,2111
823,202,7,2112
911,35,1,2211
912,22,1,2211
913,23,100,2216
914,74,100,2226
915,75,333,2226
916,202,12,2233
917,41,-25,2235
918,40,75,2235
919,71,8,2238
920,303,1,2244
922,23,25,2249
925,23,150,2254
926,25,-30,2254
927,84,1,2254
931,315,84819,2262
942,313,10,2281
943,50,1,2262
944,21,1,2290
946,306,1,2295
949,69,1,2299
951,74,3,2314
952,24,200,2316
953,89,10,2320
954,87,25,2320
955,72,0,2320
956,62,1,2320
957,71,-7,2323
959,306,1,2264
960,29,1,2339
961,33,1,2339
962,314,50,2343
963,59,1,718
964,52,1,205
965,58,1,205
966,21,1,2350
967,316,1,2350
969,77,1,2369
970,24,-25,2371
972,74,2,2379
975,124,4,2262
983,69,1,2397
984,126,1,2397
985,74,2,2397
986,123,1,2397
987,75,326,2397
988,29,1,2408
989,30,1,2408
990,73,100,2409
991,74,3,2415
992,123,1,438
993,126,1,438
994,71,-20,2418
995,69,1,2427
996,71,-4,2428
997,21,1,2441
998,40,100,2445
999,69,1,2447
1000,71,5,2450
1001,22,1,2459
1002,73,200,2459
1009,36,1,2481
1010,35,1,2481
1013,69,1,2490
1015,25,0,2494
1016,71,7,2504
1017,24,25,2510
