ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
130,Shadowlands,,0,0,5703,5703,0,0,0,1,0,0,0
131,Threads of Fate,,0,0,87258,89064,0,0,26,0,99,105475,0
133,Covenant Tutorials,,0,0,5703,5703,0,0,0,0,0,0,0
134,Covenant Tutorials,,0,0,5703,5703,0,0,0,0,0,0,0
135,Covenant Tutorials,,0,0,5703,5703,0,0,0,0,0,0,0
136,Covenant Tutorials,,0,0,5703,5703,0,0,0,0,0,0,0
137,Covenant Tutorials,,0,0,5703,5703,0,0,0,0,0,0,0
138,Chains of Domination,Campaign that presents the new 9.1 content.,5362,0,92542,92543,92550,0,26,0,93,105475,0
140,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
141,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
142,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
143,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
144,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
145,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
146,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
147,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
148,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
149,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
150,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
151,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
153,9.0 Covenant Campaigns Ch 2 - Torghast,Unlocks Finding Baine and pre-reqs for the Runecarver,0,0,5703,5703,0,0,0,0,0,0,0
154,Torghast Story Progression Skip,,0,0,5703,5703,0,0,0,0,0,0,0
155,9.0 Covenant Campaigns Ch 3 - Peering Into Darkness,Completes Anduin exposition and cutscenes,0,0,5703,5703,0,0,0,0,0,0,0
156,Shadowlands,,0,0,5703,5703,0,0,0,1,0,0,0
157,Box of Many Things Intro,,0,0,5703,5703,0,0,0,0,90,0,0
158,Secrets of the First Ones,Campaign that presents the new 9.2 content.,5408,0,94855,0,94857,0,31,0,91,105475,0
159,"Dracthyr, Awaken","Dracthyr Evoker starting zone, Zone 0, Alliance",5467,0,99583,96647,99952,0,46,0,108,0,0
160,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
161,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
162,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
163,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
164,Jump to Chapter 6,,0,0,5703,5703,0,0,0,0,0,0,0
165,The Dragonscale Expedition,Intro (From Org/Storm) to Camp in Lowlands,5468,0,21439,21439,0,0,50,0,108,21439,0
166,Ohn'ahran Plains,Plains Level-Up Questing,5469,0,21439,21439,0,0,48,0,106,104511,0
167,Jump to Chapter 5,,0,0,5703,5703,0,0,0,0,0,0,0
168,Jump to Chapter 7,,0,0,5703,5703,0,0,0,0,0,0,0
169,The Waking Shores,Lowlands Level-Up Questing,5471,0,21439,21439,0,0,49,0,107,104511,0
173,"Dracthyr, Awaken","Dracthyr Evoker starting zone, Zone 0, Horde",5467,0,99584,96645,99954,0,46,0,108,0,0
174,The Azure Span,Level-up for zone 3,5466,0,21439,21439,0,0,47,0,105,21439,0
189,Thaldraszus,Level-up for Zone 4,5470,0,21439,21439,0,0,51,0,104,104511,0
190,The Dreamer,Max Level Green Dragons Zone 2,5469,0,21439,21439,0,0,48,0,0,0,34450
191,Professions Onboarding Skip,,0,0,5703,5703,0,0,0,0,0,0,0
192,The Silver Purpose,TYR CAMPAIGN Ch 1-4 max Level Tyrhold Zone 4,5470,0,122671,122671,122676,0,51,0,1089,0,34450
193,Valdrakken,,5470,0,21439,21439,0,0,51,0,0,0,0
194,Iskaara Tuskarr,Max Level Renown Iskaara Tuskarr Zone 1,5471,0,21439,21439,0,0,49,0,103,0,34450
197,Dragonscale Expedition,Dragonscale Expedition Renown Campaign,5468,0,21439,21439,0,0,50,0,103,0,21439
198,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
199,The Mother Oathstone,10.0 - Raid Opening Quests,5470,0,21439,103947,0,0,51,0,0,0,0
200,Obsidian Citadel,,0,0,5703,5703,0,0,0,0,0,0,0
201,Dragonflight,Master Campaign,5468,0,131377,131377,104950,0,50,2,1099,0,0
203,Embers of Neltharion,10.0.7/10.1 Narrative Campaign,5522,0,122679,122679,123577,0,53,0,1070,0,34450
206,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
207,The Azure Span,Hidden campaign,5466,0,5703,5703,5703,5703,47,0,0,5703,0
208,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
209,Blue Dragonflight,,5468,0,21439,21439,0,0,50,0,102,0,21439
210,Zskera Vaults,,0,0,108197,0,0,0,50,0,0,34450,0
212,Exile's Reach,Campaign that presents the New Player Experience through Exile's Reach.,5531,0,108830,108830,108834,0,55,0,5,0,0
213,Exile's Reach,Campaign that presents the New Player Experience through Exile's Reach.,5531,0,108835,108835,108834,0,55,0,5,0,0
214,Battle for Azeroth,As a champion of the Alliance it is your duty to help the war effort against the Horde and their new allies.,261,0,109122,924,109672,0,8,2,89,0,0
215,Battle for Azeroth,As a champion of the Alliance it is your duty to help the war effort against the Horde and their new allies.,261,0,86702,86702,108940,0,8,0,89,0,0
216,War Campaign,As a champion of the Alliance it is your duty to help the war effort against the Horde and their new allies.,261,0,109193,109193,109793,0,8,0,88,0,49081
217,Nazjatar,As a champion of the Alliance it is your duty to help the war effort against the Horde and their new allies.,261,0,109210,109210,109183,0,8,0,87,0,49081
218,Mechagon,As a champion of the Alliance it is your duty to help the war effort against the Horde and their new allies.,261,0,109180,109180,109182,0,8,0,86,0,49081
219,Visions of N'zoth,As a champion of the Alliance it is your duty to help the war effort against the Horde and their new allies.,261,0,109211,109211,109789,0,8,0,85,0,49081
221,Battle for Azeroth,As a champion of the Alliance it is your duty to help the war effort against the Horde and their new allies.,262,0,109810,109810,109672,0,10,2,89,0,0
222,Mechagon,,262,0,109812,109812,109182,0,10,0,86,0,49081
223,Nazjatar,,262,0,109814,109814,109183,0,10,0,87,0,49081
224,Visions of N'zoth,,262,0,109820,109820,109789,0,10,0,85,0,49081
225,War Campaign,,262,0,109821,109821,109822,0,10,0,88,0,49081
226,Battle for Azeroth,,262,0,109832,109832,109833,0,10,0,89,0,0
227,Flightstones,,5468,0,0,34450,0,0,50,0,102,0,34450
228,Spark of Shadowflame,,5522,0,0,34450,0,0,53,0,102,0,34450
229,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
230,Test Campaign,,5470,0,0,0,0,0,51,0,104,104511,0
231,Guardians of the Dream,,5542,0,122691,122691,123578,0,57,0,1060,0,34450
233,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
234,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
235,Visions of Azeroth,Expansion Intro Questing,5570,0,119581,119581,0,0,60,0,1104,0,0
236,Isle of Dorn,Zone 1 Level-Up Questing,5578,0,119583,119583,0,0,63,0,1103,0,119582
237,The Ringing Deeps,Zone 2 Level-Up Questing,5579,0,119585,119585,120831,0,61,0,1102,0,119582
238,The Hallowfall Arathi,Zone 3 Level-Up Questing,5580,0,119594,119594,0,0,62,0,1101,0,119582
239,Azj-Kahet,Zone 5 Level-Up Questing,5581,0,119596,119596,118153,0,64,0,1100,0,119582
240,The War Within,Max Level Questing,5570,0,126264,126264,0,0,60,0,1110,0,0
241,Catching Up!,,0,0,5703,5703,0,0,0,0,0,0,0
242,Hunt for the Harbinger,,5570,0,121891,121891,0,0,60,0,1100,34450,34450
246,Landfall,,262,0,119806,119806,119684,0,59,0,58,0,49081
247,Mists of Pandaria,"Following the defeat of Deathwing, violence between the Horde and the Alliance has erupted anew. As a champion of the Horde, you must join the fight.",5568,0,119683,119683,119712,0,59,0,59,0,0
248,Mists of Pandaria,"Following the defeat of Deathwing, violence between the Horde and the Alliance has erupted anew. As a champion of the Alliance, you must join the fight.",5568,0,119829,119829,119830,0,59,0,59,0,0
249,Landfall,,261,0,119896,119896,119900,0,59,0,58,0,49081
250,The Thunder King,,261,0,119947,119947,119948,0,59,0,57,0,49081
251,The Thunder King,,262,0,119956,119956,119957,0,59,0,57,0,49081
252,Escalation,,263,0,119959,119959,119962,0,59,0,56,0,49081
253,The Siege of Orgrimmar,,261,0,119963,119963,119964,0,59,0,56,0,49081
254,The Siege of Orgrimmar,,262,0,119965,119965,119964,0,59,0,56,0,49081
256,Dragonflight,Master group header while in level up zones,5468,0,122644,122644,122645,0,50,0,1099,0,0
257,Blue Dragonflight,,5468,0,122672,122672,122675,0,50,0,1080,0,34450
258,Green Dragonflight,Green Dragons Ch 1+2,5468,0,122673,122673,122674,0,50,0,1090,0,34450
260,Lingering Shadows,11.1 Campaign Prologue,5644,0,126297,126297,0,0,67,0,1120,0,131682
261,Expansion Intro Skip,,0,0,5703,5703,0,0,0,0,0,0,0
262,(DNT) Campaign,,0,0,0,0,0,0,0,0,0,0,0
263,(DNT) Legendary,,0,0,0,0,0,0,0,0,0,0,0
265,Fate of the Kirin Tor,Kirin Tor Questline,5570,0,126299,126299,0,0,60,0,1130,0,133843
276,Siren Isle,,0,0,5703,5703,0,0,0,0,0,0,0
