ID,Field_9_0_1_33978_000,Field_9_0_1_33978_001,Field_9_0_1_33978_002,Field_9_0_1_33978_003,Field_9_0_1_33978_004,Field_9_0_1_33978_005,Field_9_0_1_33978_006,Field_9_0_1_33978_007,Field_9_0_1_33978_008,Field_9_0_1_33978_009,Field_9_0_1_33978_010,Field_9_0_1_33978_011,Field_9_0_1_33978_012,Field_9_0_1_33978_013,Field_9_0_1_33978_014,Field_9_0_1_33978_015,Field_9_0_1_33978_016,Field_9_0_1_33978_017,Field_9_0_1_33978_018,Field_9_0_1_33978_019,Field_9_0_1_33978_020,Field_9_0_1_33978_021,Field_9_0_1_33978_022,Field_9_0_1_33978_023,RibbonTexture,Field_9_0_1_33978_025,Field_9_0_1_33978_026,Flags,Field_9_0_1_33978_028,Field_9_0_1_33978_029,EffectTexture[0],EffectTexture[1],EffectTexture[2]
39,0.01,1,-0.05,0.01,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.01,0.1,-0.05,0.01,1,1,1,1,6,4,4,0.75,2132857,10,10,4,1,1,3258614,3258614,3258614
40,0.011,1,-0.08,-0.02,0.01,1,0,0,0.02,1,0,0,0.01,0.1,-0.05,0.01,1,1,1,1,3,3,3,20,3580329,0,10,0,0,1,3580352,3258613,3258613
41,0.012,1,-0.16,0.02,0.008,1,0,0,0.018,1,0,0,0.01,0.1,-0.08,0.01,1,1,1,1,4,4,4,5,3580329,2,20,4,1,1,3258612,3258613,3258613
42,0.005,1,-0.07,0.05,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.005,1,-0.15,0.05,1,1,1,1,4,4,4,8,3580269,0,20,12,1,1,3258605,1715283,1715283
43,0.005,3,-0.02,0,0.06,2,-1,-0.1,0.0025,1,-0.1,0.2,0.005,1,-0.1,0,0.85098046,0.85098046,0.85098046,1,4,4,4,8,3580269,0,20,8,0,5,3580330,1720408,3308184
44,0.0001,1,-0.0001,0,0.0001,2,-0.01,-0.01,0.0001,3,-0.02,0.01,0.002,0.1,-0.01,0.01,0.43137258,0.7137255,0.95294124,1,8,8,8,8,2132857,0,5,2,1,3,3182452,3182452,984062
45,0.005,3,-0.02,0,0.06,2,-1,-0.1,0.0025,1,-0.1,0.2,0.0025,1,-0.05,0,0.22352943,0.41176474,0.91372555,1,4,4,4,1,3580269,0,15,6,1,10,3580261,1720408,3580244
46,0.02,1,-0.05,0.01,0.02,1,-0.1,-0.02,0.01,1,-0.1,0.01,0.005,0.1,-0.15,0.05,0.058823533,0.20784315,0.6313726,1,1,1,1,0.5,3580329,6,15,4,1,0.5,3258608,3258608,1715283
47,0.01,3,-0.02,0,0.06,2,-1,-0.1,0.0025,1,-0.1,0.2,0.02,1,-0.05,0,0.85098046,0.85098046,0.85098046,1,4,4,4,16,3580269,0,1,0,0,15,3580330,1720408,3308184
48,0.02,1,-0.02,0.02,0.005,1,-0.05,-0.03,0.01,1,-0.1,0.01,0.005,0.1,-0.02,0.05,0.30980393,0.5686275,0.7176471,1,2,2,2,2,3580329,0.5,1,12,1,2,3258608,3258608,1715283
49,0.04,2,-0.015,0.05,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.02,1,-0.05,0.05,0.78823537,0.91372555,1,1,4,4,4,2,3580269,0,2,6,1,1,3258609,3580331,3580331
50,0.04,1,-0.02,0.05,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.02,1,-0.05,0.05,1,1,1,1,4,4,4,16,3580269,1,1.5,4,1,2,3258605,1715283,1715283
51,0.005,3,-0.02,0,0.06,2,-1,-0.1,0.0025,1,-0.1,0.2,0.005,1,-0.1,0,0.85098046,0.85098046,0.85098046,1,4,4,4,8,3580269,0,10,8,0,5,3580330,1720408,3308184
52,0.005,1,-0.05,0.01,0.005,1,-0.1,-0.02,0.01,1,-0.1,0.01,0.005,0.1,-0.15,0.05,0.30980393,0.5686275,0.7176471,1,2,2,2,1,3580329,3,10,12,1,0.5,3258608,3258608,1715283
53,0.005,1,-0.07,0.05,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.005,1,-0.15,0.05,1,1,1,1,4,4,4,8,3580269,0,10,12,1,1,3258605,1715283,1715283
54,0.005,1,-0.07,0.05,0.01,1,-0.1,-0.02,0.02,1,-0.1,0.01,0.005,1,-0.15,0.05,0.21176472,0.46274513,0.6392157,1,4,4,4,16,3580269,0,10,12,1,0.5,3258605,1715283,1715283
