ID,SpellID,AssistedCombatID,OrderIndex
4832,185313,326,10
4833,382245,326,21
4834,382245,326,22
4835,382245,326,23
4836,280719,326,24
4837,196819,326,25
4838,426591,326,6
4839,277925,326,28
4840,319175,326,26
4841,1943,326,20
4842,197835,326,29
4843,185438,326,31
4844,1752,326,32
4845,212283,326,9
4846,114014,326,33
4847,196819,326,27
4848,217200,331,4
4850,19574,331,3
4851,217200,331,5
4853,2643,331,7
4856,34026,331,11
4857,217200,331,12
4858,185358,331,14
4859,53351,331,8
4860,321530,331,9
4861,120679,331,10
4862,212431,331,13
4863,120679,331,2
4865,257620,332,3
4866,257620,332,4
4867,257044,332,6
4868,260243,332,1
4869,212431,332,7
4870,19434,332,9
4871,53351,332,10
4872,56641,332,14
4873,2643,332,11
4874,53351,332,5
4875,185358,332,12
4876,259495,330,4
4877,212436,330,7
4878,269751,330,8
4879,203415,330,6
4880,259489,330,10
4881,212431,330,5
4882,203415,330,9
4883,186270,330,12
4884,212431,330,11
4885,360966,330,3
4886,320976,330,13
4899,2643,331,6
4969,257620,332,2
5025,883,330,1
5071,204157,329,1
5072,203782,329,2
5073,228477,329,3
5074,207407,329,4
5075,390163,329,5
5076,204596,329,6
5077,212084,329,9
5078,258920,329,10
5080,247454,329,11
5081,203782,329,12
5082,228477,329,13
5084,204157,329,15
5085,204596,329,8
5086,204596,329,7
5087,188499,328,1
5088,162794,328,2
5089,185123,328,3
5090,258920,328,5
5091,258860,328,6
5092,188499,328,7
5093,390163,328,9
5094,198013,328,10
5095,188499,328,11
5096,162794,328,12
5097,204596,328,17
5098,162794,328,18
5099,185123,328,20
5100,204596,328,4
5145,202028,115,21
5158,106832,115,23
5183,5217,115,1
5254,51271,22,0
5284,207230,22,15
5322,194913,22,17
5335,49143,22,10
5382,47568,22,3
5383,47568,22,4
5613,202425,90,25
5614,202425,90,23
5657,443454,61,17
5658,443454,61,24
5659,443454,61,26
5716,883,331,1
5728,116,85,5
5741,316239,86,18
5813,162794,328,22
5828,228477,329,16
5853,8921,90,28
5869,1822,115,26
5880,106832,111,14
5892,8921,52,11
5900,361469,104,12
5915,361469,105,13
5918,361469,45,2
5946,19434,332,15
5960,186270,330,15
5974,44425,209,15
5987,133,215,17
6000,116,85,9
6012,107428,324,12
6023,107428,46,11
6039,107428,325,19
6048,275773,51,8
6060,275779,323,14
6081,20271,117,17
6089,47540,44,7
6096,585,36,6
6125,8092,67,25
6161,1752,4,40
6177,193315,327,25
6197,1752,326,34
6221,51505,61,31
6244,17364,73,26
6249,51505,25,6
6267,686,60,20
6282,104316,272,10
6297,686,66,21
6316,12294,28,16
6365,23922,26,12
6438,7384,28,10
6453,321507,209,3
6455,1226019,542,1
6458,473728,542,3
6459,258920,542,7
6466,1217605,542,0
6467,473662,542,9
6474,390163,542,6
6636,442726,60,13
6684,391528,115,16
6717,1822,115,2
6729,391528,111,5
6755,382245,4,33
6846,382245,327,11
6879,8676,327,6
6880,8676,327,7
6933,49028,86,1
6934,194844,86,3
6935,195182,86,5
6949,195182,86,6
6963,195292,86,17
7270,316239,22,20
7418,316239,89,19
7635,356995,104,8
7652,356995,104,6
7692,19434,332,8
7706,56641,332,16
7838,11366,215,2
7864,108853,215,6
7865,108853,215,4
7890,108853,215,7
8017,335467,67,8
8041,8092,67,12
8042,8092,67,18
8043,8092,67,19
8117,51505,61,27
8123,51505,25,3
8228,8921,111,13
8247,8921,115,25
8323,1464,29,17
8343,1464,28,17
8424,686,66,18
8425,116858,66,17
8426,116858,66,15
8466,442726,66,8
8535,686,66,6
8568,1259790,60,16
8603,162243,328,21
8894,335467,67,23
8960,279302,22,1
8986,51505,61,10
8987,51505,61,29
9094,188443,61,4
9095,188196,61,5
9119,188196,73,8
9120,375982,73,12
9121,188443,73,15
9123,188196,73,17
9170,17364,73,6
9217,33757,73,1
9218,318038,73,2
9492,78674,90,20
9538,257541,215,11
9539,257541,215,12
9598,196819,326,11
9599,196819,326,13
9600,196819,326,12
9601,196819,326,14
9666,197835,326,30
9682,8676,4,13
9683,8676,4,15
9684,8676,4,16
9700,8676,4,14
9716,51723,4,37
9757,196819,4,22
9758,196819,4,23
9759,196819,4,24
9760,196819,4,25
9806,5938,4,31
9826,8676,327,5
9905,196447,66,9
9995,197835,326,15
9996,197835,326,16
9997,185438,326,17
9998,1752,326,18
10149,212283,326,19
10172,185358,330,14
10173,56641,330,16
10243,185358,332,13
10274,56641,331,15
10289,185358,331,16
10319,982,330,0
10336,982,331,0
10348,322109,46,0
10365,322109,325,0
10378,121253,324,6
10468,1243807,115,14
10546,1244258,115,17
10598,203782,329,14
10703,274837,115,13
10704,1243807,115,15
10820,315496,4,26
10846,8676,4,10
10847,8676,4,11
10848,8676,4,12
10874,703,4,17
10875,703,4,18
10876,703,4,19
10913,30146,272,1
11034,318038,61,1
11035,462757,61,2
11056,691,60,0
11057,108503,60,2
11058,688,60,1
11078,691,66,0
11079,688,66,1
11080,108503,66,2
11141,1680,28,13
11578,100780,325,17
11586,473662,542,10
11615,1226019,542,8
11698,194153,90,8
11757,190984,90,9
11816,194153,90,14
11817,190984,90,13
12058,1233346,90,10
12221,53600,323,5
12278,53600,323,6
12298,431044,215,15
12509,8679,326,0
12561,8679,327,0
12562,315584,327,1
12625,381637,4,6
12657,2823,4,0
12658,381664,4,3
12659,8679,4,4
12722,315584,4,5
12754,5761,4,7
12755,3408,4,9
12818,381664,4,2
12974,3408,4,8
12997,3408,327,4
12998,381637,327,2
12999,5761,327,3
13031,381637,326,2
13032,5761,326,3
13033,3408,326,4
13079,1249752,115,7
13126,1249752,115,8
13278,30451,209,14
13309,44425,209,2
13401,8042,61,11
13402,117014,61,12
13419,258920,328,19
14199,85948,89,10
14440,279302,22,5
14532,43265,86,19
14710,49998,86,0
14937,470411,73,20
15069,8092,67,16
15126,357208,105,3
15127,362969,105,8
15151,470411,61,6
15152,51505,61,20
15176,470411,61,7
15210,1227280,67,1
15297,316239,89,15
15428,77575,89,2
15446,42650,89,3
15481,47541,89,5
15499,207317,89,6
15583,55090,89,7
15629,343294,89,8
15699,228260,67,5
15772,10060,67,6
15823,114050,61,3
15868,375087,105,0
15880,357210,105,5
15914,370553,105,2
15936,357210,104,2
15937,404977,104,9
15938,370553,104,3
16095,192106,73,0
16127,192106,61,0
16166,52127,25,0
16184,205180,60,18
16202,1257052,60,14
16203,686,60,10
16204,686,60,11
16266,265187,272,6
16298,1122,66,7
16332,44425,209,1
16357,1449,209,12
16382,365350,209,4
16395,12051,209,10
16598,187874,73,5
16754,470057,73,21
16924,20271,117,13
16935,205021,85,2
16971,190319,215,1
17006,107574,28,5
17040,1719,29,0
17041,107574,29,1
17069,385952,26,7
17070,107574,26,0
17113,1249658,22,2
17151,31884,117,0
17182,31884,323,0
17183,389539,323,1
17226,187827,329,0
17260,191427,328,0
17288,1217605,542,2
17307,1246167,542,4
17308,1245412,542,5
17357,288613,332,0
17374,1250646,330,2
17415,360194,4,20
17481,13750,327,10
17516,121471,326,5
17534,101545,325,4
17535,1249625,325,3
17536,443028,325,2
17598,194223,90,5
17599,391528,90,6
17600,391528,90,7
17679,391528,115,5
17680,106951,115,4
17719,50334,111,1
17720,391528,111,2
17778,344865,328,16
17779,232893,328,15
17780,198793,328,13
17799,370965,328,8
17818,198793,328,14
