ID,DeclinedWord,CaseIndex,DeclinedWordID
2819204,всаднице из ордена Серебряного Рассвета,2,413703
2819205,всадницу из ордена Серебряного Рассвета,3,413703
2819206,всадницей из ордена Серебряного Рассвета,4,413703
2819207,всаднице из ордена Серебряного Рассвета,5,413703
2819208,главнокомандующей Беатрисы,1,413704
2819209,главнокомандующей Беатрисе,2,413704
2819210,главнокомандующую Беатрису,3,413704
2819211,главнокомандующей Беатрисой,4,413704
2819212,главнокомандующей Беатрисе,5,413704
2819213,Гриффина Роуэна,1,413705
2819214,Гриффину Роуэну,2,413705
2819215,Гриффина Роуэна,3,413705
2819216,Гриффином Роуэном,4,413705
2819217,Гриффине Роуэне,5,413705
2819218,Густава,1,413706
2819219,Густаву,2,413706
2819220,Густава,3,413706
2819221,Густавом,4,413706
2819222,Густаве,5,413706
2819223,Двибы,1,413707
2819224,Двибе,2,413707
2819225,Двибу,3,413707
2819226,Двибой,4,413707
2819227,Двибе,5,413707
2819228,Джонни Большое Сердце,1,413708
2819229,Джонни Большое Сердце,2,413708
2819230,Джонни Большое Сердце,3,413708
2819231,Джонни Большое Сердце,4,413708
2819232,Джонни Большое Сердце,5,413708
2819233,инквизитора Алого ордена Калдорана,1,413709
2819234,инквизитору Алого ордена Калдорану,2,413709
2819235,инквизитора Алого ордена Калдорана,3,413709
2819236,инквизитором Алого ордена Калдораном,4,413709
2819237,инквизиторе Алого ордена Калдоране,5,413709
2819238,инквизитора Тенна Огненного,1,413710
2819239,инквизитору Тенну Огненному,2,413710
2819240,инквизитора Тенна Огненного,3,413710
2819241,инквизитором Тенном Огненным,4,413710
2819242,инквизиторе Тенне Огненном,5,413710
2819243,капитана Бузена,1,413711
2819244,капитану Бузену,2,413711
2819245,капитана Бузена,3,413711
2819246,капитаном Бузеном,4,413711
2819247,капитане Бузене,5,413711
2819248,капитана Джорна,1,413712
2819249,капитану Джорну,2,413712
2819250,капитана Джорна,3,413712
2819251,капитаном Джорном,4,413712
2819252,капитане Джорне,5,413712
2819253,капитана Кранвельда,1,413713
2819254,капитану Кранвельду,2,413713
2819255,капитана Кранвельда,3,413713
2819256,капитаном Кранвельдом,4,413713
2819257,капитане Кранвельде,5,413713
2819258,капитана Манадара,1,413714
2819259,капитану Манадару,2,413714
2819260,капитана Манадара,3,413714
2819261,капитаном Манадаром,4,413714
2819262,капитане Манадаре,5,413714
2819263,кардинала Мартелла,1,413715
2819264,кардиналу Мартеллу,2,413715
2819265,кардинала Мартелла,3,413715
2819266,кардиналом Мартеллом,4,413715
2819267,кардинале Мартелле,5,413715
2819268,командира Беатрисы,1,413716
2819269,командиру Беатрисе,2,413716
2819270,командира Беатрису,3,413716
2819271,командиром Беатрисой,4,413716
2819272,командире Беатрисе,5,413716
2819273,командира Граниса Молотобойца,1,413717
2819274,командиру Гранису Молотобойцу,2,413717
2819275,командира Граниса Молотобойца,3,413717
2819276,командиром Гранисом Молотобойцем,4,413717
2819277,командире Гранисе Молотобойце,5,413717
2819278,Леонида Барталомея,1,413718
2819279,Леониду Барталомею,2,413718
2819280,Леонида Барталомея,3,413718
2819281,Леонидом Барталомеем,4,413718
2819282,Леониде Барталомее,5,413718
2819283,Лилианы Барталомей,1,413719
2819284,Лилиане Барталомей,2,413719
2819285,Лилиану Барталомей,3,413719
2819286,Лилианой Барталомей,4,413719
2819287,Лилиане Барталомей,5,413719
2819288,магического оберега,1,413720
2819289,магическому оберегу,2,413720
2819290,магический оберег,3,413720
2819291,магическим оберегом,4,413720
2819292,магическом обереге,5,413720
2819293,мастера шпионажа Рики Висмута,1,413721
2819294,мастере шпионажа Рики Висмуте,2,413721
2819295,мастера шпионажа Рики Висмута,3,413721
2819296,мастером шпионажа Рики Висмутом,4,413721
2819297,мастере шпионажа Рики Висмуте,5,413721
2819298,Морлуна Могучего,1,413722
2819299,Морлуну Могучему,2,413722
2819300,Морлуна Могучего,3,413722
2819301,Морлуном Могучим,4,413722
2819302,Морлуне Могучем,5,413722
2819303,наемника из братства Восточных Морей,1,413723
2819304,наемнику из братства Восточных Морей,2,413723
2819305,наемника из братства Восточных Морей,3,413723
2819306,наемником из братства Восточных Морей,4,413723
2819307,наемнике из братства Восточных Морей,5,413723
2819308,насыщенного Светом дракончика,1,413724
2819309,насыщенному Светом дракончику,2,413724
2819310,насыщенного Светом дракончика,3,413724
2819311,насыщенным Светом дракончиком,4,413724
2819312,насыщенном Светом дракончике,5,413724
2819313,отвлеченной волшебницы из Алого ордена,1,413725
2819314,отвлеченной волшебнице из Алого ордена,2,413725
2819315,отвлеченную волшебницу из Алого ордена,3,413725
2819316,отвлеченной волшебницей из Алого ордена,4,413725
2819317,отвлеченной волшебнице из Алого ордена,5,413725
2819318,отвлеченного волшебника из Алого ордена,1,413726
2819319,отвлеченному волшебнику из Алого ордена,2,413726
2819320,отвлеченного волшебника из Алого ордена,3,413726
2819321,отвлеченным волшебником из Алого ордена,4,413726
2819322,отвлеченном волшебнике из Алого ордена,5,413726
2819323,Персиваля Барталомея,1,413727
2819324,Персивалю Барталомею,2,413727
2819325,Персиваля Барталомея,3,413727
2819326,Персивалем Барталомеем,4,413727
2819327,Персивале Барталомее,5,413727
2819328,повелителя зверей Алексея,1,413728
2819329,повелителю зверей Алексею,2,413728
2819330,повелителя зверей Алексея,3,413728
2819331,повелителем зверей Алексеем,4,413728
2819332,повелителе зверей Алексее,5,413728
2819333,разведчицы из ордена Серебряного Рассвета,1,413729
2819334,разведчице из ордена Серебряного Рассвета,2,413729
2819335,разведчицу из ордена Серебряного Рассвета,3,413729
2819336,разведчицей из ордена Серебряного Рассвета,4,413729
2819337,разведчице из ордена Серебряного Рассвета,5,413729
2819338,рыцаря Калдорана,1,413730
2819339,рыцарю Калдорану,2,413730
2819340,рыцаря Калдорана,3,413730
2819341,рыцарем Калдораном,4,413730
2819342,рыцаре Калдоране,5,413730
2819343,рыцаря Стерна,1,413731
2819344,рыцарю Стерну,2,413731
2819345,рыцаря Стерна,3,413731
2819346,рыцарем Стерном,4,413731
2819347,рыцаре Стерне,5,413731
2819348,рыцаре Феррисе,1,413732
2819349,рыцарю Феррису,2,413732
2819350,рыцаре Феррисе,3,413732
2819351,рыцарем Феррисом,4,413732
2819352,рыцаре Феррисе,5,413732
2819353,рыцаря-капитана Калдорана,1,413733
2819354,рыцарю-капитану Калдорану,2,413733
2819355,рыцаря-капитана Калдорана,3,413733
2819356,рыцарем-капитаном Калдораном,4,413733
2819357,рыцаре-капитане Калдоране,5,413733
2819358,священницы из ордена Серебряного Рассвета,1,413734
2819359,священнице из ордена Серебряного Рассвета,2,413734
2819360,священницу из ордена Серебряного Рассвета,3,413734
2819361,священницей из ордена Серебряного Рассвета,4,413734
2819362,священнице из ордена Серебряного Рассвета,5,413734
2819363,сержанта Алого ордена,1,413735
2819364,сержанту Алого ордена,2,413735
2819365,сержанта Алого ордена,3,413735
2819366,сержантом Алого ордена,4,413735
2819367,сержанте Алого ордена,5,413735
2819368,Скороленты Среброверт,1,413736
2819369,Скороленте Среброверт,2,413736
2819370,Скороленту Среброверт,3,413736
2819371,Скоролентой Среброверт,4,413736
2819372,Скороленте Среброверт,5,413736
2819373,Солистразы,1,413737
2819374,Солистразе,2,413737
2819375,Солистразу,3,413737
2819376,Солистразой,4,413737
2819377,Солистразе,5,413737
2819378,Фидриэль,1,413738
2819379,Фидриэль,2,413738
2819380,Фидриэль,3,413738
2819381,Фидриэль,4,413738
2819382,Фидриэль,5,413738
2819383,частицы возможностей,1,413739
2819384,частице возможностей,2,413739
2819385,частицу возможностей,3,413739
2819386,частицей возможностей,4,413739
2819387,частице возможностей,5,413739
