ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
52,"Generate a shipment of enchanting crystals.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Temporal Crystal,44,2,18,1,16091,16092,22545,0,0,0,14,21,1,59
53,"Generate a shipment of Gearspring Parts.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Gearspring Parts,47,2,19,7,16091,16092,22545,0,0,0,14,21,1,60
54,"Generate a shipment of War Paints.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",War Paints,45,2,20,1,16091,16092,22545,0,0,0,14,21,1,61
55,"Generates a shipment of herbs from draenic seeds you have gathered.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Garden Shipment,54,2,2,1,16091,16092,16093,0,0,0,14,21,1,80
56,"Generates a shipment of ore from Draenic Stone you have mined.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Mine Shipment,54,2,1,1,16091,16092,16093,0,0,0,14,21,1,79
57,"Generate a shipment of Alchemical Catalysts.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Alchemical Catalyst,43,2,16,1,19959,19958,22544,0,0,0,14,21,0,31
58,"Generate a shipment of Truesteel Ingots.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Truesteel Ingot,42,2,17,1,19959,19958,22544,0,0,0,14,21,0,49
59,"Generate a shipment of enchanting crystals.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Temporal Crystal,44,2,18,1,19959,19958,22544,0,0,0,14,21,0,52
60,"Generate a shipment of Gearspring Parts.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Gearspring Parts,47,2,19,1,19959,19958,22544,0,0,0,14,21,0,53
61,"Generate a shipment of War Paints.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",War Paints,45,2,20,1,19959,19958,22544,0,0,0,14,21,0,54
62,"Generate a shipment of Taladite Crystal.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Taladite Crystal,46,2,21,1,19959,19958,22544,0,0,0,14,21,0,51
63,"Generate a shipment of Burnished Leather.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Burnished Leather,49,2,22,1,19959,19958,22544,0,0,0,14,21,0,50
64,"Generate a shipment of Hexweave Cloth. 

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.",Hexweave Cloth,52,2,23,1,19959,19958,22544,0,0,0,14,21,0,37
65,"Turn in pieces of your enemies at the Altar of Bones to earn a tribute of riches and powerful items.

You can view the progress of your offering in the Garrison Report.",Conqueror's Tribute,54,2,25,1,2614,15449,22474,0,0,0,14,21,-1,0
66,"Trade in raw tradeskill materials for Garrison Resources.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Garrison Resources,54,2,6,1,16091,16092,16093,0,0,0,14,21,1,70
70,"Trade in raw tradeskill materials for Garrison Resources.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Garrison Resources,54,2,6,1,19959,19958,22544,0,0,0,14,21,0,66
74,"Produces an Overcharged Demolisher. 

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Overcharged Demolisher,159,2,26,1,24673,24673,24673,0,0,0,1,2,0,75
75,"Produces an Overcharged Siege Engine.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Overcharged Siege Engine,90,2,26,1,24672,24672,24672,0,0,0,1,2,1,74
77,"Trade in Garrison Resources for follower upgrades and armor scraps.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",,18,2,10,1,19959,19958,22544,0,0,0,14,21,0,78
78,"Trade in Garrison Resources for follower upgrades and armor scraps.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",,16,2,10,1,16091,16092,22545,0,0,0,14,21,1,77
79,"Generates a shipment of ore from Draenic Stone you have mined.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Mine Shipment,54,2,1,1,19959,19958,22544,0,0,0,14,21,0,56
80,"Generates a shipment of herbs from draenic seeds you have gathered.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",Garden Shipment,54,2,2,1,19959,19958,22544,0,0,0,14,21,0,55
100,"Trade in Ogre Waystones for Apexis Crystals and Mission Completion Orders.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",,149,2,13,1,19959,19958,22544,0,0,0,14,21,0,101
101,"Trade in Ogre Waystones for Apexis Crystals and Mission Completion Orders.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.",,29,2,13,1,16091,16092,22545,0,0,0,14,21,1,100
103,"Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 30m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",,9,2,9,1,10070,10070,10070,10070,44449,0,2,3,1,113
104,"A destructive diving vessel that can be used on naval missions.

|cFFFFD200Build Time: 2hrs|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff Carrier|r",,9,2,9,1,10309,10309,10309,10309,44449,0,2,3,1,111
105,"A powerful ship with large cannons that can be used on naval missions.

|cFFFFD200Build Time: 1hr|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff Destroyer|r",,9,2,9,1,15165,15165,15165,15165,44449,0,2,3,1,112
106,"A large ship used to transport troops and recover materials on naval missions.

|cFFFFD200Build Time: 30m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\ABILITY_ROGUE_FLEETFOOTED.BLP:24:24:0:0|t |cffffffff Land Objective|r",,9,2,9,1,26784,26784,26784,26784,44449,0,2,3,-1,0
107,"A strategic ship that can launch air attacks at sea for naval missions.

|cFFFFD200Build Time: 2hrs|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_ArmorPiercingAmmo.blp:24:24:0:0|t |cffffffff Battleship|r",,9,2,9,1,27015,27015,27015,27015,44449,0,2,3,-1,0
109,"A large ship used to transport troops and recover materials on naval missions.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\ABILITY_ROGUE_FLEETFOOTED.BLP:24:24:0:0|t |cffffffff Land Objective|r",,9,2,9,1,26784,26784,26784,26784,44449,0,2,3,-1,0
111,"A destructive diving vessel that can be used on naval missions.

|cFFFFD200Build Time: 2hrs|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Bombers.blp:24:24:0:0|t |cffffffff Carrier|r",,9,2,9,1,27211,27211,27211,27211,44449,0,2,3,0,104
112,"A powerful ship with large cannons that can be used on naval missions.

|cFFFFD200Build Time: 1hr|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_DepthCharges.blp:24:24:0:0|t |cffffffff Destroyer|r",,9,2,9,1,10322,10322,10322,10322,44449,0,2,3,0,105
113,"Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 30m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",,9,2,9,1,10941,10941,10941,10941,44449,0,2,3,0,103
114,"Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",,9,2,9,1,10070,10070,10070,10070,44449,0,2,3,1,115
115,"Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",,9,2,9,1,10941,10941,10941,10941,44449,0,2,3,0,114
119,"Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",,9,2,9,1,10070,10070,10070,10070,44449,0,2,3,1,121
121,"Drops explosive shells into the water, destroying submerged craft.

|cFFFFD200Build Time: 1m|r

|cffb2f0ffCounters: |r
|TInterface\ICONS\Ships_ABILITY_Stealth.blp:24:24:0:0|t |cffffffff Submarine|r",,9,2,9,1,10941,10941,10941,10941,44449,0,2,3,0,119
122,Nomi will research new recipes for you.,Test Kitchen Results,51,3,0,24,12572,12573,12573,0,0,0,20,21,-1,0
124,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,0,3,0,4,11843,11843,11843,11843,61015,0,4,4,-1,0
125,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,0,3,0,3,11843,11843,11843,11843,61015,0,2,3,-1,0
126,"Requisition a squad of Crane Initiates which can accompany followers on missions to increase chance at a bonus reward.

|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,2,11843,11843,11843,0,0,0,2,3,-1,0
128,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,3,35397,35397,35397,35397,61015,0,3,3,-1,0
129,Summon a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,4,35397,35397,35397,35397,61015,0,4,4,-1,0
130,"Requisition a host of Felguard Demons to fight on missions for you.

|cFFFFD200Build Time: 1hr|r",Felguard Demons,9,3,0,1,8618,8618,8618,0,0,0,1,1,-1,0
131,Summon a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,4,35172,35172,35172,35172,61015,0,4,4,-1,0
132,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troop Shipment,9,3,0,3,35172,35172,35172,35172,61015,0,3,3,-1,0
133,"Requisition a squad of [units] to fight on missions for you.

|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,1,35172,35172,35172,0,0,0,2,3,-1,0
134,Raise a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,4,8225,8225,8225,8225,61015,0,4,4,-1,0
135,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,3,8225,8225,8225,8225,61015,0,3,3,-1,0
136,"Requisition a squad of troops which can accompany Champions on missions to increase chance of success.
|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,1,8225,8225,8225,0,0,0,2,3,-1,0
137,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,4,26916,26916,26916,26916,61015,0,4,4,-1,0
138,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,3,26916,26916,26916,26916,61015,0,3,3,-1,0
139,"Requisition a squad of troops which can accompany Champions on missions to increase chance of success.

|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,1,26916,26916,26916,0,0,0,2,3,-1,0
140,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,4,35171,35171,35171,35171,61015,0,4,4,-1,0
141,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,3,35171,35171,35171,35171,61015,0,3,3,-1,0
142,"Requisition a squad of Keepers of the Grove to fight on missions for you.

|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,1,35171,35171,35171,0,0,0,2,3,-1,0
143,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,4,36448,36448,36448,36448,61015,0,4,4,-1,0
144,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,3,36448,36448,36448,36448,61015,0,3,3,-1,0
145,"Requisition a squad of [units] to fight on missions for you.

|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,1,10721,10721,10721,0,0,0,2,3,-1,0
146,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,4,35170,35170,35170,35170,61015,0,4,4,-1,0
147,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,3,35170,35170,35170,35170,61015,0,3,3,-1,0
148,"Requisition a squad of [units] to fight on missions for you.

|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,1,35170,35170,35170,0,0,0,2,3,-1,0
149,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,4,35174,35174,35174,35174,61015,0,4,4,-1,0
150,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,3,35174,35174,35174,35174,61015,0,3,3,-1,0
151,"Requisition a squad of troops which can accompany Champions on missions to increase chance of success.

|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,1,35174,35174,35174,0,0,0,2,3,-1,0
152,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,4,36449,36449,36449,36449,61015,0,4,4,-1,0
153,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,3,36449,36449,36449,36449,61015,0,3,3,-1,0
154,"Requisition a squad of troops which can accompany Champions on missions to increase chance of success.

|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,1,10721,10721,10721,0,0,0,2,3,-1,0
155,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,0,3,0,3,35398,35398,35398,35398,61015,0,3,3,-1,0
156,Summon a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,0,3,0,4,35398,35398,35398,35398,61015,0,4,4,-1,0
157,Summon a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,1,35398,35398,35398,35398,61015,0,1,1,-1,0
158,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,4,33176,33176,33176,33176,61015,0,4,4,-1,0
159,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,3,33176,33176,33176,33176,61015,0,3,3,-1,0
160,"Requisition a squad of troops which can accompany Champions on missions to increase chance of success.
|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,1,33176,33176,33176,0,0,0,2,3,-1,0
161,"Requisition a squad of Crane Adepts which can accompany followers on missions to increase chance at a bonus reward.

|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,2,10811,10811,10811,0,0,0,2,3,-1,0
163,"Requisition a squad of Tiger Adepts which can accompany followers on missions to increase chance of success.

|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,2,11843,11843,11843,0,0,0,2,3,-1,0
164,Summon a powerful ally which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,1,35173,35173,35173,35173,61015,0,1,1,-1,0
165,"Requisition a squad of Ox Adepts which can accompany followers on missions to increase chance of success.

|cFFFFD200Build Time: 30m|r",Troop Shipment,9,3,0,4,11843,11843,11843,0,0,0,4,4,-1,0
166,"Requisition a Pack of Wild Imps to fight on missions for you.

|cFFFFD200Build Time: 15m|r",Pack of Wild Imps,9,3,0,4,8618,8618,8618,0,0,0,4,4,-1,0
167,"Requisition a host of Fel Wrathguard Demons to fight on missions for you.

|cFFFFD200Build Time: 1hr|r",Fel Wrathguard Demons,9,3,0,1,8618,8618,8618,0,0,0,1,1,-1,0
168,"Requisition a mob of Black Harvest Invokers to fight on missions for you.

|cFFFFD200Build Time: 30m|r",Black Harvest Invokers,9,3,0,2,8618,8618,8618,0,0,0,2,2,-1,0
171,Requisition a shipment of Champion Armaments and Equipment.,Troop Shipment,16,3,0,4,36928,36928,36928,0,0,0,4,2,-1,0
173,Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.,Pending Research Notes,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
177,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,26060,26060,26060,0,0,0,1,1,-1,0
178,Requisition a Frost Wyrm to unleash.,Summoning Frost Wyrm,16,3,0,1,36780,36780,36780,36780,61015,0,1,1,-1,0
179,"Summon an Infernal and contain it within a Demonic Phylactery, which can be unleashed to complete a World Quest.",Enslaving Infernal,16,3,0,1,37137,37137,37137,37137,61015,0,1,1,-1,0
180,"Channel the power of order into the Focusing Crystal, allowing you to unleash the Might of Dalaran and complete a World Quest.",Channelling the power of Dalaran.,16,3,0,1,7631,7631,7631,7631,61015,0,1,1,-1,0
181,Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.,Pending Research Notes,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
182,Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.,Pending Research Notes,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
183,Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.,Pending Research Notes,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
184,Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.,Pending Research Notes,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
185,Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.,Pending Research Notes,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
186,Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.,Pending Research Notes,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
187,Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.,Pending Research Notes,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
188,Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.,Pending Research Notes,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
189,Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.,Pending Research Notes,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
190,Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.,Pending Research Notes,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
191,Begin additional research on your artifact weapons. Resulting knowledge will increase the rate at which you gain Artifact Power.,Pending Research Notes,44,3,0,2,36065,36065,16159,0,0,0,1,2,-1,0
192,"Begin the recruitment of the Vanguard of the Silver Hand, to unleash them on a World Quest.",Raising the Vanguard,16,3,0,1,37230,37230,37230,37230,61015,0,1,1,-1,0
193,"Call upon the prayers of the order to bless your Champions, increasing their chance of success on missions.",Ritual of Blessings,16,3,0,1,35853,35853,35853,35853,61015,0,1,1,-1,0
194,"Begin calling the Val'kyr, allowing you to deploy them to complete a World Quest.",Calling the Val'kyr,16,3,0,1,33174,33174,33174,33174,61015,0,1,1,-1,0
195,"Channel the wrath of the order to empower the Rift Core, allowing you to deploy the Rift Cannon to complete a World Quest.",Channel the wrath of the order.,16,3,0,1,25536,25536,25536,25536,61015,0,1,1,-1,0
196,Summon a powerful ally which can accompany Champions on missions to increase chance of success.,Troop Shipment,9,3,0,1,35171,35171,35171,35171,61015,0,1,1,-1,0
197,Requisition a shipment of Champion armaments and equipment.,Troop Shipment,16,3,0,4,36928,36928,36928,35924,61015,0,4,2,-1,0
198,Requisition a shipment of Champion armaments and equipment.,Troop Shipment,16,3,0,4,31180,31180,31180,31180,61015,0,4,2,-1,0
199,Requisition a shipment of Champion armaments and equipment.,Troop Shipment,16,3,0,4,36928,36928,36928,36928,61015,0,4,2,-1,0
200,Requisition a shipment of Champion armaments and equipment.,Troop Shipment,16,3,0,4,7088,7088,7088,7088,61015,0,4,2,-1,0
201,Requisition a shipment of Champion armaments and equipment.,Troop Shipment,16,3,0,4,37189,37189,37189,37189,61015,0,4,4,-1,0
202,Requisition a shipment of Champion armaments and equipment.,Troop Shipment,16,3,0,4,37480,37478,37481,37480,61015,0,2,4,-1,0
203,Requisition a shipment of Champion armaments and equipment.,Troop Shipment,16,3,0,4,30825,30825,30825,30825,61015,0,4,2,-1,0
204,Requisition a shipment of Champion armaments and equipment.,Troop Shipment,16,3,0,4,36928,36928,36928,36928,61015,0,4,2,-1,0
205,Requisition a shipment of Champion armaments and equipment.,Troop Shipment,16,3,0,4,36928,36928,36928,36928,61015,0,4,2,-1,0
206,Requisition a shipment of Champion armaments and equipment.,Troop Shipment,16,3,0,4,30127,30127,30127,30127,61015,0,4,2,-1,0
207,Requisition a shipment of Champion armaments and equipment.,Troop Shipment,16,3,0,4,37231,37231,37231,37231,61015,0,4,2,-1,0
208,Requisition a shipment of Champion armaments and equipment.,Troop Shipment,16,3,0,4,37234,37234,37234,37234,61015,0,4,2,-1,0
209,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,37191,37191,37191,37191,61015,0,1,1,-1,0
210,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,27369,27369,27369,27369,61015,0,1,1,-1,0
211,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,36278,36278,36278,36278,61015,0,1,1,-1,0
212,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,6964,6964,6964,6964,61015,0,1,1,-1,0
213,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,35501,35501,35501,35501,61015,0,1,1,-1,0
214,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,26060,26060,26060,26060,61015,0,1,1,-1,0
215,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,26060,26060,26060,26060,61015,0,1,1,-1,0
216,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,34442,34442,34442,34442,61015,0,1,1,-1,0
217,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,32320,32320,32320,32320,61015,0,1,1,-1,0
218,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,29891,29891,29891,29891,61015,0,1,1,-1,0
219,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,34219,34219,34219,34219,61015,0,1,1,-1,0
220,Requisition a Seal of Broken Fate.,Seal of Broken Fate Shipment,16,3,0,1,26060,26060,26060,26060,61015,0,1,1,-1,0
223,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troop Shipment,9,3,0,2,35172,35172,35172,35172,61015,0,2,2,-1,0
224,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,2,33176,33176,33176,33176,61015,0,2,2,-1,0
225,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,2,8225,8225,8225,8225,61015,0,2,2,-1,0
226,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,2,26916,26916,26916,26916,61015,0,2,2,-1,0
227,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,2,35171,35171,35171,35171,61015,0,2,2,-1,0
228,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,2,36448,36448,36448,36448,61015,0,2,2,-1,0
229,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,2,11843,11843,11843,11843,61015,0,2,2,-1,0
230,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,2,35170,35170,35170,35170,61015,0,2,2,-1,0
231,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,2,35174,35174,35174,35174,61015,0,2,2,-1,0
232,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,2,36449,36449,36449,36449,61015,0,2,2,-1,0
233,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,2,35398,35398,35398,35398,61015,0,2,2,-1,0
234,Train a squad of troops which can accompany Champions on missions to increase chance of success.,Troops Training,9,3,0,2,35397,35397,35397,35397,61015,0,2,2,-1,0
238,Looking for reinforcements? Place the order and I'll arrange the transport for additional Troops from Stormwind.,Alliance troops have been deployed.,0,9,0,6,5651,5651,5651,5651,61015,0,6,6,1,239
239,Looking for reinforcements? Place the order and I'll arrange the transport for additional Troops from Orgrimmar.,Horde troops have been deployed.,0,9,0,6,5652,5652,5652,5652,61015,0,6,6,0,238
