ID,TraitNodeID,LeftTraitNodeGroupID,RightTraitNodeGroupID,TraitCurrencyID
953,34833,4508,4507,1682
954,34832,4506,4505,1681
955,34831,4504,4503,1680
956,34893,4529,4528,1692
957,34892,4527,4526,1691
958,34891,4525,4524,1690
959,34890,4523,4522,1689
960,34889,4521,4520,1688
961,34888,4519,4518,1687
962,34887,4517,4516,1686
963,34886,4515,4514,1685
1006,40008,4893,4892,1786
1007,40007,4891,4890,1785
1008,40006,4889,4888,1784
1009,40005,4887,4886,1783
1010,40038,4902,4901,1790
1011,40037,4900,4899,1789
1012,40036,4898,4897,1788
1013,40035,4896,4895,1787
1014,40074,4913,4912,1795
1015,40073,4911,4910,1794
1016,40072,4909,4908,1793
1017,40071,4907,4906,1792
1018,40070,4905,4904,1791
1032,40226,4967,4966,1821
1033,40225,4965,4964,1820
1034,40224,4963,4962,1819
1035,40223,4961,4960,1818
1036,40222,4959,4958,1817
1037,40221,4957,4956,1816
1038,40220,4955,4954,1815
1039,40219,4953,4952,1814
1040,40218,4951,4950,1813
1041,40217,4949,4948,1812
1042,40216,4947,4946,1811
1043,40215,4945,4944,1810
1044,40214,4943,4942,1809
1060,42828,5186,5185,1871
1061,42827,5184,5183,1870
1062,42826,5182,5181,1869
1096,43535,5307,5306,1923
1097,43534,5305,5304,1922
1098,43533,5303,5302,1921
1099,43532,5301,5300,1920
1100,43531,5299,5298,1919
1101,43530,5297,5296,1918
1102,43529,5295,5294,1917
1103,43528,5293,5292,1916
1104,43527,5291,5290,1915
1105,43526,5289,5288,1914
1106,43525,5287,5286,1913
1107,43524,5285,5284,1912
1108,43523,5283,5282,1911
1109,43522,5281,5280,1910
1110,43521,5279,5278,1909
1319,50894,6249,6248,2299
1320,50893,6247,6246,2298
1321,50892,6245,6244,2297
1322,50891,6243,6242,2296
1323,50929,6258,6257,2303
1324,50928,6256,6255,2302
1325,50927,6254,6253,2301
1326,50926,6252,6251,2300
1327,50956,6265,6264,2306
1328,50955,6263,6262,2305
1329,50954,6261,6260,2304
1330,50993,6274,6273,2310
1331,50992,6272,6271,2309
1332,50991,6270,6269,2308
1333,50990,6268,6267,2307
1343,57263,6707,6706,2397
1344,57262,6705,6704,2396
1345,57261,6703,6702,2395
1346,57260,6701,6700,2394
1347,57293,6714,6713,2400
1348,57292,6712,6711,2399
1349,57291,6710,6709,2398
1350,57345,6725,6724,2405
1351,57344,6723,6722,2404
1352,57343,6721,6720,2403
1353,57342,6719,6718,2402
1354,57341,6717,6716,2401
1393,59621,6968,6967,2478
1394,59620,6966,6965,2477
1395,59619,6964,6963,2476
1396,59618,6962,6961,2475
1397,59617,6960,6959,2474
1398,59651,6975,6974,2481
1399,59650,6973,6972,2480
1400,59649,6971,6970,2479
1401,59701,6986,6985,2486
1402,59700,6984,6983,2485
1403,59699,6982,6981,2484
1404,59698,6980,6979,2483
1405,59697,6978,6977,2482
1431,64143,7321,7320,2574
1432,64142,7319,7318,2573
1433,64141,7317,7316,2572
1434,64140,7315,7314,2571
1435,64139,7313,7312,2570
1436,64138,7311,7310,2569
1437,64137,7309,7308,2568
1438,64136,7307,7306,2567
1439,64135,7305,7304,2566
1440,64134,7303,7302,2565
1441,64133,7301,7300,2564
1452,68402,7565,7564,2620
1453,68401,7563,7562,2619
1454,68400,7561,7560,2618
1455,68445,7576,7575,2625
1456,68444,7574,7573,2624
1457,68443,7572,7571,2623
1458,68442,7570,7569,2622
1459,68441,7568,7567,2621
1473,81118,8451,8450,2787
1474,81119,8453,8452,2788
