Field_11_0_0_54675_000,ID,PlayerDataElementAccountID,Field_11_1_0_58221_003,Field_11_1_0_58221_004,Field_11_2_5_62554_005
1,320,122,1,0,0
1,325,123,1,0,0
1,330,124,1,0,0
3,335,95,1,0,0
4,336,95,1,0,0
5,337,95,1,0,0
2,338,96,1,0,0
3,339,96,1,0,0
4,340,96,1,0,0
5,341,96,1,0,0
2,342,111,1,0,0
3,343,111,1,0,0
4,344,111,1,0,0
5,345,111,1,0,0
2,346,112,1,0,0
3,348,112,1,0,0
4,349,112,1,0,0
5,350,112,1,0,0
2,351,113,1,0,0
3,352,113,1,0,0
4,353,113,1,0,0
5,354,113,1,0,0
2,355,114,1,0,0
3,356,114,1,0,0
4,357,114,1,0,0
5,358,114,1,0,0
2,359,115,1,0,0
3,360,115,1,0,0
4,361,115,1,0,0
5,362,115,1,0,0
2,363,116,1,0,0
3,364,116,1,0,0
4,365,116,1,0,0
5,366,116,1,0,0
2,367,117,1,0,0
3,368,117,1,0,0
4,369,117,1,0,0
5,370,117,1,0,0
2,371,118,1,0,0
3,372,118,1,0,0
4,373,118,1,0,0
5,374,118,1,0,0
2,375,119,1,0,0
3,376,119,1,0,0
4,377,119,1,0,0
5,378,119,1,0,0
2,379,120,1,0,0
3,380,120,1,0,0
4,381,120,1,0,0
5,382,120,1,0,0
2,383,121,1,0,0
3,384,121,1,0,0
4,385,121,1,0,0
5,386,121,1,0,0
2,387,122,1,0,0
3,388,122,1,0,0
4,389,122,1,0,0
5,390,122,1,0,0
2,391,123,1,0,0
3,392,123,1,0,0
4,393,123,1,0,0
5,394,123,1,0,0
2,395,124,1,0,0
3,396,124,1,0,0
4,397,124,1,0,0
5,398,124,1,0,0
4,567,72,1,0,0
3,568,72,1,0,0
2,569,72,1,0,0
1,570,72,1,0,0
4,571,83,1,0,0
3,572,83,1,0,0
2,573,83,1,0,0
1,574,83,1,0,0
4,575,82,1,0,0
3,576,82,1,0,0
2,577,82,1,0,0
1,578,82,1,0,0
4,579,81,1,0,0
3,580,81,1,0,0
2,581,81,1,0,0
1,582,81,1,0,0
4,583,80,1,0,0
3,584,80,1,0,0
2,585,80,1,0,0
1,586,80,1,0,0
4,587,79,1,0,0
3,588,79,1,0,0
2,589,79,1,0,0
1,590,79,1,0,0
4,591,76,1,0,0
3,592,76,1,0,0
2,593,76,1,0,0
1,594,76,1,0,0
2,595,75,1,0,0
3,596,75,1,0,0
4,597,75,1,0,0
1,598,75,1,0,0
4,599,74,1,0,0
3,600,74,1,0,0
2,601,74,1,0,0
1,602,74,1,0,0
4,603,73,1,0,0
3,604,73,1,0,0
2,605,73,1,0,0
1,606,73,1,0,0
0,607,125,1,0,0
0,608,126,1,0,0
0,609,127,1,0,0
0,610,128,1,0,0
