ID,AreaPOIID,UiWidgetSetID,Field_10_2_6_53840_002
540,7489,833,0
541,7492,845,0
542,7544,883,0
543,7553,984,0
544,7554,984,0
545,7555,984,0
546,7556,984,0
547,7585,859,0
548,7586,859,0
549,7587,859,0
550,7588,859,0
551,7602,984,0
552,7603,984,0
553,7604,984,0
554,7605,984,0
555,7614,977,0
556,7634,978,0
557,7635,978,0
558,7636,1003,0
559,7657,1018,0
561,7718,1,0
562,7719,1,0
563,7720,1,0
564,7721,1,0
565,7722,1,0
566,7723,1,0
567,7724,1,0
569,7654,1016,0
570,7792,1108,0
571,7823,1108,0
572,7824,1117,0
573,7825,1118,0
574,7826,1119,0
575,7827,1121,0
576,7828,1120,0
577,7829,1122,0
578,7830,1123,0
579,7886,1297,0
580,7887,1298,0
582,7899,1016,0
583,7900,1016,0
584,7901,1016,0
585,7902,1016,0
586,7941,1016,0
587,7943,1016,0
593,7898,1333,0
594,7911,1334,0
595,7893,1335,0
596,7940,1336,0
597,8076,1016,0
598,8077,1016,0
599,8078,1016,0
600,8079,1016,0
601,8080,1016,0
603,7836,1355,0
604,7833,1355,0
605,7834,1355,0
606,7835,1355,0
607,7837,1355,0
608,7838,1355,0
609,7839,1355,0
610,7840,1355,0
611,8063,1362,0
612,8064,1363,0
614,8149,1386,0
616,8150,1387,0
618,8152,1388,0
632,8183,1441,0
