ID,Description_lang,Type,Amount,ObjectID,OrderIndex,Flags,StorageIndex,QuestID
275701,Evolve,0,50,86560,12,92,4,36860
275704,Explore - Goblin Supplies,0,100,87034,6,92,5,36860
275705,Exlpore - Solar Energy Absorbed,0,50,87036,7,92,6,36860
275706,Explore - Construct Powered Up,0,25,86558,8,92,7,36860
275707,Explore - Sentry Turret Repaired,0,34,86559,9,92,8,36860
275708,Consume - Moss,0,200,87037,10,92,9,36860
275709,Consume - Mushroom,0,200,87038,11,92,10,36860
275929,Sabotage the Siegeworks,15,1,0,0,0,0,36822
275930,Defeat Minus Enemies,0,134,87624,1,92,0,36822
275931,Defeat Tier One Enemies,0,67,87610,2,92,1,36822
275932,Defeat Elite Enemies,0,20,87618,3,92,2,36822
275933,Defeat Rare Elites,0,7,87621,4,92,3,36822
275934,Defeat 5-Man Boss,0,5,84384,5,92,4,36822
275935,Disarm Explosive Slag Mine,0,50,88860,6,92,5,36822
275936,Poison the Kegs,2,25,237343,7,92,6,36822
275937,Destroy Battleplans,2,25,234685,8,92,7,36822
275942,,0,12,82354,1,0,1,34496
275943,Tracking Objective Sack,2,100000,237264,11,92,10,36818
275944,Tracking Objective Chest,2,100000,237263,12,92,11,36818
275945,Tracking interact Chest,2,100000,237263,11,92,10,36819
275946,Tracking interact Chest,2,100000,237264,12,92,11,36819
275956,Minus Mobs Killed,0,500,87507,1,92,8,36827
275957,Normal Mobs Killed,0,100,87513,2,92,9,36827
275958,High HP Normal Mobs Killed,0,50,87513,3,92,10,36827
275959,Collect (Minor),3,1000,87383,4,92,11,36827
275961,Elite Killed,0,25,87512,5,92,13,36827
275962,Miniboss/Event Killed,0,7,87511,6,92,14,36827
275963,5man Boss Killed,0,5,87742,7,92,0,36827
275964,Minus Mobs Killed,0,500,87507,1,92,8,36826
275965,Normal Mobs Killed,0,100,87513,2,92,9,36826
275966,High HP Normal Mobs Killed,0,50,87514,3,92,10,36826
275967,Collect (Minor),3,1000,87383,4,92,11,36826
275969,Elite Killed,0,25,87512,5,92,13,36826
275970,Miniboss/Event Killed,0,7,87511,6,92,14,36826
275971,5man Boss Killed,0,5,87742,7,92,15,36826
275992,Sha'tari Belongings,0,34,84997,10,92,11,36338
276020,Arakkoa Forces Thwarted,0,100,84010,1,92,0,36069
276021,Arakkoa Forces Thwarted,0,100,84010,1,92,0,36070
276028,Destroy Trophy,0,25,88116,6,92,5,36817
276029,Destroy Trophy,0,25,88116,6,92,5,36816
276059,Everbloom Wilds Assaulted,15,1,0,0,0,0,36814
276060,Kill Shapers,0,100,88174,2,92,0,36814
276061,Kill Shapers,0,20,88175,3,92,1,36814
276062,Kill Shapers,0,5,88176,4,92,2,36814
276081,Botani Baskets,2,100,237599,5,92,3,36814
276082,Consume: Amorphic Cognitor,0,100000,88256,5,92,11,36860
276083,Kills Made While Evolved,0,20,88260,13,92,12,36860
276084,Kill Shapers,0,400,88278,1,92,4,36814
276089,Ogre Cage Tracker,2,100000,237669,6,92,3,36820
276101,Kill Normal Dudes,0,100,87370,2,92,0,36809
276102,Kill Lieutenant Dudes,0,34,87372,3,92,1,36809
276103,Kill Boss Dudes,0,5,87377,4,92,2,36809
276104,Defeat Bonus Lieutenant,0,34,87373,5,92,3,36809
276105,Burn Sargerei Missives,0,67,87364,6,92,4,36809
276106,Free Everburning Citizen,0,34,86869,7,92,5,36809
276107,Free Shadow Prison Citizen,0,25,86599,8,92,6,36809
276108,Demonic Codex,0,34,88407,9,92,7,36809
276109,Demonic Codex,0,34,88407,9,92,1,36807
276110,Battle Plans,0,50,88405,10,92,8,36809
276111,Battle Plans,0,50,88405,10,92,8,36807
276121,Snarlpaw saberon slain,0,15,88511,1,0,0,37280
276122,Boneseer Cold-Eye,0,1,88361,2,0,1,37280
276156,Sabotage the Siegeworks,15,1,0,0,0,0,36823
276157,Defeat Minus Enemies,0,134,87624,1,92,0,36823
276158,Defeat Tier One Enemies,0,67,87610,2,92,1,36823
276159,Defeat Elite Enemies,0,20,87618,3,92,2,36823
276160,Defeat 5-Man Boss,0,5,84384,5,92,3,36823
276161,Disarm Explosive Slag Mine,0,50,88860,6,92,4,36823
276162,Poison the Kegs,2,25,237343,7,92,5,36823
276163,Destroy Battleplans,2,25,234685,8,92,6,36823
276166,Everbloom Wilds Assaulted,15,1,0,0,0,0,36815
276167,Kill Shapers,0,400,88278,1,92,0,36815
276168,Kill Shapers,0,100,88174,2,92,1,36815
276169,Kill Shapers,0,20,88175,3,92,2,36815
276170,Kill Shapers,0,5,88176,4,92,3,36815
276171,Botani Baskets,2,100,237599,5,92,4,36815
276180,,0,6,80072,1,0,0,37421
276181,Goren slain,0,8,80013,0,0,1,37421
276183,,0,6,79335,0,0,1,37422
276184,,0,1,79333,1,0,0,37422
276249,Frightened spirits released,0,6,88819,0,0,2,37280
276283,Flamethrowers,3,100000,88829,6,92,8,36815
276284,Flamethrowers,3,100000,88829,6,92,5,36814
276285,Defeat Rare Elites,0,7,87621,4,92,9,36823
276298,Defend against the Hatecoil,15,1,0,0,0,0,37466
276301,Mandragora Seeds,2,100,238906,7,92,9,36815
276302,Mandragora Seeds,2,100,238906,7,92,6,36814
276328,Release the Slaves,0,25,88931,7,92,5,36820
276329,Release the Slaves,0,25,88931,7,92,5,36821
276337,,0,1000,88960,2,92,1,36069
276338,,0,1000,88960,2,92,1,36070
276343,Ogre Cage Tracking,2,100000,237669,6,92,3,36821
276374,,0,4,83990,3,92,2,36070
276376,,0,25,83975,4,92,4,36070
276379,,0,25,83980,5,92,7,36070
276380,,0,25,83983,6,92,8,36070
276382,,0,34,83976,7,92,10,36070
276385,,0,34,83982,8,92,13,36070
276386,,0,9,83984,9,92,14,36070
276391,,3,100000,89076,10,92,15,36070
276392,,2,100000,233824,11,92,16,36070
276393,,2,100000,233791,12,92,17,36070
276394,,2,100000,233803,13,92,18,36070
276395,,2,100000,233805,14,92,19,36070
276396,,0,4,83990,3,92,2,36069
276398,,0,25,83975,4,92,4,36069
276401,,0,25,83980,5,92,7,36069
276402,,0,25,83983,6,92,8,36069
276404,,0,34,83976,7,92,10,36069
276407,,0,34,83982,8,92,13,36069
276408,,0,34,83984,9,92,14,36069
276409,,2,100000,233791,10,92,15,36069
276410,,2,100000,233803,11,92,16,36069
276411,,2,100000,233805,12,92,17,36069
276412,,3,100000,89076,13,92,18,36069
276413,,2,100000,233824,14,92,19,36069
276441,,0,200,89095,14,92,13,36860
276443,Interact - Focusing Crystal,3,100000,86320,8,92,6,36490
276444,Interact - Ritual Stone 2b,3,100000,85594,9,92,8,36490
276445,Interact - Ritual Stone 3b,3,100000,85596,10,92,9,36490
276446,Interact - Ritual Stone 4b,3,100000,85597,11,92,10,36490
276447,Interact - Shadowmoon Sundries 01,3,100000,85976,12,92,11,36490
276448,Interact - Shadowmoon Sundries 02,3,100000,85977,13,92,12,36490
276449,Interact - Focusing Crystal,3,100000,86320,8,92,6,36491
276450,Interact - Ritual Stone 2b,3,100000,85594,9,92,8,36491
276451,Interact - Ritual Stone 3b,3,100000,85596,10,92,9,36491
276452,Interact - Ritual Stone 4b,3,100000,85597,11,92,10,36491
276453,Interact - Shadowmoon Sundries 01,3,100000,85976,12,92,11,36491
276454,Interact - Shadowmoon Sundries 02,3,100000,85977,13,92,12,36491
276455,Kill - Void Totem,0,100000,85452,14,92,13,36490
276456,Kill - Void Totem,0,100000,85452,14,92,13,36491
276458,,2,100000,236637,15,92,15,36860
276459,,2,100000,237031,16,92,16,36860
276460,,2,100000,236636,17,92,17,36860
276461,,2,100000,237029,18,92,18,36860
276469,Obtain Artifact Fragments,17,100,944,1,92,0,36868
276470,Obtain Artifact Fragments,17,100,944,1,92,0,36869
276489,Obtain Artifact Fragments,15,1,0,0,0,0,36869
276490,Obtain Artifact Fragments,15,1,0,0,0,0,36868
276491,Sabotage the Siegeworks,15,1,0,0,0,0,37585
276492,Defeat Minus Enemies,0,134,87624,1,92,0,37585
276493,Defeat Tier One Enemies,0,67,87610,2,92,1,37585
276494,Defeat Elite Enemies,0,20,87618,3,92,2,37585
276495,Defeat Rare Elites,0,7,87621,4,92,3,37585
276496,Defeat 5-Man Boss,0,5,84384,5,92,4,37585
276497,Disarm Explosive Slag Mine,0,50,88860,6,92,5,37585
276498,Poison the Kegs,2,25,237343,7,92,6,37585
276499,Destroy Battleplans,2,25,234685,8,92,7,37585
276524,Sabotage the Siegeworks,15,1,0,0,0,0,37622
276525,Defeat Minus Enemies,0,134,87624,1,92,0,37622
276526,Defeat Tier One Enemies,0,67,87610,2,92,1,37622
276527,Defeat Elite Enemies,0,20,87618,3,92,2,37622
276528,Defeat Rare Elites,0,7,87621,4,92,9,37622
276529,Defeat 5-Man Boss,0,5,84384,5,92,3,37622
276530,Disarm Explosive Slag Mine,0,50,88860,6,92,4,37622
276531,Poison the Kegs,2,25,237343,7,92,5,37622
276532,Destroy Battleplans,2,25,234685,8,92,6,37622
276535,Bloodmaul Stronghold Assaulted,15,1,0,0,0,0,37623
276536,Slay Minus Mobs,0,250,85260,1,92,0,37623
276537,Slay Normal Mobs,0,50,85261,2,92,1,37623
276538,Collect/Interact (Minor),0,25,85265,3,92,2,37623
276539,Slay High HP Mobs,0,17,82531,4,92,4,37623
276540,Slay Elite Mobs,0,9,85262,5,92,6,37623
276541,Slay Rare Elites/Events/Minibosses,0,4,85263,6,92,7,37623
276542,Bloodmaul Stronghold Assaulted,15,1,0,0,0,0,37624
276543,Slay Minus Mobs,0,250,85260,1,92,0,37624
276544,Slay Normal Mobs,0,50,85261,2,92,1,37624
276545,Collect/Interact (Minor),0,25,85265,3,92,2,37624
276546,Slay High HP Mobs,0,17,82531,4,92,4,37624
276547,Slay Elite Mobs,0,9,85262,5,92,6,37624
276548,Slay Rare Elites/Events/Minibosses,0,4,85263,6,92,7,37624
276549,Magnarok Assaulted,15,1,0,0,0,0,37625
276550,Minus Mobs Killed,0,500,87507,1,92,8,37625
276551,Normal Mobs Killed,0,100,87513,2,92,9,37625
276552,High HP Normal Mobs Killed,0,50,87514,3,92,10,37625
276553,Collect (Minor),3,1000,87383,4,92,11,37625
276554,Elite Killed,0,25,87512,5,92,13,37625
276555,Miniboss/Event Killed,0,7,87511,6,92,14,37625
276556,5man Boss Killed,0,5,87742,7,92,15,37625
276558,Magnarok Assaulted,15,1,0,0,0,0,37626
276559,Minus Mobs Killed,0,500,87507,1,92,8,37626
276560,Normal Mobs Killed,0,100,87513,2,92,9,37626
276561,High HP Normal Mobs Killed,0,50,87513,3,92,10,37626
276562,Collect (Minor),3,1000,87383,4,92,11,37626
276563,Elite Killed,0,25,87512,5,92,13,37626
276564,Miniboss/Event Killed,0,7,87511,6,92,14,37626
276565,5man Boss Killed,0,5,87742,7,92,0,37626
276567,Exploit the conflict at the Broken Precipice,15,1,0,0,0,0,37627
276568,Defeat Minus Enemies,0,100,87640,1,92,0,37627
276569,Defeat Tier 1 Enemies,0,25,87642,2,92,1,37627
276570,Defeat - Elite,0,13,87644,3,92,2,37627
276571,Defeat - Rare Elite,0,7,87645,4,92,7,37627
276572,Defeat Vignette,0,6,87646,5,92,3,37627
276573,Destroy Trophy,0,25,88116,6,92,5,37627
276574,Recover Artifacts,2,100000,237453,7,92,4,37627
276575,Exploit the conflict at the Broken Precipice,15,1,0,0,0,0,37628
276576,Defeat Minus Enemies,0,100,87640,1,92,0,37628
276577,Defeat Tier 1 Enemies,0,25,87642,2,92,1,37628
276578,Defeat - Elite,0,13,87644,3,92,2,37628
276579,Defeat - Rare Elite,0,7,87645,4,92,7,37628
276580,Defeat Vignette,0,6,87646,5,92,3,37628
276581,Destroy Trophy,0,25,88116,6,92,5,37628
276582,Recover Artifacts,2,100000,237453,7,92,4,37628
276583,Disrupt the Warsong,15,1,0,0,0,0,37629
276584,Defeat Minus Enemies,0,100,86955,1,92,0,37629
276585,Defeat Tier 1 Enemies,0,34,86957,2,92,1,37629
276586,Defeat - Elite,0,13,86958,3,92,2,37629
276587,Defeat Rare Elites,0,7,87574,4,92,3,37629
276588,Defeat - 5-man Miniboss,0,5,86960,5,92,4,37629
