ID,AnimKitBoneSetID,AnimKitPriorityID,ParentAnimKitConfigID
646,0,247,755
647,0,249,756
648,4,249,757
649,0,241,758
650,0,248,759
680,3,249,774
681,2,249,774
726,1,242,801
733,10,248,804
734,11,248,805
735,12,248,806
736,13,248,807
737,14,248,808
738,15,248,809
739,16,248,810
740,17,248,811
741,6,241,812
746,0,244,815
747,0,244,816
757,0,248,822
764,0,242,827
765,1,243,827
766,2,246,828
767,2,242,829
769,2,241,831
770,4,241,831
785,0,243,837
786,1,246,837
791,4,263,183
792,4,163,184
793,9,245,840
798,3,244,843
799,4,244,844
809,2,249,848
810,4,249,848
811,0,243,849
812,1,249,849
813,3,243,849
822,0,244,852
823,1,243,852
873,0,271,884
874,1,272,884
889,0,274,893
890,1,273,893
891,0,273,894
892,0,275,895
893,1,276,895
901,1,273,900
902,0,277,901
903,1,278,901
919,7,249,911
920,8,249,911
935,5,241,920
943,1,65,925
945,0,243,925
1025,0,246,972
1026,1,248,972
1034,2,247,977
1035,3,247,978
1036,2,243,979
1037,3,243,980
1039,0,241,981
1040,8,242,982
1041,2,245,983
1056,0,279,992
1057,1,280,992
1100,0,245,1017
1109,0,243,1022
1110,1,246,1022
1128,8,247,1033
1129,0,83,1034
1265,2,276,1116
1266,2,268,1117
1304,1,68,1017
1327,3,249,1159
1328,4,249,1159
1330,1,247,1159
1385,1,269,1189
1386,0,265,1189
1408,2,241,1202
1409,3,241,1203
1410,0,280,1204
1411,0,281,1205
1419,0,279,1210
1420,1,280,1210
1456,4,242,1231
1471,0,247,1240
1472,0,241,1241
1473,0,242,1242
1481,2,249,1247
1489,0,247,1252
1490,0,243,1253
1491,0,82,1254
1499,0,246,1259
1500,9,249,1260
1508,6,248,1265
1509,5,248,1265
1510,4,248,1265
1651,7,247,1388
1652,8,247,1388
1653,2,249,1389
1654,3,243,1390
1656,0,243,1392
1657,1,247,1392
1658,0,245,1393
1659,1,242,1393
1660,0,278,1394
1661,3,248,1395
1662,2,248,1395
1663,3,248,1396
1664,1,247,1397
1665,1,241,1398
1669,5,248,1400
1670,1,249,1400
1672,3,242,1401
1673,2,242,1401
1674,3,245,1402
1675,2,245,1402
1678,0,269,1404
1679,0,269,1405
1680,0,269,1406
1681,0,269,1407
1682,1,248,1408
1684,0,249,1409
1685,2,241,1410
1686,3,241,1410
1687,4,241,1410
1688,19,249,1411
1693,22,248,1414
1694,23,248,1414
1695,24,248,1414
1696,25,248,1414
1697,26,248,1414
1698,27,248,1414
1704,5,249,1415
1705,4,249,1415
1706,0,243,1416
1707,1,248,1416
1708,7,243,1417
1709,0,243,1418
1710,1,242,1418
1711,0,242,1419
1712,1,246,1419
1713,0,242,1420
1714,1,241,1420
1715,0,248,1421
1716,0,241,1422
1717,1,246,1422
1718,0,83,1423
1719,0,248,1424
1723,3,249,1427
1724,2,249,1427
1725,4,249,1427
1726,2,249,1428
1727,4,249,1428
1731,4,249,1432
1732,18,249,1433
1734,28,249,1435
1737,29,249,1435
1738,5,241,1436
1739,4,241,1436
1742,28,249,1438
1743,29,249,1439
1744,3,246,1440
1745,2,246,1440
1748,0,274,1443
1749,1,273,1443
1750,18,249,1444
1751,19,249,1444
1753,4,2,1446
1754,1,243,1446
1755,0,247,1446
1757,3,248,1448
1758,4,248,1448
1759,1,247,1448
1762,5,243,1450
1763,4,243,1450
1764,4,241,1451
1765,1,241,1451
1766,1,245,1452
1767,4,246,1453
1770,0,247,1455
