ID,HouseDecorID,DecorSubcategoryID
412,1436,1
413,1437,18
414,1438,3
415,1439,9
417,1440,16
420,1443,5
421,1445,14
422,1451,12
423,1452,12
424,1453,12
425,1454,12
426,1455,12
427,1456,12
428,1457,1
441,485,9
442,486,9
444,675,11
445,720,11
446,721,15
447,722,15
448,723,15
449,724,15
450,725,15
451,837,6
452,839,6
453,839,11
454,861,6
455,864,1
456,1171,6
460,1169,5
461,1172,1
462,1175,6
465,1183,12
466,1185,11
468,1187,5
472,1189,19
476,1191,16
477,1192,1
478,1193,1
479,1194,10
480,1196,11
482,1434,6
483,1197,6
484,1199,17
485,1200,17
486,1201,5
487,1205,2
488,1216,16
489,1217,5
490,1218,9
491,1219,6
494,1261,21
495,1262,10
496,1263,10
497,1264,6
498,1265,6
499,1266,9
500,1271,9
501,1272,16
502,1283,12
503,1284,12
504,1287,16
505,1288,18
506,1293,11
507,1309,13
508,1310,12
509,1311,12
510,1312,10
511,1313,10
512,1314,13
513,1315,6
514,1317,13
515,1321,2
516,1322,6
517,1323,17
518,1324,12
519,1351,10
520,1352,1
521,1353,5
522,1355,12
523,1405,10
524,1406,5
525,1407,5
526,1408,5
527,1409,6
529,1411,6
530,1412,15
531,1413,1
533,1444,1
534,1446,1
535,1447,1
536,1448,1
537,1449,1
538,1450,1
540,1458,9
545,1459,18
546,1460,18
547,1461,18
548,1462,18
549,1463,18
550,1464,1
551,1465,1
552,1466,1
553,1481,34
554,1418,6
555,1416,15
556,1416,6
557,1414,1
558,489,34
559,490,34
560,491,34
638,1692,6
639,1693,6
640,1695,13
641,1694,5
644,1697,13
645,1698,1
647,1700,8
648,1701,1
649,1702,1
650,1703,15
652,1723,1
653,1724,16
656,1736,5
657,1737,6
658,1738,1
659,1739,6
666,1844,4
667,1776,4
668,1775,4
669,1774,4
670,1773,4
671,1772,4
672,1771,4
673,1770,4
675,675,7
690,1938,4
691,1943,4
692,1944,4
693,1948,4
694,1950,4
695,1952,4
696,1953,4
697,1954,4
698,1955,4
699,1956,4
700,1957,4
701,1958,4
702,1959,4
703,1960,4
704,1961,4
705,1962,4
706,1963,4
707,1964,4
708,1965,4
709,1966,4
739,1674,11
742,1742,5
743,1745,7
744,1862,9
745,1864,14
746,1865,14
747,1866,14
748,1867,14
749,1993,6
750,1993,5
751,1994,6
752,1999,6
753,2095,6
754,1744,2
757,1795,29
760,1834,1
761,1878,5
762,1888,6
763,1977,1
764,1978,6
765,1987,5
766,1988,1
767,1989,9
768,1991,1
769,1992,5
771,1996,19
772,1997,5
773,2089,5
774,2091,18
775,1747,8
777,1793,15
778,1794,29
779,1796,10
780,1802,9
781,1826,11
782,1830,5
783,1831,6
784,1832,1
786,1861,19
787,1882,10
788,1883,10
789,1884,1
790,1885,5
791,1886,6
792,1887,6
794,1998,11
795,2000,17
796,1741,11
797,1746,8
798,1748,8
799,1749,8
800,1750,8
801,1827,9
802,1828,17
803,1829,9
804,1833,10
805,1835,12
806,1863,9
807,1880,16
809,1881,2
810,1893,29
811,1900,8
812,1990,9
813,2001,17
814,2018,1
817,2087,1
818,1879,5
819,1979,14
820,2088,6
821,2090,1
822,2092,1
823,2093,6
824,2094,14
847,1919,1
848,1920,1
849,1178,9
851,1170,34
852,827,34
919,1161,12
921,1179,11
922,2226,15
923,2228,6
924,2229,6
925,2237,6
926,2238,1
927,2239,18
928,2240,5
929,2241,5
930,2242,5
931,2243,5
932,2246,18
935,2328,13
936,2331,18
937,2333,10
938,2334,10
939,2342,1
940,2384,6
941,2427,10
942,2428,10
943,2429,6
944,2430,6
945,2431,6
946,2432,6
947,2433,1
948,2437,6
949,2446,5
950,2447,6
951,2448,6
952,2452,12
953,2453,2
954,2454,19
955,2465,2
956,2466,5
957,2467,5
958,2468,13
959,2469,13
960,2470,13
961,2471,13
962,2472,13
963,2495,2
964,2496,1
965,2505,25
966,2506,1
967,2511,11
968,2512,11
969,2513,11
970,2514,11
971,2515,12
972,2516,12
973,2517,12
974,2518,12
975,2519,12
976,2520,12
977,2521,12
978,2522,12
979,2523,12
980,2524,12
981,2525,12
982,2526,11
983,2527,12
984,2528,12
985,2529,11
986,2530,11
987,2531,11
988,2532,11
989,2533,11
990,2534,1
991,2538,1
992,2539,1
993,2546,6
994,2547,6
995,2548,1
996,2549,6
997,2550,6
998,2578,5
999,2579,5
1000,2591,13
1001,2592,1
1002,2593,13
1003,2594,13
1004,2595,13
1005,2596,13
1006,3832,5
1007,3833,6
1008,3839,6
1009,3840,6
1010,3840,13
1127,858,11
1128,1252,34
1129,2231,9
1131,2245,9
1132,2323,9
1134,2326,10
1135,2327,18
1136,2329,10
1138,2332,12
1142,2340,18
1143,2341,15
1144,2343,15
1145,2385,10
1146,2434,7
1147,2435,7
1148,2436,9
1149,2438,9
1150,2439,5
1151,2440,5
1152,2441,6
1153,2442,7
1156,2444,5
1157,2445,5
1159,3834,11
1164,858,15
1165,1188,11
1167,1252,9
1168,1482,11
1169,1484,11
1170,1984,18
1171,2227,5
1174,2244,10
1178,2322,11
1180,2323,15
1181,2324,9
1183,2326,9
1185,2330,10
1187,2332,11
1190,2537,34
1192,2542,16
1193,2545,17
1194,3836,11
1195,3836,15
1198,3838,11
1199,3838,15
1200,3868,10
1201,3869,10
1202,3870,11
1203,3871,11
1204,3872,11
1205,3873,22
1206,3873,13
1207,3874,10
1208,3875,1
1209,3876,9
1211,3877,15
1212,3878,14
1216,3892,16
1219,3904,2
1227,4450,22
1228,4450,7
1258,478,15
1266,1446,11
1268,1447,11
1270,1448,11
1272,1450,11
1274,1449,11
1355,493,34
1382,1317,22
1389,1465,11
1395,1444,11
1397,1464,11
1399,1466,11
1401,1919,11
1403,1920,11
1426,855,22
1579,2544,17
1582,3835,34
1583,3891,9
1584,3901,11
1585,3981,9
1586,3982,2
1587,3983,6
1588,3984,1
1589,3985,5
1590,3993,6
1591,3994,9
1592,3995,9
1593,4022,19
1594,4023,10
1617,4036,10
1618,4165,10
1619,4166,10
1620,4811,10
1621,4812,10
1623,4445,9
1624,4843,9
1625,4024,17
1626,4025,1
1627,4026,14
1628,4033,14
1629,4034,14
1630,4027,5
1631,4028,5
1632,4029,5
1633,4030,5
1634,4031,5
1635,4032,5
1636,4035,6
1637,4037,10
1638,4039,6
1639,4040,8
1640,4041,9
1641,4038,16
1642,4042,12
1644,4042,15
1647,4048,34
1648,4157,13
1649,4158,34
1650,4159,5
1651,4160,5
1653,4162,6
1654,4163,6
1655,4164,6
1656,4167,29
1657,4167,11
1658,4168,9
1659,4169,15
1660,4169,34
1661,4170,2
1662,4172,18
1663,4173,11
1664,4174,11
1665,4175,11
1666,4176,11
1667,4177,14
1668,4178,34
1669,4180,12
1670,4181,9
1671,4386,5
1672,4401,6
1673,4402,5
1674,4403,1
1675,4404,1
1676,4405,5
1731,1894,9
1732,4406,34
1733,4407,34
1734,4408,34
1735,4422,34
1736,4423,15
1737,4443,13
1738,4444,11
1739,4444,15
1740,4446,25
1741,4446,29
1742,4446,34
1743,4447,25
1744,4447,29
1745,4447,34
1746,4448,9
1748,4448,34
1749,4449,6
1750,4451,25
1751,4452,25
1752,4453,34
1753,4453,29
1754,4454,25
1755,4455,27
1756,4456,27
1757,4457,27
1758,4458,28
1759,4460,25
1760,4461,27
1761,4462,27
1762,4463,26
1763,4464,26
1765,4466,27
1766,4467,27
1767,4468,29
1768,4469,27
1769,4470,26
1772,4472,27
1773,4473,28
1774,4474,28
1775,4475,25
1776,4476,27
1777,4459,25
1791,4477,34
1792,4478,7
1795,4479,1
1796,4480,1
1797,4481,13
1798,4482,6
1799,4483,9
1800,4485,5
1801,4486,5
1802,4487,9
1803,4488,34
1804,4489,2
1805,4490,34
1806,4560,1
1807,4561,1
1808,4813,34
1809,4815,6
1810,4816,6
1811,4818,34
1812,4818,5
1813,4819,6
1814,4822,28
1815,4823,28
1816,4845,28
1817,4839,12
1818,4841,12
1819,4844,1
1820,5111,6
1821,5113,11
1822,5114,34
1823,5115,19
1824,5116,16
1825,5117,34
1826,5118,34
1828,5119,5
1829,5120,11
1830,5126,9
1831,5127,6
1832,5128,14
1834,5292,9
1836,5525,9
1838,5526,9
1839,5527,12
1841,5529,5
1842,5530,12
1843,5531,34
1844,5532,12
1845,5533,13
1846,5534,12
1847,5555,34
1848,5556,11
1849,5557,6
1850,5558,14
1851,5559,11
1852,5560,5
1853,5575,11
1854,5561,9
1855,5562,6
1875,5342,17
1876,5112,6
1896,4048,15
1899,7686,9
1906,725,11
1908,7688,7
1909,7689,7
1914,7690,11
1923,1246,14
1924,5128,9
1925,1463,11
1935,3874,9
1937,479,34
1938,770,34
1942,485,34
1944,486,34
1950,2385,29
1951,927,26
1952,4447,11
1953,4447,10
1955,4455,26
1956,4464,27
1959,4446,10
1987,3835,11
1989,4474,29
1990,4467,25
1991,4468,26
1992,4468,25
2001,7815,6
2002,7816,11
2003,7817,12
2004,7818,5
2005,7819,11
2006,7820,7
2007,4458,27
2008,4461,25
2009,7821,12
2010,7822,11
2011,7824,11
2025,1893,15
2028,3867,3
2030,7836,5
2034,7837,11
2035,7838,11
2036,7839,11
2037,7840,14
2038,7841,11
2040,7842,17
2041,1801,19
2043,1173,19
2047,7608,19
2055,1792,16
2057,1889,16
2058,1836,16
2059,2338,16
2061,1236,16
2062,7687,16
2063,1725,16
2066,2325,16
2067,3831,16
2073,827,11
2076,3869,16
2077,772,29
2078,7575,16
2079,7873,9
2080,7874,11
2081,7875,11
2084,2086,16
2087,1232,16
2088,5126,11
2093,946,16
2096,7623,16
2097,945,16
2098,5896,16
2112,1740,16
2117,7896,15
2118,1155,6
2121,4178,15
2128,3867,9
2130,8176,9
2131,8178,11
2132,7572,12
2133,7574,11
2134,5878,7
2136,4161,17
2143,3892,10
2148,2536,34
2153,1704,16
2157,5533,6
2161,8185,9
2162,8186,5
2163,8187,5
2164,8188,9
2165,8189,6
2166,8190,11
2167,8191,11
2169,8193,12
2172,1272,6
2174,5888,9
2176,721,11
2177,722,11
2178,723,11
2179,1795,25
2180,3872,18
2181,3872,16
2182,8194,9
2183,1355,15
2187,8195,6
2188,5117,11
2190,4169,11
2191,8196,12
2192,4453,25
2193,4456,25
2194,4465,25
2195,4466,25
2196,4471,25
2197,4473,27
2198,4473,25
2199,4476,25
2207,7620,1
2208,8235,1
2209,7577,6
2210,5562,11
2211,8236,7
2212,8237,14
2213,8238,9
2214,8240,12
2216,8241,17
2232,2441,34
2233,8769,6
2234,8771,1
2237,8785,16
2238,8786,9
2239,8787,18
2262,8810,11
2271,2244,9
2300,7621,34
2317,724,11
2327,7571,11
2328,5525,11
2329,5890,11
2330,5526,11
2331,7609,11
2332,2438,6
2334,484,7
2335,1283,11
2336,1284,11
2338,5898,11
2358,1440,7
2362,81,7
2364,1435,7
2365,3995,11
2366,5118,7
2368,478,7
2370,483,7
2377,80,7
2379,1704,7
2381,1740,7
2383,1880,7
2389,1434,12
2390,1995,6
2393,1880,10
2396,1740,10
2399,1704,10
2402,1440,10
2405,81,10
2408,80,10
2409,1791,9
2413,1435,10
2416,2541,16
2417,8910,18
2420,8911,17
2433,8917,18
2437,484,2
2439,854,2
2440,854,7
2447,922,15
2451,3879,34
2452,3882,34
2453,3889,34
2461,5136,17
2465,947,17
2473,2086,29
2474,2230,16
2475,2339,16
2476,2540,16
2479,3883,18
2480,5528,16
2481,5689,16
2482,7606,7
2484,3884,11
2485,3885,11
2486,3886,11
2487,3887,11
2488,7579,12
2489,8974,29
2490,8975,29
2491,8978,7
2492,8242,16
2493,8192,19
2494,5688,7
2495,8982,1
2496,5851,1
2497,5687,7
2498,7582,7
2499,7583,7
2500,7584,7
2501,7585,7
2502,3893,11
2503,3894,11
2504,3895,11
2505,3896,11
2506,3897,11
2507,3898,11
2508,3900,11
2509,3902,11
2510,3903,11
2511,3905,11
2512,8983,6
2513,8984,6
2515,8985,5
2516,8986,5
2517,2506,7
2534,9035,1
2535,9038,6
2536,9039,5
2537,9040,5
2538,9041,18
2539,9042,6
2540,9043,6
2541,9044,9
2542,9045,19
2543,9046,7
2544,9047,10
2545,9049,12
2546,9050,6
2547,9051,6
2548,9052,2
2549,9053,1
2550,9054,18
2551,9055,9
2554,4422,7
2555,9061,9
2556,9061,10
2557,5855,7
2558,9064,1
2563,9139,9
2564,9140,6
2565,9141,12
2566,9142,17
2567,9143,12
2568,9144,3
2571,987,6
2572,9165,6
2573,9166,10
2574,9167,14
2575,9169,1
2576,9170,7
2577,9176,7
2578,9177,7
2579,9178,1
2580,9179,1
2581,9180,6
2582,9181,2
2583,9182,19
2584,9184,5
2585,9185,16
2586,9186,18
2587,9187,17
2588,9188,10
2589,9236,6
2590,9237,9
2591,9241,15
2592,9240,9
2593,9242,6
2594,9243,6
2595,9244,15
2596,9245,12
2597,9246,6
2598,9247,6
2599,9254,2
2600,9255,6
2601,4484,6
2602,992,6
2612,9261,9
2613,9262,1
2614,9263,1
2615,9264,3
2617,9266,19
2618,9267,19
2619,9268,34
2620,9269,16
2645,9424,6
2646,9425,9
2647,9426,34
2648,9428,16
2649,9429,16
2650,9430,16
2651,9431,11
2652,9432,6
2653,9433,5
2654,9434,34
2655,9435,13
2656,9437,13
2657,9438,9
2674,9474,7
2705,10324,2
2715,10334,15
2716,10336,15
2717,10335,15
2718,10337,15
2719,10338,15
2726,10366,12
2727,10366,16
2728,10367,5
2729,10381,15
2735,1216,21
2737,10852,18
2738,10853,17
2739,10854,6
2740,10855,25
2741,10856,25
2742,10857,11
2743,10860,19
2751,4814,19
2752,10887,10
2753,10888,15
2754,10889,19
2755,10890,18
2756,10890,16
2757,10891,18
2758,10891,16
2759,10892,10
2762,10944,1
2763,10946,1
2764,4469,25
2765,10950,2
2766,10952,3
2767,10961,21
2768,10962,12
2769,10962,17
2770,10964,34
2771,10967,3
2772,11127,6
2773,11128,13
2775,11130,2
2776,11131,21
2777,11137,13
2779,11138,11
2780,11139,1
2783,11161,2
2784,11162,16
2785,11163,18
2787,11165,7
2788,11276,9
2789,11278,19
2790,11279,19
2793,11296,21
2794,11305,5
2795,11301,6
2796,11315,15
2798,11319,18
2799,11322,12
2806,11370,34
2807,11376,34
2811,11386,19
2812,11388,12
2813,11432,19
2814,11434,19
2815,11435,21
2816,11437,10
2817,984,1
2818,1329,1
2819,1486,5
2820,988,5
2821,1245,14
2822,1350,5
2823,1356,5
2826,5563,11
2827,2474,11
2830,2590,11
2831,2254,11
2832,2254,12
2833,1487,11
2834,1487,12
2835,2458,11
2836,2458,12
2837,989,6
2838,3827,29
2839,11451,34
2840,11454,19
2841,11455,15
2842,11455,12
2845,11480,8
2846,11483,14
2847,11484,21
2848,11486,34
2849,11487,15
2850,11489,21
2851,11490,15
2852,11491,12
2853,11493,34
2854,11494,11
2855,11495,6
2856,11496,18
2857,11497,16
2858,11498,6
2860,11499,17
2861,11501,9
2862,11502,7
2864,11502,21
2865,11503,1
2869,11707,12
2870,7609,51
2871,3867,51
2872,5854,7
2873,5117,51
2874,11718,9
2875,11719,1
2876,11720,6
2877,11721,5
2878,11722,34
2880,11723,11
2881,11724,34
2882,11725,12
2884,7701,51
2885,7701,10
2886,11708,14
2887,11751,11
2888,11752,11
2889,11753,11
2890,11754,12
2891,11755,14
2898,856,15
2899,1828,18
2902,3877,6
2903,3877,13
2905,3880,11
2909,1354,5
2917,3981,1
2931,1177,16
2933,11771,6
2935,11772,6
2939,3890,11
2940,1463,21
2942,1880,11
2947,11773,18
2948,11774,18
2949,11775,18
2950,11776,18
2951,11777,18
2952,11778,1
2953,80,11
2954,81,11
2955,4822,26
2956,4823,26
2957,478,34
2958,480,13
2959,480,34
2961,481,34
2962,482,34
2964,483,34
2965,484,34
2967,493,7
2968,2098,6
2971,1435,11
2973,947,18
2980,1740,11
2981,1440,11
2982,1704,11
2985,1796,4
3060,854,15
3061,11782,19
3062,11783,28
3063,11783,29
3064,11783,26
3065,11784,12
3066,11784,26
3067,11785,25
3068,11786,15
3069,11787,15
3070,11788,25
3071,11789,25
3072,11790,25
3073,11791,25
3074,11792,25
3075,11793,12
3076,3899,11
3077,11794,26
3078,11795,19
3079,11795,26
3080,11796,19
3081,11796,26
3084,3883,21
3088,11803,13
3089,5877,6
3090,5895,7
3093,5881,5
3094,5882,6
3095,3906,11
3096,3907,11
3097,11812,19
3098,4157,15
3099,11814,15
3100,11815,16
3102,11820,12
3103,11822,34
3104,11823,19
3105,11824,12
3106,11825,12
3107,11826,18
3108,4457,25
3109,4829,34
3110,4829,7
3111,4831,34
3112,4831,7
3114,3826,3
3115,8242,21
3116,4462,25
3118,5531,11
3119,5889,12
3120,4407,15
3121,4423,12
3123,7622,15
3124,7624,9
3125,5891,11
3126,5891,12
3127,5893,11
3128,5893,12
3129,5897,12
3133,5561,34
3134,4477,11
3135,4406,15
3136,4408,15
3138,7658,15
3139,11869,10
3140,11870,16
3141,11871,13
3142,11872,13
3143,4833,34
3144,4833,7
3145,4833,16
3146,4833,21
3147,1153,1
3148,1163,6
3149,1165,1
3150,11873,6
3151,11878,12
3152,11879,34
3153,11880,34
3154,11881,34
3155,11882,34
3156,11884,34
3157,11885,34
3158,11886,5
3159,11888,17
3160,11889,21
3161,11890,12
3162,11891,1
3163,11892,34
3165,11893,34
3166,11438,5
3167,11894,12
3168,11896,18
3170,11897,6
3171,11898,34
3172,11899,5
3174,11900,11
3175,11901,6
3176,11377,34
3177,11433,11
3178,11902,11
3179,11903,1
3180,8192,21
3184,5894,19
3185,11905,6
3186,11906,9
3187,11907,6
3188,11908,15
3189,11909,11
3190,7576,11
3191,5527,6
3193,5555,5
3194,5879,5
3197,11914,6
3198,11915,9
3199,11916,10
3200,11918,16
3201,11919,6
3203,11921,34
3204,11922,29
3205,11923,5
3206,11924,6
3207,11925,6
3209,4158,15
3210,11928,34
3211,4167,26
3212,11930,1
3213,11931,19
3214,11932,34
3215,11933,9
3216,11934,9
3217,1488,8
3218,5292,11
3219,9471,5
3220,4845,26
3221,7623,21
3222,11935,10
3230,11941,12
3231,11942,10
3232,11944,11
3233,11946,11
3234,11947,11
3235,11948,9
3236,11950,16
3237,11951,10
3238,11952,9
3239,11953,9
3241,11797,34
3243,11927,6
3244,11928,6
3267,12161,11
3268,12162,34
3269,12163,34
3270,12165,11
3271,2104,4
3272,2105,4
3273,2106,4
3274,2107,4
3275,2108,4
3276,2117,4
3286,12195,9
3287,12196,9
3288,12197,9
3289,12198,9
3290,12199,7
3291,12201,11
3292,12200,11
3293,12202,11
3294,12203,11
3295,12204,5
3296,12208,15
3297,2099,4
3298,2100,4
3299,2101,4
3300,2102,4
3301,2103,4
3302,2109,4
3303,2110,4
3304,2113,4
3305,2114,4
3306,2115,4
3307,2116,4
3308,2118,4
3309,12209,11
3310,12210,8
3311,12211,9
3312,12212,9
3318,12217,9
3319,12218,9
3321,994,6
3322,11488,12
3323,12220,9
3338,12263,15
3341,9152,12
3342,9149,12
3343,9150,12
3344,9151,12
3355,14359,34
3356,14360,7
3357,14379,15
3358,14380,9
3359,14381,15
3360,986,1
3362,991,1
3363,12189,25
3364,12190,25
3365,14330,6
3366,14461,9
3368,4562,6
3369,9057,10
3370,14553,18
3389,14615,5
3411,14644,10
3412,1188,5
3413,14676,16
3417,14730,19
3418,14731,1
3430,14814,6
3431,14816,16
3452,14813,28
3453,14812,28
3455,11280,11
3458,9056,16
3568,15453,14
3569,15454,14
3570,15454,34
3574,15477,34
3653,12194,14
3654,12193,14
3655,15605,7
3656,12453,15
3667,15740,1
3668,15741,34
3669,15742,1
3693,15595,34
3694,14814,13
3695,14644,25
3697,11920,11
3698,11922,25
3699,11918,29
3701,11902,5
3702,11889,16
3703,11883,7
3704,11373,11
3705,11372,11
3707,11371,5
3712,7835,34
3713,7835,10
3719,11904,34
3728,1191,34
3730,3837,16
3733,2543,34
3735,2535,12
3736,11440,11
3737,11913,11
3738,5898,29
3739,11384,13
3740,16012,3
3741,16014,12
3756,11482,14
3757,11481,14
3758,11479,14
3759,11461,14
3764,16083,21
3765,16084,12
3767,16085,12
3768,16087,19
3769,16087,17
3770,16088,12
3771,16089,34
3772,16091,1
3777,11164,16
3784,16219,11
3785,16220,11
3786,16221,11
3798,12247,14
3800,16754,14
3830,12253,15
3831,12254,15
3832,12256,15
3833,12257,15
3834,12258,15
3835,12259,15
3836,12261,15
3837,12262,15
3838,12250,15
3839,12252,15
3840,12251,15
3841,12255,15
3843,16090,15
3845,14815,34
3846,12248,6
3847,11895,6
3848,11307,15
3849,5113,10
3850,11283,9
3851,11282,9
3852,11281,9
3866,11943,6
3868,11945,11
3869,11945,14
3871,1698,11
3873,1701,11
3875,1702,11
3876,2590,1
3878,8190,6
3879,7625,16
3880,2337,16
3883,3892,7
3884,1699,1
3885,1699,11
3889,14358,16
3890,8976,10
3891,8977,10
3892,9063,10
3893,9058,10
3894,16082,11
3895,11929,9
3896,8811,9
3897,2443,9
3912,17740,1
