ID,SpellID,Priority,Flags,ClassID,RaceID,ChrSpecID
808,372048,3,9,0,0,1468
809,406732,0,5,0,0,1468
810,372048,2,9,0,0,1467
811,406732,0,5,0,0,1467
813,433874,3,5,0,0,1467
814,115078,0,9,0,0,268
815,119381,0,5,0,0,268
816,233759,0,9,0,0,268
821,388615,5,5,0,0,270
823,115078,4,9,0,0,270
824,115078,3,9,0,0,269
827,48265,0,5,0,0,252
830,42650,6,5,0,0,252
832,48265,0,5,0,0,250
836,439843,0,5,0,0,250
838,383269,0,5,0,0,250
839,207167,4,9,0,0,250
840,108199,0,5,0,0,250
843,22812,1,11,0,0,103
844,99,0,9,0,0,104
845,204066,0,5,0,0,104
849,414658,1,11,0,0,64
850,414658,1,11,0,0,63
851,414658,1,11,0,0,62
852,414660,1,9,0,0,64
855,408,9,5,0,0,259
858,408,9,5,0,0,260
860,408,9,5,0,0,261
861,385627,8,5,0,0,259
862,410126,0,9,0,0,65
865,204018,4,11,0,0,70
866,403876,0,9,0,0,70
877,409293,2,11,0,0,262
878,409293,2,11,0,0,263
879,409293,2,11,0,0,264
880,384352,0,5,0,0,263
883,436358,0,5,0,0,73
885,46968,4,9,0,0,71
890,385060,0,5,0,0,72
898,6262,3,9,0,0,267
899,6262,3,9,0,0,266
900,6262,3,9,0,0,265
901,452930,3,9,0,0,267
902,452930,3,9,0,0,266
903,452930,3,9,0,0,265
904,430014,7,5,0,0,267
905,430014,7,5,0,0,265
908,1237885,0,0,0,86,1449
911,1237885,0,0,0,91,1446
912,196718,2,9,0,0,1480
913,183752,5,5,0,0,1480
915,389813,0,9,0,0,1480
916,1246167,7,5,0,0,1480
917,198589,1,11,0,0,1480
918,1234195,3,9,0,0,1480
919,1217607,0,6,0,0,1480
920,179057,3,9,0,0,577
921,1263824,7,5,0,0,250
922,221562,8,5,0,0,250
923,207167,4,9,0,0,251
924,221562,8,5,0,0,251
925,207167,4,9,0,0,252
926,1233448,7,5,0,0,252
927,221562,8,5,0,0,252
928,205604,4,9,0,0,1480
929,205630,8,9,0,0,577
930,198589,1,11,0,0,581
931,196718,2,9,0,0,581
932,179057,3,9,0,0,581
933,205630,10,5,0,0,581
934,202137,4,9,0,0,581
935,1261867,3,9,0,0,102
936,29166,7,5,0,0,103
937,1261867,4,9,0,0,103
938,1261867,4,9,0,0,105
941,357210,3,5,0,0,1473
942,264735,2,11,0,0,253
943,187650,7,5,0,0,253
944,187650,7,5,0,0,254
945,264735,2,11,0,0,255
946,1250646,0,7,0,0,255
947,1261193,0,5,0,0,255
948,187650,7,5,0,0,255
949,113724,3,9,0,0,62
950,157980,9,5,0,0,62
951,113724,3,9,0,0,63
952,113724,3,9,0,0,64
953,414664,5,9,0,0,63
954,157980,9,5,0,0,63
955,157980,9,5,0,0,64
957,198898,2,9,0,0,269
958,116844,3,9,0,0,270
959,198898,3,9,0,0,270
960,322118,6,5,0,0,270
961,325197,6,7,0,0,270
962,204018,5,11,0,0,65
963,31821,7,5,0,0,65
964,6940,2,11,0,0,70
965,853,8,5,0,0,70
966,8122,4,9,0,0,256
967,472433,5,5,0,0,256
968,194509,6,5,0,0,256
970,8122,4,9,0,0,257
971,194249,5,2,0,0,258
972,45182,3,10,0,0,261
973,45182,3,10,0,0,259
974,45182,3,10,0,0,260
978,355580,4,9,0,0,262
979,355580,4,9,0,0,264
980,355580,4,9,0,0,263
981,1219480,7,6,0,0,262
982,192058,9,5,0,0,262
983,192058,8,5,0,0,263
984,192058,9,5,0,0,264
985,204361,10,7,0,0,262
986,204362,10,7,0,0,262
987,119914,6,5,0,0,266
988,30283,8,5,0,0,265
989,30283,8,5,0,0,266
990,30283,8,5,0,0,267
992,1276467,5,5,0,0,266
993,5246,3,9,0,0,72
994,5246,3,9,0,0,73
995,46968,4,9,0,0,72
996,46968,4,9,0,0,73
997,3411,5,9,0,0,71
998,3411,5,9,0,0,72
999,3411,5,9,0,0,73
1000,227847,7,5,0,0,71
1001,227847,7,5,0,0,72
1003,107570,10,5,0,0,72
1004,107570,10,5,0,0,73
1005,53480,5,9,0,0,253
1006,53480,5,9,0,0,254
1007,53480,5,9,0,0,255
1008,1249625,0,7,0,0,269
