ID,Name,Field_12_0_0_64499_001,Field_9_1_5_39977_001
281,Krasarang Wilds 5.1 - Domination Point: zto - Valor's Edge,0,1
282,Krasarang Wilds 5.1 - Domination Point: zto - The Defiant,0,2
283,Test - Darren's LOD,0,28
284,Krasarang Wilds 5.1 - Domination Point: zto - Burning Ship (zto),0,2
285,Warlock Class - Meet the Masters - Demonology - Shadowmoon Valley,0,42
286,Warlock Class - Meet the Masters - Demonology - Blades Edge,0,25
287,Warlock Class - Meet the Masters - Demonology - Netherstorm,0,51
290,Test - Darren's Transform,0,8
291,Warlock Class - Meet the Masters - Demonology - Reliquary of Souls,0,54
296,Kun-Lai Summit 5.1 - Monkey King Reveal - ZTO,0,35
297,Silvermoon City 5.1: zto - Lor'themar Speech 001,0,31
298,Warlock Class - Black Temple - Xi'ri Speech,0,61
299,Dalaran 5.1: zto - Jaina and Anduin Convo,0,151
300,Kun-Lai Summit 5.1 - Landfall Campaign - Memory Wine Scene - HMC,0,130
301,Warlock - Cataclysm - Scene,0,190
302,VoEB 5.1 - Landfall Campaign - Voice of the Gods - HMC,0,7
303,Krasarang Wilds 5.1: zto - Monkey King Exposition - The Divine Mallet,0,45
304,Kun-Lai Summit 5.1 - Landfall Campaign - Alliance - The Divine Bell - HMC,0,18
305,Warlock - Cataclysm - Scene - Mannoroth's Fury,0,5
309,Kun-Lai Summit 5.1 - Landfall Campaign - Finale - HMC,0,272
310,Krasarang Wilds 5.1 - Landfall Campaign - Alliance Epilogue - HMC,0,50
311,Krasarang Wilds 5.1: zto - Monkey King Exposition - Rebuilding the Mallet,0,10
312,Dalaran 5.1: zto - Dalaran Rebellion - NYI,0,1
313,Quest - Krasarang Wilds 5.1 (What Had To Be Done - Scene) - ZTO,0,52
314,Silvermoon 5.1: zto - One Last Grasp,0,106
315,Legendary 5.1 - Chapter 01 - Tavern Intro - Ally - DGK,0,75
316,Scenario - A Little Patience - Intro - JSB,0,107
317,Darnassus 5.1 - Alliance - Arcane Trail Path (NLC),0,76
318,Silvermoon 5.1: zto - One Last Grasp - Static Actors,0,8
319,Legendary 5.1 - Chapter 01 - Tavern Intro - Horde - DGK,0,77
320,Legendary 5.1 - Chapter 04 - Tavern Finale - Ally - DGK,0,80
321,Legendary 5.1 - Chapter 04 - Tavern Finale - Horde - DGK,0,56
322,Test - Darren's Test Fade Region,0,8
324,Test - Darren's Test State Aura,0,18
325,Test - Darren's Test Interactible Actor,0,70
328,Dynamic Spawner,0,60
329,Test - Darren's Dynamic Spawning,0,149
330,Test - Darren's Interact Listener,0,11
363,Quest - IotTK 5.2: zto - Planting Bombs (Horde),0,17
367,Quest - IotTK 5.2: zto - Planting Bombs (Horde) - Completed,0,13
391,Scenario - Tear Down This Wall - Wallsplosion - JSB,0,71
393,Quest - IotTK 5.2: zto - Planting Bombs (Alliance) - Completed,0,2
397,Quest - IotTK 5.2: zto - Planting Bombs (Alliance),0,2
398,Scenario - Tear Down This Wall - Intro - JSB,0,221
400,Test - Darren's Weapon Swap,0,13
401,IotTK 5.2: zto - Ballista Fire on Horde Camp,0,23
402,Vale of Eternal Blossoms - Lorewalker Story - 5.2 S1: The Zandalari Prophecy - ZTO,0,270
403,Vale of Eternal Blossoms - Lorewalker Story - 5.2 S2: Rumbles of Thunder  - ZTO,0,151
404,Vale of Eternal Blossoms - Lorewalker Story - 5.2 S3: Gods and Monsters  - ZTO,0,178
409,IotTK 5.2: zto - Ballista Fire on Alliance Camp,0,12
410,Legendary 5.2 - Chapter 06 - Secrets Intro - DGK,0,55
412,IotTK 5.2: zto - Ballista Fire on Horde Ships,0,4
413,IotTK 5.2: zto - Ballista Fire on Alliance Ships,0,32
414,Legendary 5.2 - Chapter 09 - Crown of Heaven Finale - DGK,0,142
415,Legendary 5.2 - Chapter 07 - Forge Intro - DGK,0,38
416,Legendary 5.2 - Chapter 09 - Crown Intro - DGK,0,8
417,Legendary 5.2 - Chapter 11 - Thunder King Finale - DGK,0,30
422,Test - Darren's Player Clone,0,40
423,Test - Paul's Test Interactible Actor,0,34
424,Test - Paul's Interact Listener,0,17
426,PetBattle,0,238
427,Libraries,0,20
428,Initialization,0,44
429,Core Event Handling,0,55
430,Scripted Sequences,0,69
431,Object Manager,0,2
432,Dispatcher,0,34
433,Constants,0,14
434,Arena Environment,0,1
435,Debugging,0,2
436,Main Simulation,0,5
439,Frostwind Desert 6.0: zto - Gronn Test,0,101
443,Test 6.0: zto - Effects Test,0,38
444,Test - Darren's Arbitrary Rotation,0,19
445,Test - Darren's Remote Pet Battle Placeholder,0,2
446,Frostwind Desert 6.0: zto - Blood Trail 1,0,31
447,Quest - 5.3 Legendary - Yu'lon Scene - JSB,0,148
448,Frostwind Desert 6.0: zto - Blood Trail 2,0,1
449,Vale of Eternal Blossoms - Lorewalker Cho - 5.3 - S1: Loyalty - ZTO,0,148
450,Vale of Eternal Blossoms - Lorewalker Cho - 5.3 - S2: The Warchief and the Darkness - ZTO,0,90
451,Vale of Eternal Blossoms - Lorewalker Cho - 5.3 - S3: Go to Durotar (zto),0,18
454,Kun-Lai Summit - Emperor Shaohao - 5.3 - Finale (zto),0,180
455,Test - Darren's Play Anim Kit,0,17
456,Vale of Eternal Blossoms 5.3: zto - Taran Zhu and Dezco - UNUSED,0,8
457,Test - Darren's Vehicle Ride,0,241
458,Durotar 5.3: zto - H - Battle of Razor Hill,0,166
462,Northern Barrens 5.3 - Spirit Drum - PRK,0,52
463,Test - Darren's Client Bombing Run,0,196
464,Secrets of Emberdeep - Elaglo Arrives,0,23
465,Durotar 5.3: zto - H - Battle for Sen'jin - Prep,0,50
466,Durotar 5.3: zto - A - Zen'tabra Intro,0,39
467,Legendary 5.3 - Chapter 13 - Celestials Intro - DGK,0,12
470,Frostwind Desert 6.0: zto - Blood Trail 3,0,27
471,Frostwind Desert 6.0: zto - Ga'nar Intro - NOT USED,0,107
475,Test - JLeCraft Visual Kit 01,0,2
476,Garrosh Raid - Siege Engineer - Pipe Transition,0,76
477,Frostwind Desert 6.0: zto - Boulders,0,31
478,Garrosh Raid - Siege Engineer - Pipe Ejection,0,33
479,Test - Darren's Selection,0,22
480,Test - Paul's Swarm Field - PRK,0,156
481,Test - Paul's Squishy Bug Field - PRK,0,150
482,Frostwind Desert 6.0: zto - Interact Meat quest,0,46
483,Test - Paul's Firefly Field - PRK [NOT OPTIMIZED],0,146
484,Test - Paul's Firefly Ball - PRK [OPTIMIZED],0,127
485,Test - Paul's Kicky Rock Field - PRK,0,31
486,Test - Paul's Friendly Wisp - PRK,0,55
487,"Frostwind Desert 6.0: zto - ""Into Exile"" - Prep 1",0,12
488,Test - Paul's Rain of Arrows - PRK,0,60
489,Test - Paul's Spooked Birds - PRK,0,29
490,Test - Paul's Fly Ball - PRK,0,2
491,Frostwind - Waterlord Fly Ball - PRK,0,3
492,Frostwind Desert 6.0: zto - Kolloc Intro,0,23
493,"Frostwind Desert 6.0: zto - ""Across the Dunes"" - Prep 0",0,19
494,Frostwind Desert 6.0: zto - Scorpar Statue Test,0,6
495,Spawner Machine,0,141
496,"Template - Spawner Values (MAKE A COPY, DON'T EDIT)",0,157
497,Garrosh Raid - Siege Engineer - Pipe Rejection,0,32
498,Example Spawner - Squishable Baby Gorillas - PRK,0,20
499,Example Spawner - Cloud of Flying Dogs - PRK,0,52
500,Example Spawner - Troggnado - PRK,0,31
504,Frostwind Desert 6.0: zto - Giant Hunter,0,9
505,Example - Fireflies - PRK,0,2
507,"Frostfire Ridge 6.0: zto - Draka Questline - ""Eaters of the Elements"" - Intro DEPRECATED",0,19
508,Garrosh Raid - Siege Engineer - Pipe Entrance,0,93
509,Garrosh Raid - Siege Engineer - Pipe Exit,0,31
510,Frostfire Ridge 6.0: zto - Giantland Corpses,0,9
511,Frostfire Ridge 6.0: zto - Giantland Corpses v2,0,9
512,"Frostfire Ridge 6.0: zto - Drek'Thar's Plight Questline - ""Fury of Frostfire"" - OnQuestComplete",0,82
513,"Frostfire Ridge 6.0: zto - Draka Questline - ""Eaters of the Elements"" - Wrap Up - DEPRECATED",0,51
514,Shadowmoon - Telescope Explosion - PRK,0,58
516,"Frostfire Ridge 6.0: zto - ""Land of Giants"" - Kill Credit",0,17
517,"Frostfire Ridge 6.0: zto - Drek'Thar's Plight Questline - ""A Child of Fury"" - Intro",0,18
518,Shadowmoon - Iron March Advance - PRK,0,286
519,Legendary 5.4 - Finale - Lorewalker Stage - ZTO,0,429
520,Shadowmoon - Karabor Preparation - PRK,0,42
523,Legendary 5.4 - Chapter 16 - Timeless Intro - DGK,0,18
524,Vale of Eternal Blossoms 5.4: zto - Garrosh Finale,0,302
525,Shadowmoon Valley 6.x - Observatory Telescope - Forelings (HMC),0,13
526,Shadowmoon Valley 6.x - Observatory Telescope - Valley (HMC),0,5
527,Shadowmoon Valley 6.x - Observatory Telescope - Altar (HMC),0,49
528,Shadowmoon Valley 6.x - Observatory Telescope - Iron Horde (HMC),0,5
529,Shadowmoon Valley 6.x - Observatory Telescope - Karabor (HMC),0,5
530,Shadowmoon Valley 6.x - Observatory Telescope - Shadowmoon (HMC),0,10
531,Vale of Eternal Blossoms 5.4: zto - Garrosh Finale - Tree Final Ambience,0,5
532,Shadowmoon Valley 6.x - Observatory Telescope - Observatory (HMC),0,8
533,Generic - Fade to Black Test - ZTO (Persistant),0,5
534,Shadowmoon Valley 6.x - Observatory Telescope - Observatory - Kazdar (HMC),0,44
535,Legendary 5.4 - Finale - Cloak Reveal - Xuen - ZTO,0,24
536,Shadowmoon - Intro - Draenei Attack Tank Package - PRK,0,93
537,Legendary 5.4 - Finale - Cloak Reveal - Nuizhao - ZTO,0,2
538,Legendary 5.4 - Finale - Cloak Reveal - Chiji - ZTO,0,4
539,Legendary 5.4 - Finale - Cloak Reveal - Yulon - ZTO,0,2
540,Shadowmoon - Intro - Draenei Elekk Stampede Package - PRK,0,72
541,Garrosh Raid - Siege Engineer - Wing Intro Scene - Alliance,0,593
542,Shadowmoon - Intro - Draenei Elekk Stampede 01 - PRK,0,6
543,Shadowmoon - Intro - Draenei Elekk Stampede 02 - PRK,0,4
544,Shadowmoon - Intro - Draenei Elekk Stampede 03 - PRK,0,1
545,Shadowmoon - Intro - Draenei Attack Tank 01 - PRK,0,2
546,Shadowmoon - Intro - Draenei Attack Tank 02 - PRK,0,5
547,Shadowmoon - Intro - Draenei Attack Tank 03 - PRK,0,1
548,Shadowmoon - Intro - Simple Plume Explosion Package - PRK,0,20
549,Shadowmoon - Intro - Simple Plume Explosion 01 - PRK,0,2
550,Shadowmoon - Intro - Simple Plume Explosion 02 - PRK,0,1
551,Shadowmoon - Intro - Simple Plume Explosion 03 - PRK,0,2
552,Shadowmoon - Intro - Simple Plume Explosion 04 - PRK,0,1
553,Shadowmoon - Intro - Simple Plume Explosion 05 - PRK,0,1
554,Shadowmoon - Intro - Simple Plume Explosion 06 - PRK,0,1
555,Shadowmoon - Intro - Simple Plume Explosion 07 - PRK,0,2
556,Shadowmoon - Intro - Simple Plume Explosion 08 - PRK,0,2
557,Shadowmoon - Intro - Simple Plume Explosion 09 - PRK,0,1
558,Shadowmoon - Intro - Simple Plume Explosion 10 - PRK,0,1
559,Legendary 5.4 - Finale - Lorewalker Stage - ZTO (Effects Test),0,14
560,Garrosh Raid - Garrosh Encounter - Enter Heart Realm Camera,0,73
561,Garrosh Raid - Garrosh Encounter - Enter Heroic Phase Camera,0,145
562,Garrosh Raid - Siege Engineer - Wing Intro Scene - Horde,0,145
563,Frostfire Ridge 6.0: zto - We Ride For Vengeance - OnQuestAccept ,0,42
564,Garrosh Raid - Corrupted Vale Intro,0,84
565,Frostfire Ridge 6.0: zto - We Ride For Vengeance - Pre-Quest,0,29
567,Quest - Shadowmoon Valley 6.0 (Ominous Portents: Gul'dan Scene) - ELM,0,483
568,Shadowmoon Valley 6.x - Going Undercover - Ner'zhul Event [OLD1] - HMC,0,121
569,Garrosh Raid - Siege Engineer - Pipe Entrance Rejection,0,12
574,Timeless Isle 5.4 - Story Progression - Scene 1 (Saurfang and Thrall Sneak In),0,168
575,Frostfire Ridge 6.0: zto - Leave None Behind - OnQuestAccept,0,24
576,"Quest - Shadowmoon Valley 6.0 (""Shadowmoon Join the Iron Horde"" Scene) - ELM",0,148
577,"Generic - Explosions at nearby points (Points: 6785, Range: 50)",0,18
578,Timeless Isle 5.4 - Story Progression - Scene 2 (Intro to the Compound),0,75
579,Timeless Isle 5.4 - Story Progression - Scene 3 (Garrosh + Kairoz),0,87
580,Timeless Isle 5.4 - Story Progression - Scene 4 (Stormwind Destroyed),0,65
581,Timeless Isle 5.4 - Story Progression - Scene 6 (Soridormi Dies),0,71
582,Timeless Isle 5.4 - Story Progression - Scene 5 (Garrosh + Andy),0,53
583,Garrosh Raid - Siege Engineer - Wing Intro Scene - Horde (copy),0,16
584,Purge of Grommar - Exploding Orc Clusters - PRK,0,41
585,Frostfire Ridge 6.0: zto - Gronn Chains,0,32
586,Frostfire Ridge 6.0: zto - Grotto of the Gronn - OnQuestAccept,0,21
587,Shadowmoon - Finale - Iron March Bombing Run - PRK (OLD - DON'T USE),0,410
588,"Frostfire Ridge 6.0: zto - ""To the Garrison"" - OnQuestAccept",0,19
590,Frostfire Ridge 6.0: zto - Farseer Rock - Goren Corpses - DEPRECATED,0,2
594,"Quest - Frostfire Ridge 6.0 (""The Land of Giants"" - OnAccept Scene) - ZTO",0,7
595,Quest - Gorgrond (Charges Remaining: Client Scene Train A) - ELM,0,46
596,Test - Darren's Attachment,0,42
597,Quest - Gorgrond (Charges Remaining: Client Scene Train C) - ELM,0,15
600,Quest - Gorgrond (Charges Remaining: Client Scene Train B) - ELM,0,18
601,Shadowmoon - Intro - Chronalis Crash - PRK,0,20
602,Shadowmoon - Intro - Air Defense Crystal - PRK,0,93
603,Shadowmoon - Intro - Broken Air Defense Crystal - PRK,0,61
604,Shadowmoon - Intro - Air Defense Crystals - Shared Functions - PRK,0,21
605,Frostfire Ridge 6.0: zto - Drek'Thar's Plight Questline - Capturing a Fury,0,39
606,Shadowmoon - Karabor Intro - Akama Run Back Base - PRK,0,14
607,Shadowmoon - Karabor Intro - Akama Run Back A - PRK,0,3
608,Shadowmoon - Karabor Intro - Akama Run Back B - PRK,0,4
609,Shadowmoon - Karabor Intro - Yoraal Run Back Base - PRK,0,16
610,Shadowmoon - Karabor Intro - Yoraal Run Back A - PRK,0,2
611,Shadowmoon - Karabor Intro - Yoraal Run Back B - PRK,0,2
612,Shadowmoon - Karabor Intro - Taalo Run Back - PRK,0,6
613,Shadowmoon - Karabor Intro - Giral Run Back - PRK,0,5
616,"Frostfire Ridge 6.0: zto - Drek'Thar's Plight - ""Eaters of the Elements"" - OnQuestComplete",0,58
617,"Frostfire Ridge 6.0: zto - Horde Garrison - ""To the Garrison"" - OnQuestComplete",0,121
618,Frostfire Ridge 6.0: zto - Horde Garrison - Orcish Duel Test,0,4
619,Frostfire Ridge 6.0 - Bladespire Fortress Finale - ZTO/GJC,0,1
620,Shadowmoon Valley 6.x - Going Undercover - Ner'zhul Event [OLD2] - HMC,0,192
621,Shadowmoon - Karabor Intro - Velen Run To Staging Area - PRK,0,7
622,Quest - Frostfire Ridge (Pool of Visions: Defeat of the Frostwolf Clan) - ELM,0,404
623,Shadowmoon - Karabor Intro - Siege Break OLD - PRK,0,137
624,Frostfire Ridge 6.0 - Sacked Caravan (GJC/RKS),0,865
625,Shadowmoon - Karabor Intro - Conclusion - PRK,0,172
626,Quest - Frostfire Ridge (Scene - Ogre King) - JSB,0,222
627,Shadowmoon - Intro - Ambient Explosions - PRK,0,85
628,Shadowmoon Valley 6.x - Observatory - Crystal Assignments [OLD] (HMC),0,68
629,zzOld - Gorgrond 6.0: zto - Laughing Skull - Nuke,0,56
634,Gorgrond - Caravan Scenes - Shared Functions - PRK,0,61
635,Gorgrond - Caravan Scenes - Horde Transition A - PRK,0,40
636,Quest - Frostfire Ridge - Client-Side Flavor - JSB,0,62
637,Shadowmoon Valley 6.x - Going Undercover - TEST (HMC),0,26
638,Quest - Frostfire Ridge - Ogre Cyclone - JSB/RKS,0,478
639,Shwayder Test Scene 01,0,24
640,Frostfire Ridge 6.0 - Sacked - Catapults 'n' Clefhoof (RKS),0,143
641,Gorgrond 6.0 - Laughing Skull: zto - Burning Village,0,10
642,Gorgrond 6.0 - Laughing Skull: zto - Table Flip,0,89
643,Frostfire Ridge - 6.0 - Sacked - Ogre Drag (RKS),0,75
644,Shadowmoon - Intro - Looming Army - PRK,0,84
645,zzOld - Gorgrond 6.0: zto - Frostwolves in Laughing Skull - NOT USED,0,48
646,Marcio's Hover Scene,0,93
647,Shadowmoon Dungeon - Floating Dudes (Purple) - CRT,0,1134
648,Shadowmoon - Karabor Intro - Prop Explosions - PRK,0,54
650,"Gorgrond 6.0: zto - Blackrock Outpost - ""They Love Iron"" - Kaz's Disturbing Crate (Iron Blaster) ",0,70
651,Area - Gorgrond (Bastion Rise: Nuke Bastion Rise) - ELM,0,60
652,6.0 Ogre Mines - Crushto Brawbridge - SLG,0,101
653,Area - Gorgrond (Bastion Rise: Fires) - ELM,0,13
654,Shadowmoon Dungeon - Floating Dudes (Blue) - CRT,0,89
655,6.0 Ogre Mines - Magmolatus Drawbridge - SLG,0,3
656,Quest - Gorgrond (Self Destruction: Nuke the Prototype) - ELM,0,48
657,Gorgrond 6.0: zto - Capping Operation - Gronn Release,0,29
658,Quest - Gorgrond (Self Destruction: Prototype Fires) - ELM,0,5
659,Test - Paul's Squishy Bug Field - PRK (copy),0,1
660,Gorgrond - Caravan Scenes - Alliance Transition A (Bastion Rise -> Ulon) - PRK,0,100
661,Talador - Beach - Ambient Explosions - PRK/RKS [NOT USED],0,6
662,"Gorgrond 6.0: zto - ""Gronn Theft Autocannon"" - Gronn Bomber",0,4
663,Gorgrond 6.0: zto - Capping Operation - Detonation,0,25
664,Gorgrond - Caravan Scenes - Alliance Transition B (Ulon -> Ogre) - PRK,0,2
665,Gorgrond - Caravan Scenes - Alliance Transition C1 (Ogre -> Depot) - PRK,0,2
666,Gorgrond - Caravan Scenes - Alliance Transition C2 (Ogre -> Planteau) - PRK,0,2
667,Gorgrond - Caravan Scenes - Alliance Transition D1 (Planteau -> Depot) - PRK,0,4
668,Gorgrond - Caravan Scenes - Alliance Transition D2 (Depot -> Planteau) - PRK,0,2
669,Gorgrond - Caravan Scenes - Alliance Transition E1 (Depot -> End)  - PRK,0,4
670,Gorgrond - Caravan Scenes - Alliance Transition E2 (Planteau -> End) - PRK,0,1
671,Gorgrond - Caravan Scenes - Horde Transition B - PRK,0,2
672,Gorgrond - Caravan Scenes - Horde Transition C1 - PRK,0,2
673,Gorgrond - Caravan Scenes - Horde Transition C2 - PRK,0,5
674,Gorgrond - Caravan Scenes - Horde Transition D1 - PRK,0,3
675,Gorgrond - Caravan Scenes - Horde Transition D2 - PRK,0,2
676,Gorgrond - Caravan Scenes - Horde Transition E1 - PRK,0,3
677,Gorgrond - Caravan Scenes - Horde Transition E2 - PRK,0,2
681,Talador - Cave - Horde - Orcs Being Kicked from Cave (RKS),0,71
682,Test - Iron Horde War Machines - Scaling - ZTO,0,12
683,Talador - Farm -  Warbringer Trosk Fade to Black - GJC,0,4
684,Frostfire Ridge 6.0: zto - Daggermaw Ravine - Thunderlord Corpse Generator,0,2
685,Shadowmoon Valley 6.x - Rulkan Event - HMC,0,131
686,Test - Darren's Empty Scene,0,3
687,Purge of Grommar - Ner'zhul Event - PRK,0,58
688,Shadowmoon Valley 6.x - Karabor Shield On Event - HMC,0,84
689,Shadowmoon Valley 6.0 - Pale Cave - Initial Trap Fade to Black - GJC,0,2
690,Frostfire Ridge 6.0: zto - Gronn Grotto - Thunderlord Corpse Generator,0,8
691,Shadowmoon - Karabor Intro - Siege Break Revamp - PRK,0,14
692,Shadowmoon Valley 6.x - The Beginning of the End - HMC,0,64
693,Shadowmoon Valley 6.x - The Beginning of the End - Tenemus - HMC,0,16
694,Shadowmoon Valley 6.x - Ner'zhul Ritual - On State (HMC),0,6
695,Frostfire Ridge - Bladespire Fortress - Durotan/Thrall/Igrimar Bridge Crossing (RKS),0,53
696,Frostfire Ridge - Wor'gol - Ga'nar Rolls Out with Homies (RKS),0,22
700,Frostfire Ridge - Prequel - Boat to Wor'gol - Streaming Orcs (RKS),0,16
701,Quest - Gorgrond (Charges Remaining: Train A Fires) - ELM,0,6
702,Quest - Gorgrond (Charges Remaining: Train B Fires) - ELM,0,5
703,Quest - Gorgrond (Charges Remaining: Train C Fires) - ELM,0,3
704,Frostfire Ridge - Prequel - Beach - Ga'nar's Arrival (RKS),0,11
