Name_lang,Description_lang,ID,StoreFrontID,AccountStoreCategoryID,OrderIndex,Price,CurrencyTypesID,Field_11_0_7_57361_008,RefundDuration,Field_11_0_7_57361_010,Field_11_0_7_57361_011,SpellID,TransmogSetID,CreatureDisplayInfoID,UiModelSceneID,Icon
Plunderlord's Fine Rapier,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Fine Rapier appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""For stabbing.""",17,1,4,80,1000,3139,0,14400,1,0,439383,3464,0,0,0
Plunderlord's Silver Cutlass,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Silver Cutlass appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Shines just the right way in the sun when you hold it aloft.""",18,1,4,90,1000,3139,0,14400,1,0,439384,3465,0,0,0
Plunderlord's Gilded Sigil,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Gilded Sigil appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Hold high the staff of the Plunderlord, and raise a crew to plunder!""",19,1,4,100,1000,3139,0,14400,1,0,439382,3463,0,0,0
Plunderlord's Stormridden Neck-Severer,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Neck-Severer appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.",20,1,4,110,1500,3139,0,14400,5,0,0,4157,0,0,0
Plunderlord's Stormridden Rapier,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Rapier appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.",21,1,4,120,1500,3139,0,14400,5,0,0,4158,0,0,0
Plunderlord's Stormridden Cutlass,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Cutlass appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.",22,1,4,130,1500,3139,0,14400,5,0,0,4159,0,0,0
Plunderlord's Stormridden Sigil,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Sigil appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.",23,1,4,140,1500,3139,0,14400,5,0,0,4160,0,0,0
Copper Cannon,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Copper Cannon appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Plundering is easier with a cannon at your side.""",24,1,3,10,250,3139,0,14400,1,0,439393,3472,0,0,0
Marvelous Multi-Shot,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Marvelous Multi-Shot appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Aim away from face.""",25,1,3,20,500,3139,0,14400,1,0,439394,3473,0,0,0
Plunderlord's Hand Cannon,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Hand Cannon appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.|n|n""Smells like gold and gunpowder.""",26,1,3,30,1000,3139,0,14400,1,0,439388,3467,0,0,0
Plunderlord's Stormridden Hand Cannon,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Hand Cannon appearance. To change appearances in Plunderstorm, see Da'kash Grimledger.",27,1,3,40,1500,3139,0,14400,5,0,0,4161,0,0,0
Warm Woolen Cap,"|cFF00ccffThe War Within Appearance|r|n|nUnlocks the Warm Woolen Cap appearance.|n|n""Even the swarthiest pirate gets cold sometimes.""",28,1,7,10,250,3139,0,14400,1,0,439445,3484,0,0,0
Storm Captain's Hat,"|cFF00ccffThe War Within Appearance|r|n|nUnlocks the Storm Captain's Hat appearance.|n|n""A fine hat for the captain in the storm!""",29,1,7,20,250,3139,0,14400,1,0,439446,3483,0,0,0
First Mate's Dashing Cap,"|cFF00ccffThe War Within Appearance|r|n|nUnlocks the First Mate's Dashing Cap appearance.|n|n""Under your cap is a sneaky place to store some extra plunder.""",30,1,7,30,1000,3139,0,14400,5,0,0,4162,0,0,0
First Mate's Dashing Headgear,"|cFF00ccffThe War Within Appearance|r|n|nUnlocks the First Mate's Dashing Headgear appearance.|n|n""A dashing look for dashing up the competetion.""",31,1,7,40,1000,3139,0,14400,5,0,0,4163,0,0,0
Plunderlord's Tricorne of Admiralty,"|cFF00ccffThe War Within Appearance|r
|cFF1eff00Plunderstorm Appearance|r

Unlocks the Plunderlord's Tricorne of Admiralty appearance. Part of the Strapping Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.

""A fine plumed helm made in just the right size for your head.""",32,1,8,10,250,3139,0,14400,1,0,439355,3454,0,0,0
Plunderlord's Stormridden Tricorne,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Tricorne appearance. Part of the Stormridden Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.",33,1,9,10,1000,3139,0,14400,5,0,0,4164,0,0,0
Plunderlord's Old Eye Patch,"|cFF00ccffThe War Within Appearance|r|n|nUnlocks the Plunderlord's Old Eye Patch appearance.|n|n""Put it on straight and you can see level.""",34,1,7,70,2000,3139,0,14400,5,0,0,4165,0,0,0
Plunderlord's Old Hat,"|cFF00ccffThe War Within Appearance|r|n|nUnlocks the Plunderlord's Old Hat appearance.|n|n""Hat's off to the Plunderlord.""",35,1,7,80,2000,3139,0,14400,5,0,0,4166,0,0,0
Plunderlord's Monocle,"|cFF00ccffThe War Within Appearance|r|n|nUnlocks the Plunderlord's Monocle appearance.|n|n""Helps with seeing out of only one eye.""",36,1,7,90,500,3139,0,14400,1,0,443376,3623,0,0,0
Plunderlord's Tassled Spaulders,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Tassled Spaulders appearance. Part of the Strapping Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.",37,1,8,20,250,3139,0,14400,1,0,439380,3462,0,0,0
Plunderlord's Stormridden Spaulders,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Spaulders appearance. Part of the Stormridden Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.",38,1,9,20,1000,3139,0,14400,5,0,0,4167,0,0,0
Weatherproven Drape,"|cFF00ccffThe War Within Appearance|r|n|nUnlocks the Weatherproven Drape appearance.|n|n""It says ""proven,"" not ""proof."" Don't jump in the lake.""",39,1,13,10,250,3139,0,14400,1,0,439456,3476,0,977,0
Skulker's Cloak,"|cFF00ccffThe War Within Appearance|r|n|nUnlocks the Skulker's Cloak appearance.|n|n""Some plunderers prefer to stay in the shadows.""",40,1,13,20,250,3139,0,14400,1,0,439455,3477,0,977,0
Plunderlord's Drapery,"|cFF00ccffThe War Within Appearance|r|n|nUnlocks the Plunderlord's Drapery appearance.|n|n""In matching red and gold, of course.""",41,1,13,30,500,3139,0,14400,1,0,439379,3461,0,977,0
Plunderlord's Stormridden Drapery,|cFF00ccffThe War Within Appearance|r|n|nUnlocks the Plunderlord's Stormridden Drapery appearance.,42,1,13,40,1000,3139,0,14400,5,0,0,4168,0,977,0
Spun Cotton Shirt,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Spun Cotton Shirt appearance.|n|nPart of the Shabby Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances are unlocked.",43,1,5,10,250,3139,0,14400,1,0,439453,3478,0,0,0
Fine Crimson Doublet,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Fine Crimson Doublet appearance. Part of the Snazzy Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.",44,1,6,10,250,3139,0,14400,1,0,439454,3485,0,0,0
Plunderlord's Waistcoat,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Waistcoat appearance. Part of the Strapping Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.|n|n""Nobody looks bad in a waistcoat.""",45,1,8,30,250,3139,0,14400,1,0,439370,3455,0,0,0
Plunderlord's Stormridden Waistcoat,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Waistcoat appearance. Part of the Stormridden Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.",46,1,9,30,1000,3139,0,14400,5,0,0,4169,0,0,0
Plunderlord's Tabard,"|cFF00ccffThe War Within Appearance|r|nUnlocks the Plunderlord's Tabard appearance.|n|n""You've proven you're buccaneer and dear to Captain Keg Leg's heart. Proudly display your loyalty to the crew.""",47,1,10,10,5000,3139,0,14400,1,0,443375,3624,0,0,0
Plunderlord's Cuffs,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Cuffs appearance. Part of the Strapping Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.|n|n""Golden cuffs befitting of the finest of pirates.""",48,1,8,70,250,3139,0,14400,1,0,439375,3458,0,0,0
Plunderlord's Stormridden Cuffs,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Cuffs appearance. Part of the Stormridden Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.",49,1,9,70,250,3139,0,14400,5,0,0,4170,0,0,0
Swabbie's Gloves,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Swabbie's Gloves appearance. Part of the Shabby Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.|n|n""Leather gloves to help you grab the loot.""",50,1,5,30,250,3139,0,14400,1,0,439457,3474,0,0,0
Swindler's Cutouts,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Swindler's Cutouts appearance. Part of the Snazzy Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.|n|n""For those skilled in slight of hand.""",51,1,6,30,250,3139,0,14400,1,0,439458,3475,0,0,0
Plunderlord's Pilferers,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Pilferers appearance. Part of the Strapping Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.|n|n""They're so silky.""",52,1,8,50,250,3139,0,14400,1,0,439377,3459,0,0,0
Plunderlord's Stormridden Pilferers,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Pilferers appearance. Part of the Stormridden Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.",53,1,9,50,250,3139,0,14400,5,0,0,4171,0,0,0
Plunderlord's Golden Cinch,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Golden Cinch appearance. Part of the Strapping Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.|n|n""The large gold skull buckle really brings the outfit together.""",54,1,8,60,250,3139,0,14400,1,0,439373,3457,0,0,0
Plunderlord's Stormridden Cinch,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Cinch appearance. Part of the Stormridden Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.",55,1,9,60,250,3139,0,14400,5,0,0,4172,0,0,0
Handwoven Trousers,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Handwoven Trousers appearance. Part of the Snazzy Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.|n|n""A gift from the captain. They're tailor-made just for you!""",56,1,6,20,250,3139,0,14400,1,0,439452,3480,0,0,0
Quilted Breeches,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Quilted Breeches appearance. Part of the Shabby Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.|n|n""A new pair of pants to cushion your landing.""",57,1,5,20,250,3139,0,14400,1,0,439451,3479,0,0,0
Plunderlord's Fancy Trousers,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Fancy Trousers appearance. Part of the Strapping Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.|n|n""Now you can say that you have the fanciest pants.""",58,1,8,40,250,3139,0,14400,1,0,439378,3460,0,0,0
Plunderlord's Stormridden Trousers,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Trousers appearance. Part of the Stormridden Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.",59,1,9,40,500,3139,0,14400,5,0,0,4173,0,0,0
Silent Leathers,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Silent Leathers appearance. Part of the Snazzy Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.|n|n""Sometimes hiding is the best offense.""",60,1,6,40,250,3139,0,14400,1,0,439450,3482,0,0,0
Surefooted Boots,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Surefooted Boots appearance. Part of the Shabby Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.|n|n""Helps you keep your footing on ship or on land.""",61,1,5,40,250,3139,0,14400,1,0,439448,3481,0,0,0
Plunderlord's Muckscrapers,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Muckscrapers appearance. Part of the Strapping Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.|n|n""You wouldn't want to get muck on them.""",62,1,8,80,250,3139,0,14400,1,0,439372,3456,0,0,0
Plunderlord's Stormridden Muckscrapers,"|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Plunderlord's Stormridden Muckscrapers appearance. Part of the Stormridden Swabbie outfit in Plunderstorm. To change outfits, see Da'kash Grimledger once all appearances in this set are unlocked.",63,1,9,80,250,3139,0,14400,5,0,0,4174,0,0,0
Hooktalon,"|cFF00ccffThe War Within Mount|r

Unlocks the Hooktalon flying mount.

""After just one ride, you'll be hooked!""",64,1,2,50,5000,3139,0,14400,4,0,0,0,123755,80,0
A Tiny Plumed Tricorne,"|cFF00ccffThe War Within Friend|r|n|cFF1eff00Plunderstorm Friend|r|n|nWhen summoned, Pepe will now sometimes be dressed as a Plunderlord. To summon the tiny captain in Plunderstorm, see Da'kash Grimledger.",66,1,14,20,500,3139,0,0,0,0,438055,0,0,0,1044996
Swarthy Warning Sign,"|cFF00ccffThe War Within Toy|r|n|nUnlocks the Swarthy Warning Sign toy.|n|n""Perfect for creating your own pirate hangout.""",67,1,14,10,500,3139,0,14400,0,0,439490,0,0,0,2055032
Plundered Bag of 250 Trader's Tender,|cFF00ccffThe War Within Reward|r|n|nUnlocks 250 Trader's Tender in the Collector's Cache in Stormwind or Orgrimmar.,68,1,15,10,1000,3139,0,0,0,0,437507,0,0,0,975746
Plundered Chest of 500 Trader's Tender,|cFF00ccffThe War Within Reward|r|n|nUnlocks 500 Trader's Tender in the Collector's Cache in Stormwind or Orgrimmar.,69,1,15,20,2000,3139,0,0,0,0,437507,0,0,0,4696085
