ID,OtherTreasureID,ArtisanTreasureID,Field_11_0_0_54464_002,Field_11_0_0_54464_003,Field_11_0_0_54605_004,Duration,MinCommission,MaxCommission,Field_11_0_0_55288_008,PostInterval,Field_11_0_0_55288_010
111,142169,133877,0,1,3,168,250000,400000,1,84,0.05
112,152120,133878,0,1,3,24,250000,400000,2,24,0.05
113,152122,133878,0,1,3,24,250000,400000,2,24,0.05
114,152121,133878,0,1,3,24,250000,400000,2,24,0.05
115,142170,133886,0,1,3,168,250000,400000,1,84,0.05
116,142170,133886,0,1,3,168,250000,400000,3,84,0.05
117,142170,133886,0,1,3,168,250000,400000,1,84,0.05
118,152118,133885,0,1,3,24,250000,400000,2,24,0.05
119,152117,133885,0,1,3,24,250000,400000,2,24,0.05
120,152119,133885,0,1,3,24,250000,400000,2,24,0.05
121,142171,133880,0,1,3,168,250000,400000,1,84,0.05
122,142171,133880,0,1,3,168,250000,400000,1,84,0.05
123,142171,133880,0,1,3,168,250000,400000,1,84,0.05
124,152115,133879,0,1,3,24,250000,400000,2,24,0.05
125,152114,133879,0,1,3,24,250000,400000,2,24,0.05
126,152116,133879,0,1,3,24,250000,400000,2,24,0.05
127,142172,133882,0,1,3,168,250000,400000,3,84,0.05
128,142172,133882,0,1,3,168,250000,400000,1,84,0.05
129,142172,133882,0,1,3,168,250000,400000,1,84,0.05
130,152113,133881,0,1,3,24,250000,400000,2,24,0.05
131,152111,133881,0,1,3,24,250000,400000,2,24,0.05
132,152112,133881,0,1,3,24,250000,400000,2,24,0.05
133,142173,133888,0,1,3,168,250000,400000,3,84,0.05
134,142173,133888,0,1,3,168,250000,400000,3,84,0.05
135,142173,133888,0,1,3,168,250000,400000,3,84,0.05
136,152127,133887,0,1,3,24,250000,400000,2,24,0.05
137,152126,133887,0,1,3,24,250000,400000,2,24,0.05
138,152128,133887,0,1,3,24,250000,400000,2,24,0.05
139,142167,133873,0,1,3,168,250000,400000,1,84,0.001
140,142167,133873,0,1,3,168,250000,400000,1,84,0.001
141,142167,133873,0,1,3,168,250000,400000,1,84,0.001
142,152108,133874,0,1,3,24,250000,400000,1,24,0.001
143,152110,133874,0,1,3,24,250000,400000,1,24,0.001
144,152109,133874,0,1,3,24,250000,400000,1,24,0.001
145,142174,133884,0,1,3,168,250000,400000,1,84,0.05
146,142174,133884,0,1,3,168,250000,400000,3,84,0.05
147,142174,133884,0,1,3,168,250000,400000,1,84,0.05
148,152106,133883,0,1,3,24,250000,400000,2,24,0.05
149,152107,133883,0,1,3,24,250000,400000,2,24,0.05
150,152105,133883,0,1,3,24,250000,400000,2,24,0.05
151,155134,134035,0,1,3,168,300000,450000,2,84,1
152,155141,134040,0,1,3,168,300000,450000,1,84,0.001
153,155135,134045,0,1,3,168,300000,450000,2,84,1
154,155136,134050,0,1,3,168,300000,450000,2,84,1
155,155137,134055,0,1,3,168,300000,450000,2,84,1
156,155138,134060,0,1,3,168,300000,450000,2,84,1
157,155139,134065,0,1,3,168,300000,450000,2,84,1
158,155140,134070,0,1,3,168,300000,450000,2,84,1
159,142174,133991,0,1,3,24,250000,400000,3,12,0.09
160,142167,133979,0,1,3,24,250000,400000,1,12,0.001
161,142173,133993,0,1,3,24,250000,400000,3,12,0.09
162,142172,133990,0,1,3,24,250000,400000,3,12,0.09
163,142171,133989,0,1,3,24,250000,400000,3,24,0.09
164,142170,133992,0,1,3,24,250000,400000,3,12,0.09
165,142169,133988,0,1,3,12,250000,400000,3,24,0.09
166,142168,133987,0,1,3,24,250000,400000,3,12,0.09
