ID,Flags,Saturation,GammaRed,GammaGreen,GammaBlue,MaskOffsetY,MaskSizeMultiplier,MaskPower,ColorMultiplyRed,ColorMultiplyGreen,ColorMultiplyBlue,ColorMultiplyOffsetY,ColorMultiplyMultiplier,ColorMultiplyPower,ColorAdditionRed,ColorAdditionGreen,ColorAdditionBlue,ColorAdditionOffsetY,ColorAdditionMultiplier,ColorAdditionPower,OverlayTextureFileDataID,BlurIntensity,BlurOffsetY,BlurMultiplier,BlurPower,EffectFadeInMs,EffectFadeOutMs,TextureBlendSetID
171,512,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,2,-0.08,13,2,0,0,1144
173,731,2,0,0.023529414,0.49803925,-0.01,2,5,0.39607847,0.29411766,1,0,4,1,0.7607844,0.7372549,0.36862746,0,3,1,4237662,100,-0.05,600,0.25,0,0,1130
174,536,1,0,0.54509807,1,-0.25,3,1,0.31764707,0.7490196,1,0,1,1,0.10588236,0.8235295,1,0,1,1,4421664,2,0,3,0.78,300,300,1161
175,536,1,0,0.54509807,1,-0.25,3,1,0.31764707,0.7490196,1,0,1,1,0.10588236,0.8235295,1,0,1,1,4421664,2,0,3,0.78,300,300,1216
176,704,1,1,1,1,-0.25,1,1,1,1,1,0,1,1,0.6,0.9686275,0.9960785,0,1.3,2,4541185,2,0,1.7,0.78,300,300,1172
178,24,1,0.67058825,1,0.24705884,-0.25,3,1,0.18823531,1,0.08627451,0,1,1,0.14509805,0.6039216,0,0,1,1,1678993,1,0,3,1,500,300,1176
179,536,1,0,0.54509807,1,-0.25,3,1,0.31764707,0.7490196,1,0,1,1,0.10588236,0.8235295,1,0,1,1,4421664,2,0,3,0.78,300,300,1190
180,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,350,350,1191
181,536,1,0,0.54509807,1,3.25,7,1,0.31764707,0.7490196,1,0,1,1,0.10588236,0.98823535,1,0,1,1,2199925,2,0,3,0.78,300,300,1213
182,24,1,0.25490198,0.25490198,0.25490198,0,3,1,0.21176472,0.23137257,0.3137255,0,3.5,1,0.30980393,0.30980393,0.30980393,0,1,1,0,1,0,3,1,300,300,1215
183,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,150,150,1215
184,152,1,0.9960785,0.9960785,0.9960785,0,-1,1,0.20784315,0.63529414,1,0,1.2,1.2,0.20784315,0.63529414,1,0,1,500,4553770,-1,0,1,1,200,300,1233
185,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1234
186,1536,1,1,1,1,0,6,1,1,1,1,0,1,1,1,1,1,0,1,1,1721507,0.5,-0.1,10,1,0,0,1241
188,536,1,1,1,1,-0.25,2,1,0.77647066,0.48235297,0.12156864,0,2,1,1,0.8941177,0.5176471,0,1,1,4529965,2,0,3,0.78,300,300,1303
189,0,1,0.24705884,0.6784314,1,-0.25,0,0,0.6509804,0.48627454,1,0,1,1,0.9607844,0.98823535,1,0,3,3,4741748,0,0,0,1,300,300,1248
190,731,2,0,0.023529414,0.49803925,-0.01,2,5,0.39607847,0.29411766,1,0,4,1,0.7607844,0.7372549,0.36862746,0,3,1,0,100,-0.05,600,0.25,0,0,0
191,512,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,150,150,0
192,512,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,2,-100,1000,2,0,0,1144
195,24,1,0.24705884,0.6784314,1,-0.25,3,1,1,0.21568629,0.08627451,0,1,1,0.6039216,0.14117648,0,0,1,1,4876486,1,0,3,1,500,300,1274
196,0,1,0.17254902,0.25490198,0.3137255,-0.25,0,0.5,0.6509804,0.48627454,1,0,1,1,0.9607844,0.98823535,1,0,3,3,4741748,0,0,0,1,300,300,1248
197,536,1,0.2784314,0.08235294,0.40784317,-0.25,2,1,0.2784314,0.08235294,0.40784317,0,2,1,0.62352943,0.2509804,0.86666673,0,1,1,2958009,2,0,3,0.78,300,300,1301
198,536,1,1,1,1,-0.25,2,1,0.77647066,0.48235297,0.12156864,0,2,1,1,0.8941177,0.5176471,0,1,1,4529965,2,0,3,0.78,300,300,1242
199,536,1,1,1,1,-0.25,2,1,0.67058825,0.44705886,0.14901961,0,3,3,0.6745098,0.5764706,0.4901961,0,1,3,0,1,0,1,0.78,300,300,1303
200,536,1,0.24705884,0.78823537,1,-0.25,3,1,1,0,0.9686275,0,1.1,0.9,0.6039216,0.14117648,0,0,1,1,2735672,1,-600,6,1,0,0,827
201,728,1,1,1,1,-0.25,1,1,0.45882356,1,0.7568628,0,4,5,0,1,0.62352943,0,0.5,1.5,5014097,1,0,1,0.78,300,300,1312
202,536,1,0.64705884,0.08235294,0.5294118,-0.25,2,1,0.12941177,0.70980394,0.27450982,0,2,1,0.1254902,0.7843138,0.41176474,0,1,1,4062306,2,0,3,0.78,300,300,1321
204,536,1,0.6666667,0.6392157,0.6627451,-0.25,2,1,0.6509804,0.654902,0.6509804,0,2,1,0.6666667,0.6666667,0.6666667,0,1,1,4062306,2,0,3,0.78,300,300,1338
205,24,1,0.24705884,1,0.33333334,-0.25,3,1,0.44705886,0.9803922,1,0,1,1,0.227451,0.9058824,0.854902,0,1,1,4505534,1,0,1,1,300,300,1339
206,536,1,0.64705884,0.08235294,0.5294118,-0.25,2,1,0.12941177,0.70980394,0.27450982,0,2,1,0.1254902,0.7843138,0.41176474,0,1,1,4062306,2,0,3,0.78,300,300,1321
207,512,1,1,0,0,0,0.1,0.1,1,1,1,0,1,1,0.2627451,0.2627451,0.2627451,0.5,255,255,5358424,100,0,2,1,2500,0,1360
208,512,1,1,1,1,0,1,1,0.97647065,0.97647065,0.97647065,0,1,1,0.16078432,0.16078432,0.16078432,0,1,1,3308414,100,0,1,1,300,300,1010
209,536,1,1,0.5803922,0,-0.25,2,1,1,0.5803922,0,0,2,1,1,0.5803922,0,0,1,1,5206082,2,0,3,0.78,300,300,1361
210,536,1,1,1,1,-0.25,2,1,1,0.60784316,0,0,3,1,1,0.6117647,0,0,3,1,5636772,2,0,3,0.78,300,300,1369
212,728,1,1,1,1,-0.25,2,2,0.8862746,0.6627451,0.9450981,0,1,2,0.3529412,0.058823533,0.28627452,0,1,1,5737249,1,0,1,0.78,300,300,1390
213,536,1,1,1,1,-0.25,1,2,0.25882354,0.15686275,0.30588236,0,2,4,0.13333334,1,0,0,4,4,5680179,0.2,0,1,0.78,300,300,1391
214,536,1,1,1,1,-0.25,2,2,0.37254903,0.28235295,0.16470589,-0.07,3,3,1,1,1,0,0,0,5726057,0,0,1,0.78,300,300,1392
217,24,1,1,1,1,-0.25,2,1,1,0.60784316,0,0,3,1,1,0.6117647,0,0,3,1,5636772,0,0,1,1,750,750,1369
218,16,1,1,1,1,-0.25,1,1,1,1,1,0,1,1,1,1,1,0,1,1,5857669,0,0,1,5,300,300,1430
219,728,1,1,1,1,-0.25,2,2,0.7254902,0.9450981,0.6627451,0,1,2,0.058823533,0.3529412,0.07058824,0,1,1,5737249,1,0,1,0.78,300,300,1433
220,536,1,1,1,1,-0.25,2,1,1,0.60784316,0,0,3,1,1,0.6117647,0,0,3,1,5636772,2,0,3,0.78,300,300,1470
221,528,1,1,1,1,-0.25,1,1,1,1,1,0,1,1,1,1,1,0,1,1,5857669,6,1,5,10,300,300,1430
222,528,1,1,1,1,-0.25,1,1,1,1,1,0,1,1,1,1,1,0,1,1,5857669,0.1,0,0.1,0.001,300,300,1430
223,715,1,0.9607844,0.9450981,0.38431376,0,4,1,0.87843144,0.83921576,0.9725491,0,10,0.5,0.65882355,0.4784314,0.73333335,0,3,7,5857669,1,0,2,2,1500,1500,1474
224,715,1,0.74509805,0.75294125,0.67058825,0,5,1,0.87843144,0.8000001,0.96470594,0,10,0.5,0.65882355,0.4784314,0.73333335,0,2.7,6,5857669,1,-0.15,5,0.35,1500,1500,1471
225,512,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1000,1000,2,0,0,1144
227,715,1,0.9607844,0.9450981,0.38431376,0,4,1,0.87843144,0.83921576,0.9725491,0,10,0.5,0.65882355,0.4784314,0.73333335,0,3,7,5857669,1,0,2,2,1200,100,1474
