Name_lang,Description_lang,ID,Rarity,SpellID,ResearchBranchID,NumSockets,TextureFileID,RequiredWeight
Zandalari Voodoo Doll,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",77,0,88262,8,0,461842,27
Fetish of Hir'eek,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",87,0,88907,8,0,461842,30
Lizard Foot Charm,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",89,0,88908,8,0,461842,32
Wooden Whistle,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",91,0,88909,1,0,461832,28
Belt Buckle with Anvilmar Crest,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",93,0,88910,1,0,426727,34
Black Trilobite,Fossils are the preserved remains of animals or plants from the ancient past. Typically the living tissues are replaced with minerals that preserve the form of the original organism.,95,0,88929,3,0,426727,31
Beautiful Preserved Fern,Fossils are the preserved remains of animals or plants from the ancient past. Typically the living tissues are replaced with minerals that preserve the form of the original organism.,97,0,88930,3,0,426727,25
Highborne Pyxis,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",99,0,89009,4,0,426727,30
Inlaid Ivory Comb,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",101,0,89012,4,0,426727,30
Scandalous Silk Nightgown,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",103,0,89014,4,0,426727,30
Fossilized Hatchling,"There is something unsual about these tiny raptor bones. The empty eye sockets don't quite seem empty. In fact, are they twinkling with a hint of life?",106,1,89693,3,0,458961,85
Cloak Clasp with Antlers,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",108,0,89696,4,1,426727,35
Jade Asp with Ruby Eyes,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",112,0,89701,8,1,426727,35
Feathered Gold Earring,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",114,0,89711,8,1,426727,34
Moltenfist's Jeweled Goblet,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",118,0,89717,1,1,426727,34
Eerie Smolderthorn Idol,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",120,0,89890,8,1,426727,35
Cinnabar Bijou,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",122,0,89891,8,1,426727,35
Coin from Eldre'Thalas,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",124,0,89893,4,1,426727,35
Shattered Glaive,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",126,0,89894,4,1,426727,35
Twisted Ammonite Shell,Fossils are the preserved remains of animals or plants from the ancient past. Typically the living tissues are replaced with minerals that preserve the form of the original organism.,128,0,89895,3,0,426727,35
Green Dragon Ring,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",130,0,89896,4,1,426727,35
Notched Sword of Tunadil the Redeemer,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",139,0,90410,1,1,426727,35
Bodacious Door Knocker,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",141,0,90411,1,1,426727,35
Boot Heel with Scrollwork,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",143,0,90412,1,1,426727,34
Golden Chamber Pot,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",145,0,90413,1,1,426727,35
Winged Helm of Corehammer,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",147,0,90415,1,1,426727,35
Ironstar's Petrified Shield,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",149,0,90419,1,1,426727,36
Skull-Shaped Planter,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",153,0,90420,8,1,426727,35
Bracelet of Jade and Coins,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",155,0,90421,8,1,426727,35
Gahz'rilla Figurine,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",157,0,90423,8,1,426727,35
Atal'ai Scepter,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",159,0,90429,8,1,426727,35
Devilsaur Tooth,Fossils are the preserved remains of animals or plants from the ancient past. Typically the living tissues are replaced with minerals that preserve the form of the original organism.,161,0,90432,3,0,426727,35
Insect in Amber,Fossils are the preserved remains of animals or plants from the ancient past. Typically the living tissues are replaced with minerals that preserve the form of the original organism.,163,0,90433,3,0,426727,35
Kaldorei Amphora,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",165,0,90451,4,1,426727,35
Ancient Shark Jaws,Fossils are the preserved remains of animals or plants from the ancient past. Typically the living tissues are replaced with minerals that preserve the form of the original organism.,167,0,90452,3,0,426727,35
Hairpin of Silver and Malachite,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",169,0,90453,4,1,426727,35
Delicate Music Box,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",171,0,90458,4,1,426727,35
Highborne Soul Mirror,"While the glass has been shattered into a thousand fragments, the detailed work of the mirror's frame itself convinces you that this artifact was once highly magical, and might still be if every piece could be recovered. It is a large mirror, like a lady might have mounted in her dressing room.",173,1,90464,4,3,458949,100
Druid and Priest Statue Set,"These are the remains of a pair of statues of precious metal. They do not seem carved or molded so much as grown, as if free from an artisan's touch. Both figures are night elves. The priest is apparently male and the druid female, which must carry some significance.",175,1,90493,4,3,458947,100
Dented Shield of Horuz Killcrow,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",177,0,90504,1,1,426727,35
Scorched Staff of Shadow Priest Anund,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",179,0,90506,1,1,426727,35
Scepter of Charlga Razorflank,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",181,0,90509,1,1,426727,35
Mithril Chain of Angerforge,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",183,0,90518,1,1,426727,35
Skull Staff of Shadowforge,"The dwarves of Ironforge were originally composed of three clans: the Bronzebeards, the Wildhammers and the Dark Irons. As the result of a civil war, the Bronzebeards were left in control of the city of Ironforge while the Wildhammers eventually retreated to the Hinterlands and Twilight Highlands. The Dark Iron dwarves came to dwell in between the Redridge Mountains and the Burning Steppes, in the shadow of Blackrock Mountain.",185,0,90519,1,1,426727,35
Clockwork Gnome,You have found a few pieces of a mechanical construct of apparently high technology. It's possible these parts come from one of the mechanognomes of Northrend. Why dwarves would have relocated the parts here is a mystery. You wonder if you could get the gnome working again if you could recover all of its pieces.,187,1,90521,1,3,462648,100
Chalice of the Mountain Kings,You can tell right away that this drinking cup holds far more significance than mere drinking (not that dwarves have any problem with mere drinking). The bit of runes you can make out suggest a ceremonial purpose.,189,1,90553,1,3,458943,100
Tooth with Gold Filling,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",191,0,90558,8,1,426727,35
Drakkari Sacrificial Knife,"The earliest known trolls belonged to the Zandalar tribe, from which all other trolls are descended. The Zandalari were regarded as an overarching priest caste for all trolls and worked tirelessly to record and preserve troll society and traditions. Of the many tribes that split off from the Zandalari, the two most dominant were the Gurubashi and Amani.",193,0,90581,8,1,426727,35
"Zin'rokh, Destroyer of Worlds",It is clear that you have recovered a piece of a very powerful troll weapon. Can it be reforged?,195,1,90608,8,3,458965,150
String of Small Pink Pearls,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",197,0,90609,4,1,426727,35
Chest of Tiny Glass Animals,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",199,0,90610,4,1,426727,34
Cracked Crystal Vial,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",201,0,90611,4,1,426727,35
Scepter of Xavius,"The kaldorei are one of the most ancient races of Azeroth. One of the darkest moments in their history occurred when the quel'dorei, or Highborne - the highest caste of elven nobility - unleashed dangerous magic that brought the Burning Legion into the world and resulted in countless deaths.",203,0,90612,4,1,426727,35
Kaldorei Wind Chimes,"There is something unusual about these bronze tubes. You detect a hint of magic that still resides within. When placed near each other or even within your pack, the fragments of the tubes seem to move closer to each other.",205,1,90614,4,3,458950,98
Queen Azshara's Dressing Gown,The rumors of the Highborne's poor fashion sense seem to be true.,207,1,90616,4,3,458953,100
Feathered Raptor Arm,Fossils are the preserved remains of animals or plants from the ancient past. Typically the living tissues are replaced with minerals that preserve the form of the original organism.,209,0,90617,3,0,426727,33
Vicious Ancient Fish,Fossils are the preserved remains of animals or plants from the ancient past. Typically the living tissues are replaced with minerals that preserve the form of the original organism.,211,0,90618,3,0,426727,35
Fossilized Raptor,"There is something unsual about these raptor bones. Whenever you look away, they seem to move slightly on their own.",213,1,90619,3,0,458945,100
Tiny Bronze Scorpion,"The orcs of Azeroth originally inhabited the world of Draenor, the source of most of these ancient orcish artifacts. At first, orcs were a largely peaceful people, but they turned to outright barbarity under the influence of the Burning Legion. The orcs arrived in Azeroth through the Dark Portal and fought against the Alliance in two wars. Another may be on the horizon.",215,0,90622,6,2,426727,45
Maul of Stone Guard Mur'og,"The orcs of Azeroth originally inhabited the world of Draenor, the source of most of these ancient orcish artifacts. At first, orcs were a largely peaceful people, but they turned to outright barbarity under the influence of the Burning Legion. The orcs arrived in Azeroth through the Dark Portal and fought against the Alliance in two wars. Another may be on the horizon.",217,0,90720,6,2,426727,45
Gray Candle Stub,"The orcs of Azeroth originally inhabited the world of Draenor, the source of most of these ancient orcish artifacts. At first, orcs were a largely peaceful people, but they turned to outright barbarity under the influence of the Burning Legion. The orcs arrived in Azeroth through the Dark Portal and fought against the Alliance in two wars. Another may be on the horizon.",219,0,90728,6,2,426727,45
Rusted Steak Knife,"The orcs of Azeroth originally inhabited the world of Draenor, the source of most of these ancient orcish artifacts. At first, orcs were a largely peaceful people, but they turned to outright barbarity under the influence of the Burning Legion. The orcs arrived in Azeroth through the Dark Portal and fought against the Alliance in two wars. Another may be on the horizon.",221,0,90730,6,2,426727,45
Scepter of Nekros Skullcrusher,"The orcs of Azeroth originally inhabited the world of Draenor, the source of most of these ancient orcish artifacts. At first, orcs were a largely peaceful people, but they turned to outright barbarity under the influence of the Burning Legion. The orcs arrived in Azeroth through the Dark Portal and fought against the Alliance in two wars. Another may be on the horizon.",223,0,90732,6,2,426727,45
Fierce Wolf Figurine,"The orcs of Azeroth originally inhabited the world of Draenor, the source of most of these ancient orcish artifacts. At first, orcs were a largely peaceful people, but they turned to outright barbarity under the influence of the Burning Legion. The orcs arrived in Azeroth through the Dark Portal and fought against the Alliance in two wars. Another may be on the horizon.",225,0,90734,6,2,426727,45
Skull Drinking Cup,"The orcs of Azeroth originally inhabited the world of Draenor, the source of most of these ancient orcish artifacts. At first, orcs were a largely peaceful people, but they turned to outright barbarity under the influence of the Burning Legion. The orcs arrived in Azeroth through the Dark Portal and fought against the Alliance in two wars. Another may be on the horizon.",231,0,90833,6,2,426727,45
Tile of Glazed Clay,"The orcs of Azeroth originally inhabited the world of Draenor, the source of most of these ancient orcish artifacts. At first, orcs were a largely peaceful people, but they turned to outright barbarity under the influence of the Burning Legion. The orcs arrived in Azeroth through the Dark Portal and fought against the Alliance in two wars. Another may be on the horizon.",233,0,90832,6,2,426727,45
Fiendish Whip,"The orcs of Azeroth originally inhabited the world of Draenor, the source of most of these ancient orcish artifacts. At first, orcs were a largely peaceful people, but they turned to outright barbarity under the influence of the Burning Legion. The orcs arrived in Azeroth through the Dark Portal and fought against the Alliance in two wars. Another may be on the horizon.",235,0,90831,6,2,426727,45
Headdress of the First Shaman,"You have found some scraps of a cowl fashioned out of a wolf's head. And yet, for all its simplicity, you suspect that this item is old, important and powerful.",237,1,90843,6,3,458941,130
Anklet with Golden Bells,"The draenei were originally eredar who fled from the Burning Legion and settled on the world of Draenor, where they came into contact with the orcs. When the blood elves arrived, many draenei fled again, this time coming to Azeroth, where they joined the Alliance. ",239,0,90853,2,2,426727,45
Carved Harp of Exotic Wood,"The draenei were originally eredar who fled from the Burning Legion and settled on the world of Draenor, where they came into contact with the orcs. When the blood elves arrived, many draenei fled again, this time coming to Azeroth, where they joined the Alliance. ",241,0,90860,2,2,426727,45
Strange Silver Paperweight,"The draenei were originally eredar who fled from the Burning Legion and settled on the world of Draenor, where they came into contact with the orcs. When the blood elves arrived, many draenei fled again, this time coming to Azeroth, where they joined the Alliance.",243,0,90861,2,2,426727,46
Scepter of the Nathrezim,"The draenei were originally eredar who fled from the Burning Legion and settled on the world of Draenor, where they came into contact with the orcs. When the blood elves arrived, many draenei fled again, this time coming to Azeroth, where they joined the Alliance.",245,0,90864,2,2,426727,46
Baroque Sword Scabbard,"The draenei were originally eredar who fled from the Burning Legion and settled on the world of Draenor, where they came into contact with the orcs. When the blood elves arrived, many draenei fled again, this time coming to Azeroth, where they joined the Alliance.",250,0,90968,2,2,426727,46
Fine Crystal Candelabra,"The draenei were originally eredar who fled from the Burning Legion and settled on the world of Draenor, where they came into contact with the orcs. When the blood elves arrived, many draenei fled again, this time coming to Azeroth, where they joined the Alliance.",252,0,90974,2,2,426727,44
Dignified Portrait,"The draenei were originally eredar who fled from the Burning Legion and settled on the world of Draenor, where they came into contact with the orcs. When the blood elves arrived, many draenei fled again, this time coming to Azeroth, where they joined the Alliance.",254,0,90975,2,2,426727,45
Arrival of the Naaru,"The naaru are a near god-like race of energy beings who are strongly aligned with the Light. The naaru first came into contact with the draenei when Prophet Velen prayed for help to escape the corruption of the Burning Legion. The naaru answered that call, helping Velen and his people escape. The name 'draenei' means 'exiled ones.'",256,1,90983,2,3,458946,124
The Last Relic of Argus,This is a simple draenei crystal that appears to be thousands of years old. You are fairly certain that it is not of this world.,258,1,90984,2,3,458946,130
Plated Elekk Goad,"The draenei were originally eredar who fled from the Burning Legion and settled on the world of Draenor, where they came into contact with the orcs. When the blood elves arrived, many draenei fled again, this time coming to Azeroth, where they joined the Alliance. ",260,0,90987,2,2,426727,45
Intricate Treasure Chest Key,The vrykul are a race of giant warriors native to the Howling Fjord in Northrend. They have a close affinity with the sea and with native proto-drakes. Many vrykul were absorbed into the vast armies of the Lich King.,262,0,90988,27,2,426727,45
Nifflevar Bearded Axe,"This axe's blade is asymmetrical, with a long cutting edge.  You suspect it might retain its magic if you could reassemble it.",264,1,90997,27,3,426728,130
Scramseax,The vrykul are a race of giant warriors native to the Howling Fjord in Northrend. They have a close affinity with the sea and with native proto-drakes. Many vrykul were absorbed into the vast armies of the Lich King.,266,0,91008,27,2,426727,45
Flint Striker,The vrykul are a race of giant warriors native to the Howling Fjord in Northrend. They have a close affinity with the sea and with native proto-drakes. Many vrykul were absorbed into the vast armies of the Lich King.,268,0,91012,27,2,426727,45
Fanged Cloak Pin,The vrykul are a race of giant warriors native to the Howling Fjord in Northrend. They have a close affinity with the sea and with native proto-drakes. Many vrykul were absorbed into the vast armies of the Lich King.,270,0,91014,27,2,426727,45
Thorned Necklace,The vrykul are a race of giant warriors native to the Howling Fjord in Northrend. They have a close affinity with the sea and with native proto-drakes. Many vrykul were absorbed into the vast armies of the Lich King.,273,0,91084,27,2,426727,45
Proto-Drake Skeleton,Fossils are the preserved remains of animals or plants from the ancient past. Typically the living tissues are replaced with minerals that preserve the form of the original organism.,275,0,91089,3,0,426727,45
Imprint of a Kraken Tentacle,Fossils are the preserved remains of animals or plants from the ancient past. Typically the living tissues are replaced with minerals that preserve the form of the original organism.,277,0,91132,3,0,426727,45
Spidery Sundial,"The nerubians are descended from an ancient race known as the aqir, roughly half of which migrated far to the north after continual warfare with the trolls. There they founded a gigantic city-state below Northrend, the legendary Azjol-Nerub. The arrival of the Lich King was brutally hard on the wicked nerubian race, with many of the spiderlike creatures converted to the Scourge and others driven deep into hiding.",279,0,91133,5,2,426727,45
Scepter of Nezar'Azret,"The nerubians are descended from an ancient race known as the aqir, roughly half of which migrated far to the north after continual warfare with the trolls. There they founded a gigantic city-state below Northrend, the legendary Azjol-Nerub. The arrival of the Lich King was brutally hard on the wicked nerubian race, with many of the spiderlike creatures converted to the Scourge and others driven deep into hiding.",283,0,91170,5,2,426727,45
Infested Ruby Ring,"The nerubians are descended from an ancient race known as the aqir, roughly half of which migrated far to the north after continual warfare with the trolls. There they founded a gigantic city-state below Northrend, the legendary Azjol-Nerub. The arrival of the Lich King was brutally hard on the wicked nerubian race, with many of the spiderlike creatures converted to the Scourge and others driven deep into hiding.",285,0,91188,5,3,426727,45
Gruesome Heart Box,"The nerubians are descended from an ancient race known as the aqir, roughly half of which migrated far to the north after continual warfare with the trolls. There they founded a gigantic city-state below Northrend, the legendary Azjol-Nerub. The arrival of the Lich King was brutally hard on the wicked nerubian race, with many of the spiderlike creatures converted to the Scourge and others driven deep into hiding.",287,0,91191,5,2,426727,45
Six-Clawed Cornice,"The nerubians are descended from an ancient race known as the aqir, roughly half of which migrated far to the north after continual warfare with the trolls. There they founded a gigantic city-state below Northrend, the legendary Azjol-Nerub. The arrival of the Lich King was brutally hard on the wicked nerubian race, with many of the spiderlike creatures converted to the Scourge and others driven deep into hiding.",289,0,91197,5,2,426727,45
Ewer of Jormungar Blood,"The nerubians are descended from an ancient race known as the aqir, roughly half of which migrated far to the north after continual warfare with the trolls. There they founded a gigantic city-state below Northrend, the legendary Azjol-Nerub. The arrival of the Lich King was brutally hard on the wicked nerubian race, with many of the spiderlike creatures converted to the Scourge and others driven deep into hiding.",291,0,91209,5,2,426727,45
Vizier's Scrawled Streamer,"The nerubians are descended from an ancient race known as the aqir, roughly half of which migrated far to the north after continual warfare with the trolls. There they founded a gigantic city-state below Northrend, the legendary Azjol-Nerub. The arrival of the Lich King was brutally hard on the wicked nerubian race, with many of the spiderlike creatures converted to the Scourge and others driven deep into hiding.",293,0,91211,5,2,426727,45
Blessing of the Old God,You have discovered a very bad thing. It hurts your mind to even look at fragments of this artifact and you worry that it might drive you insane were you to complete the final object.,295,1,91214,5,3,458951,140
