TaskName_lang,Description_lang,ID,CriteriaTreeID,QuestID,ProgressContributionAmount,RepetitionContributionDampeningCurve,Supersedes,Field_12_0_0_63534_008
[DNT] Spread Glow Cap Spores in Fertile Soil,[DNT] Spread Glow Cap Spores in Fertile Soil in the Neighborhood,20,210420,91024,10,87592,0,0
[DNT] Catch 30 Fish in the Neighborhood,[DNT] Catch 30 Fish in the Neighborhood,21,210416,91024,10,87592,0,1
[DNT] Collect 20 Clams on the Neighborhood Beach,[DNT] Collect 20 Clams on the Neighborhood Beach,22,210418,91024,10,87592,0,1
Collect Odd Globs of Wax,Collect 20 Odd Globs of Wax in and around The Ringing Deeps.,23,210635,92099,75,87592,0,0
Defeat the Awakened Phalanx in Awakening the Machine,Defeat the Awakened Phalanx in Awakening the Machine.,24,210663,91023,50,0,0,0
[DNT] Complete Level 10 of Awakening the Machine,[DNT] Complete Level 10 of Awakening the Machine,25,210664,91023,50,0,24,0
[DNT] Complete Level 15 of Awakening the Machine,[DNT] Complete Level 15 of Awakening the Machine,26,210665,91023,50,0,25,0
[DNT] Complete Level 20 of Awakening the Machine,[DNT] Complete Level 20 of Awakening the Machine,27,210666,91023,50,0,26,0
[DNT] Defeat Waxtail Kobolds,[DNT] Defeat 20 Waxtail Kobolds,28,210667,91023,50,87592,0,1
[DNT] Defeat Sparklit Kobolds,[DNT] Defeat 20 Sparklit Kobolds,29,210899,91023,50,87592,0,1
[DNT] Defeat Glumtooth Kobolds,[DNT] Defeat 20 Glumtooth Kobolds,30,210905,91023,50,87592,0,1
[DNT] Defeat Flickerflame Kobolds,[DNT] Defeat 20 Flickerflame Kobolds,31,210916,91023,50,87592,0,1
[DNT] Defeat Brightrock Kobolds,[DNT] Defeat 20 Brightrock Kobolds,32,210927,91023,50,87592,0,1
[DNT] Defeat Kobolds in The Ringing Deeps,[DNT] Defeat 100 Kobolds in The Ringing Deeps,33,210933,91023,50,87592,0,1
Defeat Undercrawlers in The Ringing Deeps,Defeat 20 Undercrawlers in The Ringing Deeps,34,210978,91024,10,87592,0,0
Defeat Deepflayers,Defeat 20 Deepflayers in The Ringing Deeps,35,210980,91024,10,87592,0,0
Defeat Enveloping Bloodeaters,Defeat 20 Enveloping Bloodeaters,36,210988,91024,10,87592,0,0
Complete a dungeon in The Ringing Deeps,"Complete a dungeon in The Ringing Deeps. This includes Darkflame Crest, Operation: Floodgate, and The Stonevault.",37,210990,91022,25,87592,0,0
Harvest 20 Ore in The Ringing Deeps,Harvest 20 Ore in The Ringing Deeps,38,211019,91022,25,87592,0,0
Harvest 20 Herbs in The Ringing Deeps,Harvest 20 Herbs in The Ringing Deeps,39,211029,91022,25,87592,0,0
Harvest 20 Skins or Hides in The Ringing Deeps,Harvest 20 Skins or Hides in The Ringing Deeps,40,211045,91022,25,87592,0,0
Kill Hozen,Kill hozen in Kun-Lai Summit.,41,216310,91022,25,87592,0,0
Complete Quests: Kun-Lai Summit,Complete quests in Kun-Lai Summit.,42,216312,91023,50,87592,0,0
Home: Loot Luckydos,Loot luckydos in Kun-Lai Summit or the neighborhood.,43,216314,91022,25,87592,0,0
Catch 20 Fish in The Ringing Deeps,Catch 20 Fish in The Ringing Deeps,47,211126,91022,25,87592,0,0
Collect 20 Lumber in The Ringing Deeps,Collect 20 Lumber in The Ringing Deeps,48,211139,91022,25,87592,0,0
Complete a Delve in The Ringing Deeps,Complete a Delve in The Ringing Deeps.,49,211141,91023,50,87592,0,0
Complete 5 World Quests in The Ringing Deeps,Complete 5 World Quests in The Ringing Deeps,50,211148,92099,75,87592,0,0
Relight 10 Lanterns in the Neighborhood,Relight 10 Lanterns in the Neighborhood,51,211150,91024,10,87592,0,0
[DNT] Collect 10 Globs of Dropped Wax,[DNT] Collect 10 Globs of Dropped Wax in the Neighborhood,52,211152,91024,10,87592,0,0
[DNT] Collect 20 Draenei Archaeology Fragments in Zangarmarsh,[DNT] Collect 20 Draenei Archaeology Fragments in Zangarmarsh,53,211154,91024,10,87592,0,1
[DNT] Defeat 20 Gyreworms in Deepholm,[DNT] Defeat 20 Gyreworms in Deepholm,54,211156,91023,50,87592,0,1
[DNT] Defeat 20 Rockslice and Jaspertip Clawscythes in Deepholm,[DNT] Defeat 20 Rockslice and Jaspertip Clawscythes in Deepholm,55,211161,91023,50,87592,0,1
[DNT] Defeat 20 Twilight Ogres in Deepholm,[DNT] Defeat 20 Twilight Ogres in Deepholm,56,211169,91023,50,87592,0,1
[DNT] Defeat 20 Twilight Cultists in Deepholm,[DNT] Defeat 20 Twilight Cultists in Deepholm,57,211174,91023,50,87592,0,1
[DNT] Defeat 20 Stone or Needlerock Troggs in Deepholm,[DNT] Defeat 20 Stone or Needlerock Troggs in Deepholm,58,211187,91023,50,87592,0,1
[DNT] Defeat 20 Fungal Terrors or Behemoths in Deepholm,[DNT] Defeat 20 Fungal Terrors or Behemoths in Deepholm,59,211202,91023,50,87592,0,1
[DNT] Defeat 20 Stone Drakes in Deepholm,[DNT] Defeat 20 Stone Drakes in Deepholm,60,211205,91023,50,87592,0,1
[DNT] Collect 20 Albino Cavefish in Deepholm,[DNT] Collect 20 Albino Cavefish in Deepholm,61,211209,91023,50,87592,0,1
[DNT] Collect 20 Lumber in Deepholm,[DNT] Collect 20 Lumber in Deepholm,62,211211,91024,10,87592,0,1
Complete Mythic+ Dungeons,,63,212060,91023,50,87592,0,1
Kill Raid Bosses,,64,212062,91023,50,87592,0,1
Earn Honor,,65,212064,91023,50,87592,0,1
Complete World Quests,,66,214555,91023,50,87592,0,1
Complete the Midnight Campaign,Complete the Midnight Campaign.,67,212076,91022,25,0,0,0
Saltheril's Soiree,Attend Saltheril's Soiree and complete a Fortify the Runestones quest in Eversong Woods.,68,212082,91022,25,0,0,0
Saltheril's Soiree Dilettante,Attend Saltheril's Soiree in Eversong Woods and complete weekly favors for its attendees.,69,212089,91022,25,0,0,0
Silvermoon Court - Center of Attention,Attend the Silvermoon Court and complete public objectives.,70,212091,91022,25,0,0,0
Midnight Dungeons,Complete Dungeons in Midnight.,71,212208,92099,75,87592,0,0
Gather Resources: Midnight,"Gather Herbs, Ores, Skins, or Fish in Midnight zones.",73,212222,91022,25,87592,0,0
Deep Diver,Complete Abyss Angler events in Zul'Aman.,74,212255,92099,75,0,0,0
Abundantly Effective,Acquire Abundance from events in Midnight zones.,75,212257,91023,50,0,0,0
Plenty of Abundance,Acquire Abundance from events in Midnight zones.,76,222818,91022,25,0,75,0
Legends of the Haranir,"Complete a ""Legends of the Haranir"" event in Harandar.",77,212261,91023,50,0,0,0
Slay Lightbloom Creatures,Kill Lightbloom creatures threatening Azeroth wherever they may be found.,78,214538,91022,25,0,0,0
Slay Lightbloom Creatures 2,Kill Lightbloom creatures threatening Azeroth wherever they may be found.,79,214541,91023,50,0,78,0
Slay Lightbloom Creatures 3,Kill Lightbloom creatures threatening Azeroth wherever they may be found.,80,214544,92099,75,0,79,0
World Quests: Eversong Woods,Complete World Quests in Eversong Woods.,81,212066,91023,50,87592,0,0
Kill Rares: Eversong Woods,Kill Rare or Rare Elites in Eversong Woods.,82,214557,91023,50,87592,0,0
Gather Stormarion Cores,Gather Stormarion Cores in Voidstorm.,83,214559,91023,50,0,0,0
Singularity Anchor,Defend the Singularity Anchor in Voidstorm.,84,214561,91023,50,87592,0,0
Latent Arcana,Collect Latent Arcana in Eversong Woods.,85,214680,91022,25,87592,0,0
Champion a Faction Envoy,Champion a Faction Envoy in the Forbidden Reach.,86,214735,91024,10,0,0,0
Daily Quests: Forbidden Reach,Complete Daily Quests in the Forbidden Reach.,87,214884,91023,50,0,0,0
Zskera Vault Doors,Open Zskera Vault Doors in the Forbidden Reach.,88,214992,91022,25,87592,0,0
Kill Rares: Forbidden Reach,Kill Rares in the Forbidden Reach.,89,215007,91023,50,87592,0,0
Complete Froststone Vault Primal Storms,Complete Froststone Vault Primal Storms in the Forbidden Reach.,90,215020,91023,50,87592,0,0
Gather Resources: Forbidden Reach,"Gather Herbs, Ores, Skins, or Fish in the Forbidden Reach.",91,215423,91022,25,87592,0,0
Pet Battle World Quest: Forbidden Reach,Complete a Pet Battle World Quest in the in the Forbidden Reach.,92,215469,91022,25,87592,0,0
Skyriding Races: Forbidden Reach,Complete skyriding races in the Forbidden Reach.,93,215575,91024,10,87592,0,0
Subdue the War Creche,"Complete the World Quest ""The War Creche"" in the Forbidden Reach.",94,215577,91023,50,87592,0,0
Profession Rare: Forbidden Reach,Kill a rare or rare elite creature summoned via a profession item in the Forbidden Reach.,95,215666,91739,150,0,0,0
Find Treasures from Sealed Scrolls,Loot the treasures revealed by using Sealed Scrolls from the Forbidden Reach.,96,215668,91022,25,87592,0,0
Kill Creatures: Forbidden Reach,Kill Creatures in the Forbidden Reach.,97,215670,91022,25,87592,0,0
Loot a Forbidden Hoard,Loot a Forbidden Hoard in the Forbidden Reach.,98,215672,91022,25,87592,0,0
Gather Resources: Kun-Lai Summit,"Gather Herbs, Ores, Skins, or Fish in Kun-Lai Summit.",100,216319,91023,50,87592,0,0
Harvest Lumber: Kun-Lai Summit,Harvest Lumber in Kun-Lai Summit.,101,216323,91023,50,87592,0,0
Defeat Bosses: Kun-Lai Summit,Clear Boss Encounters in Kun-Lai Summit Dungeons and Raids.,102,216327,91022,25,87592,0,0
Home: Eat Kafa'kota Berries,Eat kafa'kota berries on Kota Peak or in your neighborhood.,103,216329,91022,25,87592,0,0
Honorable Kills: Kun-Lai Summit,Earn honorable kills in Kun-Lai Summit.,104,216334,91023,50,87592,0,0
Harvest Lumber: Forbidden Reach,Harvest Lumber in the Forbidden Reach.,105,216352,91023,50,87592,0,0
Complete Delves,,106,216354,91023,50,87592,0,1
Home: Perk Up Sleepy Residents,Perk up sleepy residents in the neighborhood.,107,216664,91022,25,87592,0,0
Home: Trade Berries,Trade kafa'kota berries to the neighborhood kafa vendor.,108,216671,91022,25,87592,0,0
Defeat the Sha of Anger,Defeat the Sha of Anger in Kun-Lai Summit.,109,216306,91022,25,87592,0,0
Home: Complete Weekly Neighborhood Quests,Complete Weekly Quests in the Neighborhood for the visiting dracthyr.,110,216872,91023,50,87592,0,0
Home: Decoration Time,Impress the Silvermoon visitors by placing decor in either your house or your plot.,111,216890,91023,50,0,0,0
Home: Decoration Time 2,Impress the Silvermoon visitors by placing decor in either your house or your plot.,112,216892,91023,50,0,111,0
Home: Decoration Time 3,Impress the Silvermoon visitors by placing decor in either your house or your plot.,113,216894,91023,50,0,112,0
Home: Acquire Decor,Impress the Silvermoon visitors by acquiring new decor for your house or your plot.,114,216898,91023,50,0,0,0
Home: Transport Luckydos,Transport luckydos to the neighborhood climb training base camp.,115,216957,91022,25,87592,0,0
Home: Collect Berries,Collect kafa'kota berries on the neighborhood training climb.,116,216959,91024,10,87592,0,0
Home: Ride Out an Overkafanated Denizen of the Peak,Tire out an overkafanted flier by riding it in the neighborhood.,117,216961,91024,10,87592,0,0
Home: Wounded Artists,"Heal Wounded Artists who are visiting the neighborhood through magic, bandages, or alchemy.",118,217031,91022,25,87592,0,0
Kill Rares: Mechagon,Kill Rares in Mechagon.,120,217061,91023,50,87592,0,0
Daily Quests: Mechagon,Complete Daily Quests in Mechagon.,121,217063,91023,50,87592,0,0
King Mechagon,Defeat King Mechagon in Operation: Mechagon.,122,217068,91023,50,0,0,0
HK-8 Aerial Oppression Unit,Defeat HK-8 Aerial Oppression Unit in Operation: Mechagon.,123,217070,91023,50,0,0,0
Consummate Constructor,Complete construction projects in Mechagon.,124,217072,91022,25,87592,0,0
Tinkering with the K1N6,Craft Junkyard Tinkering items with Pascal-K1N6 in Mechagon.,125,217074,91023,50,87592,0,0
Harvest Lumber: Mechagon,Harvest Lumber in Mechagon.,126,217076,91023,50,87592,0,0
Gather Resources: Mechagon,"Gather Herbs, Ores, Skins, or Fish in Mechagon.",127,217078,91022,25,87592,0,0
Rusty Regicide,Defeat The Rusty Prince in the Alternate Timeline in Mechagon.,128,217082,91023,50,0,0,0
A Toast!,Toast the Resistance in Rustbolt in Mechagon.,129,217084,91024,10,0,0,0
Kill Creatures: Mechagon,Kill Creatures in Mechagon.,130,217086,91022,25,87592,0,0
Pet Battle World Quest: Mechagon,Complete a Pet Battle World Quest in Mechagon.,131,217484,91022,25,87592,0,0
Red Ones Go Faster,Paint your Xiwyllag ATV or Mechanocat a different color in Mechagon.,132,217486,91023,50,0,0,0
Reclamation Project,Assist in the reconstruction and defense of the Reclamation Rig in Mechagon.,133,217489,92099,75,87592,0,0
Home: Be a Good Neighbor,"In your neighborhood, perform helpful & friendly deeds.",134,214565,91023,50,87592,0,0
Home: Return Lost Mecha-Hens,"In your neighborhood, find and return Miscalibrated Hens.",135,217689,92099,75,87592,0,0
Home: Mechagnome Transportation,"In your neighborhood, test mechagnome air jets.",136,217691,91023,50,87592,0,0
Home: Beach Scrap,"In your neighborhood, help recyclers collect scrap metal from the beaches.",137,218132,92099,75,0,0,0
Gather Resources: Outland,"Gather Herbs, Ores, Skins, or Fish in Outland.",138,218431,91022,25,87592,0,0
Defeat Pathaleon the Calculator,Defeat Pathaleon the Calculator in the Mechanar Dungeon.,139,218435,91023,50,0,0,0
Defeat Warp Splinter,Defeat Warp Splinter in the Botanica Dungeon.,140,218437,91023,50,0,0,0
Defeat Harbinger Skyriss,Defeat Harbinger Skyriss in the Arcatraz Dungeon.,141,218439,91023,50,0,0,0
Ethereum Extermination,Defeat members of the Ethereum and their allies in outdoor zones in Outland.,142,218548,91023,50,87592,0,0
Harvest Lumber: Midnight,Harvest Lumber in the Midnight zones.,143,219644,91023,50,87592,0,0
Sunfury Slaying,Defeat members of the Sunfury in Netherstorm.,144,220010,91023,50,87592,0,0
Don't Leave Them Wanting,Complete Wanted quests for the Consortium in Shattrath.,145,220012,91023,50,87592,0,0
Defeat Nexus-Prince Shaffar,Defeat Nexus-Prince Shaffar in the Mana Tombs Dungeon.,146,220024,91023,50,0,0,0
Defeat Yor,Defeat Yor in the Mana Tombs Dungeon.,147,220026,91739,150,0,0,0
Repetition is the Mother of Learning,Complete reputation hand-in quests for the Consortium in Outland.,148,220115,91022,25,87592,0,0
Blade of the Skyguard,Defend the Skyguard assault at Bash'ir Landing in Blade's Edge Mountains. The assault begins every even hour at the Skyguard Outpost in Blade's Edge Mountains.,149,220183,91739,150,87592,0,0
Bash'ir Bopping,Defeat Bash'ir or one of his lieutenants in Bash'ir Landing in Blade's Edge Mountains.,150,220206,91022,25,87592,0,0
Gather Resources: Zaralek Cavern,"Gather Herbs, Ores, Skins, or Fish in Zaralek Cavern.",151,221088,91022,25,87592,0,0
World Quests: Zaralek Cavern,Complete World Quests in Zaralek Cavern.,152,221096,91023,50,87592,0,0
Researchers Under Fire,Complete the Researcher Under Fire event in Zaralek Cavern.,153,221098,91023,50,87592,0,0
Defeat Sarkareth,"Defeat Sarkareth in Aberrus, the Shadowed Crucible.",155,221104,91023,50,0,0,0
Underground Pet Battling,Complete a Pet Battle World Quest in Zaralek Cavern with at least 1 elemental pet.,156,221164,91024,10,87592,0,0
Reputation is Everything,Earn Reputation with Loamm Niffen in Zaralek Cavern.,157,221174,91023,50,87592,0,0
Sniffenseeking,Loot chests while exploring caves with Myritt in Zaralek Cavern.,158,221179,91023,50,87592,0,0
Like Getting Blood from a Stone,Barter with Ponzo for a Bartered Dig Map then use it in Zaralek Cavern.,159,221186,91023,50,0,0,0
Slow and Steady Wins the Race,Complete a Daily Quest for Briggul in Glimmerogg in Zaralek Cavern.,160,221188,91022,25,87592,0,0
Kill Rares: Zaralek Cavern,Kill Rare or Rare Elites in Zaralek Cavern.,161,221190,91023,50,87592,0,0
Skyriding: Underground,Complete skyriding races in the Zaralek Cavern.,162,221192,91024,10,87592,0,0
"Stinky Coins, Great Prizes",Acquire Unearthed Fragrant Coins in Zaralek Cavern.,163,221268,91023,50,87592,0,0
Home: Plant Incense,Plant incense around the neighborhood to attract bees.,164,221576,91024,10,87592,0,0
Home: Make Incense,Bring raw materials from the neighborhood to the niffen mobile vats to make incense.,165,221584,91024,10,87592,0,0
Home: Help Sniffenseekers,Cure niffen sniffenseekers of their nose blindness in the neighborhood.,166,221684,91024,10,87592,0,0
Home: Snail Mail,Help Big Slick in the City deliver mail round the neighborhood. Talk to Briggul to start.,167,221800,91023,50,87592,0,0
Home: Pollinate Flowers,Guide bees to pollinate flowers around the neighborhood's town center.,168,221878,91024,10,87592,0,0
Home: Arcane Acrobatics,"In your neighborhood, enter untethered space and reach the end of the Last Assistant Architect's course. This task can be completed once per day.",169,221930,92099,75,87592,0,0
"Home: It's Not Phase-Lost, I Just Can't Phase-Find It","In your neighborhood, enter untethered space and assist your neighbors in finding and returning the locals' misplaced items.",170,221932,91022,25,87592,0,0
Home: Drop a Line,"In your neighborhood, activate an Untethered Tether or use a Phase-Lost Shortcut.",171,222537,91022,25,0,0,0
Home: Jet Set Air Trio,"In your neighborhood, test mechagnome air jets three times in a row without touching the ground.",172,222540,92099,75,0,0,0
Harvest Lumber: Outland,Harvest Lumber in the Outland zones.,173,222672,91023,50,87592,0,0
Deep Diver,Complete Abyss Angler events in Zul'Aman.,174,212255,91024,10,0,0,0
Complete Quests,Complete quests in Ohn'ahran Plains.,175,223339,91023,90,87592,0,0
Defeat Bosses,Clear Boss Encounters in the Nokhud Offensive Dungeon.,176,223341,91023,50,87592,0,0
Gather Resources,"Gather Herbs, Ores, Skins, or Fish in Ohn'ahran Plains.",177,223343,91023,90,87592,0,0
Harvest Lumber,Harvest Lumber in Ohn'ahran Plains.,178,223347,91024,10,87592,0,0
Honorable Kills,Earn honorable kills in Ohn'ahran Plains.,179,223349,91023,90,87592,0,0
Kill Elite Nokhud,Kill elites in Nokhudon Hold of Ohn'ahran Plains.,180,223351,91022,45,87592,0,0
Defeat Strunraan,Defeat Strunraan in Ohn'ahran Plains.,181,223353,91022,45,87592,0,0
Put Down Nokhud Bakar,Kill Nokhud Wardogs and Warhounds in Ohn'ahran Plains or the Nokhud Offensive.,182,223355,91022,45,87592,0,0
Pet Named Bakar,Pet unique named bakar in Ohn'ahran Plains.,183,223357,91022,45,87592,0,0
Hunt with Bakar Companion,Defeat enemies alongside a Bakar Companion during a Grand Hunt.,184,223378,91022,45,87592,0,0
Home: Friendly Pups Fed,Throw treats to friendly bakar or pups in Ohn'ahran Plains or your neighborhood.,185,223427,91024,10,87592,0,0
Home: Rescue Stray Pup,Befriend a stray pup and bring it to the town center.,186,223669,91023,50,87592,0,0
Home: Complete Agility Course,Guide a pup through the agility course in the town center.,187,223680,91024,10,87592,0,0
Home: Curb Your Pup,"While walking a pup, be sure to clean up its leavings.",188,223685,91022,25,87592,0,0
Home: Wash Bakar,Wash dirty bakar at the neighborhood washing station.,189,223718,91024,10,87592,0,0
Tiger Test Niffen,Tiger Test Niffen,190,223750,0,10,0,0,0
Home: Frenzied Fossicking,"Complete the Daily Quest ""Frenzied Fossicking"".",192,224527,91022,25,87592,0,0
Home: Forever Family,Find a forever family for a neighborhood foster pup.,193,224541,91022,25,87592,0,0
Home: Grift the Griftah,Trade Neighborhood Knick Knacks to Griftah.,194,224629,91022,25,87592,0,0
Home: Feathered Frenzy,"Complete the Daily Quest ""Suspicious Scare-Gull"".",195,224808,91022,25,87592,0,0
Home: Flea Market Maestro,"Complete the Daily Quest ""My Stuffs Better Than Your Stuff"".",196,224810,91022,25,87592,0,0
World Quests: The Coiled Isle,Complete World Quests in the Coiled Isle.,197,224988,91023,50,87592,0,0
Cursed Surge Scourge,Defeat Cursed Surge Bosses in the Coiled Isle.,198,224990,91023,50,87592,0,0
Treasure Hunter: The Coiled Isle,Loot treasure chests around the Coiled Isle.,199,224994,91024,10,87592,0,0
Fishing Dailies: The Coiled Isle,Complete Fishing Dailies in the Coiled Isle.,200,224992,91023,50,87592,0,0
Lair Scare: World,Defeat Nymrissa Wavecaller in the Coiled Isle in World difficulty or higher.,201,224996,91023,50,0,0,0
Defeat Ula'tek,Defeat Ula'tek in Ula'tek Temple.,202,225001,91739,150,0,0,0
Delve Diver: The Coiled Isle,Complete delves in the Coiled Isle.,203,225003,92099,75,87592,0,1
Lair Scare: Normal,Defeat Nymrissa Wavecaller in the Coiled Isle in Normal difficulty or higher.,204,225005,91023,50,0,0,0
Lair Scare: Heroic,Defeat Nymrissa Wavecaller in the Coiled Isle in Heroic difficulty or higher.,205,225007,92099,75,0,0,0
Lair Scare: Mythic,Defeat Nymrissa Wavecaller in the Coiled Isle in Mythic difficulty.,206,225009,92099,75,0,0,0
Defeat Zul'jan,Defeat Zul'jan in the Alter of Fangs.,207,225011,91023,50,0,0,0
Venom Master,Defeat venom-crazed creatures in the Coiled Isle.,208,225013,91022,25,87592,0,0
No Fang-ks,Defeat Children of Ula'tek in the Coiled Isle.,209,225034,91022,25,87592,0,0
Corrosive Collector,Collect Corrosive Coins in the Coiled Isle.,210,225036,91022,25,87592,0,0
Vaults of Atal'Utek: Percussive Custodian,Complete events in the Vaults of Atal'Utek in the Coiled Isle.,211,225794,91023,50,87592,0,0
Home: Walk a Pup,Take a pup on a walk and get those steps in.,212,225480,91024,10,87592,0,0
Home: Collect Home-Grown Wax,"In your neighborhood, find and collect wax deposits to show to the kobolds.",213,225497,92099,75,87592,0,0
Home: Wax Contribution,"In your neighborhood, contribute Home-Grown Wax to projects.",214,224927,92099,75,87592,0,0
Home: Wax Donation,"In your neighborhood, donate Home-Grown Wax to your community chest.",215,225499,92099,75,87592,0,0
Home: Candle Workshop,"In your neighborhood, participate in a candle workshop led by Scally, Best at Candlecraft. The candle cauldron must be filled with Home-Grown Wax before the workshop can begin.",216,225501,91739,150,87592,0,0
Home: Patron of the Arts,"In your neighborhood, commission a wax sculpture from a kobold artist. This task can be completed once per day.",217,225503,91022,25,87592,0,0
Gather Resources: The Coiled Isle,"Gather Herbs, Ores, Skins, or Fish in The Coiled Isle.",218,225801,91022,25,87592,0,0
Heed Sitch Montaigne's Advice,Spend time in the Gundargaz bath.,220,227370,92099,75,0,0,0
Home: Stay a While and Glisten,"In your neighborhood, enjoy the sun, water, and sand with tortollan visitors.",221,229218,92099,75,87592,0,0
Home: Secret Souvenir,"In your neighborhood, find Secret Souvenirs hidden by tortollan children.",222,229259,91023,50,108894,0,0
Home: A Turtle Bade it to the Water,"In your neighborhood, help the tortollan travel guide pass out promotional pamphlets for the underwater tavern. This quest can be completed once per day.",223,229262,91023,50,0,0,1
World Quests: Tortollan,Complete World Quests that reward Tortollan Reputation in Zandalar or Kul Tiras.,224,229615,91023,50,87592,0,0
Reputation is Everything,Earn Tortollan Seekers Reputation.,225,229617,91023,50,87592,0,0
Dive Bar Front Crawl,Visit all of Azeroth's underwater Tortollan Bars.,226,229620,91739,150,87592,0,0
Family Cruise,Participate in activities on Lost Arvillo in Waking Shores in the Dragon Isles.,227,229805,92099,75,87592,0,0
Beach Festival,Attend the Wanderer's Festival in Krasarang Wilds in Pandaria at 9pm or 11pm on Sunday Evenings.,228,229815,91739,150,0,0,0
Exploring the Options,Rescue the Tortollan Explorers in Ula'tek Temple.,229,229880,91023,50,0,0,0
Come Back With Some Better Stories,Complete Lorewalking Quests from Lorewalker Cho.,230,229902,91023,50,0,0,0
Gather Resources: Zandalar or Kul Tiras,"Gather Herbs, Ores, Skins, or Fish in Zandalar or Kul Tiras.",231,229936,91022,25,87592,0,0
Harvest Lumber: Zandalar or Kul Tiras,Harvest Lumber in Zandalar or Kul Tiras.,232,229940,91023,50,87592,0,0
"If You Find Anything Exotic, Bring it to Me",Recover Archeology Finds at Dig Sites in Zandalar or Kul Tiras,233,229944,91022,25,87592,0,0
