ID,GarrEncounterID,GarrEncounterSetID
352,1281,51
353,1283,51
354,1280,51
355,1277,51
356,1284,51
357,1272,51
358,1925,51
359,1928,51
360,1287,51
361,1945,51
362,1932,51
363,1864,51
364,1816,51
365,1822,51
366,1321,52
367,1356,52
368,1949,52
369,1315,52
370,1326,52
371,1314,52
372,1333,52
373,1331,52
374,1320,52
375,1857,52
376,1327,52
377,1334,52
378,1335,52
379,1328,52
380,1325,52
381,1853,52
382,1318,52
383,2077,53
389,2078,55
390,2079,55
391,2080,55
392,2081,55
393,2082,55
394,2077,55
395,2085,55
396,2084,55
399,2083,55
400,2086,55
401,2087,55
402,2088,55
403,2088,53
404,2086,53
405,2087,53
424,2092,59
425,2094,59
426,2099,59
427,2093,59
428,2095,59
429,2096,59
430,2098,59
431,2097,59
432,2091,59
433,2090,59
434,2104,60
435,2101,60
436,2102,60
437,2108,60
438,2107,60
439,2103,60
440,2106,60
441,2109,60
442,2105,60
443,2100,60
444,532,61
445,2118,61
446,2115,61
447,2111,61
448,2112,61
449,2117,61
450,2110,61
451,2113,61
452,2116,61
453,2114,61
459,2125,63
460,2124,63
461,2132,63
462,2131,63
463,2126,64
464,2127,64
465,2135,64
466,2136,64
467,2129,65
468,2130,65
469,2139,65
470,2140,65
471,2119,66
472,2120,66
473,2133,66
474,2134,66
475,2121,67
476,2122,67
477,2137,67
478,2138,67
479,2123,68
480,2128,68
481,2141,68
482,2142,68
483,2164,56
484,2147,56
485,2163,56
486,2162,56
487,2161,56
488,2165,56
489,2148,56
490,2166,56
491,2145,56
492,2143,56
493,2144,56
494,2146,56
495,2154,57
496,2150,57
497,2151,57
498,2170,57
499,2172,57
500,2152,57
501,2149,57
502,2153,57
503,2168,57
504,2169,57
505,2167,57
506,2171,57
507,2156,58
508,2158,58
509,2157,58
510,2174,58
511,2177,58
512,2160,58
513,2173,58
514,2159,58
515,2175,58
516,2155,58
517,2176,58
518,2178,58
519,2179,69
523,2186,72
524,2187,73
525,2180,70
526,2184,70
529,2188,74
530,2189,74
531,2190,74
532,2191,74
533,2192,74
534,2193,74
535,2194,74
536,2195,75
537,2196,75
538,2197,75
539,2198,75
540,2199,75
541,2200,75
542,2206,75
643,2370,176
644,2371,176
645,2369,176
646,2188,177
647,2189,177
648,2190,177
649,2191,177
650,2192,177
651,2193,177
652,2194,177
653,2188,178
654,2189,178
655,2190,178
656,2191,178
657,2192,178
658,2193,178
659,2194,178
660,2195,179
661,2196,179
662,2197,179
663,2198,179
664,2199,179
665,2200,179
666,2206,179
667,2195,180
668,2196,180
669,2197,180
670,2198,180
671,2199,180
672,2200,180
673,2206,180
674,2390,177
675,2179,177
676,2390,178
677,2391,178
678,2179,178
679,2393,180
680,2389,180
681,2393,179
682,2389,179
683,2392,180
684,2488,181
685,2491,182
686,2492,182
687,2493,182
688,2496,182
689,2494,182
690,2495,182
691,2497,182
692,2501,181
693,2503,181
694,2501,181
695,2502,181
696,2509,183
697,2510,183
698,2511,184
699,2512,184
700,2513,184
701,2514,183
702,2522,181
703,2523,181
707,2528,186
708,2529,186
709,2531,187
710,2532,187
711,2533,187
712,2534,187
713,2538,188
714,2537,188
715,2536,188
716,2540,189
717,2541,189
718,2542,189
