ID,GeosetType,GeosetID,Modifier
5386,0,4,-1
5387,0,5,-1
5388,0,6,-1
5389,0,7,-1
5390,0,8,-1
5391,1,0,-1
5392,3,0,-1
5393,2,0,-1
5394,1,0,-1
5395,3,0,-1
5396,2,0,-1
5397,1,0,-1
5398,3,0,-1
5399,2,0,-1
5400,1,0,-1
5401,3,0,-1
5402,2,0,-1
5403,1,0,-1
5404,3,0,-1
5405,2,0,-1
5406,1,0,-1
5407,3,0,-1
5408,2,0,-1
5409,1,0,-1
5410,3,0,-1
5411,2,0,-1
5412,1,0,-1
5413,3,0,-1
5414,2,0,-1
5415,1,0,-1
5416,3,0,-1
5417,2,0,-1
5418,1,0,-1
5419,3,0,-1
5420,2,0,-1
5421,0,0,-1
5422,0,2,-1
5423,0,3,-1
5424,0,4,-1
5425,0,5,-1
5426,0,6,-1
5427,0,7,-1
5428,0,8,-1
5429,0,9,-1
5430,0,10,-1
5431,1,2,-1
5432,3,2,-1
5433,2,0,-1
5434,1,2,-1
5435,3,2,-1
5436,2,0,-1
5437,1,2,-1
5438,2,0,-1
5439,3,0,-1
5440,2,0,-1
5441,3,0,-1
5442,1,3,-1
5443,2,0,-1
5444,3,0,-1
5445,1,4,-1
5446,1,2,-1
5447,3,2,-1
5448,2,0,-1
5449,3,2,-1
5450,2,0,-1
5451,1,3,-1
5452,3,2,-1
5453,2,0,-1
5454,1,4,-1
5455,1,2,-1
5456,3,2,-1
5457,2,0,-1
5458,3,2,-1
5459,2,0,-1
5460,1,3,-1
5461,1,2,-1
5462,2,0,-1
5463,3,0,-1
5464,2,0,-1
5465,3,0,-1
5466,1,3,-1
5467,1,2,-1
5468,3,2,-1
5469,2,0,-1
5470,3,2,-1
5471,2,0,-1
5472,1,3,-1
5473,1,2,-1
5474,3,2,-1
5475,2,0,-1
5476,3,2,-1
5477,2,0,-1
5478,1,3,-1
5479,3,2,-1
5480,2,0,-1
5481,1,4,-1
5482,0,2,-1
5483,0,3,-1
5484,0,4,-1
5485,0,5,-1
5486,0,6,-1
5487,0,7,-1
5488,0,8,-1
5489,0,9,-1
5490,0,10,-1
5491,0,11,-1
5492,1,0,-1
5493,3,2,-1
5494,2,0,-1
5495,1,0,-1
5496,3,2,-1
5497,2,0,-1
5498,1,0,-1
5499,2,0,-1
5500,3,0,-1
5501,1,0,-1
5502,3,2,-1
5503,2,0,-1
5504,1,0,-1
5505,3,2,-1
5506,2,0,-1
5507,1,0,-1
5508,2,0,-1
5509,3,0,-1
5510,1,0,-1
5511,3,2,-1
5512,2,0,-1
5513,1,0,-1
5514,3,2,-1
5515,2,0,-1
5516,0,2,-1
5517,0,3,-1
5518,0,4,-1
5519,0,5,-1
5520,0,6,-1
5521,0,7,-1
5522,0,8,-1
5523,0,9,-1
5524,1,0,-1
5525,3,0,-1
5526,2,0,-1
5527,1,2,-1
5528,3,2,-1
5529,2,2,-1
5530,1,3,-1
5531,3,3,-1
5532,2,3,-1
5533,1,4,-1
5534,3,4,-1
5535,2,4,-1
5536,1,5,-1
5537,3,5,-1
5538,2,5,-1
5539,1,6,-1
5540,3,6,-1
5541,2,6,-1
5542,1,7,-1
5543,3,7,-1
5544,2,7,-1
5545,0,2,-1
5546,0,3,-1
5547,0,4,-1
5548,0,5,-1
5549,0,6,-1
5550,0,7,-1
5551,0,8,-1
5552,1,0,-1
5553,3,0,-1
5554,2,0,-1
5555,1,0,-1
5556,3,0,-1
5557,2,2,-1
5558,1,0,-1
5559,3,0,-1
5560,2,3,-1
5561,1,0,-1
5562,3,0,-1
5563,2,4,-1
5564,1,0,-1
5565,3,0,-1
5566,2,5,-1
5567,0,1,-1
5568,0,2,-1
5569,0,3,-1
5570,0,4,-1
5571,0,5,-1
5572,0,6,-1
5573,0,7,-1
5574,1,0,-1
5575,3,0,-1
5576,2,0,-1
5577,3,0,-1
5578,2,0,-1
5579,1,2,-1
5580,3,0,-1
5581,2,0,-1
5582,1,3,-1
5583,3,0,-1
5584,2,0,-1
5585,1,4,-1
5586,3,0,-1
5587,2,0,-1
5588,1,5,-1
5589,3,0,-1
5590,2,0,-1
5591,1,6,-1
5592,3,0,-1
5593,2,0,-1
5594,1,7,-1
5595,3,0,-1
5596,2,0,-1
5597,1,8,-1
5598,0,2,-1
5599,0,3,-1
5600,0,4,-1
5601,0,5,-1
5602,0,6,-1
5603,0,7,-1
5604,0,8,-1
5605,1,0,-1
5606,3,0,-1
5607,2,0,-1
5608,1,0,-1
5609,3,0,-1
5610,2,2,-1
5611,1,0,-1
5612,3,0,-1
5613,2,3,-1
5614,1,0,-1
5615,3,0,-1
5616,2,4,-1
5617,1,0,-1
5618,3,0,-1
5619,2,5,-1
5620,1,0,-1
5621,3,0,-1
5622,2,6,-1
5623,1,0,-1
5624,3,0,-1
5625,2,7,-1
5626,0,1,-1
5627,0,0,-1
5628,0,2,-1
5629,0,3,-1
5630,0,4,-1
5631,0,5,-1
5632,0,6,-1
5633,1,0,-1
5634,3,2,-1
5635,2,0,-1
5636,1,0,-1
5637,2,0,-1
5638,3,3,-1
5639,1,0,-1
5640,2,0,-1
5641,3,4,-1
5642,1,0,-1
5643,2,0,-1
5644,3,5,-1
5645,16,0,-1
5646,33,0,-1
5647,1,0,-1
5648,2,0,-1
5649,3,6,-1
5650,1,0,-1
5651,3,2,-1
5652,2,0,-1
5653,1,0,-1
5654,2,0,-1
5655,3,3,-1
5656,1,0,-1
5657,2,0,-1
5658,3,4,-1
5659,1,0,-1
5660,2,0,-1
5661,3,5,-1
5662,1,0,-1
5663,2,0,-1
5664,3,6,-1
5665,1,0,-1
5666,2,0,-1
5667,3,4,-1
5668,0,2,-1
5669,0,3,-1
5670,0,4,-1
5671,0,5,-1
5672,0,6,-1
5673,1,0,-1
5674,3,2,-1
5675,2,0,-1
5676,1,0,-1
5677,2,0,-1
5678,3,3,-1
5679,1,0,-1
5680,2,0,-1
5681,3,4,-1
5682,1,0,-1
5683,2,0,-1
5684,3,5,-1
5685,1,0,-1
5686,2,0,-1
5687,3,6,-1
5688,1,0,-1
5689,2,0,-1
5690,3,7,-1
5691,0,1,-1
5692,0,2,-1
5693,0,2,-1
5694,0,3,-1
5695,0,4,-1
5696,0,5,-1
5697,0,6,-1
5698,0,7,-1
5699,0,8,-1
5700,0,9,-1
5701,0,10,-1
5702,0,11,-1
5703,0,12,-1
5704,1,0,-1
5705,3,0,-1
5706,2,0,-1
5707,16,0,-1
5708,33,0,-1
5709,3,0,-1
5710,2,0,-1
5711,16,0,-1
5712,33,0,-1
5713,1,2,-1
5714,3,0,-1
5715,2,0,-1
5716,16,0,-1
5717,33,0,-1
5718,1,3,-1
5719,3,0,-1
5720,2,0,-1
5721,16,0,-1
5722,33,0,-1
5723,1,4,-1
5724,3,0,-1
5725,2,0,-1
5726,16,0,-1
5727,33,0,-1
5728,1,5,-1
5729,3,0,-1
5730,2,0,-1
5731,16,0,-1
5732,33,0,-1
5733,1,6,-1
5734,3,0,-1
5735,2,0,-1
5736,16,0,-1
5737,33,0,-1
5738,1,7,-1
5739,3,0,-1
5740,2,0,-1
5741,16,0,-1
5742,33,0,-1
5743,1,8,-1
5744,3,0,-1
5745,2,0,-1
5746,16,0,-1
5747,33,0,-1
5748,1,9,-1
5749,3,0,-1
5750,2,0,-1
5751,16,0,-1
5752,33,0,-1
5753,1,10,-1
5754,0,2,-1
5755,0,3,-1
5756,0,4,-1
5757,0,5,-1
5758,0,6,-1
5759,0,7,-1
5760,0,8,-1
5761,0,9,-1
5762,0,10,-1
5763,0,11,-1
5764,0,12,-1
5765,0,13,-1
5766,0,14,-1
5767,0,15,-1
5768,0,16,-1
5769,1,0,-1
5770,3,0,-1
5771,2,0,-1
5772,16,0,-1
5773,33,0,-1
5774,1,0,-1
5775,2,0,-1
5776,16,0,-1
5777,33,0,-1
5778,3,2,-1
5779,1,0,-1
5780,2,0,-1
5781,16,0,-1
5782,33,0,-1
5783,3,3,-1
5784,1,0,-1
5785,2,0,-1
5786,16,0,-1
5787,33,0,-1
5788,3,4,-1
5789,1,0,-1
5790,2,0,-1
5791,16,0,-1
5792,33,0,-1
5793,3,5,-1
5794,1,0,-1
5795,2,0,-1
5796,16,0,-1
5797,33,0,-1
5798,3,6,-1
5799,1,0,-1
5800,2,0,-1
5801,16,0,-1
5802,33,0,-1
5803,3,7,-1
5804,1,0,-1
5805,2,0,-1
5806,16,0,-1
5807,33,0,-1
5808,3,8,-1
5809,1,0,-1
5810,2,0,-1
5811,16,0,-1
5812,33,0,-1
5813,3,9,-1
5814,1,0,-1
5815,2,0,-1
5816,16,0,-1
5817,33,0,-1
5818,3,10,-1
5819,1,0,-1
5820,2,0,-1
5821,16,0,-1
5822,33,0,-1
5823,3,11,-1
5824,0,2,-1
5825,0,3,-1
5826,0,4,-1
5827,0,5,-1
5828,0,6,-1
5829,0,7,-1
5830,0,8,-1
5831,0,9,-1
5832,1,1,-1
5833,3,0,-1
5834,2,0,-1
5835,16,0,-1
5836,33,0,-1
5837,3,0,-1
5838,2,0,-1
5839,16,0,-1
5840,33,0,-1
5841,1,2,-1
5842,3,0,-1
5843,16,0,-1
5844,33,0,-1
5845,1,3,-1
5846,2,2,-1
5847,3,0,-1
5848,16,0,-1
5849,33,0,-1
5850,1,4,-1
5851,2,3,-1
5852,3,0,-1
5853,16,0,-1
5854,33,0,-1
5855,1,5,-1
5856,2,4,-1
5857,3,0,-1
5858,16,0,-1
5859,33,0,-1
5860,1,6,-1
5861,2,5,-1
5862,3,0,-1
5863,16,0,-1
5864,33,0,-1
5865,1,7,-1
5866,2,6,-1
5867,3,0,-1
5868,2,0,-1
5869,16,0,-1
5870,33,0,-1
5871,1,8,-1
5872,0,2,-1
5873,0,3,-1
5874,0,4,-1
5875,0,5,-1
5876,0,6,-1
5877,0,7,-1
5878,0,8,-1
5879,0,9,-1
5880,0,10,-1
5881,0,11,-1
5882,0,12,-1
5883,1,2,-1
5884,3,0,-1
5885,2,0,-1
5886,16,0,-1
5887,33,0,-1
5888,3,0,-1
5889,2,0,-1
5890,16,0,-1
5891,33,0,-1
5892,1,3,-1
5893,3,0,-1
5894,2,0,-1
5895,16,0,-1
5896,33,0,-1
5897,1,4,-1
5898,3,0,-1
5899,2,0,-1
5900,16,0,-1
5901,33,0,-1
5902,1,5,-1
5903,3,0,-1
5904,2,0,-1
5905,16,0,-1
5906,33,0,-1
5907,1,6,-1
5908,3,0,-1
5909,2,0,-1
5910,16,0,-1
5911,33,0,-1
5912,1,7,-1
5913,3,0,-1
5914,2,0,-1
5915,16,0,-1
5916,33,0,-1
5917,1,8,-1
5918,0,2,-1
5919,1,0,-1
5920,3,0,-1
5921,2,0,-1
5922,16,0,-1
5923,33,0,-1
5924,0,2,-1
5925,1,0,-1
5926,3,0,-1
5927,2,0,-1
5928,16,0,-1
5929,33,0,-1
5930,0,0,-1
5931,1,0,-1
5932,3,0,-1
5933,2,0,-1
5934,16,0,-1
5935,33,0,-1
5936,0,0,-1
5937,1,0,-1
5938,3,0,-1
5939,2,0,-1
5940,16,0,-1
5941,33,0,-1
5942,0,1,-1
5943,0,2,-1
5944,0,3,-1
5945,0,0,-1
5946,1,0,-1
5947,3,0,-1
5948,2,0,-1
5949,16,0,-1
5950,33,0,-1
5951,0,0,-1
5952,1,0,-1
5953,3,0,-1
5954,2,0,-1
5955,16,0,-1
5956,33,0,-1
5957,0,0,-1
5958,1,0,-1
5959,3,0,-1
5960,2,0,-1
5961,16,0,-1
5962,33,0,-1
5963,0,0,-1
5964,0,2,-1
5965,0,3,-1
5966,0,4,-1
5967,0,5,-1
5968,0,6,-1
5969,1,0,-1
5970,3,2,-1
5971,2,0,-1
5972,16,0,-1
5973,33,0,-1
5974,1,0,-1
5975,2,0,-1
5976,16,0,-1
5977,33,0,-1
5978,3,3,-1
5979,1,0,-1
5980,2,0,-1
5981,16,0,-1
5982,33,0,-1
5983,3,4,-1
5984,1,0,-1
5985,2,0,-1
5986,3,5,-1
5987,1,0,-1
5988,2,0,-1
5989,16,0,-1
5990,33,0,-1
5991,3,6,-1
5992,1,0,-1
5993,3,2,-1
5994,2,0,-1
5995,16,0,-1
5996,33,0,-1
5997,1,0,-1
5998,2,0,-1
5999,16,0,-1
6000,33,0,-1
6001,3,3,-1
6002,1,0,-1
6003,2,0,-1
6004,16,0,-1
6005,33,0,-1
6006,3,4,-1
6007,1,0,-1
6008,2,0,-1
6009,16,0,-1
6010,33,0,-1
6011,3,5,-1
6012,1,0,-1
6013,2,0,-1
6014,16,0,-1
6015,33,0,-1
6016,3,6,-1
6017,1,0,-1
6018,2,0,-1
6019,16,0,-1
6020,33,0,-1
6021,3,4,-1
6022,0,0,-1
6023,1,0,-1
6024,3,0,-1
6025,2,0,-1
