ID,Field_12_0_0_63534_002,AchievementID,QuestID,Field_12_0_0_63967_005,HouseDecorID
166,1,0,38147,0,1886
167,1,0,40890,0,1889
168,1,0,38663,0,1884
169,1,0,78864,0,7896
170,1,0,40573,0,1882
171,1,0,40573,0,1883
172,1,0,40321,0,1885
173,1,0,36169,0,8186
174,1,0,33256,0,8786
175,1,0,34792,0,8239
176,1,0,34792,0,8177
177,1,0,47691,0,930
178,1,0,44004,0,8189
179,1,0,70745,0,11164
180,1,0,27550,0,11498
181,1,0,28337,0,11301
182,1,0,26754,0,11305
183,1,0,7604,0,11274
184,1,0,39426,0,11752
185,1,0,39992,0,11487
186,1,0,39305,0,11753
187,1,0,39387,0,11491
188,1,0,39579,0,1287
189,1,0,39801,0,9267
190,1,0,77283,0,11454
191,1,0,67063,0,2594
192,1,0,67047,0,2469
193,1,0,37470,0,2530
194,1,0,66001,0,2529
195,1,0,26229,0,4814
196,1,0,84675,0,14381
197,1,0,39772,0,14379
198,1,0,35196,0,8187
199,1,0,35685,0,8785
200,1,0,34099,0,8772
201,1,0,35396,0,928
202,1,0,36592,0,4486
203,1,0,36404,0,4403
204,1,0,36202,0,4404
205,1,0,34586,0,4816
206,1,0,34192,0,4485
207,1,0,26397,0,1281
208,1,0,78642,0,11931
209,1,0,80516,0,11932
210,1,0,79565,0,11933
211,1,0,79510,0,11930
212,1,0,41143,0,11908
213,1,0,40230,0,11907
214,1,0,11566,0,11906
215,1,11699,0,0,11909
216,1,9415,0,0,12200
217,1,0,35896,0,12209
218,1,0,35671,0,12201
219,1,0,33582,0,12202
220,1,0,35704,0,12205
221,1,0,35273,0,12208
246,1,0,0,0,15605
249,1,0,0,0,15741
250,1,0,0,0,1193
251,1,0,0,0,1481
252,1,0,0,0,2466
253,1,0,0,0,11131
254,1,0,0,0,14360
255,1,0,0,0,14359
256,1,0,0,0,3837
257,1,0,0,0,3838
258,1,0,0,0,11455
259,1,0,0,0,5882
260,1,0,0,0,5527
261,1,0,0,0,14358
262,1,0,0,0,4042
263,1,0,0,0,750
264,1,0,0,0,5126
265,1,0,0,0,7575
266,1,0,0,0,7824
267,1,0,0,0,14461
268,1,0,0,0,11493
269,1,0,0,0,5128
270,1,0,0,0,5534
271,1,0,0,0,11455
272,1,0,0,0,767
273,1,0,0,0,14583
