ID,GarrTypeID,Field_9_0_2_36294_001,CooldownSeconds,Condition_9_0_2_36294_003,Field_9_0_2_36294_004,Field_9_0_2_36294_005
208,3,50,0,0,339,0
217,3,1,5,45948,347,0
218,3,1,8553601,5703,0,0
220,3,1,3600,46247,347,0
221,3,1,3600,46248,347,0
222,3,1,1209600,50083,347,0
223,3,1,604800,46304,0,0
227,3,1,1,0,336,0
228,3,1,14400,47506,336,0
230,3,3,18000,48703,336,0
231,3,1,14400,48806,336,0
232,3,5,14400,48805,336,0
233,3,5,14400,48806,336,0
234,3,1,259200,48806,336,0
235,3,1,1123200,49055,336,0
237,3,4,3600,50762,337,0
238,3,4,3600,50762,337,0
239,3,4,3600,50763,337,0
240,3,4,3600,50763,337,0
241,3,4,3600,50764,337,0
242,3,4,3600,50764,337,0
243,3,2,3600,50765,337,0
244,3,1,86400,5793,0,0
245,3,1,86400,5793,0,0
247,3,1,1123200,53467,337,0
252,3,1,0,0,337,0
255,3,1,1,50765,337,0
256,9,10,1,61720,0,0
257,9,1,600,55565,0,0
258,9,0,0,21439,0,0
259,9,3,14400,61842,464,0
260,9,2,28800,61842,464,0
261,9,0,0,0,464,0
263,9,12,0,5703,464,0
264,9,0,0,5793,0,0
365,9,12,0,0,464,0
366,9,0,0,5793,464,0
367,9,0,0,0,464,0
368,9,1,691200,0,464,0
369,9,1,691200,0,464,0
370,9,1,691200,0,464,0
371,9,1,1382400,0,464,0
372,9,1,1382400,0,464,0
373,9,1,1382400,0,464,0
374,9,1,1728000,0,464,0
375,9,1,691200,0,464,0
376,9,1,691200,0,464,0
377,9,1,50400,61842,464,0
378,9,0,0,72847,464,0
379,9,1,0,71186,464,0
380,9,0,0,72857,464,0
382,111,1,7200,88810,0,0
383,111,1,7200,88810,0,0
384,111,1,7200,88810,0,0
385,111,1,1,86405,0,0
386,111,1,7200,88810,0,0
389,111,1,7200,88811,0,0
390,111,1,7200,88812,0,0
391,111,1,7200,88813,0,0
392,111,1,7200,88814,0,0
393,111,1,7200,88811,0,0
394,111,1,7200,88812,0,0
395,111,1,7200,88813,0,0
396,111,1,7200,88814,0,0
397,111,1,7200,88811,0,0
398,111,1,7200,88812,0,0
399,111,1,7200,88813,0,0
400,111,1,7200,88814,0,0
401,111,1,7200,88811,0,0
402,111,1,7200,88812,0,0
403,111,1,7200,88813,0,0
404,111,1,7200,88814,0,0
405,111,1,86400,89069,0,0
406,111,1,259200,87923,0,0
407,111,1,604800,89329,0,0
408,111,2,43200,93156,0,0
409,111,1,86400,92386,0,0
410,111,1,43200,5703,0,0
411,111,2,43200,93360,0,0
413,111,1,43200,5703,0,0
414,111,1,259200,87923,0,0
