ID,Flags,ExpansionID,HPScalingCurveID,DMGScalingCurveID,HPPrimaryStatScalingCurveID,DMGPrimaryStatScalingCurveID,PrimaryStatScalingModPlayerDataElementCharacterID,PrimaryStatScalingModPlayerDataElementCharacterMultiplier,MinLevelSquish,MaxLevelSquish,MinLevelScalingOffset,MaxLevelScalingOffset,AllowedMinOffset,AllowedMaxOffset,LfgMinLevel,LfgMaxLevel,ILevel,XpMultQuest
7432,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1
7433,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,1
7434,0,0,0,0,0,0,0,0,51,60,0,0,0,0,0,0,0,1
7435,0,0,0,0,0,0,0,0,1,39,0,0,0,0,0,0,0,1
7436,0,0,0,0,0,0,0,0,30,60,0,0,0,0,0,0,0,1
7440,0,0,0,0,0,0,0,0,24,60,0,0,0,0,0,0,0,1
7449,0,0,0,0,0,0,0,1,13,49,0,0,0,0,0,0,0,1
7456,0,0,0,0,0,0,0,0,20,29,0,0,0,0,0,0,0,1
7457,0,0,0,0,0,0,0,0,30,39,0,0,0,0,0,0,0,1
7458,0,0,0,0,0,0,0,0,40,49,0,0,0,0,0,0,0,1
7459,0,0,0,0,0,0,0,0,50,59,0,0,0,0,0,0,0,1
7460,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,0,0,1
7483,0,0,0,0,0,0,0,0,24,49,0,0,0,0,0,0,0,1
7484,0,0,0,0,0,0,0,0,50,60,0,0,0,0,0,0,0,1
7485,0,0,0,0,0,0,0,0,25,34,0,0,0,0,0,0,0,1
7486,0,0,0,0,0,0,0,0,35,44,0,0,0,0,0,0,0,1
7487,0,0,0,0,0,0,0,0,45,60,0,0,0,0,0,0,0,1
7491,0,0,0,0,0,0,0,0,51,60,0,0,0,0,0,0,0,1
