ID,Name_lang,CreatureID,PortraitFileDataID,UiTextureKitID,UiAnimScale,UiAnimHeight,Flags,AutoCombatantID
55,Grimfrost Drudge,81580,1067268,0,1.2,0.55,0,0
56,Frostbeak Scavenger,81583,1067178,0,1.3,0.9,0,0
57,Bladespire Raider,81587,1067336,0,1.2,0.5,0,0
58,Pale Devourer,82405,1067305,0,1,0.45,0,0
59,Corrupted Toad,82410,1067273,0,1,0.45,0,0
60,Lunarfall Raven,82409,1067466,0,0.8,0.5,0,0
61,Shadowmoon Necrolyte,82413,1067287,0,1.55,0.5,0,0
62,Shadowmoon Darkcaster,82414,1067282,0,1.55,0.5,0,0
63,Thundering Plainswalker,83059,1067312,0,0.75,0.55,0,0
64,Gorian Arcanist,83067,1067413,0,1.2,0.5,0,0
65,Gorian Cohort,83071,1067409,0,1.2,0.5,0,0
66,Iron Flameseer,83128,1067339,0,1.4,0.5,0,0
67,Iron Flameseer,83126,1067270,0,1.4,0.5,0,0
68,Beremus the Overseer,83236,1067399,0,0.9,0.53,0,0
69,Tarlna the Ancient,83236,1067399,0,0.9,0.53,0,0
70,Skyreach Stormcaller,83357,1067403,0,0.9,0.55,0,0
71,Adherent Harrier,83363,1067405,0,0.9,0.55,0,0
72,Felwrought Annihilator,83379,1067240,0,0.75,0.55,0,0
73,Bloodmane Matriarch,83074,1067433,0,0.8,0.55,0,0
74,Shade Prowler,83347,1067465,0,1.2,0.5,0,0
75,Felflame Infernal,83170,1067195,0,0.75,0.55,0,0
76,Flaming Pillager,83382,1067237,0,0.9,0.55,0,0
77,Essence of Darkness,83256,1067191,0,1.4,0.55,0,0
78,Essence of the Void,83251,1416404,0,1.4,0.55,0,0
79,Gor,83098,1067407,0,0.75,0.55,0,0
80,Ravenous Ironchewer,83193,1067290,0,0.75,0.55,0,0
81,Bladespire Brute,83043,1067419,0,1.2,0.5,0,0
82,Bladespire Mauler,83042,1067420,0,1.2,0.5,0,0
83,Bladespire Geomancer,83045,1067422,0,1.2,0.5,0,0
84,Thunderlord Windreader,83120,1067286,0,1.5,0.5,0,0
85,Yggdrel,83225,1067302,0,0.55,0.55,0,0
86,Thunderlord Talon,83118,1067285,0,1.5,0.5,0,0
87,Thunderlord Beast-Rider,83122,1067284,0,1.5,0.5,0,0
88,Moonbark Ancient,83226,1067303,0,0.55,0.55,0,0
89,Nagrand Raider,83135,1067388,0,1.5,0.5,0,0
90,Warsong Earthcaller,83140,1067358,0,1.5,0.5,0,0
91,Sabermaw Mystic,83084,1067432,0,0.8,0.55,0,0
92,Sabermaw Scarfang,83074,1067433,0,0.8,0.55,0,0
93,Sabermaw Mauler,83081,1067431,0,0.8,0.55,0,0
94,Adherent Flightcaller,83353,1067381,0,0.9,0.55,0,0
95,Adherent Bladewing,83354,1067401,0,0.9,0.55,0,0
96,Adherent Sun-Priest,83356,1067404,0,0.9,0.55,0,0
97,Sargerei Vigilant,83241,1067367,0,1.3,0.5,0,0
98,Sargerei Channeler,83242,1067368,0,1.3,0.5,0,0
99,Sargerei Soul-Twister,83243,1067366,0,1.3,0.5,0,0
100,Stonemaul Slaver,83045,1067422,0,1.2,0.5,0,0
101,Slavemaster Ok'mok,83062,1067418,0,1.2,0.5,0,0
102,Arcanist Earthsmasher,83070,1067414,0,1.2,0.5,0,0
103,Gorian Warmaster,83072,1067410,0,1.2,0.5,0,0
104,Gorian Warmaster,83072,1067410,0,1.2,0.5,0,0
105,Blademoon Genesaur,83233,1067400,0,0.9,0.53,0,0
106,Botani Grower,83217,1067380,0,0.9,0.55,0,0
107,Botani Warder,83217,1067380,0,0.9,0.55,0,0
108,Shadeback Ravager,83103,1067345,0,0.9,0.45,0,0
109,Shadeback Ravager,83106,1067346,0,0.9,0.45,0,0
110,Shadeback Ravager,83107,1067343,0,0.9,0.45,0,0
111,Blazing Infernal,83170,1067195,0,0.75,0.55,0,0
112,Stonescale,83214,1067187,0,1.45,0.4,0,0
113,Bloodhide Watcher,83213,1067186,0,1.45,0.4,0,0
114,Snow Lurker,84858,1087727,0,1.45,0.4,0,0
115,Magma Elemental,83147,1067228,0,1.2,0.4,0,0
116,Ice Fury,83152,1067233,0,1.2,0.4,0,0
118,Hyacinth Mandragora,83301,1067341,0,1,0.4,0,0
119,Shadowmoon Voidclaw,83129,1067347,0,1.5,0.5,0,0
120,Podling Squirt,83292,1067330,0,1.9,0.45,0,0
121,Frost Fury,83151,1067221,0,1.2,0.4,0,0
122,Ravenous Ironchewer,83192,1067288,0,1.4,0.45,0,0
123,Sootstained Enforcer,83041,1067421,0,1.2,0.5,0,0
124,Moonbark Ancient,83225,1067302,0,0.55,0.55,0,0
125,Shadowmoon Voidaxe,83133,1067294,0,1.5,0.5,0,0
126,Essence of Darkness,83386,1067428,0,1.4,0.55,0,0
127,Thunderlord Talon,83117,1067306,0,1.5,0.5,0,0
128,Ata'gar Warrior,83179,1067318,0,1.55,0.5,0,0
129,Icemaw Matriarch,83038,1067266,0,0.55,0.45,0,0
130,Silent Watcher,83228,1067301,0,0.55,0.45,0,0
131,Iron Grunt,83127,1067457,0,1.5,0.5,0,0
132,Ula,83234,1067398,0,0.9,0.53,0,0
133,Boneyard Gorger,83195,1067289,0,1.4,0.45,0,0
134,Gorge Bonepicker,83056,1067391,0,0.75,0.55,0,0
135,Iron Pulverizer,83339,1067267,0,1.05,0.45,0,0
136,Tol'ressa,83173,1067198,0,1.1,0.5,0,0
137,Goren Stonechewer,83194,1067291,0,1.5,0.45,0,0
138,Adherent Sun-Caller,83351,1067402,0,0.9,0.55,0,0
139,Shadowborne Reverend,83178,1067320,0,1.55,0.5,0,0
140,Gordunni Basher,83072,1067410,0,1.2,0.5,0,0
141,Skagg,83063,1067417,0,1.2,0.55,0,0
142,Shattered Hand Sadist,83141,1067245,0,1.4,0.5,0,0
143,Ravaging Knuckledragger,83114,1067307,0,1,0.45,0,0
144,Shadeback Ravager,83103,1067345,0,0.9,0.45,0,0
145,Howling Rylak,83060,1067264,0,0.55,0.45,0,0
146,Sangrikass,83374,1067218,0,1.4,0.55,0,0
147,Shattered Hand Blood-Singer,83143,1067244,0,1.4,0.5,0,0
148,Tumultous Water Spirit,83369,1067324,0,1.2,0.4,0,0
149,Gorian Arcanist,83065,1067412,0,1.2,0.5,0,0
150,Warsong Earthcaller,83140,1067358,0,1.5,0.5,0,0
151,Gorian Gladiator,83073,1067411,0,1.2,0.5,0,0
152,Burning Blademaster,83460,1067269,0,1.4,0.5,0,0
153,Plainswalker Gronn,83059,1067312,0,0.75,0.55,0,0
154,Void-Torn Spirit,83257,1108823,0,1.4,0.5,0,0
155,Thunderlord Grappler,83122,1067284,0,1.5,0.5,0,0
156,Podling Nibbler,83291,1067332,0,1.9,0.45,0,0
157,Blackrock Grunt,83123,1067356,0,1.5,0.5,0,0
158,Stonemaul Guard,83062,1067418,0,1.2,0.5,0,0
159,Stonemaul Intimidator,83047,1067357,0,0.9,0.5,0,0
160,Adherent Squallbringer,83356,1067404,0,0.9,0.55,0,0
161,Iron Shredder,83336,1067371,0,1.05,0.45,0,0
162,Adherent Bladewing,83354,1067401,0,0.9,0.55,0,0
163,Bloodmane Gutripper,83081,1067431,0,0.8,0.55,0,0
164,Warsong Outriders,83135,1067388,0,1.5,0.5,0,0
165,Warsong Raider,83135,1067388,0,1.5,0.5,0,0
166,Riverbeast,83246,1067250,0,0.95,0.45,0,0
167,Ashmane Clefthoof,83431,1067247,0,1.1,0.4,0,0
168,Blademoon Botani,83217,1067380,0,0.9,0.55,0,0
169,Icespine Ravager,83101,1067344,0,0.9,0.45,0,0
170,Mandragora Lifedrinker,83238,1067406,0,1,0.4,0,0
171,Wild Clefthoof,83433,1067249,0,1.1,0.4,0,0
172,Iridium Geode,83343,1067227,0,0.75,0.6,0,0
173,Wild Bloom,83262,1067192,0,0.75,0.5,0,0
174,Shadowbark,83227,1067300,0,0.55,0.55,0,0
175,Dread Raven,83372,1067279,0,0.8,0.5,0,0
176,Leatherhide Bull,83432,1067248,0,1.1,0.4,0,0
177,Earth Fury,83155,1067395,0,0.75,0.5,0,0
178,Gronn Treeslammer,83058,1067311,0,0.75,0.55,0,0
179,Wrathguard Destroyer,83172,1067199,0,1,0.55,0,0
180,Imp,83167,1067188,0,1.9,0.5,0,0
181,Durkath Steelmaw,83145,1067243,0,1.5,0.5,0,0
182,Dargorr the Landslide,86199,1067395,0,0.75,0.5,0,0
183,Enslaved Earth Spirit,86200,1067397,0,0.75,0.5,0,0
184,Plainswalker Gronn,83059,1067312,0,0.75,0.55,0,0
185,Shadowmoon Prophet,83129,1067347,0,1.5,0.5,0,0
186,Grondo,83037,1067313,0,0.75,0.5,0,0
187,Botani Grovetender,83219,1067393,0,0.9,0.55,0,0
188,Shattered Hand Grunt,83146,1067242,0,1.5,0.5,0,0
189,Shattered Hand Flayer,83142,1088313,0,1.5,0.5,0,0
190,Shattered Hand Cleaver,83144,1088312,0,1.5,0.5,0,0
191,Adherent Wing-Guard,83353,1067381,0,0.9,0.55,0,0
192,Haunted Hound,84761,1067212,0,1.3,0.5,0,0
193,Ghastly Guard,84762,1067274,0,1.7,0.5,0,0
194,Ghastly Nightwatch,84763,1067274,0,1.7,0.5,0,0
196,Rock Flayer,83211,1067203,0,0.75,0.55,0,0
197,Burning Flameseer,84844,1087721,0,1.55,0.5,0,0
198,Burning Blademaster,83460,1067269,0,1.4,0.5,0,0
199,General Kull'krosh,84847,1067327,0,1.4,0.5,0,0
200,Iron Arbalester,84849,1087720,0,1.55,0.5,0,0
201,Iron Guard,84850,1087726,0,1.55,0.5,0,0
202,Moonglow Sporebat,83265,1067427,0,0.85,0.8,0,0
203,Pale Fishmonger,83113,1067305,0,1,0.45,0,0
204,Grimfrost Wormpriest,83042,1067420,0,1.2,0.5,0,0
205,Hypnocroak,82410,1067273,0,1,0.45,0,0
206,Frostwing Screecher,83166,1067392,0,0.6,0.9,0,0
207,Underbrush Stalker,83269,1067201,0,1.05,0.55,0,0
208,Dessicus of the Dead Pools,85855,1067365,0,0.9,0.45,0,0
209,Steamscar Warrior,83080,1067429,0,0.8,0.55,0,0
210,Steamscar Primalist,83076,1067430,0,0.8,0.55,0,0
211,Iron Siege Cannon,83338,1067255,0,1.05,0.45,0,0
212,"Mad ""King"" Sporeon",83296,1067329,0,1.9,0.45,0,0
213,Breezerider Kaliri,83307,1067451,0,1.35,0.5,0,0
214,Deathweb Crawler,83189,1067252,0,1.2,0.45,0,0
215,Adherent Wind-Lasher,83354,1067401,0,0.9,0.55,0,0
216,Apexis Guardian,83375,1067374,0,0.8,0.45,0,0
217,Widow Wasp,83112,1067355,0,0.9,0.5,0,0
218,Gardul Venomshiv,86109,1087722,0,1.55,0.5,0,0
219,Highmaul Archaeologian,83069,1067415,0,1.2,0.5,0,0
220,Highmaul Laborer,83064,1067416,0,1.2,0.55,0,0
221,Lug'dol,87454,1067443,0,1.2,0.5,0,0
222,Nascent Brawler,86121,1067444,0,1.2,0.5,0,0
223,Arcane Anomaly,86197,1067222,0,1.2,0.6,0,0
224,Vigilant Kaathar,86217,1067440,0,1.15,0.45,0,0
225,Vigilant Kaathar,86217,1067440,0,1.15,0.45,0,0
226,Soulbinder Nyami,86218,1067261,0,1.1,0.55,0,0
227,Soulbinder Nyami,86218,1067261,0,1.1,0.55,0,0
228,Azzakel,86219,1087719,0,1.1,0.55,0,0
229,Azzakel,86219,1087719,0,1.1,0.55,0,0
230,Teron'gor,86220,1067277,0,1.55,0.5,0,0
231,Teron'gor,86220,1067277,0,1.55,0.5,0,0
232,Magmolatus,86221,1067241,0,1.15,0.5,0,0
233,Magmolatus,86221,1067241,0,1.15,0.5,0,0
234,Slave Watcher Crushto,86222,1067256,0,1.2,0.55,0,0
235,Slave Watcher Crushto,86222,1067256,0,1.2,0.55,0,0
236,Roltall,86223,1112914,0,1.15,0.5,0,0
237,Gug'rokk,86224,1067257,0,1.2,0.55,0,0
238,Gug'rokk,86224,1067257,0,1.2,0.55,0,0
239,Railmaster Rocketspark,86225,1067278,0,1.6,0.5,0,0
240,Railmaster Rocketspark,86225,1067278,0,1.6,0.5,0,0
241,Borka the Brute,86226,1067455,0,0.67,0.5,0,0
242,Borka the Brute,86226,1067455,0,0.67,0.5,0,0
243,Nitrogg Thundertower,86227,1067323,0,1.2,0.5,0,0
244,Nitrogg Thundertower,86227,1067323,0,1.2,0.5,0,0
245,Skylord Tovra,86228,1067337,0,1.2,0.5,0,0
246,Skylord Tovra,86228,1067337,0,1.2,0.5,0,0
247,Fleshrender Nok'gar,87451,1067362,0,1.3,0.5,0,0
248,Fleshrender Nok'gar,87451,1067362,0,1.3,0.5,0,0
249,Ahri'ok Dugru,87450,1067354,0,1.4,0.5,0,0
250,Makogg Emberblade,86231,1067353,0,1.4,0.5,0,0
251,Oshir,86232,1067328,0,0.8,0.55,0,0
252,Oshir,86232,1067328,0,0.8,0.55,0,0
253,Skulloc,86233,1067434,0,0.85,0.5,0,0
254,Sadana Bloodfury,86234,1067298,0,1.3,0.5,0,0
255,Sadana Bloodfury,86234,1067298,0,1.3,0.5,0,0
256,Nhallish,86235,1067260,0,1.2,0.5,0,0
257,Nhallish,86235,1067260,0,1.2,0.5,0,0
258,Bonemaw,86236,1067458,0,1.2,0.35,0,0
259,Bonemaw,86236,1067458,0,1.2,0.35,0,0
260,Ner'zhul,86237,1067453,0,1.1,0.5,0,0
261,Ner'zhul,86237,1067453,0,1.1,0.5,0,0
262,Ranjit,86238,1067351,0,0.9,0.5,0,0
263,Ranjit,86238,1067351,0,0.9,0.5,0,0
264,Araknath,86239,1067276,0,0.8,0.45,0,0
265,Araknath,86239,1067276,0,0.8,0.45,0,0
266,Rukhran,86240,1067454,0,0.8,0.5,0,0
267,Rukhran,86240,1067454,0,0.8,0.5,0,0
268,High Sage Viryx,86241,1067352,0,0.9,0.55,0,0
269,High Sage Viryx,86241,1067352,0,0.9,0.55,0,0
270,Witherbark,86242,1067372,0,0.55,0.55,0,0
271,Witherbark,86242,1067372,0,0.55,0.55,0,0
272,Life Warden Gola,86243,1067377,0,0.9,0.55,0,0
273,Earthshaper Telu,86244,1067435,0,0.9,0.55,0,0
274,Dulhu,86245,1067438,0,0.9,0.5,0,0
275,Archmage Sol,86246,1067383,0,1.2,0.5,0,0
276,Archmage Sol,86246,1067383,0,1.2,0.5,0,0
277,Xeri'tac,86247,1067442,0,1.2,0.45,0,0
278,Xeri'tac,86247,1067442,0,1.2,0.45,0,0
279,Yalnu,86248,1067384,0,0.9,0.53,0,0
280,Yalnu,86248,1067384,0,0.9,0.53,0,0
281,Orebender Gor'ashan,86249,1067262,0,1.2,0.5,0,0
282,Orebender Gor'ashan,86249,1067262,0,1.2,0.5,0,0
283,Kyrak,86250,1067259,0,0.8,0.5,0,0
284,Kyrak,86250,1067259,0,0.8,0.5,0,0
285,Commander Tharbek,86251,1067271,0,1.2,0.5,0,0
286,Commander Tharbek,86251,1067271,0,1.2,0.5,0,0
287,Ragewing the Untamed,86252,1067263,0,0.55,0.45,0,0
288,Ragewing the Untamed,86252,1067263,0,0.55,0.45,0,0
289,Warlord Zaela,86253,1067304,0,1.2,0.5,0,0
290,Warlord Zaela,86253,1067304,0,1.2,0.5,0,0
291,Highmaul Emissary Guard,86362,1067316,0,1.2,0.55,0,0
292,Watchful Eye,86363,1067461,0,1.1,0.5,0,0
293,Burning Eye,86363,1067461,0,1.1,0.5,0,0
294,Sargerei Binder,86364,1067369,0,1.4,0.55,0,0
295,Sargerei Binder,86364,1067369,0,1.4,0.55,0,0
296,Nightshade Wraith,86365,1067460,0,1.2,0.5,0,0
297,Drov the Ruiner,83097,1067408,0,0.7,0.55,0,0
298,Bloodmaul Taskmaster,83043,1067419,0,1.2,0.55,0,0
299,Bloodmaul Bonecrusher,83046,1067342,0,0.95,0.45,0,0
300,Shattered Pitmaster,83145,1067243,0,1.5,0.5,0,0
301,Shattered Flayer,83141,1067245,0,1.5,0.5,0,0
302,Mother Araneae,83188,1067425,0,1.2,0.45,0,0
303,Widow Wasp,83112,1067355,0,0.9,0.5,0,0
304,Smokemaster Snarl,86444,1067370,0,0.8,0.55,0,0
305,Shadow Militant,83178,1067320,0,1.55,0.5,0,0
306,Shadow Pillager,83179,1067318,0,1.55,0.5,0,0
307,Gorebound Vessel,83181,1067319,0,1.55,0.5,0,0
308,Ravenous Mongrel,83169,1067196,0,1.8,0.45,0,0
309,Infected Bruiser,86508,1067360,0,1.7,0.45,0,0
310,Infected Bar Patron,86509,1067450,0,1.8,0.5,0,0
311,Flinthide,83431,1067247,0,1.1,0.4,0,0
312,Gar'lua,86519,1067385,0,1.55,0.5,0,0
313,Warsong Wolf,83090,1067253,0,1.5,0.5,0,0
314,Ug'lok the Frozen,87432,1067382,0,1.2,0.55,0,0
315,Brambleking Fili,87484,1067375,0,1.9,0.45,0,0
316,Shadowglen Spitter,83292,1067330,0,1.9,0.45,0,0
317,Iron Warden,87440,1067292,0,1.55,0.5,0,0
318,Iron Reinforcement,87438,1067449,0,1.4,0.5,0,0
319,Iron Trampler,87439,1067437,0,0.95,0.45,0,0
320,Iron Trampler,87439,1067437,0,0.95,0.45,0,0
321,Blademaster Ro'gor,87434,1067464,0,1.55,0.5,0,0
322,Darktide Pilferer,87487,1067309,0,2,0.5,0,0
323,Darktide Engineer,87486,1067235,0,2,0.5,0,0
324,Darktide Rylakinator,87489,1067258,0,1.1,0.5,0,0
325,Soaring Blade,87495,1067349,0,0.9,0.55,0,0
326,Initiate of the Dawn,87494,1067350,0,0.9,0.55,0,0
327,Azzakel,86219,1087719,0,1.1,0.5,0,0
328,Vigilant Kaathar,86217,1067440,0,1.15,0.45,0,0
329,Soulbinder Nyami,86218,1067261,0,1.1,0.5,0,0
330,Teron'gor,86220,1067277,0,1.3,0.45,0,0
331,Magmolatus,86221,1067241,0,1.05,0.5,0,0
332,Slave Watcher Crushto,86222,1067256,0,1.2,0.55,0,0
333,Roltall,86223,1112914,0,1.05,0.5,0,0
334,Gug'rokk,86224,1067257,0,1.2,0.5,0,0
335,Railmaster Rocketspark,86225,1067278,0,1.65,0.45,0,0
336,Borka the Brute,86226,1067455,0,0.67,0.5,0,0
337,Nitrogg Thundertower,86227,1067323,0,1.25,0.5,0,0
338,Skylord Tovra,86228,1067337,0,1.25,0.5,0,0
339,Fleshrender Nok'gar,87451,1067362,0,1.2,0.5,0,0
340,Ahri'ok Dugru,87452,1067354,0,1.3,0.5,0,0
341,Oshir,86232,1067328,0,0.8,0.55,0,0
342,Skulloc,86233,1067434,0,0.75,0.55,0,0
343,Skulloc,86233,1067434,0,0.75,0.55,0,0
344,Sadana Bloodfury,86234,1067298,0,1.3,0.5,0,0
345,Nhallish,86235,1067260,0,1.2,0.5,0,0
346,Bonemaw,86236,1067458,0,0.9,0.6,0,0
347,Ner'zhul,86237,1067453,0,1.1,0.5,0,0
348,Ranjit,86238,1067351,0,0.9,0.55,0,0
349,Araknath,86239,1067276,0,0.8,0.45,0,0
350,Rukhran,86240,1067454,0,0.8,0.5,0,0
351,High Sage Viryx,86241,1067352,0,0.9,0.55,0,0
352,Witherbark,86242,1067372,0,0.55,0.55,0,0
353,Dulhu,86245,1067438,0,0.95,0.5,0,0
354,Archmage Sol,86246,1067383,0,1.2,0.5,0,0
355,Xeri'tac,86247,1067442,0,1.2,0.45,0,0
356,Yalnu,86248,1067384,0,0.9,0.53,0,0
357,Orebender Gor'ashan,86249,1067262,0,1.2,0.5,0,0
358,Kyrak,86250,1067259,0,0.8,0.5,0,0
359,Commander Tharbek,86251,1067271,0,1.2,0.5,0,0
360,Ragewing the Untamed,86252,1067263,0,0.55,0.45,0,0
361,Warlord Zaela,86253,1067304,0,1.2,0.5,0,0
362,Kargath Bladefist,87444,1108826,0,1.1,0.5,0,0
363,The Butcher,87447,1067275,0,1.15,0.5,0,0
364,"Tectus, The Living Mountain",87446,1067314,0,0.9,0.45,0,0
365,"Brackenspore, Walker of the Deep",87441,1067446,0,1.15,0.5,0,0
366,Twin Ogron,87449,1067295,0,0.95,0.45,0,0
367,Ko'ragh,87445,1067315,0,1.15,0.5,0,0
368,Imperator Mar'gok,87443,1067293,0,1.2,0.5,0,0
369,Instructor Johnny Castle,87400,1067197,0,1.5,0.5,0,0
370,Griftah,87408,1067194,0,1.4,0.55,0,0
371,Scythetooth Raptor,87409,1108824,0,1.75,0.5,0,0
372,Rampant Gladiator,87456,1067445,0,1.2,0.5,0,0
373,Rampant Gladiator,87456,1067445,0,1.2,0.5,0,0
374,Brokenfang,87490,1067459,0,1,0.4,0,0
375,Bloodmane Shortfang,87491,1067387,0,1,0.4,0,0
376,Nefarious Madame,87497,1067389,0,1.3,0.5,0,0
377,Damsel of Lust,87498,1067386,0,1.7,0.5,0,0
378,Crushmaul,87478,1067322,0,1,0.4,0,0
379,Raketalon,87480,1067325,0,1,0.4,0,0
380,Hol'yelaa,87479,1067441,0,1,0.4,0,0
381,The Burninator,87482,1067326,0,1,0.4,0,0
382,Roakk the Zealot,87481,1067378,0,0.9,0.55,0,0
383,Gnome Mage,87462,1067215,0,1.7,0.45,0,0
384,Night Elf Druid,87468,1067214,0,1.3,0.5,0,0
385,Dwarf Hunter,87461,1067213,0,1.3,0.5,0,0
386,Human Warrior,87467,1067179,0,1.35,0.5,0,0
387,Draenei Paladin,87459,1067189,0,1.3,0.5,0,0
388,Worgen Rogue,87573,1067229,0,1.2,0.5,0,0
389,Pandaren Monk,87471,1067232,0,1.25,0.45,0,0
390,Orc Shaman,87470,1067181,0,1.4,0.5,0,0
391,Blood Elf Mage,87457,1067183,0,1.3,0.5,0,0
392,Tauren Warrior,87473,1067204,0,1,0.4,0,0
393,Troll Hunter,87474,1067231,0,1.25,0.5,0,0
394,Blood Elf Paladin,87458,1067185,0,1.3,0.5,0,0
395,Goblin Rogue,87464,1067475,0,1.8,0.5,0,0
396,Human Priest,87466,1067219,0,1.35,0.5,0,0
397,Draenei Shaman,87460,1067206,0,1.3,0.5,0,0
398,Gnome Warlock,87463,1067225,0,1.7,0.45,0,0
399,Human Death Knight,87465,1067211,0,1.35,0.5,0,0
400,Undead Priest,87475,1067216,0,1.3,0.5,0,0
401,Undead Warlock,87476,1067217,0,1.3,0.5,0,0
402,Tauren Druid,87472,1067205,0,1.25,0.5,0,0
403,Orc Death Knight,87469,1067210,0,1.4,0.5,0,0
404,Drov the Ruiner,87437,1067439,0,1,0.4,0,0
405,Rukhmar,87493,1067456,0,1,0.4,0,0
406,Highmaul Arcanist,87453,1067436,0,1.2,0.5,0,0
407,Alarm-o-Bot,87401,1067182,0,1,0.4,0,0
408,Alarm-o-Bot,87401,1067182,0,1,0.4,0,0
409,Crowd Pummeler 9-60,87403,1067226,0,1,0.4,0,0
410,Mighty Zoo Lock,87504,1067468,0,1.25,0.5,0,0
411,Tricksy Miracle Rogue,87404,1067209,0,1.25,0.5,0,0
412,Powerful Control Warrior,87405,1067220,0,1.25,0.5,0,0
413,Cookie,87407,1067180,0,1.4,0.5,0,0
414,Avatar of Aggramar,87406,1067474,0,1.4,0.55,0,0
415,Avatar of Golganneth,87406,1067474,0,1.4,0.55,0,0
416,Pale Tormentor,83113,1067305,0,1,0.45,0,0
417,Coldtusk,87577,1067254,0,1,0.4,0,0
418,Cyclonic Fury,87578,1067234,0,1,0.4,0,0
419,Ba'ruun,87579,1067190,0,1,0.4,0,0
420,Shinri,87582,1108820,0,1.2,0.5,0,0
421,Rolkor,83036,1067310,0,1,0.4,0,0
422,Gelgor of the Blue Flame,83078,1067423,0,1,0.4,0,0
423,Hen-Mother Hami,87662,1067448,0,1,0.4,0,0
424,Steeltusk,87665,1067463,0,1,0.4,0,0
425,Festerbloom,87693,1067447,0,1,0.4,0,0
426,Shadowbark,83227,1067300,0,0.55,0.55,0,0
427,Warmaster Blugthol,87694,1067317,0,1.2,0.5,0,0
428,Soulfang,87696,1067340,0,1,0.4,0,0
429,Bladespire Warlord,81587,1067336,0,1.2,0.5,0,0
430,Thunderlord Warbringer,81562,1067236,0,1.55,0.5,0,0
431,Wild Witherhide Bull,83433,1067249,0,1,0.4,0,0
432,Thorny Stabber,83296,1067329,0,1.9,0.45,0,0
433,Iron Horde Scout,87857,1067280,0,1.55,0.5,0,0
434,Leatherhide Clefthoof Mother,83432,1067248,0,1.1,0.4,0,0
435,Guardian of Water,87861,1067452,0,1,0.4,0,0
436,Pale Skulker,83115,1067363,0,1,0.45,0,0
437,Dark Acolyte,87869,1067238,0,1.5,0.5,0,0
438,Gul'var Grunt,87870,1067239,0,1,0.4,0,0
439,Veloss,83267,1067426,0,1,0.4,0,0
440,Sniveling Swindler,87874,1067379,0,1.8,0.5,0,0
441,Rune Ritualist,87875,1067470,0,1.55,0.5,0,0
442,Terrorwing Commander,87876,1067469,0,1.55,0.5,0,0
443,Talonpriest Zorka,87882,1067361,0,1.25,0.5,0,0
444,Grom'kar Peon,87885,1067338,0,1.55,0.5,0,0
445,Grom'kar Vanguard,87887,1067467,0,1.5,0.5,0,0
446,Admiral Kronnor,83136,1067359,0,1.4,0.5,0,0
447,Midshipman Nawrog,83461,1067364,0,1.4,0.5,0,0
448,Ambassador Lonn'mog,83065,1067412,0,1.2,0.5,0,0
449,Magma Elemental,83147,1067228,0,1.2,0.4,0,0
450,Bonecrusher Hoorg,83046,1067342,0,1.2,0.4,0,0
451,Magma Shaper Orggruk,83066,1087583,0,1.2,0.5,0,0
452,Reclaimer Muurom,83219,1067393,0,1.2,0.4,0,0
453,Rampaging Riverbeast,83248,1067251,0,1.2,0.4,0,0
454,The Thorned Tyrant,83294,1067424,0,1.2,0.4,0,0
