ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
264,server-only,0,0,4,0,0,2
265,Highest Auction Bid,264,0,0,4222,1,8
273,server-only,0,0,4,0,0,2
274,Prince Malchezaar,273,1,0,3254,1,0
276,server-only,0,0,4,0,0,2
277,Chief Ukorz Sandscalp,276,1,0,3265,1,0
285,server-only,0,0,5,0,0,2
286,Elixir of Lion's Strength,285,0,0,4370,42,0
287,Elixir of Major Agility,285,0,0,4371,43,0
288,Elixir of Major Defense,285,0,0,4372,44,0
289,Elixir of Major Mageblood,285,0,0,4376,48,0
290,Elixir of Major Shadow Power,285,0,0,4377,49,0
291,Elixir of Mighty Defense,285,0,0,4381,53,0
292,Greater Arcane Elixir,285,0,0,4402,74,0
293,Ground Scorpok Assay,285,0,0,4403,75,0
294,Elixir of Wisdom,285,0,0,4395,67,0
295,Elixir of the Mongoose,285,0,0,4396,68,0
296,Fel Strength Elixir,285,0,0,4399,71,0
297,Gift of Arthas,285,0,0,4400,72,0
298,Bloodberry Elixir,285,0,0,4342,14,0
299,Elixir of Detect Undead,285,0,0,4353,25,0
300,Elixir of Giant Growth,285,0,0,4360,32,0
301,Elixir of Greater Agility,285,0,0,4362,34,0
302,Arcane Elixir,285,0,0,4341,13,0
303,Cerebral Cortex Compound,285,0,0,4344,16,0
304,Elixir of Mighty Strength,285,0,0,4384,56,0
305,Elixir of Minor Agility,285,0,0,4385,57,0
306,Elixir of Shadow Power,285,0,0,4389,61,0
307,Elixir of Spirit,285,0,0,4390,62,0
308,Sheen of Zanza,285,0,0,4337,0,0
309,Swiftness of Zanza,285,0,0,4339,11,0
310,Earthen Elixir,285,0,0,4345,17,0
311,Elixir of Brute Force,285,0,0,4347,19,0
312,Elixir of Defense,285,0,0,4349,21,0
313,Elixir of Demonslaying,285,0,0,4350,22,0
314,Elixir of Detect Demon,285,0,0,4351,23,0
315,Elixir of Fortitude,285,0,0,4358,30,0
316,Elixir of Frost Power,285,0,0,4359,31,0
317,Elixir of Greater Firepower,285,0,0,4364,36,0
318,Elixir of Greater Intellect,285,0,0,4365,37,0
319,Strong Troll's Blood Elixir,285,0,0,8648,9,0
320,Elixir of Mighty Defense,285,0,0,8062,80,0
321,Elixir of Mighty Thoughts,285,0,0,8066,81,0
322,Adept's Elixir,285,0,0,4340,12,0
323,Major Troll's Blood Elixir,285,0,0,8074,85,0
324,Elixir of Mighty Agility,285,0,0,4380,52,0
325,Weak Troll's Blood Elixir,285,0,0,8076,102,0
326,Mighty Troll's Blood Elixir,285,0,0,8077,101,0
327,Wrath Elixir,285,0,0,8078,100,0
328,Bloodkelp Elixir of Dodging,285,0,0,8082,96,0
329,Elixir of Shadows,285,0,0,8086,92,0
330,Drakuru's Elixir,285,0,0,8087,91,0
331,Zort's Protective Elixir,285,0,0,8089,89,0
332,Elixir of Draenic Wisdom,285,0,0,4354,26,0
333,Elixir of Giants,285,0,0,4361,33,0
334,Elixir of Lesser Agility,285,0,0,4369,41,0
335,Bloodkelp Elixir of Resistance,285,0,0,8083,95,0
336,Elixir of Water Walking,285,0,0,4394,66,0
337,Elixir of Expertise,285,0,0,8063,110,0
338,Crystal Ward,285,0,0,8068,82,0
339,Juju Chill,285,0,0,8070,83,0
340,Juju Escape,285,0,0,8071,105,0
341,Elixir of Accuracy,285,0,0,8031,87,0
342,Elixir of Armor Piercing,285,0,0,8064,109,0
343,Elixir of Lightning Speed,285,0,0,8065,108,0
344,Juju Ember,285,0,0,8069,106,0
345,Winterfall Firewater,285,0,0,8073,104,0
346,Mageblood Elixir,285,0,0,8075,103,0
347,Spellpower Elixir,285,0,0,8079,99,0
348,Worg's Blood Elixir,285,0,0,8081,97,0
349,Videre Elixir,285,0,0,8084,94,0
350,Ahuurn's Elixir,285,0,0,8085,93,0
351,Zort's Protective Elixir,285,0,0,8088,90,0
352,Juju Might,285,0,0,8072,84,0
353,Elixir of Deadly Strikes,285,0,0,8032,86,0
354,Elixir of Empowerment,285,0,0,4356,28,0
355,Elixir of Ironskin,285,0,0,4368,40,0
356,Elixir of Ogre's Strength,285,0,0,4388,60,0
357,Lung Juice Cocktail,285,0,0,4404,76,0
358,Spirit of Zanza,285,0,0,4338,10,0
359,Elixir of Major Strength,285,0,0,4378,50,0
360,Crystal Force,285,0,0,8067,107,0
361,Noggenfogger Elixir,285,0,0,4406,78,0
362,Murkweed Elixir,285,0,0,8090,88,0
363,Elixir of Healing Power,285,0,0,4367,39,0
364,Elixir of Major Firepower,285,0,0,4373,45,0
365,Elixir of Major Frost Power,285,0,0,4375,47,0
366,Elixir of Major Fortitude,285,0,0,4374,46,0
367,Catseye Elixir,285,0,0,4343,15,0
368,Elixir of Agility,285,0,0,4346,18,0
369,Elixir of Dream Vision,285,0,0,4355,27,0
370,Elixir of Firepower,285,0,0,4357,29,0
371,Elixir of Greater Defense,285,0,0,4363,35,0
372,Elixir of Greater Water Breathing,285,0,0,4366,38,0
373,Elixir of Camouflage,285,0,0,4348,20,0
374,Elixir of Detect Lesser Invisibility,285,0,0,4352,24,0
375,Elixir of Mastery,285,0,0,4379,51,0
376,Elixir of Mighty Fortitude,285,0,0,4382,54,0
377,Elixir of Mighty Mageblood,285,0,0,4383,55,0
378,Elixir of Minor Defense,285,0,0,4386,58,0
379,Elixir of Minor Fortitude,285,0,0,4387,59,0
380,Elixir of Superior Defense,285,0,0,4391,63,0
381,Elixir of Toughness,285,0,0,4392,64,0
382,Elixir of Water Breathing,285,0,0,4393,65,0
383,Elixir of the Sages,285,0,0,4397,69,0
384,Elixir of the Searching Eye,285,0,0,4398,70,0
385,Gizzard Gum,285,0,0,4401,73,0
386,R.O.I.D.S.,285,0,0,4405,77,0
387,Onslaught Elixir,285,0,0,4407,79,0
388,Guru's Elixir,285,0,0,8080,98,0
398,server-only,0,0,5,0,0,2
399,laugh,398,0,0,3238,1,0
400,chuckle,398,0,0,7194,5,0
401,guffaw,398,0,0,7195,2,0
402,rofl,398,0,0,7196,3,0
403,giggle,398,0,0,7197,4,0
425,server-only,0,0,4,0,0,2
426,Pathaleon the Calculator,425,1,0,3720,1,2
458,server-only,0,0,4,0,0,2
459,First aid skill,458,375,0,5592,0,1
467,server-only,0,0,4,0,0,2
468,Hearthstone,467,0,0,5008,0,0
469,Ruby Slippers,467,0,0,11719,1,0
529,server-only,0,0,4,0,0,2
530,Keli'dan the Breaker,529,1,0,3710,1,2
532,server-only,0,0,5,0,0,2
533,Ruins of Lordaeron 5v5 Wins,532,0,0,8601,1,0
534,Nagrand 5v5 Wins,532,0,0,8600,2,0
536,Blade's Edge 5v5 Wins,532,0,0,5726,0,0
539,server-only,0,0,5,0,0,2
540,Ring of Valor 2v2 Matches,539,0,0,8614,3,0
541,Ruins of Lordaeron 2v2 Matches,539,0,0,8613,2,0
542,Dalaran 2v2 Matches,539,0,0,8611,4,0
543,nagrand 2v2 Matches,539,0,0,8612,1,0
544,Blade's Edge 2v2 Matches,539,0,0,5725,0,0
552,server-only,0,1,8,0,0,2
553,Nefarian,552,1,0,3273,1,2
554,Therazane's Link,552,1,0,4564,5,2
555,Boots of the Shadow Flame,552,1,0,4567,8,2
556,Breastplate of Wrath,552,1,0,4578,19,2
557,Archimtiros' Ring of Reckoning,552,1,0,4565,6,2
558,Judgement Breastplate,552,1,0,4580,21,2
559,Stormrage Chestguard,552,1,0,4581,22,2
560,Robes of Transcendence,552,1,0,4584,25,2
561,"Ashkandi, Greatsword of the Brotherhood",552,1,0,4566,7,2
562,"Crul'shorukh, Edge of Chaos",552,1,0,4569,10,2
563,The Lord of Blackrock,552,1,0,4447,2,2
564,The Lord of Blackrock,552,1,0,4448,3,2
565,Cloak of the Brood Lord,552,1,0,4568,9,2
566,Lok'amir il Romathis,552,1,0,4570,11,2
567,Neltharion's Tear,552,1,0,4572,13,2
568,Staff of the Shadow Flame,552,1,0,4575,16,2
569,Breastplate of Ten Storms,552,1,0,4577,18,2
570,Dragonstalker's Breastplate,552,1,0,4579,20,2
571,Nefarius's Corruption,552,1,0,4449,4,2
572,Bloodfang Chestpiece,552,1,0,4576,17,2
573,Prestor's Talisman of Connivery,552,1,0,4573,14,2
574,Pure Elementium Band,552,1,0,4574,15,2
575,Netherwind Robes,552,1,0,4583,24,2
576,"Mish'undare, Circlet of the Mind Flayer",552,1,0,4571,12,2
577,Nemesis Robes,552,1,0,4582,23,2
579,server-only,0,1,8,0,0,2
580,Ragnaros,579,1,0,3272,1,2
581,Onslaught Girdle,579,1,0,4544,4,2
582,Band of Sulfuras,579,1,0,4545,6,2
583,Choker of the Fire Lord,579,1,0,4546,7,2
584,Crown of Destruction,579,1,0,4549,10,2
585,Leggings of Transcendence,579,1,0,4550,11,2
586,Legplates of Wrath,579,1,0,4553,14,2
587,Nemesis Leggings,579,1,0,4556,17,2
588,Stormrage Legguards,579,1,0,4558,19,2
589,Bloodfang Pants,579,1,0,4555,16,2
590,Dragonstalker's Legguards,579,1,0,4551,12,2
591,Judgement Legplates,579,1,0,4552,13,2
593,Malistar's Defender,579,1,0,4559,20,2
594,Cloak of the Shrouded Mists,579,1,0,4561,22,2
595,Spinal Reaper,579,1,0,4563,24,2
596,Band of Accuria,579,1,0,4560,21,2
597,Dragon's Blood Cape,579,1,0,5055,25,2
598,Essence of the Pure Flame,579,1,0,4547,8,2
599,Perdition's Blade,579,1,0,4548,9,2
600,Draconic for Dummies,579,1,0,7364,28,2
601,"Thunderfury, Blessed Blade of the Windseeker",579,1,0,8146,2,2
602,Shard of the Flame,579,1,0,5056,26,2
603,Legplates of Ten Storms,579,1,0,4554,15,2
604,Essence of the Firelord,579,1,0,8893,27,2
605,Netherwind Pants,579,1,0,4557,18,2
606,Bonereaver's Edge,579,1,0,4562,23,2
607,"Sulfuras, Hand of Ragnaros",579,1,0,318,5,2
648,server-only,0,1,8,0,0,2
650,The Forging of Quel'Serrar,648,1,0,4270,4,2
651,Victory for the Alliance,648,1,0,4266,0,2
652,Eskhandar's Collar,648,1,0,4286,11,2
653,Onyxia Hide Backpack,648,1,0,4271,5,2
654,Victory for the Horde,648,1,0,4267,2,2
655,A Proper String,648,1,0,4268,1,2
656,Deathbringer,648,1,0,4282,7,2
657,Ring of Binding,648,1,0,4284,9,2
658,Shard of the Scale,648,1,0,4287,12,2
659,Vis'kag the Bloodletter,648,1,0,4283,8,2
660,Ancient Cornerstone Grimoire,648,1,0,4272,6,2
661,Sapphiron Drape,648,1,0,4285,10,2
758,server-only,0,0,5,0,0,2
759,Daily quests,758,0,0,4984,2,0
760,Total quests,758,0,0,3631,1,0
762,server-only,0,0,5,0,0,2
763,Beasts,762,0,0,4948,1,0
764,Elemental,762,0,0,4951,4,0
765,Humanoid,762,0,0,4953,6,0
766,Mechanical,762,0,0,4954,7,0
767,Undead,762,0,0,4955,8,0
768,Unspecified,762,0,0,4956,9,0
769,Totems,762,0,0,4957,10,0
770,Demons,762,0,0,4949,2,0
771,Dragonkin,762,0,0,4950,3,0
772,Giant,762,0,0,4952,5,0
774,server-only,0,0,4,0,0,2
775,Critters killed,774,0,0,4958,1,0
777,server-only,0,0,4,0,0,2
778,Deaths from fatigue,777,0,0,148,1,0
802,server-only,0,0,4,0,0,2
803,Leatherworking skill,802,375,0,5718,0,1
805,server-only,0,0,4,0,0,2
806,Quests abandoned,805,0,0,5289,1,0
808,server-only,0,0,5,0,0,2
809,Blade's Edge Arena matches,808,0,0,5729,0,0
811,server-only,0,1,8,0,0,2
813,An Unholy Alliance,811,1,0,4409,4,2
814,A Vengeful Fate,811,1,0,4250,2,2
815,The Crone of the Kraul,811,1,0,4251,3,2
817,server-only,0,1,8,0,0,2
822,server-only,0,1,8,0,0,2
824,The Platinum Discs ,822,1,0,4256,1,2
825,Find the Gems and Power Source,822,1,0,4257,2,2
826,Restoring the Necklace,822,1,0,4258,3,2
828,server-only,0,0,4,0,0,2
829,Chief Ukorz Sandscalp,828,1,0,3265,1,2
831,server-only,0,1,8,0,0,2
833,Corruption of Earth and Seed,831,1,0,4259,2,2
834,Corruption of Earth and Seed,831,1,0,4260,3,2
836,server-only,0,0,5,0,0,2
837,Ring of Trials victories,836,0,0,5735,0,0
884,server-only,0,0,4,0,0,2
885,25-man raids run,884,0,0,4989,1,0
893,server-only,0,0,4,0,0,2
894,Gold spent on postage,893,0,0,3358,1,8
921,server-only,0,0,5,0,0,2
923,Portal to Exodar,921,0,0,4995,2,0
924,Portal to Shattrath,921,0,0,4996,3,0
925,Portal to Ironforge,921,0,0,4997,4,0
926,Portal to Silvermoon,921,0,0,4999,6,0
927,Portal to Stonard,921,0,0,5000,7,0
928,Portal to Stormwind,921,0,0,5001,8,0
929,Portal to Theramore,921,0,0,5002,9,0
930,Portal to Thunder Bluff,921,0,0,5003,10,0
931,Portal to Undercity,921,0,0,5004,11,0
932,Portal to Darnassus,921,0,0,4994,1,0
933,Portal to Shattrath,921,0,0,4992,0,0
934,Portal to Orgrimmar,921,0,0,4998,5,0
936,server-only,0,1,8,0,0,2
937,Imprisoned in the Citadel,936,1,0,4487,2,2
938,Trial of the Naaru: Mercy,936,1,0,4489,4,2
939,Warchief Kargath Bladefist,936,1,0,3719,1,2
940,Imprisoned in the Citadel,936,1,0,4488,3,2
945,server-only,0,0,5,0,0,2
946,Ring of Trials matches,945,0,0,5730,0,0
957,server-only,0,1,8,0,0,2
959,Weaken the Ramparts,957,1,0,4462,3,2
960,Weaken the Ramparts,957,1,0,4461,2,2
962,server-only,0,0,4,0,0,2
963,Keli'dan the Breaker,962,1,0,3239,1,2
973,server-only,0,0,5,0,0,2
983,server-only,0,0,5,0,0,2
1035,server-only,0,1,8,0,0,2
1036,Auchindoun...,1035,1,0,4465,2,2
1037,Everything Will Be Alright,1035,1,0,4466,3,2
1038,Exarch Maladaar,1035,1,0,3244,1,2
1040,server-only,0,0,4,0,0,2
1041,Quagmirran,1040,1,0,3711,1,2
1070,server-only,0,0,4,0,0,2
1071,Skinning skill,1070,375,0,5720,0,1
1073,server-only,0,0,4,0,0,2
1074,Engineering skill,1073,375,0,5722,0,1
1123,server-only,0,0,4,0,0,2
1148,server-only,0,1,8,0,0,2
1149,Warlord Kalithresh,1148,1,0,3248,1,2
1151,The Warlord's Hideout,1148,1,0,4473,2,2
1159,server-only,0,0,5,0,0,2
1161,Total NPC kills,1159,0,0,4944,1,0
1163,server-only,0,1,7,0,0,2
1164,Mining,1163,1,0,5559,7,0
1165,Tailoring,1163,1,0,5561,9,0
1166,Engineering,1163,1,0,5554,3,0
1167,Herbalism,1163,1,0,5555,4,0
1168,Alchemy,1163,1,0,5551,0,0
1169,Blacksmithing,1163,1,0,5552,1,0
1170,Enchanting,1163,1,0,5553,2,0
1171,Leatherworking,1163,1,0,5558,6,0
1172,Skinning,1163,1,0,5560,8,0
1174,Jewelcrafting,1163,1,0,5557,5,0
1176,server-only,0,375,8,0,0,2
1179,Blacksmithing,1176,375,0,5566,2,0
1180,Enchanting,1176,375,0,5567,4,0
1181,Engineering,1176,375,0,5722,1,0
1182,Herbalism,1176,375,0,5569,3,0
1183,Leatherworking,1176,375,0,5718,6,0
1184,Mining,1176,375,0,5573,7,0
1185,Jewelcrafting,1176,375,0,5571,5,0
1186,Skinning,1176,375,0,5720,8,0
1187,Tailoring,1176,375,0,5575,9,0
1189,server-only,0,0,4,0,0,2
1190,Total deaths,1189,0,0,111,1,0
1222,server-only,0,0,4,0,0,2
1223,Quagmirran,1222,1,0,3240,1,2
1225,server-only,0,1,8,0,0,2
1226,Epoch Hunter,1225,1,0,3242,1,2
1227,Escape from Durnholde,1225,1,0,4467,2,2
1229,server-only,0,1,8,0,0,2
1230,Terokk's Legacy,1229,1,0,4468,2,2
1231,Talon King Ikiss,1229,1,0,3245,1,2
1233,server-only,0,1,8,0,0,2
1234,Aeonus,1233,1,0,3247,1,2
1235,The Master's Touch,1233,1,0,4471,2,2
1236,The Opening of the Dark Portal,1233,1,0,4472,3,2
1238,server-only,0,1,8,0,0,2
1239,Pathaleon the Calculator,1238,1,0,3250,1,2
1240,How to Break Into the Arcatraz,1238,1,0,4480,2,2
1272,server-only,0,0,4,0,0,2
1273,Eye of the Storm battles,1272,0,0,105,0,0
1278,server-only,0,0,4,0,0,2
1279,Eye of the Storm flag captures,1278,0,0,438,0,0
1285,server-only,0,0,4,0,0,2
1287,Enchanting formulae known,1285,0,0,7225,0,0
1455,server-only,0,0,4,0,0,2
1456,Daily quests complete,1455,0,0,4984,1,0
1489,server-only,0,1,8,0,0,2
1491,Cowl of Absolution,1489,1,0,4630,14,2
1492,Bristleblitz Striker,1489,1,0,4620,4,2
1493,Cataclysm's Edge,1489,1,0,4621,5,2
1494,Legguards of Endless Rage,1489,1,0,4623,7,2
1495,Apostle of Argus,1489,1,0,4619,3,2
1496,Hood of the Malefic,1489,1,0,4632,16,2
1497,Lightbringer Faceguard,1489,1,0,4633,17,2
1498,Gronnstalker's Helmet,1489,1,0,4636,20,2
1499,Skyshatter Headguard,1489,1,0,4639,23,2
1500,Slayer's Helm,1489,1,0,4642,26,2
1501,Thunderheart Cover,1489,1,0,4644,28,2
1502,Skyshatter Helmet,1489,1,0,4640,24,2
1503,Lightbringer Greathelm,1489,1,0,4634,18,2
1504,Lightbringer War-Helm,1489,1,0,4635,19,2
1505,Onslaught Greathelm,1489,1,0,4638,22,2
1506,Robes of Rhonin,1489,1,0,4626,10,2
1507,Savior's Grasp,1489,1,0,4627,11,2
1508,Tempest of Chaos,1489,1,0,4629,13,2
1509,Leggings of Eternity,1489,1,0,4622,6,2
1510,Mail of Fevered Pursuit,1489,1,0,4624,8,2
1511,Scepter of Purification,1489,1,0,4628,12,2
1512,Onslaught Battle-Helm,1489,1,0,4637,21,2
1513,Antonidas's Aegis of Rapt Concentration,1489,1,0,4618,2,2
1514,Hood of Absolution,1489,1,0,4631,15,2
1515,Midnight Chestguard,1489,1,0,4625,9,2
1516,Skyshatter Cover,1489,1,0,4641,25,2
1517,Cowl of the Tempest,1489,1,0,4643,27,2
1518,Thunderheart Helmet,1489,1,0,4646,30,2
1519,Thunderheart Headguard,1489,1,0,4645,29,2
1521,server-only,0,1,8,0,0,2
1522,C'Thun,1521,1,0,3274,1,2
1523,Mark of C'Thun,1521,1,0,4941,25,2
1524,Genesis Vest,1521,1,0,4454,5,2
1525,C'Thun's Legacy,1521,1,0,4459,11,2
1526,Cloak of Clarity,1521,1,0,4586,14,2
1527,Scepter of the False Prophet,1521,1,0,4593,21,2
1528,Death's Sting,1521,1,0,4589,17,2
1529,Dark Edge of Insanity,1521,1,0,4587,15,2
1530,Gauntlets of Annihilation,1521,1,0,4590,18,2
1531,Belt of Never-ending Agony,1521,1,0,4585,13,2
1532,Grasp of the Old God,1521,1,0,4591,19,2
1533,Eyestalk Waist Cord,1521,1,0,4596,24,2
1534,Deathdealer's Vest,1521,1,0,4451,3,2
1535,Stormcaller's Hauberk,1521,1,0,4455,6,2
1536,Enigma Robes,1521,1,0,4457,9,2
1537,Vestments of the Oracle,1521,1,0,4458,10,2
1538,"Atiesh, the Befouled Greatstaff",1521,1,0,4460,12,2
1539,Striker's Hauberk,1521,1,0,4450,2,2
1540,Avenger's Breastplate,1521,1,0,4453,7,2
1541,Conqueror's Breastplate,1521,1,0,4452,4,2
1542,Dark Storm Gauntlets,1521,1,0,4588,16,2
1543,Ring of the Godslayer,1521,1,0,4592,20,2
1544,Husk of the Old God,1521,1,0,9078,36,2
1545,Vanquished Tentacle of C'Thun,1521,1,0,4594,22,2
1546,Doomcaller's Robes,1521,1,0,4456,8,2
1547,Conqueror's Breastplate,1521,1,0,8894,26,2
1548,Avenger's Breastplate,1521,1,0,8895,27,2
1549,Deathdealer's Vest,1521,1,0,8896,28,2
1550,Doomcaller's Robes,1521,1,0,8897,29,2
1551,Enigma Robes,1521,1,0,8898,30,2
1552,Genesis Vest,1521,1,0,8899,31,2
1553,Cloak of the Devoured,1521,1,0,4595,23,2
1554,Stormcaller's Hauberk,1521,1,0,8900,32,2
1555,Striker's Hauberk,1521,1,0,8901,33,2
1556,Vestments of the Oracle,1521,1,0,8902,34,2
1557,Husk of the Old God,1521,1,0,8903,35,2
1559,server-only,0,0,4,0,0,2
1592,server-only,0,0,5,0,0,2
1593,Deaths from fire and lava,1592,0,0,150,1,0
1594,Deaths from fire and lava,1592,0,0,151,2,0
1716,server-only,0,0,4,0,0,2
1717,Ragnaros,1716,1,0,3272,1,0
1722,server-only,0,0,4,0,0,2
1723,Total waves,1722,0,0,3236,1,0
1725,server-only,0,1,8,0,0,2
1727,The Fall of Ossirian,1725,1,0,4265,2,2
1857,server-only,0,0,4,0,0,2
1858,Highest 3 man team rating,1857,0,0,449,1,0
1860,server-only,0,0,7,0,0,2
1861,Beasts,1860,0,0,4948,1,0
1862,Elemental,1860,0,0,4951,4,0
1863,Humanoid,1860,0,0,4953,6,0
1864,Mechanical,1860,0,0,4954,7,0
1865,Undead,1860,0,0,4955,8,0
1866,Unspecified,1860,0,0,4956,9,0
1867,Totems,1860,0,0,4957,10,0
1868,Demons,1860,0,0,4949,2,0
1869,Dragonkin,1860,0,0,4950,3,0
1870,Giant,1860,0,0,4952,5,0
1875,server-only,0,0,4,0,0,2
1876,Warglaive of Azzinoth (Off Hand),1875,1,0,325,1,2
1877,Warglaive of Azzinoth (Main Hand),1875,1,0,326,2,2
1878,,1875,1,0,12480,3,2
1879,,1875,1,0,12481,4,2
1930,server-only,0,1,5,0,0,2
1931,Heavy Netherweave Bandage,1930,1,0,3313,9,0
1933,Defiler's Mageweave Bandage,1930,1,0,3305,4,0
1934,Heavy Runecloth Bandage,1930,1,0,3314,10,0
1935,Arathi Basin Runecloth Bandage,1930,1,0,3303,2,0
1937,Alterac Valley Runecloth Bandage,1930,1,0,3301,0,0
1938,Highlander's Silk Bandage,1930,1,0,7901,23,0
1939,Heavy Wool Bandage,1930,1,0,7900,24,0
1940,Highlander's Mageweave Bandage,1930,1,0,7902,21,0
1941,Triage Bandage,1930,1,0,7904,25,0
1942,Defiler's Runecloth Bandage,1930,1,0,3306,5,0
1943,Defiler's Silk Bandage,1930,1,0,3307,6,0
1946,Heavy Linen Bandage,1930,1,0,3311,7,0
1947,Heavy Mageweave Bandage,1930,1,0,3312,8,0
1948,Heavy Silk Bandage,1930,1,0,3315,11,0
1949,Mageweave Bandage,1930,1,0,3317,13,0
1950,Netherweave Bandage,1930,1,0,3318,14,0
1951,Silk Bandage,1930,1,0,3320,16,0
1952,Warsong Gulch Runecloth Bandage,1930,1,0,3323,18,0
1953,Wool Bandage,1930,1,0,3325,20,0
1954,Arathi Basin Silk Bandage,1930,1,0,3304,3,0
1955,Arathi Basin Mageweave Bandage,1930,1,0,3302,1,0
1956,Runecloth Bandage,1930,1,0,3319,15,0
1957,Warsong Gulch Mageweave Bandage,1930,1,0,3322,17,0
1958,Linen Bandage,1930,1,0,3316,12,0
1959,Warsong Gulch Silk Bandage,1930,1,0,3324,19,0
1960,Highlander's Runecloth Bandage,1930,1,0,7903,22,0
1962,server-only,0,0,5,0,0,2
2068,server-only,0,0,4,0,0,2
2069,Fishing skill,2068,375,0,5696,0,1
2083,server-only,0,0,4,0,0,2
2084,Total Auction Purchases,2083,0,0,4221,1,0
2086,server-only,0,1,8,0,0,2
2087,Fiery Warhorse's Reins,2086,1,0,1863,1,2
2088,Fiery Warhorse,2086,0,0,6163,2,2
2141,server-only,0,0,4,0,0,2
2142,10-man instances run,2141,0,0,4988,1,0
2144,server-only,0,0,4,0,0,2
2145,Epoch Hunter,2144,1,0,3242,1,0
2147,server-only,0,0,4,0,0,2
2148,Enchanting skill,2147,375,0,5567,0,1
2156,server-only,0,0,4,0,0,2
2157,Highest 5 man personal rating,2156,0,0,452,1,0
2235,server-only,0,1,8,0,0,2
2236,Trial of the Naaru: Tenacity,2235,1,0,4490,2,2
2237,Harbinger Skyriss,2235,1,0,3722,1,2
2274,server-only,0,0,4,0,0,2
2275,Total Killing Blows,2274,0,0,5529,1,0
2339,server-only,0,0,4,0,0,2
2340,,2339,0,0,5304,1,0
2370,server-only,0,0,4,0,0,2
2371,The Black Stalker,2370,1,0,3712,1,2
2373,server-only,0,1,8,0,0,2
2374,Warlord Kalithresh,2373,1,0,3718,1,2
2429,server-only,0,0,4,0,0,2
2430,Deaths from falling,2429,0,0,149,1,0
2442,server-only,0,0,4,0,0,2
2443,Flight paths taken,2442,0,0,5305,1,0
2445,server-only,0,0,5,0,0,2
2446,Ruins of Lordaeron 3v3 Wins,2445,0,0,8609,3,0
2447,Ring of Valor 3v3 Wins,2445,0,0,8610,2,0
2448,Nagrand 3v3 Wins,2445,0,0,8608,1,0
2449,Dalaran 3v3 Wins,2445,0,0,8607,4,0
2450,Blade's Edge 3v3 Wins,2445,0,0,5727,0,0
2474,server-only,0,0,4,0,0,2
2475,Alterac Valley towers defended,2474,0,0,436,0,0
2491,server-only,0,0,4,0,0,2
