Name_lang,Pos[0],Pos[1],Pos[2],MapOffset[0],MapOffset[1],FlightMapOffset[0],FlightMapOffset[1],ID,ContinentID,ConditionID,CharacterBitNumber,Flags,UiTextureKitID,Facing,SpecialIconConditionID,VisibilityConditionID,MountCreatureID[0],MountCreatureID[1]
"Revantusk Village, The Hinterlands",-635.26,-4720.5,5.38,-0.007,0.007,0,0,76,0,0,76,2,0,0,0,0,2224,0
"Vendetta Point, Southern Barrens",-2152.35,-1724.34,92.528,0.02,0,0,0,77,1,0,227,2,0,0,0,0,2224,0
Naxxramas,3133.31,-3399.93,139.53,0,0,0,0,78,0,0,78,0,0,0,0,0,0,0
"Marshal's Stand, Un'Goro Crater",-7548.05,-1541.13,-271.05,-0.003,0.01,0,0,79,1,0,79,3,0,0,0,0,2224,541
"Ratchet, Northern Barrens",-894.59,-3773.01,11.48,-0.00598802,-0.0145349,0,0,80,1,0,80,3,0,0,0,0,2224,541
Filming,0,0,0,0,0,0,0,81,530,0,0,0,0,0,0,0,0,0
Silvermoon City,9375.24,-7165.89,9.03,0,0,0,0,82,530,0,82,6,0,0,0,0,19917,0
"Tranquillien, Ghostlands",7594.47,-6784.29,86.46,0.006,0,0,0,83,530,0,83,2,0,0,0,0,19917,0
"Plaguewood Tower, Eastern Plaguelands",2965.55,-3033.61,126.929,0,-0.015,0,0,84,0,0,84,3,0,0,0,0,44248,44248
"Northpass Tower, Eastern Plaguelands",3134.26,-4354.78,133.463,0,0,0,0,85,0,0,85,3,0,0,0,0,44248,44248
"Eastwall Tower, Eastern Plaguelands",2524.44,-4769.56,104.087,0.014,0.01,0,0,86,0,0,86,3,0,0,0,0,44248,44248
"Crown Guard Tower, Eastern Plaguelands",1876.4,-3693.32,157.687,0.017,-0.012,0,0,87,0,0,87,3,0,0,0,0,44248,44248
"Transport, Exodar",-4284.01,-11194.74,13.01,0,0,0,0,88,530,0,88,0,0,0,0,0,0,0
"Transport, Theramore",0,0,0,0,0,0,0,89,0,0,89,0,0,0,0,0,0,0
"Transport, Undercity",0,0,0,0,0,0,0,90,9770568,0,90,0,0,0,0,0,0,0
Quest - Azuremyst Shaman Target,-3996.01,-11892.97,0.22,0,0,0,0,91,530,0,91,0,0,0,0,0,0,0
Quest - Azuremyst Shaman Start,-3679.31,-11413.04,310.57,0,0,0,0,92,530,0,92,0,0,0,0,0,0,0
"Blood Watch, Bloodmyst Isle",-1933.27,-11954.6,57.19,0,0,0,0,93,530,0,93,1,0,0,0,0,0,3837
The Exodar,-3867.56,-11641.1,-137.664,0,0,0,0,94,530,0,94,1,0,0,0,0,0,3837
Zangarmarsh - Quest - As the Crow Flies,-146.29,5532.56,30.89,0,0,0,0,95,530,0,95,0,0,0,0,0,17972,0
Zangarmarsh - Quest - As the Crow Flies - End,-145.23,5533.03,30.95,0,0,0,0,96,530,0,96,0,0,0,0,0,0,0
Quest - Elekk Path to Kessel,-3968.37,-11929.15,-1.22,0,0,0,0,97,530,0,97,0,0,0,0,0,0,18167
Quest - Elekk to Kessel Target,-2662.3,-12144.6,16.91,0,0,0,0,98,530,0,98,0,0,0,0,0,0,0
"Thrallmar, Hellfire Peninsula",228.5,2633.57,87.67,0.013,-0.009,0,0,99,530,0,99,2,0,0,0,0,2224,0
"Honor Hold, Hellfire Peninsula",-673.42,2717.27,94.18,0.012,0.01,0,0,100,530,0,100,1,0,0,0,0,0,541
"Temple of Telhamat, Hellfire Peninsula",199.16,4241.56,121.75,0,-0.02,0,0,101,530,0,101,1,0,0,0,0,0,3837
"Falcon Watch, Hellfire Peninsula",-587.41,4101.01,91.37,0.002,-0.01,0,0,102,530,0,102,2,0,0,0,0,2224,0
Nagrand - PvP - Attack Run Start 1 ,-1810.16,8032.11,-25.95,0,0,0,0,103,530,0,103,0,0,0,0,0,18345,18345
Nagrand - PvP - Attack Run End 1,-1824.18,8049.29,-26.85,0,0,0,0,104,530,0,104,0,0,0,0,0,13161,13161
Nagrand - PvP - Attack Run Start 2,-1513.4,8140.93,-19.6,0,0,0,0,105,530,0,105,0,0,0,0,0,18345,18345
Nagrand - PvP - Attack Run End 2,-1511.26,8149.71,-18.58,0,0,0,0,106,530,0,106,0,0,0,0,0,0,541
Nagrand - PvP - Attack Run Start 3,-1387.07,7782.41,-11.47,0,0,0,0,107,530,0,107,0,0,0,0,0,18345,18345
Nagrand - PvP - Attack Run End 3,-1376.72,7771.17,-10.08,0,0,0,0,108,530,0,108,0,0,0,0,0,0,541
Nagrand - PvP - Attack Run Start 4,-1656.6,7724.91,-15.59,0,0,0,0,109,530,0,109,0,0,0,0,0,18345,18345
Nagrand - PvP - Attack Run End 4,-1658.9,7724.71,-15.79,0,0,0,0,110,530,0,110,0,0,0,0,0,0,541
Eversong - Duskwither Teleport,9335.83,-7883.07,74.91,0,0,0,0,111,530,0,111,0,0,0,0,0,18392,18392
Eversong - Duskwither Teleport End,9335.67,-7809.71,136.57,0,0,0,0,112,530,0,112,0,0,0,0,0,17972,17972
Quest - Nethrandamus Start,-1544.36,8792.07,35.22,0,0,0,0,113,530,0,113,0,0,0,0,0,18543,18543
Quest - Nethrandamus End Target,-1544.36,8792.09,35.22,0,0,0,0,114,530,0,114,0,0,0,0,0,0,0
Quest - Caverns of Time OH - Begin,2384.73,1169.38,66.86,0,0,0,0,115,560,0,115,0,0,0,0,0,18768,18768
Quest - Caverns of Time OH - End,2014.65,239.65,68.52,0,0,0,0,116,560,0,116,0,0,0,0,0,0,0
"Telredor, Zangarmarsh",213.75,6063.75,148.31,0,0,0,0,117,530,0,117,1,0,0,0,0,0,3837
"Zabra'jin, Zangarmarsh",219.45,7816,22.72,0,0,0,0,118,530,0,118,2,0,0,0,0,2224,0
"Telaar, Nagrand",-2729,7305.3,88.64,0.002,0.024,0,0,119,530,0,119,1,0,0,0,0,0,3837
"Garadar, Nagrand",-1261.09,7133.39,57.34,0.01,-0.007,0,0,120,530,0,120,2,0,0,0,0,2224,0
"Allerian Stronghold, Terokkar Forest",-2987.24,3872.78,9.13,0,0,0,0,121,530,0,121,1,0,0,0,0,0,541
"Area 52, Netherstorm",3082.31,3596.11,144.02,-0.027,-0.023,0,0,122,530,0,122,3,0,0,0,0,2224,541
"Shadowmoon Village, Shadowmoon Valley",-3018.62,2557.09,79.09,0.01,0,0,0,123,530,0,123,2,0,0,0,0,2224,0
"Wildhammer Stronghold, Shadowmoon Valley",-3982.07,2156.47,105.15,0,0,0,0,124,530,0,124,1,0,0,0,0,0,541
"Sylvanaar, Blade's Edge Mountains",2183.65,6794.46,183.28,0,0,0,0,125,530,0,125,1,0,0,0,0,0,3837
"Thunderlord Stronghold, Blade's Edge Mountains",2446.37,6020.93,154.34,0,0.004,0,0,126,530,0,126,2,0,0,0,0,2224,0
"Stonebreaker Hold, Terokkar Forest",-2567.33,4423.83,39.33,0,0,0,0,127,530,0,127,2,0,0,0,0,2224,0
"Shattrath, Terokkar Forest",-1837.23,5301.9,-12.43,0,0,0,0,128,530,0,128,3,0,0,0,0,2224,541
"Hellfire Peninsula, The Dark Portal",-327.35,1020.49,54.25,0.002,0.03,0,0,129,530,0,129,1,0,0,0,0,0,541
"Hellfire Peninsula, The Dark Portal",-178.09,1026.72,54.19,0.004,-0.008,0,0,130,530,0,130,2,0,0,0,0,2224,0
Quest - Horde Hellfire Start,-25.51,2133.45,112.6,0,0,0,0,131,530,0,131,0,0,0,0,0,19275,18376
Quest - Horde Hellfire End,-25.6,2133.4,112.58,0,0,0,0,132,530,0,132,0,0,0,0,0,19275,0
Quest - Hellfire Peninsula (Alliance Path) Start,-673.73,1855.29,68.97,0,0,0,0,133,530,0,133,0,0,0,0,0,19324,19324
Quest - Hellfire Peninsula (Alliance) End,-673.75,1855.32,68.96,0,0,0,0,134,530,0,134,0,0,0,0,0,19324,19324
"Quest - Hellfire, Aerial Mission (Horde) Start",-27.65,2126.57,111.85,0,0,0,0,135,530,0,135,0,0,0,0,0,19275,19324
"Quest - Hellfire, Aerial Mission (Horde) End",-27.52,2126.5,111.88,0,0,0,0,136,530,0,136,0,0,0,0,0,19275,19324
"Quest - Hellfire, Aerial Mission (Alliance) Start",298.5,1501.26,-14.28,0,0,0,0,137,530,0,137,0,0,0,0,0,19275,19324
"Quest - Hellfire, Aerial Mission (Alliance) End",298.59,1501.13,-14.25,0,0,0,0,138,530,0,138,0,0,0,0,0,19275,19324
"The Stormspire, Netherstorm",4157.58,2959.69,352.08,-0.005,-0.018,0,0,139,530,0,139,3,0,0,0,0,2224,541
"Altar of Sha'tar, Shadowmoon Valley",-3065.6,749.42,-10.1,0,0,0,0,140,530,6211,140,3,0,0,0,0,2224,541
"Spinebreaker Ridge, Hellfire Peninsula",-1316.84,2358.62,88.96,0,0,0,0,141,530,0,141,2,0,0,0,0,2224,0
Hellfire Peninsula - Reaver's Fall,-29.16,2125.72,111.47,0.007,0,0,0,142,530,0,142,0,0,0,0,0,2224,0
Quest - Caverns of Time (Intro Flight Path) (End),-8360.73,-4327.73,-208.33,0,0,0,0,143,1,0,143,0,0,0,0,0,16081,16081
Quest - Caverns of Time (Intro Flight Path) (Start),-8162.01,-4796.23,35.78,0,0,0,0,144,1,0,144,0,0,0,0,0,18768,18768
Quest - Netherstorm - Stealth Flight - Begin,3079.01,3599.08,144.07,0,0,0,0,145,530,0,145,0,0,0,0,0,2224,0
Quest - Netherstorm - Stealth Flight - End,2235.34,2793.77,128.03,0,0,0,0,146,530,0,146,0,0,0,0,0,0,0
Hellfire Peninsula - Force Camp Beach Head,509.17,1988.69,109.62,0,0,0,0,147,530,0,147,0,0,0,0,0,0,19324
"Shatter Point, Hellfire Peninsula (Beach Assault)",298.46,1501.18,-14.28,0,0,0,0,148,530,0,148,0,0,0,0,0,0,19324
"Shatter Point, Hellfire Peninsula",276.2,1486.91,-15.1,0,0,0,0,149,530,0,149,0,0,0,0,0,0,541
"Cosmowrench, Netherstorm",2974.95,1848.24,141.28,0,0.01,0,0,150,530,0,150,3,0,0,0,0,2224,541
"Swamprat Post, Zangarmarsh",91.67,5214.92,23.1,0.017,0.016,0,0,151,530,0,151,2,0,0,0,0,2224,0
Quest - Netherstorm - Manaforge Ultris (Start),4262.39,2136.92,139.44,0,0,0,0,152,530,0,152,0,0,0,0,0,20903,20903
Quest - Netherstorm - Manaforge Ultris (End),4266.7,2133.38,138.82,0,0,0,0,153,530,0,153,0,0,0,0,0,20903,20903
Quest - Netherstorm - Manaforge Ultris (Second Pass) Start,20047.88,5200.69,19742.78,0,0,0,0,154,530,0,154,0,0,0,0,0,20903,20903
Quest - Netherstorm - Manaforge Ultris (Second Pass) End,4267.14,2133.03,138.77,0,0,0,0,155,530,0,155,0,0,0,0,0,0,0
"Toshley's Station, Blade's Edge Mountains",1857.35,5531.87,277.01,0,0,0,0,156,530,0,156,1,0,0,0,0,0,541
Quest - Blade's Edge - Vision Guide - Start,2277.74,5983.35,142.6,0,0,0,0,157,530,0,157,0,0,0,0,0,21396,0
Quest - Blade's Edge - Vision Guide - End,2278.56,5983.71,142.57,0,0,0,0,158,530,0,158,0,0,0,0,0,0,0
"Sanctum of the Stars, Shadowmoon Valley",-4073.17,1123.61,42.47,0.014,0,0,0,159,530,6212,159,3,0,0,0,0,2224,541
"Evergrove, Blade's Edge Mountains",2976.01,5501.13,143.67,0,0,0,0,160,530,0,160,3,0,0,0,0,2224,541
Quest - Nether Dragon Ally - Start,0,0,0,0,0,0,0,161,654135852,0,161,0,0,0,0,0,22360,22360
Quest - Nether Dragon Ally - End,-4100.27,950.38,22.11,0,0,0,0,162,530,0,162,0,0,0,0,0,0,0
"Mok'Nathal Village, Blade's Edge Mountains",2028.79,4705.27,150.51,0,0,0,0,163,530,0,163,2,0,0,0,0,2224,0
"Orebor Harborage, Zangarmarsh",966.67,7399.16,29.14,0,0.01,0,0,164,530,0,164,1,0,0,0,0,0,3837
"Transport, Northrend 2",0,0,0,0,0,0,0,165,3,0,0,0,0,0,0,0,0,0
"Emerald Sanctuary, Felwood",3972.84,-1324.51,244.803,0,0,0,0,166,1,0,166,3,0,0,0,0,2224,3837
"Forest Song, Ashenvale",3000.25,-3202.41,189.77,0,-0.014,0,0,167,1,0,167,1,0,0,0,0,0,3837
Filming,-9441.18,65.05,56.18,0,0,0,0,168,0,0,168,0,0,0,0,0,0,3837
Quest - Netherwing Ledge - Mine Cart Ride - South - Start,-5224.53,631.85,48.36,0,0,0,0,169,530,0,169,0,0,0,0,0,23372,23372
Quest - Netherwing Ledge - Mine Cart Ride - South - End,-5185.71,172.95,-11.57,0,0,0,0,170,530,0,170,0,0,0,0,0,23289,23289
Skettis,-3364.68,3650.18,284.78,0,0,0,0,171,530,0,171,0,0,0,0,0,23422,23422
Ogri'La,2531.1,7322.09,373.64,0,0,0,0,172,530,0,172,0,0,0,0,0,23422,23422
Quest - Yarzill Flight Start,-5141.36,620.11,82.7,0,0,0,0,173,530,0,173,0,0,0,0,0,23468,23468
Quest - Yarzill Flight Start End,-1636.09,5275.87,-41.1,0,0,0,0,174,530,0,174,0,0,0,0,0,0,0
"Transport, Howling Fjord",784.89,-5066.18,-7.88,0,0,0,0,175,571,0,0,0,0,0,0,0,0,0
Quest - Howling Fjord Tauren Canoe (Start),245.36,-3309.2,0.91,0,0,0,0,176,571,0,0,0,0,0,0,0,23518,23518
Quest - Howling Fjord Tauren Canoe (End),-147.47,-3587.36,0.34,0,0,0,0,177,571,0,0,0,0,0,0,0,23518,23518
"Transport, Borean Tundra",0,0,0,0,0,0,0,178,3,0,0,0,0,0,0,0,0,0
"Mudsprocket, Dustwallow Marsh",-4566.23,-3226.05,34.7,-0.007,-0.02,0,0,179,1,0,179,3,0,0,0,0,2224,541
Quest - Dustwallow - Alcaz Survey Start,-3822.66,-4511.33,10.84,0,0,0,0,180,1,0,180,0,0,0,0,0,0,541
Quest - Dustwallow - Alcaz Survey End,-3822.71,-4509.65,10.98,0,0,0,0,181,1,0,181,0,0,0,0,0,0,541
Quest - Howling Fjord - Break the Blockade Zeppelin,1415.89,-3082.49,121.91,0,0,0,0,182,571,0,0,0,0,0,0,0,0,0
"Valgarde Port, Howling Fjord",567.41,-5010.97,11.5,0,0,0,0,183,571,0,183,1,0,0,0,0,0,541
"Fort Wildervar, Howling Fjord",2468.77,-5029.82,283.49,0.01,-0.01,0,0,184,571,0,184,1,0,0,0,0,0,541
"Westguard Keep, Howling Fjord",1342.84,-3287.9,174.45,0.01,-0.005,0,0,185,571,0,185,1,0,0,0,0,0,541
Quest - Howling Fjord - Flight to the Windrunner - Start,1911.82,-6179.07,24.61,0,0,0,0,186,571,0,0,0,0,0,0,0,3574,0
Quest - Howling Fjord - Flight to the Windrunner - End,1652.83,-6512.11,18.48,0,0,0,0,187,571,0,0,0,0,0,0,0,3574,0
Quest - Howling Fjord - Test at Sea - Start,1912.78,-6178.81,24.64,0,0,0,0,188,571,0,0,0,0,0,0,0,3574,0
Quest - Howling Fjord - Test at Sea - End,1913.9,-6177.87,24.62,0,0,0,0,189,571,0,0,0,0,0,0,0,0,0
"New Agamand, Howling Fjord",401.12,-4544.3,244.54,-0.01,-0.025,0,0,190,571,0,190,2,0,0,0,0,3574,0
"Vengeance Landing, Howling Fjord",1918.6,-6175.89,24.41,0,-0.035,0,0,191,571,0,191,2,0,0,0,0,3574,0
"Camp Winterhoof, Howling Fjord",2652.89,-4392.71,283.32,0.009,0.01,0,0,192,571,0,192,2,0,0,0,0,2224,0
Quest - Howling Fjord - Mission: Plague This! - End,1341.44,-3288.57,174.45,0,0,0,0,193,571,0,0,0,0,0,0,0,0,541
Quest - Howling Fjord - Mission: Plague This! - Start,1341.08,-3288.37,174.45,0,0,0,0,194,571,0,0,0,0,0,0,0,0,541
"Rebel Camp, Stranglethorn Vale",-11344,-216.83,75.22,0.005,0,0,0,195,0,0,195,5,0,0,0,0,0,541
Test - SP,9283.1,-9749.81,62.16,0,0,0,0,196,451,0,196,0,0,0,0,0,12374,541
Test SP2,-9148.62,243.04,87.39,0,0,0,0,197,0,0,197,0,0,0,0,0,0,0
Test SP1,9405.83,-9882.69,0,0,0,0,0,198,451,0,198,0,0,0,0,0,24489,541
Quest - Howling Fjord - McGoyver Start,638.34,-5074.57,-0.23,0,0,0,0,199,571,0,0,0,0,0,0,0,24716,24716
Quest - Howling Fjord - McGoyver End,483.92,-5913.1,308.61,0,0,0,0,200,571,0,0,0,0,0,0,0,24716,24716
Development Land - Kyle Radue Start,15992.44,-16371.94,76.73,0,0,0,0,201,451,0,201,0,0,0,0,0,23468,23468
Development Land - Kyle Radue End,15991.68,-16371.95,76.7,0,0,0,0,202,451,0,202,0,0,0,0,0,0,0
Quest - Stars' Rest -> Wintergarde,3505.3,1990.83,65.1,0,0,0,0,203,571,0,0,0,0,0,0,0,0,27127
Quest - New Agamand -> Venomspite,0,0,0,0,0,0,0,204,12,0,0,0,0,0,0,0,27179,0
"Zul'Aman, Ghostlands",6789.79,-7747.58,126.51,-0.01,0,0,0,205,530,0,205,3,0,0,0,0,3574,541
"Transport, Feathermoon (NE Ship)",-4348.01,2427.29,6.64,0,0,0,0,206,1,0,206,0,0,0,0,0,0,0
Quest - Howling Fjord - Sister Mercy (Start),15.32,-4043.79,0.1,0,0,0,0,207,571,0,0,0,0,0,0,0,0,0
Quest - Howling Fjord - Sister Mercy (End),15.32,-4043.71,0.1,0,0,0,0,208,571,0,0,0,0,0,0,0,0,0
Quest - Sunwell Daily - Dead Scar Bombing - Start,13008.38,-6911.81,9.58,0,0,0,0,209,530,0,209,0,0,0,0,0,25044,0
Quest - Sunwell Daily - Dead Scar Bombing - End,13008.51,-6912.2,9.58,0,0,0,0,210,530,0,210,0,0,0,0,0,25044,0
Quest - Sunwell Daily - Ship Bombing - Start,13007.5,-6911.81,9.58,0,0,0,0,211,530,0,211,0,0,0,0,0,25044,0
Quest - Sunwell Daily - Ship Bombing - End,13188.04,-7047.04,4.79,0,0,0,0,212,530,0,212,0,0,0,0,0,25044,0
Shattered Sun Staging Area,13012.7,-6908.37,9.58,-0.006,-0.003,0,0,213,530,96423,213,11,0,0,0,0,19917,19917
Quest - Howling Fjord - Naglfar (Start),0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0
