ID,AfterTimeInAnimation,AnimationDataID,AnimKitID,Field_10_0_0_44795_002,Field_10_0_0_44795_003,Flags,SpellID,LabelID,Field_10_0_0_44795_006,Field_10_0_0_45232_007,DefaultBlendIn,DefaultBlendOut
211,0,1722,0,0,0,0,437162,0,0,0,300,500
212,25,1722,0,0,0,0,437162,0,0,0,300,500
213,45,1722,0,0,0,0,437162,0,0,0,300,500
214,60,1532,0,151476,192364,0,437162,0,163935,0,300,500
215,65,1724,0,151476,192365,0,437162,0,163934,0,300,500
216,105,1724,0,151476,192365,0,437162,0,163934,0,300,500
217,0,1722,0,0,176096,0,439138,0,0,0,300,500
218,25,1722,0,0,176095,0,439138,0,0,0,300,500
219,45,1722,0,0,176094,0,439138,0,0,0,300,500
220,60,1532,0,177362,176093,0,439138,0,163935,0,300,500
221,65,1724,0,177362,176092,0,439138,0,163934,0,300,500
222,105,1724,0,177362,176091,0,439138,0,163934,0,300,500
223,25,1722,0,0,182369,0,443660,0,0,0,300,500
224,45,1722,0,0,159805,0,443660,0,0,0,300,500
225,60,1532,0,151476,189049,0,443660,0,163935,0,300,500
226,65,1724,0,151476,189048,0,443660,0,163934,0,300,500
227,105,1724,0,151476,189048,0,443660,0,163934,0,300,500
228,0,1722,0,0,0,0,0,3497,0,0,300,500
229,25,1722,0,0,0,0,0,3497,0,0,300,500
230,45,1722,0,0,0,0,0,3497,0,0,300,500
231,60,1532,0,0,200168,0,0,3498,163935,0,300,500
232,65,1724,0,0,200169,0,0,3497,163934,0,300,500
233,105,1724,0,0,200169,0,0,3497,163934,0,300,500
234,0,1722,0,0,0,0,0,3498,0,0,300,500
235,25,1722,0,0,0,0,0,3498,0,0,300,500
236,45,1722,0,0,0,0,0,3498,0,0,300,500
237,60,1532,0,0,200250,0,0,3498,163935,0,300,500
238,65,1724,0,0,200251,0,0,3498,163934,0,300,500
239,105,1724,0,0,200251,0,0,3498,163934,0,300,500
240,0,1722,0,0,0,0,0,3673,0,0,300,500
241,25,1722,0,0,0,0,0,3673,0,0,300,500
242,45,1722,0,0,0,0,0,3673,0,0,300,500
243,60,1532,0,204835,204837,0,0,3673,163935,0,300,500
244,65,1724,0,204835,204836,0,0,3673,163934,0,300,500
245,105,1724,0,204835,204836,0,0,3673,163934,0,300,500
246,0,1722,0,0,0,0,0,3675,0,0,300,500
247,25,1722,0,0,0,0,0,3675,0,0,300,500
248,45,1722,0,0,0,0,0,3675,0,0,300,500
249,60,1532,0,0,204869,0,0,3675,204869,0,300,500
250,65,1724,0,0,204870,0,0,3675,163934,0,300,500
251,105,1724,0,0,204870,0,0,3675,204870,0,300,500
